"Index","open","high","low","close","volume","adjusted"
2013-06-04,25.1,25.110001,24.799999,24.879999,59500,24.44945
2013-06-05,25.07,25.07,24.559999,24.6,19400,24.174297
2013-06-06,24.74,24.74,24.5,24.68,31800,24.252912
2013-06-07,25.32,25.32,24.879999,25.059999,26300,24.626336
2013-06-10,25.6,26.26,25.01,25.120001,582800,24.685299
2013-06-11,25,25.1,24.799999,24.92,2e+05,24.488759
2013-06-12,25.23,25.23,24.709999,24.75,224900,24.321701
2013-06-13,24.76,25.18,24.690001,25.15,145900,24.714778
2013-06-14,25.16,25.200001,24.969999,25.02,128800,24.587029
2013-06-17,25.17,25.309999,25.049999,25.190001,132800,24.754087
2013-06-18,25.209999,25.43,25.209999,25.4,77700,24.960452
2013-06-19,25.52,25.52,25.120001,25.120001,73800,24.685299
2013-06-20,25,25,24.4,24.5,210500,24.076027
2013-06-21,24.65,24.65,24.209999,24.459999,187400,24.036718
2013-06-24,24.299999,24.299999,23.91,24.16,87900,23.741911
2013-06-25,24.6,24.6,24.190001,24.4,56100,23.977757
2013-06-26,24.540001,24.65,24.49,24.58,87600,24.154643
2013-06-27,24.68,24.870001,24.68,24.85,91000,24.419971
2013-06-28,24.809999,24.92,24.68,24.75,68900,24.321701
2013-07-01,25.540001,25.540001,24.99,25.040001,33500,24.606683
2013-07-02,25.030001,25.15,24.809999,24.940001,71400,24.508413
2013-07-03,24.860001,25.059999,24.860001,24.940001,36000,24.508413
2013-07-05,25.1,25.35,25.049999,25.35,67300,24.911318
2013-07-08,25.440001,25.530001,25.4,25.48,89600,25.039068
2013-07-09,25.6,25.700001,25.48,25.690001,38200,25.245435
2013-07-10,25.719999,25.75,25.6,25.719999,82700,25.274914
2013-07-11,25.959999,26.139999,25.889999,26.030001,76300,25.579551
2013-07-12,26.040001,26.129999,26.030001,26.129999,43100,25.677819
2013-07-15,26.27,26.27,26.09,26.18,52500,25.726955
2013-07-16,26.48,26.48,25.950001,26.02,57200,25.569724
2013-07-17,26.18,26.18,26.049999,26.08,27700,25.628685
2013-07-18,26.059999,26.280001,26.059999,26.219999,62700,25.766262
2013-07-19,26.18,26.23,26.07,26.23,27600,25.776089
2013-07-22,26.35,26.35,26.23,26.309999,32000,25.854704
2013-07-23,26.370001,26.49,26.200001,26.209999,61100,25.756435
2013-07-24,26.299999,26.360001,26.07,26.120001,77400,25.667994
2013-07-25,26.200001,26.299999,26.110001,26.299999,14500,25.844877
2013-07-26,26.190001,26.219999,26.059999,26.219999,43600,25.766262
2013-07-29,26.129999,26.23,26.030001,26.120001,36700,25.667994
2013-07-30,26.219999,26.27,26.15,26.25,11900,25.795743
2013-07-31,26.290001,26.549999,26.290001,26.42,45600,25.962802
2013-08-01,26.66,26.93,26.66,26.91,48600,26.444322
2013-08-02,26.59,26.879999,26.59,26.860001,72300,26.395188
2013-08-05,26.85,26.91,26.790001,26.870001,35100,26.405015
2013-08-06,26.9,26.9,26.57,26.65,44200,26.188821
2013-08-07,26.620001,26.620001,26.360001,26.48,27900,26.021763
2013-08-08,26.58,26.67,26.51,26.629999,30900,26.169167
2013-08-09,26.610001,26.700001,26.52,26.610001,39600,26.149514
2013-08-12,26.52,26.690001,26.459999,26.690001,53400,26.22813
2013-08-13,26.719999,26.73,26.5,26.709999,27400,26.247782
2013-08-14,26.700001,26.809999,26.540001,26.540001,14400,26.080726
2013-08-15,26.26,26.26,26.02,26.09,61900,25.638512
2013-08-16,26.139999,26.15,26.01,26.07,62300,25.618858
2013-08-19,26,26.1,25.879999,25.91,140600,25.461627
2013-08-20,25.92,26.24,25.92,26.16,158900,25.707301
2013-08-21,26.120001,26.24,25.959999,26.040001,64600,25.589378
2013-08-22,26.200001,26.959999,26.15,26.34,60200,25.884186
2013-08-23,26.379999,26.43,26.26,26.41,24400,25.952974
2013-08-26,26.5,26.559999,26.32,26.4,62700,25.943147
2013-08-27,26.209999,26.209999,25.83,25.83,82900,25.383011
2013-08-28,25.85,26.01,25.809999,25.940001,38700,25.491108
2013-08-29,25.889999,26.190001,25.889999,26.1,31900,25.648339
2013-08-30,26.07,26.1,25.809999,25.860001,15700,25.412493
2013-09-03,26.33,26.75,25.83,25.98,42200,25.530415
2013-09-04,26.040001,26.26,25.98,26.23,51600,25.776089
2013-09-05,26.25,26.379999,26.25,26.32,22800,25.864532
2013-09-06,26.370001,26.4,26,26.27,30400,25.815398
2013-09-09,26.32,26.58,26.32,26.57,41700,26.110205
2013-09-10,26.9,26.9,26.719999,26.790001,119300,26.3264
2013-09-11,26.85,26.889999,26.74,26.85,32600,26.385361
2013-09-12,26.9,26.92,26.73,26.76,51100,26.296918
2013-09-13,26.809999,26.879999,26.74,26.870001,49800,26.405015
2013-09-16,27.190001,27.190001,26.959999,26.969999,65600,26.503283
2013-09-17,27.01,27.190001,27.01,27.18,43400,26.70965
2013-09-18,27.190001,27.450001,27.040001,27.41,68400,26.935669
2013-09-19,27.549999,27.549999,27.309999,27.379999,88600,26.906188
2013-09-20,27.379999,27.41,27.25,27.27,15600,26.798093
2013-09-23,27.15,27.34,26.93,27.129999,205400,26.660514
2013-09-24,27.15,27.379999,27,27.209999,85500,26.73913
2013-09-25,27.299999,27.379999,27.129999,27.200001,67200,26.729304
2013-09-26,27.290001,27.459999,27.25,27.379999,56400,26.906188
2013-09-27,27.290001,27.35,27.200001,27.32,68300,26.847227
2013-09-30,27.15,27.299999,26.969999,27.209999,88400,26.73913
2013-10-01,27.27,27.58,27.25,27.57,56000,27.0929
2013-10-02,27.48,27.57,27.389999,27.52,45700,27.043766
2013-10-03,27.51,27.530001,27.129999,27.309999,63400,26.837399
2013-10-04,27.26,27.629999,27.23,27.58,46300,27.102728
2013-10-07,27.43,27.43,27.200001,27.23,42200,26.758784
2013-10-08,27.33,27.33,26.690001,26.719999,71200,26.257609
2013-10-09,26.73,26.77,26.459999,26.68,58200,26.218302
2013-10-10,27.07,27.309999,26.99,27.290001,96900,26.817747
2013-10-11,27.309999,27.6,27.25,27.6,80600,27.122382
2013-10-14,27.5,27.76,27.42,27.75,114600,27.269786
2013-10-15,27.700001,27.77,27.469999,27.57,115100,27.0929
2013-10-16,27.75,27.92,27.73,27.9,115800,27.41719
2013-10-17,27.889999,28.110001,27.799999,28.1,144800,27.613729
2013-10-18,28.200001,28.52,28.15,28.33,110700,27.839749
2013-10-21,28.42,28.459999,28.26,28.34,170900,27.849576
2013-10-22,28.440001,28.6,28.33,28.43,96000,27.938019
2013-10-23,28.370001,28.370001,28.16,28.280001,65400,27.790615
2013-10-24,28.35,28.49,28.209999,28.49,110000,27.99698
2013-10-25,28.68,28.68,28.34,28.459999,81600,27.967498
2013-10-28,28.540001,28.57,28.35,28.48,943100,27.987153
2013-10-29,28.549999,28.610001,28.459999,28.610001,201300,28.114904
2013-10-30,28.639999,28.889999,28.219999,28.35,159100,27.859403
2013-10-31,28.389999,28.469999,28.15,28.309999,57500,27.820094
2013-11-01,28.309999,28.32,28.030001,28.200001,48100,27.711999
2013-11-04,28.290001,28.49,28.25,28.48,86200,27.987153
2013-11-05,28.459999,28.49,28.219999,28.43,48800,27.938019
2013-11-06,28.52,28.6,28.24,28.34,87900,27.849576
2013-11-07,28.440001,28.440001,27.75,27.77,129300,27.28944
2013-11-08,27.91,28.35,27.91,28.34,50400,27.849576
2013-11-11,28.41,28.469999,28.299999,28.450001,102700,27.957673
2013-11-12,28.440001,28.459999,28.24,28.42,28700,27.928192
2013-11-13,28.4,28.709999,28.34,28.709999,43300,28.213172
2013-11-14,28.709999,28.85,28.59,28.83,56700,28.331096
2013-11-15,28.92,28.959999,28.799999,28.940001,69600,28.439193
2013-11-18,29.040001,29.08,28.629999,28.74,75800,28.242654
2013-11-19,28.780001,28.84,28.52,28.639999,40700,28.144384
2013-11-20,28.709999,28.74,28.440001,28.51,48400,28.016634
2013-11-21,28.58,29,28.58,29,58500,28.498155
2013-11-22,29.030001,29.120001,28.889999,29.110001,40800,28.606252
2013-11-25,29.16,29.200001,29.01,29.08,69900,28.57677
2013-11-26,29.120001,29.299999,29.030001,29.26,97600,28.753655
2013-11-27,29.299999,29.33,29.219999,29.33,74800,28.822444
2013-11-29,29.389999,29.440001,29.309999,29.35,48700,28.842098
2013-12-02,29.360001,29.360001,29.110001,29.120001,59100,28.616079
2013-12-03,29.08,29.1,28.83,28.940001,49600,28.439193
2013-12-04,28.870001,29.040001,28.639999,28.85,29100,28.350751
2013-12-05,28.879999,28.940001,28.799999,28.84,73500,28.340923
2013-12-06,29.219999,29.219999,28.969999,29.08,69800,28.57677
2013-12-09,29.25,29.25,29.030001,29.1,98500,28.596424
2013-12-10,29.1,29.190001,28.92,28.99,47600,28.488327
2013-12-11,29.01,29.01,28.51,28.559999,43600,28.065768
2013-12-12,28.57,28.67,28.450001,28.559999,50600,28.065768
2013-12-13,28.6,28.73,28.49,28.610001,41100,28.114904
2013-12-16,28.780001,28.91,28.780001,28.889999,45700,28.390057
2013-12-17,28.9,28.91,28.68,28.82,50400,28.321269
2013-12-18,28.870001,29.18,28.6,29.120001,38900,28.616079
2013-12-19,29.07,29.18,29.040001,29.09,31300,28.586597
2013-12-20,29.1,29.49,29.1,29.49,56600,28.979675
2013-12-23,29.66,29.700001,29.57,29.690001,113300,29.176215
2013-12-24,29.75,29.879999,29.700001,29.77,40700,29.25483
2013-12-26,29.809999,29.9,29.75,29.799999,49300,29.336538
2013-12-27,29.92,29.92,29.709999,29.76,34100,29.297161
2013-12-30,29.809999,29.809999,29.67,29.77,63400,29.307005
2013-12-31,29.85,29.93,29.809999,29.870001,72500,29.405451
2014-01-02,29.879999,29.879999,29.48,29.549999,77200,29.090426
2014-01-03,29.620001,29.809999,29.540001,29.620001,68300,29.159339
2014-01-06,29.639999,29.75,29.379999,29.459999,74500,29.001825
2014-01-07,29.48,29.75,29.48,29.709999,67300,29.247937
2014-01-08,29.690001,29.73,29.559999,29.709999,59100,29.247937
2014-01-09,29.780001,29.82,29.52,29.700001,59600,29.238094
2014-01-10,29.719999,29.82,29.58,29.82,35300,29.356227
2014-01-13,29.780001,29.780001,29.190001,29.290001,65800,28.834471
2014-01-14,29.299999,29.700001,29.299999,29.639999,32300,29.179026
2014-01-15,29.709999,29.809999,29.700001,29.809999,37500,29.346382
2014-01-16,29.790001,29.790001,29.620001,29.76,39900,29.297161
2014-01-17,29.74,29.780001,29.530001,29.59,40600,29.129805
2014-01-21,29.74,29.870001,29.540001,29.74,68300,29.277471
2014-01-22,29.790001,29.9,29.690001,29.870001,56200,29.405451
2014-01-23,29.77,29.77,29.41,29.6,73600,29.139649
2014-01-24,29.459999,29.459999,28.799999,28.82,108800,28.371779
