"Index","open","high","low","close","volume","adjusted"
2007-05-23,50.040001,50.139999,50.040001,50.080002,3600,50.080002
2007-05-24,50.009998,50.130001,49.799999,49.84,4100,49.84
2007-05-25,50.049999,50.200001,49.939999,50.029999,7100,50.029999
2007-05-29,50.099998,50.139999,50,50.060001,4100,50.060001
2007-05-30,50.049999,50.299999,50.040001,50.299999,3400,50.299999
2007-05-31,50.299999,50.349998,50.299999,50.310001,900,50.310001
2007-06-01,50.389999,50.470001,50.349998,50.459999,26500,50.459999
2007-06-04,50.459999,50.459999,50.450001,50.450001,400,50.450001
2007-06-05,50.419998,50.419998,50.330002,50.419998,900,50.419998
2007-06-06,50.330002,50.330002,50.23,50.27,4000,50.27
2007-06-07,50.279999,50.279999,49.889999,49.900002,3500,49.900002
2007-06-08,49.900002,49.900002,49.900002,49.900002,0,49.900002
2007-06-11,50.27,50.27,50.220001,50.220001,11900,50.220001
2007-06-12,50,50,49.860001,49.860001,5100,49.860001
2007-06-13,50,62.240002,49.950001,50.330002,2700,50.330002
2007-06-14,50.529999,50.560001,50.529999,50.560001,2900,50.560001
2007-06-15,50.650002,50.650002,50.619999,50.619999,1300,50.619999
2007-06-18,50.619999,50.689999,50.619999,50.68,1100,50.68
2007-06-19,50.68,50.759998,50.68,50.740002,1700,50.740002
2007-06-20,50.779999,50.779999,50.599998,50.599998,1700,50.599998
2007-06-21,50.48,50.48,50.48,50.48,2900,50.48
2007-06-22,50.41,51.040001,50.150002,51.040001,700,51.040001
2007-06-25,50.060001,50.330002,49.939999,50.049999,5400,50.049999
2007-06-26,50.220001,50.259998,50,50.189999,8100,50.189999
2007-06-27,49.700001,50.220001,49.700001,50.220001,3800,50.220001
2007-06-28,50.389999,50.490002,50.34,50.34,5200,50.34
2007-06-29,50.599998,50.599998,50.200001,50.299999,700,50.299999
2007-07-02,50.599998,50.68,50.599998,50.68,1100,50.68
2007-07-03,50.68,50.68,50.68,50.68,0,50.68
2007-07-05,50.68,50.68,50.68,50.68,0,50.68
2007-07-06,50.93,51.110001,50.93,51.099998,4700,51.099998
2007-07-09,51.130001,51.130001,50.939999,51.130001,12400,51.130001
2007-07-10,51.130001,51.130001,51.130001,51.130001,0,51.130001
2007-07-11,50.75,50.810001,50.709999,50.799999,700,50.799999
2007-07-12,50.98,51.290001,50.98,51.27,5600,51.27
2007-07-13,51.43,51.43,51.43,51.43,700,51.43
2007-07-16,51.5,51.509998,51.490002,51.490002,600,51.490002
2007-07-17,51.509998,51.540001,51.509998,51.540001,800,51.540001
2007-07-18,51.5,51.5,51.389999,51.470001,4200,51.470001
2007-07-19,51.639999,51.669998,51.639999,51.669998,800,51.669998
2007-07-20,51.75,51.75,51.310001,51.310001,2900,51.310001
2007-07-23,51.310001,51.310001,51.290001,51.290001,1600,51.290001
2007-07-24,51.040001,51.040001,50.630001,50.630001,7000,50.630001
2007-07-25,50.700001,50.93,50.66,50.849998,2500,50.849998
2007-07-26,50.5,50.5,49.509998,49.959999,2600,49.959999
2007-07-27,50.099998,50.099998,49.310001,49.310001,2800,49.310001
2007-07-30,49.099998,49.669998,49.099998,49.669998,2400,49.669998
2007-07-31,50.130001,50.130001,49.580002,49.599998,5600,49.599998
2007-08-01,49.169998,49.419998,48.849998,49.419998,16600,49.419998
2007-08-02,49.529999,49.619999,49.439999,49.580002,1200,49.580002
