"Index","open","high","low","close","volume","adjusted"
2014-01-15,24.99,25.09,24.99,25.059999,21300,24.374825
2014-01-16,25.040001,25.040001,24.940001,25.01,11000,24.326193
2014-01-17,25,25.07,24.9,24.9,4300,24.2192
2014-01-21,25.059999,25.059999,24.91,24.99,6000,24.306739
2014-01-22,25.049999,25.07,25.02,25.07,1500,24.384552
2014-01-23,24.9,24.9,24.76,24.82,3400,24.141387
2014-01-24,24.76,24.76,24.26,24.26,22800,23.596699
2014-01-27,24.059999,24.209999,23.98,24.209999,900,23.548065
2014-01-28,24.23,24.26,24.209999,24.23,800,23.567518
2014-01-29,24.1,24.1,24,24,1000,23.343807
2014-01-30,24.15,24.15,24.139999,24.139999,400,23.479979
2014-01-31,24.219999,24.26,24.15,24.15,3000,23.489706
2014-02-03,23.82,23.82,23.450001,23.450001,5300,22.808846
2014-02-04,23.51,23.639999,23.4,23.59,2600,22.945017
2014-02-05,23.559999,23.620001,23.4,23.540001,4500,22.896385
2014-02-06,23.690001,23.85,23.690001,23.85,1600,23.197909
2014-02-07,23.889999,24.049999,23.879999,24.049999,4200,23.392439
2014-02-10,24.09,24.09,23.969999,24.08,4100,23.42162
2014-02-11,24.1,24.389999,24.1,24.389999,3000,23.723143
2014-02-12,24.4,24.440001,24.370001,24.379999,4900,23.713417
2014-02-13,24.32,24.610001,24.32,24.610001,4000,23.93713
2014-02-14,24.59,24.75,24.59,24.74,1900,24.063574
2014-02-18,24.790001,24.790001,24.790001,24.790001,100,24.112208
2014-02-19,24.84,24.84,24.6,24.6,5200,23.927403
2014-02-20,24.52,24.77,24.52,24.77,4000,24.092755
2014-02-21,24.82,24.860001,24.76,24.76,2500,24.083028
2014-02-24,24.85,25,24.85,24.969999,1500,24.287285
2014-02-25,24.879999,24.9,24.84,24.84,2800,24.160841
2014-02-26,25.030001,25.049999,24.92,24.93,1700,24.24838
2014-02-27,25,25.059999,25,25.059999,2900,24.374825
2014-02-28,25.280001,25.299999,25.200001,25.209999,3600,24.520723
2014-03-03,24.969999,25.09,24.870001,24.99,1800,24.306739
2014-03-04,25.309999,25.469999,25.309999,25.450001,7400,24.754163
2014-03-05,25.43,25.43,25.389999,25.389999,5500,24.695802
2014-03-06,25.450001,25.5,25.450001,25.469999,1900,24.773615
2014-03-07,25.52,25.52,25.49,25.49,700,24.793068
2014-03-10,25.48,25.48,25.48,25.48,300,24.783342
2014-03-11,25.440001,25.440001,25.440001,25.440001,200,24.744436
2014-03-12,25.23,25.35,25.23,25.35,1100,24.656897
2014-03-13,25.18,25.190001,25.1,25.1,900,24.413732
2014-03-14,25.1,25.1,25.1,25.1,0,24.413732
2014-03-17,25.290001,25.41,25.290001,25.389999,1100,24.695802
2014-03-18,25.389999,25.389999,25.389999,25.389999,0,24.695802
2014-03-19,25.540001,25.549999,25.4,25.4,1600,24.705529
2014-03-20,25.530001,25.530001,25.48,25.48,800,24.783342
2014-03-21,25.530001,25.690001,25.530001,25.690001,900,25.056438
2014-03-24,25.309999,25.309999,25.299999,25.309999,2200,24.685808
2014-03-25,25.370001,25.41,25.370001,25.379999,500,24.754082
2014-03-26,25.450001,25.450001,25.24,25.26,2400,24.637042
2014-03-27,25.049999,25.1,25.049999,25.049999,1100,24.43222
2014-03-28,25.139999,25.190001,25.139999,25.18,1600,24.559015
2014-03-31,25.33,25.549999,25.33,25.549999,1200,24.919889
2014-04-01,25.65,25.73,25.65,25.73,400,25.09545
2014-04-02,25.709999,25.809999,25.709999,25.74,2200,25.105204
2014-04-03,25.809999,25.809999,25.74,25.76,1300,25.124711
2014-04-04,25.51,25.51,25.51,25.51,500,24.880877
2014-04-07,25.209999,25.209999,25.209999,25.209999,600,24.588274
2014-04-08,25.200001,25.290001,25.190001,25.200001,1300,24.578522
2014-04-09,25.219999,25.219999,25.219999,25.219999,400,24.598028
2014-04-10,25.389999,25.389999,25.040001,25.049999,800,24.43222
2014-04-11,25.049999,25.049999,25.049999,25.049999,0,24.43222
2014-04-14,24.85,24.85,24.780001,24.780001,300,24.16888
2014-04-15,24.66,24.93,24.66,24.93,500,24.315181
2014-04-16,24.93,24.93,24.93,24.93,0,24.315181
2014-04-17,25.18,25.280001,25.18,25.280001,4200,24.656549
2014-04-21,25.309999,25.309999,25.309999,25.309999,800,24.685808
2014-04-22,25.5,25.540001,25.5,25.540001,800,24.910138
2014-04-23,25.450001,25.48,25.450001,25.459999,2300,24.832109
2014-04-24,25.540001,25.540001,25.48,25.48,700,24.851616
2014-04-25,25.33,25.33,25.26,25.26,400,24.637042
2014-04-28,25.17,25.17,25.17,25.17,500,24.549262
2014-04-29,25.190001,25.25,25.190001,25.25,500,24.627289
2014-04-30,25.33,25.33,25.33,25.33,200,24.705316
2014-05-01,25.33,25.33,25.33,25.33,0,24.705316
2014-05-02,25.440001,25.440001,25.309999,25.32,2700,24.695562
2014-05-05,25.290001,25.309999,25.27,25.290001,4800,24.666303
2014-05-06,25.18,25.18,25.18,25.18,600,24.559015
2014-05-07,25.18,25.18,25.18,25.18,0,24.559015
2014-05-08,25.18,25.18,25.18,25.18,0,24.559015
2014-05-09,25.18,25.18,25.18,25.18,0,24.559015
2014-05-12,25.5,25.6,25.5,25.6,1600,24.968657
2014-05-13,25.559999,25.559999,25.559999,25.559999,200,24.929643
2014-05-14,25.559999,25.559999,25.559999,25.559999,0,24.929643
2014-05-15,25.559999,25.559999,25.559999,25.559999,0,24.929643
2014-05-16,25.559999,25.559999,25.559999,25.559999,0,24.929643
2014-05-19,25.18,25.18,25.18,25.18,200,24.559015
2014-05-20,25.040001,25.040001,25.040001,25.040001,100,24.422468
2014-05-21,25.120001,25.120001,25.01,25.01,700,24.393208
2014-05-22,25.219999,25.219999,25.219999,25.219999,100,24.598028
2014-05-23,25.219999,25.33,25.219999,25.33,700,24.705316
2014-05-27,25.33,25.33,25.33,25.33,0,24.705316
2014-05-28,25.33,25.33,25.33,25.33,0,24.705316
2014-05-29,25.530001,25.530001,25.530001,25.530001,2100,24.900384
2014-05-30,25.530001,25.530001,25.530001,25.530001,0,24.900384
2014-06-02,25.65,25.65,25.6,25.6,200,24.968657
2014-06-03,25.6,25.6,25.6,25.6,0,24.968657
2014-06-04,25.6,25.6,25.6,25.6,0,24.968657
2014-06-05,25.73,25.73,25.73,25.73,200,25.09545
2014-06-06,26.17,26.17,26.15,26.15,700,25.505093
2014-06-09,26.25,26.25,26.25,26.25,300,25.602627
2014-06-10,26.33,26.33,26.16,26.219999,15300,25.573366
2014-06-11,26.219999,26.219999,26.219999,26.219999,0,25.573366
2014-06-12,26.219999,26.219999,26.219999,26.219999,0,25.573366
2014-06-13,26.219999,26.219999,26.219999,26.219999,0,25.573366
2014-06-16,26,26,26,26,500,25.358792
2014-06-17,26.18,26.18,26.18,26.18,100,25.534353
2014-06-18,26.18,26.18,26.18,26.18,0,25.534353
2014-06-19,26.18,26.18,26.18,26.18,0,25.534353
2014-06-20,26.32,26.32,26.32,26.32,100,25.774273
2014-06-23,26.280001,26.280001,26.280001,26.280001,600,25.735103
2014-06-24,26.280001,26.280001,26.280001,26.280001,0,25.735103
2014-06-25,26.280001,26.280001,26.280001,26.280001,0,25.735103
2014-06-26,26.18,26.18,26.18,26.18,100,25.637176
2014-06-27,26.18,26.18,26.18,26.18,0,25.637176
2014-06-30,26.370001,26.4,26.370001,26.4,1400,25.852614
2014-07-01,26.4,26.58,26.4,26.58,1000,26.028882
2014-07-02,26.42,26.42,26.42,26.42,300,25.8722
2014-07-03,26.49,26.559999,26.49,26.559999,500,26.009296
2014-07-07,26.4,26.4,26.4,26.4,300,25.852614
2014-07-08,26.27,26.290001,26.219999,26.219999,1100,25.676346
2014-07-09,26.25,26.25,26.25,26.25,200,25.705724
2014-07-10,26.18,26.18,26.18,26.18,700,25.637176
2014-07-11,26.18,26.18,26.18,26.18,0,25.637176
2014-07-14,26.18,26.18,26.18,26.18,0,25.637176
2014-07-15,26.200001,26.200001,26.200001,26.200001,1300,25.656762
2014-07-16,26.18,26.18,26.18,26.18,600,25.637176
2014-07-17,26.18,26.18,26.18,26.18,0,25.637176
2014-07-18,26.18,26.18,26.18,26.18,0,25.637176
2014-07-21,26.049999,26.049999,26,26.030001,1000,25.490287
2014-07-22,26.030001,26.030001,26.030001,26.030001,0,25.490287
2014-07-23,26.030001,26.030001,26.030001,26.030001,0,25.490287
2014-07-24,26.15,26.17,26.15,26.16,800,25.61759
2014-07-25,26.16,26.16,26.16,26.16,0,25.61759
2014-07-28,25.959999,26.01,25.959999,25.99,800,25.451115
2014-07-29,25.889999,25.950001,25.889999,25.950001,1000,25.411945
2014-07-30,25.74,25.799999,25.73,25.75,2400,25.216092
2014-07-31,25.75,25.75,25.75,25.75,0,25.216092
2014-08-01,25.24,25.24,25.24,25.24,200,24.716666
2014-08-04,25.24,25.24,25.24,25.24,0,24.716666
2014-08-05,25.27,25.27,25.23,25.23,300,24.706873
2014-08-06,25.23,25.23,25.23,25.23,0,24.706873
2014-08-07,25.23,25.23,25.23,25.23,0,24.706873
2014-08-08,25.33,25.33,25.33,25.33,300,24.8048
2014-08-11,25.43,25.469999,25.43,25.469999,600,24.941896
2014-08-12,25.530001,25.530001,25.530001,25.530001,100,25.000654
2014-08-13,25.42,25.48,25.42,25.48,500,24.951689
2014-08-14,25.67,25.67,25.67,25.67,600,25.13775
2014-08-15,25.51,25.51,25.51,25.51,200,24.981068
2014-08-18,25.82,25.82,25.82,25.82,200,25.28464
2014-08-19,25.82,25.82,25.82,25.82,0,25.28464
2014-08-20,25.950001,25.950001,25.950001,25.950001,300,25.411945
2014-08-21,26.08,26.110001,26.08,26.110001,600,25.568628
2014-08-22,26.110001,26.110001,26.110001,26.110001,0,25.568628
2014-08-25,26.110001,26.110001,26.110001,26.110001,0,25.568628
2014-08-26,26.110001,26.110001,26.110001,26.110001,0,25.568628
2014-08-27,26.23,26.23,26.23,26.23,200,25.686139
2014-08-28,26.23,26.23,26.23,26.23,0,25.686139
2014-08-29,26.23,26.23,26.23,26.23,0,25.686139
2014-09-02,26.23,26.23,26.23,26.23,0,25.686139
2014-09-03,26.360001,26.360001,26.360001,26.360001,300,25.813444
2014-09-04,26.360001,26.360001,26.360001,26.360001,100,25.813444
2014-09-05,26.360001,26.360001,26.360001,26.360001,0,25.813444
2014-09-08,26.219999,26.219999,26.219999,26.219999,300,25.676346
2014-09-09,26.219999,26.219999,26.219999,26.219999,0,25.676346
2014-09-10,26.139999,26.139999,26.139999,26.139999,100,25.598005
2014-09-11,26.139999,26.139999,26.139999,26.139999,0,25.598005
2014-09-12,26.190001,26.190001,26.059999,26.059999,1000,25.519663
2014-09-15,26.059999,26.059999,26.059999,26.059999,0,25.519663
2014-09-16,26.110001,26.110001,26.110001,26.110001,400,25.568628
2014-09-17,26.110001,26.110001,26.110001,26.110001,0,25.568628
2014-09-18,26.219999,26.26,26.219999,26.26,700,25.715517
2014-09-19,26.26,26.26,26.26,26.26,0,25.793113
2014-09-22,26.26,26.26,26.26,26.26,0,25.793113
2014-09-23,26.26,26.26,26.26,26.26,0,25.793113
2014-09-24,26.26,26.26,26.26,26.26,0,25.793113
2014-09-25,26.26,26.26,26.26,26.26,0,25.793113
2014-09-26,25.42,25.42,25.42,25.42,200,24.968047
2014-09-29,25.42,25.42,25.389999,25.389999,500,24.93858
2014-09-30,25.290001,25.290001,25.26,25.27,300,24.820715
2014-10-01,25.27,25.27,25.27,25.27,0,24.820715
2014-10-02,25.27,25.27,25.27,25.27,0,24.820715
2014-10-03,25.27,25.27,25.27,25.27,0,24.820715
2014-10-06,25.27,25.27,25.27,25.27,0,24.820715
2014-10-07,25.27,25.27,25.27,25.27,0,24.820715
2014-10-08,24.6,25.040001,24.6,25.040001,5900,24.594804
2014-10-09,24.629999,24.629999,24.629999,24.629999,300,24.192092
2014-10-10,24.530001,24.620001,24.530001,24.620001,400,24.182272
2014-10-13,24.620001,24.620001,24.620001,24.620001,0,24.182272
2014-10-14,24.299999,24.32,24.299999,24.32,400,23.887604
2014-10-15,23.75,24.01,23.629999,23.93,12900,23.504539
2014-10-16,24.059999,24.33,24,24.32,3200,23.887604
2014-10-17,24.450001,24.549999,24.450001,24.459999,1300,24.025115
2014-10-20,24.530001,24.530001,24.530001,24.530001,100,24.093872
2014-10-21,25.02,25.129999,25.02,25.129999,300,24.683203
2014-10-22,25.290001,25.290001,25.07,25.07,300,24.62427
2014-10-23,25.32,25.32,25.32,25.32,100,24.869825
2014-10-24,25.299999,25.440001,25.299999,25.440001,1100,24.987692
2014-10-27,25.389999,25.43,25.389999,25.43,1600,24.97787
2014-10-28,25.610001,25.799999,25.610001,25.799999,1400,25.34129
2014-10-29,25.879999,25.879999,25.719999,25.719999,600,25.262713
2014-10-30,25.780001,26,25.780001,25.969999,2200,25.508268
2014-10-31,26.23,26.23,26.23,26.23,600,25.763646
2014-11-03,26.379999,26.4,26.290001,26.290001,1000,25.82258
2014-11-04,26.16,26.17,26.16,26.17,600,25.704713
2014-11-05,26.17,26.17,26.17,26.17,0,25.704713
2014-11-06,26.35,26.35,26.35,26.35,600,25.881513
2014-11-07,26.35,26.35,26.35,26.35,0,25.881513
2014-11-10,26.6,26.6,26.6,26.6,100,26.127068
2014-11-11,26.6,26.6,26.6,26.6,0,26.127068
2014-11-12,26.6,26.6,26.6,26.6,0,26.127068
2014-11-13,26.6,26.6,26.6,26.6,0,26.127068
2014-11-14,26.52,26.52,26.469999,26.469999,1200,25.999378
2014-11-17,26.48,26.48,26.48,26.48,200,26.009201
2014-11-18,26.639999,26.639999,26.610001,26.610001,900,26.136891
2014-11-19,26.610001,26.610001,26.610001,26.610001,0,26.136891
2014-11-20,26.610001,26.610001,26.610001,26.610001,0,26.136891
2014-11-21,26.83,26.83,26.690001,26.690001,400,26.215468
2014-11-24,26.690001,26.690001,26.690001,26.690001,0,26.215468
2014-11-25,26.84,26.879999,26.84,26.879999,800,26.402089
2014-11-26,26.870001,26.870001,26.870001,26.870001,200,26.392268
2014-11-28,26.870001,26.870001,26.870001,26.870001,0,26.392268
2014-12-01,26.42,26.43,26.42,26.43,500,25.96009
2014-12-02,26.6,26.6,26.6,26.6,100,26.127068
2014-12-03,26.6,26.6,26.6,26.6,0,26.127068
2014-12-04,26.76,26.76,26.75,26.75,200,26.274401
2014-12-05,26.84,26.84,26.84,26.84,200,26.362801
2014-12-08,26.84,26.84,26.84,26.84,200,26.362801
2014-12-09,26.84,26.84,26.84,26.84,0,26.362801
2014-12-10,26.49,26.49,26.49,26.49,300,26.019023
2014-12-11,26.57,26.57,26.52,26.52,700,26.04849
2014-12-12,26.219999,26.219999,26.030001,26.030001,200,25.567203
2014-12-15,26.030001,26.030001,26.030001,26.030001,0,25.567203
2014-12-16,25.639999,25.639999,25.639999,25.639999,0,25.184135
2014-12-17,25.92,25.92,25.92,25.92,100,25.459158
2014-12-18,26.540001,26.540001,26.540001,26.540001,300,26.068135
2014-12-19,26.540001,26.540001,26.540001,26.540001,0,26.223262
2014-12-22,26.719999,26.719999,26.66,26.66,400,26.341829
2014-12-23,26.91,26.91,26.91,26.91,100,26.588845
2014-12-24,26.91,26.91,26.91,26.91,0,26.61456
2014-12-26,26.93,26.93,26.93,26.93,0,26.634341
2014-12-29,27.200001,27.200001,27.200001,27.200001,200,26.901377
2014-12-30,27.02,27.02,27.02,27.02,100,26.723353
2014-12-31,26.74,26.74,26.74,26.74,0,26.446426
2015-01-02,26.74,26.74,26.74,26.74,0,26.446426
2015-01-05,26.639999,26.639999,26.639999,26.639999,0,26.347524
2015-01-06,25.91,25.91,25.91,25.91,300,25.625539
2015-01-07,25.98,25.98,25.98,25.98,100,25.69477
2015-01-08,26.379999,26.379999,26.379999,26.379999,100,26.090378
2015-01-09,26.379999,26.379999,26.379999,26.379999,0,26.090378
2015-01-12,26.16,26.16,26.16,26.16,0,25.872794
2015-01-13,25.969999,25.969999,25.969999,25.969999,0,25.684879
2015-01-14,25.93,25.93,25.93,25.93,0,25.64532
2015-01-15,25.780001,25.780001,25.690001,25.690001,600,25.407955
2015-01-16,25.690001,25.690001,25.690001,25.690001,0,25.407955
2015-01-20,25.959999,25.959999,25.959999,25.959999,300,25.674989
2015-01-21,25.780001,26.02,25.73,25.879999,900,25.595867
2015-01-22,25.879999,25.879999,25.879999,25.879999,0,25.595867
2015-01-23,26.379999,26.379999,26.379999,26.379999,0,26.090378
2015-01-26,26.190001,26.190001,26.190001,26.190001,0,25.902465
2015-01-27,26.120001,26.120001,26.040001,26.040001,900,25.754112
2015-01-28,25.77,25.77,25.77,25.77,6000,25.487076
2015-01-29,25.77,25.77,25.77,25.77,0,25.487076
2015-01-30,25.799999,25.85,25.799999,25.85,300,25.566198
2015-02-02,25.83,26,25.83,26,800,25.714551
2015-02-03,26.49,26.49,26.49,26.49,100,26.199171
2015-02-04,26.33,26.49,26.33,26.49,1700,26.199171
2015-02-05,26.629999,26.629999,26.629999,26.629999,300,26.337633
2015-02-06,26.68,26.790001,26.559999,26.559999,2400,26.268402
2015-02-09,26.559999,26.559999,26.559999,26.559999,0,26.268402
2015-02-10,26.6,26.65,26.6,26.65,700,26.357414
2015-02-11,26.65,26.65,26.65,26.65,0,26.357414
2015-02-12,26.58,26.58,26.58,26.58,0,26.288183
2015-02-13,26.879999,26.879999,26.879999,26.879999,0,26.584889
2015-02-17,26.93,26.93,26.93,26.93,100,26.634341
2015-02-18,26.93,26.93,26.93,26.93,0,26.634341
2015-02-19,27.059999,27.059999,27.059999,27.059999,300,26.762913
2015-02-20,27.059999,27.059999,27.059999,27.059999,0,26.762913
2015-02-23,27.15,27.15,27.15,27.15,0,26.851925
2015-02-24,27.07,27.07,27.07,27.07,0,26.772803
2015-02-25,27.23,27.23,27.23,27.23,0,26.931046
2015-02-26,27.25,27.25,27.25,27.25,0,26.950827
2015-02-27,27.17,27.190001,27.17,27.190001,700,26.891486
2015-03-02,27.17,27.17,27.120001,27.120001,500,26.822255
2015-03-03,27.120001,27.120001,27.120001,27.120001,0,26.822255
2015-03-04,27,27,27,27,100,26.703572
2015-03-05,27,27,27,27,0,26.703572
2015-03-06,26.809999,26.809999,26.809999,26.809999,400,26.515657
2015-03-09,26.66,26.68,26.66,26.68,600,26.387085
2015-03-10,26.68,26.68,26.68,26.68,0,26.387085
2015-03-11,26.299999,26.299999,26.299999,26.299999,0,26.011256
2015-03-12,26.35,26.35,26.35,26.35,0,26.060709
2015-03-13,26.700001,26.700001,26.700001,26.700001,500,26.406866
2015-03-16,26.66,26.66,26.66,26.66,500,26.367305
2015-03-17,26.66,26.66,26.66,26.66,0,26.367305
2015-03-18,26.74,26.74,26.74,26.74,0,26.446426
2015-03-19,26.940001,26.940001,26.85,26.85,1700,26.555219
2015-03-20,26.85,26.85,26.85,26.85,0,26.636567
2015-03-23,27.08,27.08,27.08,27.08,0,26.864738
