"Index","open","high","low","close","volume","adjusted"
2006-12-15,25.24,25.280001,25.200001,25.200001,10000,22.379962
2006-12-18,25.18,25.200001,24.879999,24.879999,15100,22.095771
2006-12-19,24.74,24.98,24.74,24.98,3800,22.18458
2006-12-20,24.98,25.09,24.959999,24.99,8900,22.193462
2006-12-21,25,25.01,24.860001,24.9,18100,22.113533
2006-12-22,24.860001,24.959999,24.85,24.950001,800,22.157939
2006-12-26,24.98,25.07,24.959999,25.07,5600,22.264509
2006-12-27,25.200001,25.209999,25.1,25.15,12000,22.335556
2006-12-28,25.18,25.18,25.16,25.16,3000,22.344438
2006-12-29,25.129999,25.16,25.059999,25.07,14200,22.264509
2007-01-03,25.139999,25.16,24.83,24.83,4900,22.051367
2007-01-04,24.9,25.01,24.74,25.01,2800,22.211224
2007-01-05,24.9,24.91,24.780001,24.85,10600,22.069129
2007-01-08,24.879999,24.98,24.84,24.98,11900,22.18458
2007-01-09,25,25,24.709999,24.940001,14200,22.149058
2007-01-10,24.940001,25.01,24.91,25.01,4800,22.211224
2007-01-11,24.98,25.280001,24.969999,25.200001,14300,22.379962
2007-01-12,25.25,25.379999,25.25,25.379999,2700,22.539818
2007-01-16,25.459999,25.49,25.35,25.379999,12900,22.539818
2007-01-17,25.4,25.459999,25.370001,25.370001,9400,22.530938
2007-01-18,25.379999,25.379999,25.23,25.25,25100,22.424366
2007-01-19,25.200001,25.360001,25.190001,25.360001,3100,22.522057
2007-01-22,25.360001,25.360001,25.139999,25.190001,14700,22.371081
2007-01-23,25.290001,25.42,25.280001,25.41,8100,22.566461
2007-01-24,25.469999,25.629999,25.42,25.57,10300,22.708556
2007-01-25,25.6,25.6,25.209999,25.24,17700,22.415485
2007-01-26,25.440001,25.59,25.360001,25.540001,13200,22.681914
2007-01-29,25.540001,25.67,25.540001,25.629999,7700,22.761841
2007-01-30,25.68,25.809999,25.629999,25.809999,33900,22.921698
2007-01-31,25.780001,25.969999,25.68,25.969999,31700,23.063793
2007-02-01,26.040001,26.059999,25.860001,26.02,49800,23.108199
2007-02-02,26.08,26.15,26.049999,26.15,11600,23.22365
2007-02-05,26.110001,26.110001,26,26.040001,9900,23.125961
2007-02-06,26.1,26.23,26.040001,26.23,12100,23.294698
2007-02-07,26.18,26.27,26.15,26.200001,34400,23.268056
2007-02-08,26.209999,26.219999,26.08,26.219999,27300,23.285816
2007-02-09,26.15,26.190001,25.84,25.84,6600,22.948342
2007-02-12,25.959999,25.99,25.92,25.950001,8500,23.046032
2007-02-13,26.17,26.280001,26.17,26.280001,5800,23.339103
2007-02-14,26.41,26.58,26.41,26.5,7300,23.534483
2007-02-15,26.58,26.58,26.5,26.52,70300,23.552246
2007-02-16,26.620001,26.67,26.5,26.67,14600,23.685459
2007-02-20,26.57,26.73,26.549999,26.73,11600,23.738744
2007-02-21,26.690001,26.83,26.66,26.809999,11100,23.809792
