"Index","open","high","low","close","volume","adjusted"
2006-09-21,25,25.049999,24.879999,24.91,27000,14.228503
2006-09-22,24.860001,24.860001,24.709999,24.780001,12800,14.154248
2006-09-25,24.780001,24.93,24.639999,24.92,7100,14.234215
2006-09-26,24.950001,25.040001,24.879999,25.040001,174400,14.302759
2006-09-27,25.08,25.18,25.040001,25.18,74700,14.382726
2006-09-28,25.209999,25.290001,25.120001,25.200001,33500,14.394151
2006-09-29,25.219999,25.219999,25.1,25.110001,57200,14.342743
2006-10-02,25.120001,26,25.049999,25.07,63700,14.319894
2006-10-03,25.030001,25.07,24.940001,24.940001,42900,14.245639
2006-10-04,24.959999,25.15,24.91,25.15,31700,14.36559
2006-10-05,25.200001,25.299999,25.139999,25.27,53400,14.434134
2006-10-06,25.27,25.27,25.129999,25.219999,36000,14.405574
2006-10-09,25.299999,25.33,25.190001,25.33,32100,14.468406
2006-10-10,25.33,25.35,25.27,25.32,29100,14.462694
2006-10-11,25.35,25.360001,25.26,25.26,18300,14.428422
2006-10-12,25.4,25.530001,25.360001,25.530001,17400,14.582645
2006-10-13,25.549999,25.68,25.51,25.66,24800,14.6569
2006-10-16,25.65,25.77,25.65,25.76,24500,14.71402
2006-10-17,25.76,25.76,25.6,25.719999,33100,14.691172
2006-10-18,25.85,25.879999,25.700001,25.75,20800,14.708308
2006-10-19,25.75,25.790001,25.700001,25.780001,21600,14.725445
2006-10-20,25.799999,25.799999,25.6,25.709999,47000,14.68546
2006-10-23,25.700001,25.75,25.68,25.75,17400,14.708308
2006-10-24,25.76,25.809999,25.68,25.809999,27600,14.74258
2006-10-25,25.85,25.99,25.809999,25.99,37800,14.845395
2006-10-26,26.18,26.18,25.969999,26.08,93000,14.896803
2006-10-27,26.120001,26.15,26.01,26.02,59800,14.862532
2006-10-30,26.030001,26.030001,25.91,25.98,38600,14.839683
2006-10-31,26,26.059999,25.93,26.049999,23800,14.879667
2006-11-01,26.049999,26.049999,25.67,25.67,43900,14.662613
2006-11-02,25.700001,25.700001,25.49,25.620001,48200,14.634053
2006-11-03,25.690001,25.75,25.65,25.690001,42700,14.674037
2006-11-06,25.799999,25.99,25.76,25.969999,44700,14.833971
2006-11-07,26.030001,26.07,25.9,25.92,103700,14.805412
2006-11-08,25.91,25.98,25.809999,25.940001,52400,14.816836
2006-11-09,26,26.02,25.870001,25.870001,87800,14.776852
2006-11-10,25.85,25.870001,25.799999,25.870001,20800,14.776852
2006-11-13,26,26,25.780001,25.879999,18500,14.782563
2006-11-14,25.93,26.040001,25.790001,26.040001,22200,14.873956
2006-11-15,26.040001,26.209999,26.040001,26.190001,42600,14.959635
2006-11-16,26.25,26.299999,26.190001,26.219999,34100,14.97677
2006-11-17,26.24,26.24,26.1,26.219999,36200,14.97677
2006-11-20,26.200001,26.299999,26.200001,26.24,22900,14.988194
2006-11-21,26.32,26.35,26.219999,26.35,26500,15.051026
2006-11-22,26.440001,26.440001,26.299999,26.360001,79600,15.056738
2006-11-24,26.4,26.440001,26.299999,26.43,17800,15.096722
2006-11-27,26.42,26.42,26.030001,26.1,34900,14.908227
2006-11-28,26.01,26.209999,26.01,26.209999,18700,14.971058
2006-11-29,26.25,26.469999,26.25,26.459999,23400,15.113857
2006-11-30,26.5,26.6,26.41,26.530001,85600,15.153842
2006-12-01,26.549999,26.6,26.35,26.559999,39500,15.170977
2006-12-04,26.559999,26.74,26.559999,26.74,28500,15.273793
2006-12-05,26.799999,26.83,26.700001,26.82,40100,15.319488
2006-12-06,26.85,26.85,26.719999,26.790001,32800,15.302353
2006-12-07,26.82,26.9,26.700001,26.75,14500,15.279505
2006-12-08,26.65,26.790001,26.639999,26.700001,21400,15.250945
2006-12-11,26.799999,26.83,26.73,26.73,20800,15.26808
2006-12-12,26.799999,26.799999,26.620001,26.73,23900,15.26808
2006-12-13,26.84,26.879999,26.709999,26.76,20900,15.285217
2006-12-14,26.82,26.950001,26.780001,26.950001,28400,15.393744
2006-12-15,27.110001,27.110001,26.91,26.93,51400,15.38232
2006-12-18,27.07,27.07,26.799999,26.85,102100,15.336625
2006-12-19,26.83,26.889999,26.719999,26.85,16600,15.336625
2006-12-20,26.9,26.940001,26.82,26.870001,18100,15.348049
2006-12-21,26.950001,26.950001,26.700001,26.76,36000,15.285217
2006-12-22,26.459999,26.5,26.299999,26.360001,40600,15.262057
2006-12-26,26.35,26.459999,26.35,26.459999,35800,15.319955
2006-12-27,26.43,26.620001,26.43,26.620001,46700,15.412593
2006-12-28,26.65,26.65,26.52,26.57,16300,15.383643
2006-12-29,26.540001,26.540001,26.43,26.43,24300,15.302586
2007-01-03,26.559999,26.59,26.33,26.43,40000,15.302586
2007-01-04,26.34,26.360001,26.26,26.35,31000,15.256267
2007-01-05,26.309999,26.309999,26.01,26.120001,23700,15.123101
2007-01-08,26.139999,26.200001,26.049999,26.18,16100,15.157839
2007-01-09,26.23,26.23,25.98,26.18,70700,15.157839
2007-01-10,26.02,26.190001,26.02,26.18,24200,15.157839
2007-01-11,26.15,26.43,26.15,26.34,17400,15.250477
2007-01-12,26.370001,26.459999,26.35,26.440001,22900,15.308376
2007-01-16,26.48,26.48,26.379999,26.43,33200,15.302586
