"Index","open","high","low","close","volume","adjusted"
2007-04-03,25.43,25.43,25.43,25.43,300,23.774566
2007-04-04,25.41,25.43,25.41,25.43,900,23.774566
2007-04-05,25.450001,25.450001,25.450001,25.450001,200,23.793265
2007-04-09,25.450001,25.450001,25.450001,25.450001,0,23.793265
2007-04-10,25.450001,25.450001,25.450001,25.450001,0,23.793265
2007-04-11,25.450001,25.450001,25.33,25.33,1200,23.681075
2007-04-12,25.33,25.33,25.33,25.33,0,23.681075
2007-04-13,25.459999,25.459999,25.459999,25.459999,1900,23.802612
2007-04-16,25.459999,25.459999,25.459999,25.459999,0,23.802612
2007-04-17,25.799999,25.799999,25.780001,25.780001,700,24.101782
2007-04-18,25.82,25.82,25.82,25.82,300,24.139177
2007-04-19,25.82,25.82,25.82,25.82,0,24.139177
2007-04-20,26.07,26.07,26.07,26.07,100,24.372903
2007-04-23,26.07,26.07,26.07,26.07,0,24.372903
2007-04-24,26.15,26.15,26.15,26.15,200,24.447695
2007-04-25,26.32,26.34,26.32,26.32,5800,24.606629
2007-04-26,26.299999,26.299999,26.299999,26.299999,400,24.58793
2007-04-27,26.24,26.24,26.24,26.24,200,24.531836
2007-04-30,26.309999,26.32,26.309999,26.32,300,24.606629
2007-05-01,26.32,26.32,26.32,26.32,0,24.606629
2007-05-02,26.370001,26.370001,26.33,26.33,200,24.615978
2007-05-03,26.43,26.43,26.43,26.43,200,24.709468
2007-05-04,26.48,26.48,26.48,26.48,400,24.756213
2007-05-07,26.52,26.530001,26.52,26.530001,500,24.802959
2007-05-08,26.459999,26.459999,26.4,26.43,1800,24.709468
2007-05-09,26.549999,26.559999,26.52,26.540001,4700,24.812308
2007-05-10,26.459999,26.5,26.370001,26.370001,4200,24.653375
2007-05-11,26.48,26.5,26.48,26.5,1300,24.774911
2007-05-14,26.5,26.5,26.5,26.5,0,24.774911
2007-05-15,26.639999,26.639999,26.440001,26.440001,200,24.718818
2007-05-16,26.5,26.5,26.469999,26.5,600,24.774911
2007-05-17,26.6,26.6,26.6,26.6,300,24.868402
2007-05-18,26.67,26.67,26.67,26.67,1000,24.933845
2007-05-21,26.889999,26.93,26.889999,26.93,1000,25.17692
2007-05-22,26.860001,26.91,26.84,26.889999,1600,25.139523
2007-05-23,26.870001,26.969999,26.870001,26.969999,700,25.214315
2007-05-24,26.879999,26.879999,26.549999,26.559999,1500,24.831005
2007-05-25,26.559999,26.559999,26.559999,26.559999,0,24.831005
2007-05-29,26.809999,26.83,26.809999,26.83,1000,25.083429
2007-05-30,26.83,26.83,26.83,26.83,0,25.083429
2007-05-31,27.18,27.190001,27.15,27.18,12000,25.410645
2007-06-01,27.299999,27.299999,27.27,27.290001,14000,25.513485
2007-06-04,27.290001,27.290001,27.290001,27.290001,0,25.513485
2007-06-05,27.290001,27.309999,27.25,27.26,1900,25.485437
2007-06-06,27.030001,27.040001,26.98,26.98,3800,25.223664
2007-06-07,26.860001,26.860001,26.52,26.559999,2400,24.831005
2007-06-08,26.709999,26.709999,26.709999,26.709999,100,24.97124
2007-06-11,26.860001,26.93,26.860001,26.889999,2900,25.139523
2007-06-12,26.66,26.66,26.66,26.66,100,24.924495
2007-06-13,26.809999,26.85,26.809999,26.85,1900,25.102127
2007-06-14,27.18,27.18,27.18,27.18,1500,25.410645
2007-06-15,27.4,27.440001,27.309999,27.309999,19200,25.532182
2007-06-18,27.309999,27.309999,27.309999,27.309999,500,25.532182
2007-06-19,27.15,27.299999,27.15,27.299999,1500,25.522832
2007-06-20,27.379999,27.379999,27.379999,27.379999,400,25.597624
2007-06-21,27.139999,27.139999,27.139999,27.139999,200,25.373248
2007-06-22,26.98,26.98,26.98,26.98,400,25.223664
2007-06-25,26.98,26.98,26.98,26.98,0,25.223664
2007-06-26,26.860001,26.860001,26.860001,26.860001,500,25.111477
2007-06-27,26.9,26.9,26.9,26.9,1700,25.148872
2007-06-28,27.059999,27.059999,27.059999,27.059999,100,25.298456
2007-06-29,27.059999,27.059999,27.059999,27.059999,0,25.298456
2007-07-02,27.059999,27.059999,27.059999,27.059999,0,25.298456
2007-07-03,27.450001,27.450001,27.450001,27.450001,300,25.663069
2007-07-05,27.389999,27.389999,27.389999,27.389999,100,25.606974
2007-07-06,27.450001,27.51,27.450001,27.51,2400,25.719163
2007-07-09,27.6,27.67,27.540001,27.67,5000,25.868747
2007-07-10,27.530001,27.530001,27.309999,27.309999,2200,25.532182
2007-07-11,27.42,27.42,27.42,27.42,900,25.635021
2007-07-12,27.65,27.75,27.639999,27.75,900,25.943539
2007-07-13,27.790001,27.790001,27.790001,27.790001,100,25.980936
2007-07-16,27.75,27.75,27.75,27.75,100,25.943539
2007-07-17,27.85,27.85,27.85,27.85,100,26.03703
2007-07-18,27.610001,27.610001,27.610001,27.610001,3000,25.812653
2007-07-19,27.68,27.68,27.68,27.68,100,25.878096
2007-07-20,27.42,27.42,27.42,27.42,100,25.635021
2007-07-23,27.42,27.42,27.42,27.42,0,25.635021
2007-07-24,26.969999,26.969999,26.969999,26.969999,100,25.214315
2007-07-25,27.129999,27.129999,26.780001,26.84,6000,25.092778
2007-07-26,26.549999,26.549999,26.08,26.190001,23700,24.485092
2007-07-27,26.15,26.15,25.780001,25.780001,1800,24.101782
2007-07-30,25.809999,25.940001,25.66,25.940001,22800,24.251366
2007-07-31,26.26,26.299999,25.77,25.77,2000,24.092433
2007-08-01,25.690001,25.690001,25.690001,25.690001,100,24.017641
2007-08-02,25.84,25.950001,25.77,25.85,400,24.167225
2007-08-03,25.73,25.74,25.73,25.74,300,24.064385
2007-08-06,25.1,25.43,25.030001,25.35,12900,23.699774
2007-08-07,25.540001,25.540001,25.540001,25.540001,2000,23.877406
2007-08-08,25.700001,25.700001,25.469999,25.469999,10100,23.811961
2007-08-09,24.75,24.75,24.75,24.75,100,23.138832
2007-08-10,25.049999,25.049999,25.049999,25.049999,4000,23.419302
2007-08-13,25.559999,25.559999,25.559999,25.559999,1400,23.896103
2007-08-14,25.48,25.48,25.01,25.01,1500,23.381907
2007-08-15,24.799999,24.799999,24.799999,24.799999,600,23.185577
2007-08-16,24.799999,24.799999,24.799999,24.799999,0,23.185577
2007-08-17,24.549999,24.549999,24.549999,24.549999,100,22.951851
2007-08-20,24.549999,24.549999,24.549999,24.549999,0,22.951851
2007-08-21,24.91,24.91,24.91,24.91,100,23.288416
2007-08-22,25.219999,25.25,25.219999,25.24,7400,23.596934
2007-08-23,25.42,25.42,25.33,25.33,7100,23.681075
