"Index","open","high","low","close","volume","adjusted"
2006-12-15,25.129999,25.129999,25.09,25.120001,4100,20.41733
2006-12-18,25.1,25.15,25.09,25.09,4800,20.392946
2006-12-19,24.950001,25.030001,24.93,25.030001,2300,20.344178
2006-12-20,25.1,25.15,25.08,25.08,98500,20.384817
2006-12-21,25.219999,25.219999,24.99,24.99,57900,20.311666
2006-12-22,24.969999,24.969999,24.809999,24.879999,20200,20.227114
2006-12-26,24.879999,24.98,24.879999,24.98,4400,20.308413
2006-12-27,25.059999,25.139999,25.040001,25.139999,59700,20.43849
2006-12-28,25.219999,25.219999,25.120001,25.15,18800,20.44662
2006-12-29,25.15,25.18,25.09,25.09,8200,20.397842
2007-01-03,25.200001,25.27,25.049999,25.129999,52200,20.43036
2007-01-04,25.17,25.17,24.98,25.07,42800,20.381582
2007-01-05,24.92,24.92,24.83,24.83,4900,20.186465
2007-01-08,24.790001,24.85,24.75,24.83,11400,20.186465
2007-01-09,24.93,24.950001,24.780001,24.940001,5800,20.275894
2007-01-10,24.809999,25.030001,24.809999,25.030001,7000,20.349063
2007-01-11,25.08,25.280001,25.08,25.25,9500,20.527919
2007-01-12,25.280001,25.370001,25.280001,25.35,7300,20.609218
2007-01-16,25.43,25.43,25.360001,25.379999,19300,20.633607
2007-01-17,25.32,25.41,25.280001,25.379999,10100,20.633607
2007-01-18,25.41,25.450001,25.360001,25.360001,9400,20.617349
2007-01-19,25.42,25.469999,25.370001,25.450001,9800,20.690517
2007-01-22,25.469999,25.469999,25.32,25.32,5800,20.584828
2007-01-23,25.4,25.59,25.4,25.57,11300,20.788075
2007-01-24,25.620001,25.73,25.6,25.73,9900,20.918153
2007-01-25,25.75,25.77,25.620001,25.629999,40700,20.836854
2007-01-26,25.610001,25.700001,25.57,25.690001,10700,20.885634
2007-01-29,25.709999,25.77,25.65,25.690001,7300,20.885634
2007-01-30,25.700001,25.77,25.68,25.77,21700,20.950673
2007-01-31,25.780001,25.940001,25.74,25.93,23300,21.080751
2007-02-01,25.99,26.09,25.959999,26.049999,23500,21.178308
2007-02-02,26.139999,26.139999,26.09,26.139999,14800,21.251477
2007-02-05,26.139999,26.15,26.040001,26.15,36000,21.259607
2007-02-06,26.190001,26.280001,26.15,26.280001,28600,21.365297
2007-02-07,26.299999,26.379999,26.26,26.34,19600,21.414075
2007-02-08,26.309999,26.309999,26.219999,26.25,9400,21.340906
2007-02-09,26.33,26.33,25.950001,26.1,27800,21.218959
2007-02-12,26.15,26.15,25.93,25.959999,9400,21.105139
2007-02-13,26,26.25,26,26.25,14400,21.340906
2007-02-14,26.299999,26.42,26.299999,26.379999,22600,21.446594
2007-02-15,26.43,26.5,26.41,26.5,8800,21.544153
2007-02-16,26.5,26.52,26.42,26.52,16200,21.560413
2007-02-20,26.440001,26.59,26.41,26.59,12200,21.617322
2007-02-21,26.51,26.540001,26.49,26.52,6000,21.560413
2007-02-22,26.57,26.57,26.4,26.450001,12400,21.503504
2007-02-23,26.440001,26.440001,26.309999,26.35,5900,21.422205
2007-02-26,26.459999,26.459999,26.25,26.33,12600,21.405945
