"Index","open","high","low","close","volume","adjusted"
2016-07-05,25.98,25.98,25.98,25.98,1500,25.874828
2016-07-06,25.98,25.98,25.98,25.98,0,25.874828
2016-07-07,25.98,25.98,25.98,25.98,0,25.874828
2016-07-08,25.98,25.98,25.98,25.98,100,25.874828
2016-07-11,25.98,25.98,25.98,25.98,0,25.874828
2016-07-12,25.98,25.98,25.98,25.98,5000,25.874828
2016-07-13,27.15,27.15,27.15,27.15,3000,27.040092
2016-07-14,27.15,27.15,27.15,27.15,0,27.040092
2016-07-15,27.4,27.4,27.4,27.4,100,27.28908
2016-07-18,27.379999,27.379999,27.379999,27.379999,100,27.26916
2016-07-19,27.379999,27.379999,27.379999,27.379999,0,27.26916
2016-07-20,27.379999,27.379999,27.379999,27.379999,0,27.26916
2016-07-21,27.379999,27.379999,27.379999,27.379999,0,27.26916
2016-07-22,27.379999,27.379999,27.379999,27.379999,0,27.26916
2016-07-25,27.379999,27.379999,27.379999,27.379999,0,27.26916
2016-07-26,27.540001,27.540001,27.540001,27.540001,500,27.428514
2016-07-27,27.559999,27.559999,27.559999,27.559999,200,27.448432
2016-07-28,27.559999,27.559999,27.559999,27.559999,0,27.448432
2016-07-29,27.559999,27.559999,27.559999,27.559999,0,27.448432
2016-08-01,27.559999,27.559999,27.559999,27.559999,0,27.448432
2016-08-02,27.139999,27.139999,27.139999,27.139999,300,27.030132
2016-08-03,27.139999,27.139999,27.139999,27.139999,0,27.030132
2016-08-04,27.139999,27.139999,27.139999,27.139999,0,27.030132
2016-08-05,27.559999,27.559999,27.552999,27.552999,3100,27.44146
2016-08-08,27.620001,27.620001,27.527,27.527,800,27.415566
2016-08-09,27.527,27.527,27.527,27.527,0,27.415566
2016-08-10,27.610001,27.610001,27.469999,27.469999,700,27.358796
2016-08-11,27.469999,27.469999,27.469999,27.469999,0,27.358796
2016-08-12,27.469999,27.469999,27.469999,27.469999,0,27.358796
2016-08-15,27.709999,27.709999,27.709999,27.709999,600,27.597824
2016-08-16,27.709999,27.709999,27.709999,27.709999,0,27.597824
2016-08-17,27.709999,27.709999,27.709999,27.709999,0,27.597824
2016-08-18,27.709999,27.709999,27.709999,27.709999,0,27.597824
2016-08-19,27.709999,27.709999,27.709999,27.709999,0,27.597824
2016-08-22,27.709999,27.709999,27.709999,27.709999,0,27.597824
2016-08-23,27.709999,27.709999,27.709999,27.709999,0,27.597824
2016-08-24,27.99,27.99,27.709999,27.709999,3400,27.597824
2016-08-25,27.709999,27.709999,27.709999,27.709999,0,27.597824
2016-08-26,27.709999,27.709999,27.709999,27.709999,0,27.597824
2016-08-29,27.85,27.85,27.85,27.85,600,27.737259
2016-08-30,27.879999,27.879999,27.858999,27.858999,900,27.746221
2016-08-31,27.858999,27.858999,27.858999,27.858999,0,27.746221
2016-09-01,27.74,27.74,27.74,27.74,300,27.627704
2016-09-02,27.93,27.93,27.93,27.93,1300,27.816935
2016-09-06,28.02,28.02,28.02,28.02,700,27.906571
2016-09-07,28.049999,28.049999,28.049999,28.049999,500,27.936448
2016-09-08,28.049999,28.049999,28.049999,28.049999,0,27.936448
2016-09-09,27.799999,27.799999,27.73,27.73,1400,27.617744
2016-09-12,27.73,27.73,27.73,27.73,0,27.617744
2016-09-13,27.73,27.73,27.73,27.73,0,27.617744
2016-09-14,27.190001,27.190001,27.190001,27.190001,900,27.079931
2016-09-15,27.42,27.42,27.42,27.42,100,27.308999
2016-09-16,27.42,27.42,27.42,27.42,0,27.308999
2016-09-19,27.42,27.42,27.42,27.42,0,27.308999
2016-09-20,27.42,27.42,27.42,27.42,0,27.308999
2016-09-21,27.42,27.42,27.42,27.42,0,27.42
2016-09-22,27.42,27.42,27.42,27.42,0,27.42
2016-09-23,27.42,27.42,27.42,27.42,0,27.42
2016-09-26,27.42,27.42,27.42,27.42,0,27.42
2016-09-27,27.700001,27.700001,27.700001,27.700001,200,27.700001
2016-09-28,27.889999,27.889999,27.889999,27.889999,100,27.889999
2016-09-29,27.85,27.85,27.799999,27.799999,400,27.799999
2016-09-30,27.843,27.91,27.843,27.9,5600,27.9
