"Index","open","high","low","close","volume","adjusted"
2015-12-18,24.360001,24.360001,24.360001,24.360001,600,24.191171
2015-12-21,24.360001,24.360001,24.360001,24.360001,0,24.191171
2015-12-22,24.360001,24.360001,24.360001,24.360001,0,24.191171
2015-12-23,24.360001,24.360001,24.360001,24.360001,0,24.191171
2015-12-24,24.889999,24.889999,24.889999,24.889999,800,24.717497
2015-12-28,24.742001,24.969999,24.742001,24.969999,700,24.796942
2015-12-29,24.969999,24.969999,24.969999,24.969999,0,24.796942
2015-12-30,24.969999,24.969999,24.969999,24.969999,0,24.796942
2015-12-31,24.969999,24.969999,24.969999,24.969999,0,24.796942
2016-01-04,24.35,24.35,24.290001,24.290001,1600,24.121657
2016-01-05,24.290001,24.290001,24.290001,24.290001,0,24.121657
2016-01-06,24.290001,24.290001,24.290001,24.290001,0,24.121657
2016-01-07,23.9,23.9,23.9,23.9,200,23.734359
2016-01-08,23.73,23.860001,23.540001,23.549999,10200,23.386784
2016-01-11,23.370001,23.558001,23.280001,23.299999,2100,23.138517
2016-01-12,23.629999,23.66,23.42,23.66,1100,23.496022
2016-01-13,23.489,23.489,23.42,23.42,700,23.257686
2016-01-14,23.049999,23.48,23.049999,23.32,3400,23.158378
2016-01-15,23.32,23.32,23.32,23.32,0,23.158378
2016-01-19,23.32,23.32,23.32,23.32,0,23.158378
2016-01-20,23.32,23.32,23.32,23.32,0,23.158378
2016-01-21,23.32,23.32,23.32,23.32,0,23.158378
2016-01-22,23.32,23.32,23.32,23.32,0,23.158378
2016-01-25,23.32,23.32,23.32,23.32,0,23.158378
2016-01-26,23.32,23.32,23.32,23.32,0,23.158378
2016-01-27,23.32,23.32,23.32,23.32,0,23.158378
2016-01-28,23.32,23.32,23.32,23.32,0,23.158378
2016-01-29,23.299999,23.583,23.299999,23.4,6800,23.237824
2016-02-01,23.4,23.4,23.4,23.4,0,23.237824
2016-02-02,23.379999,23.379999,23.16,23.33,20000,23.168309
2016-02-03,23.33,23.33,23.33,23.33,0,23.168309
2016-02-04,23.33,23.33,23.33,23.33,0,23.168309
2016-02-05,23.33,23.33,23.33,23.33,0,23.168309
2016-02-08,23.33,23.33,23.33,23.33,0,23.168309
2016-02-09,22.836,22.836,22.836,22.836,500,22.677733
2016-02-10,22.836,22.836,22.836,22.836,0,22.677733
2016-02-11,22.836,22.836,22.836,22.836,0,22.677733
2016-02-12,22.836,22.836,22.836,22.836,0,22.677733
2016-02-16,22.836,22.836,22.836,22.836,0,22.677733
2016-02-17,22.836,22.836,22.836,22.836,0,22.677733
2016-02-18,22.836,22.836,22.836,22.836,0,22.677733
2016-02-19,22.836,22.836,22.836,22.836,0,22.677733
2016-02-22,23.92,23.92,22.82,23.82,3600,23.654913
2016-02-23,23.860001,24.059999,23.860001,23.959999,16300,23.793942
2016-02-24,23.959999,23.959999,23.959999,23.959999,0,23.793942
2016-02-25,23.959999,23.959999,23.959999,23.959999,0,23.793942
2016-02-26,23.959999,23.959999,23.959999,23.959999,0,23.793942
2016-02-29,24.26,24.280001,24.26,24.280001,2900,24.111726
2016-03-01,24.190001,24.49,24.190001,24.459999,10700,24.290477
2016-03-02,24.4,24.51,24.4,24.51,600,24.340131
2016-03-03,24.51,24.700001,24.51,24.700001,2000,24.528815
2016-03-04,24.719999,24.780001,24.709999,24.709999,300,24.538744
2016-03-07,24.700001,24.790001,24.700001,24.780001,300,24.608261
2016-03-08,24.629999,24.74,24.610001,24.74,3100,24.568537
2016-03-09,24.74,24.74,24.74,24.74,0,24.568537
2016-03-10,24.74,24.74,24.74,24.74,0,24.568537
2016-03-11,24.74,24.74,24.74,24.74,0,24.568537
2016-03-14,25.059999,25.059999,25.059999,25.059999,500,24.886319
2016-03-15,25.059999,25.059999,25.059999,25.059999,0,24.886319
2016-03-16,25.059999,25.059999,25.059999,25.059999,0,24.886319
2016-03-17,25.059999,25.059999,25.059999,25.059999,0,24.886319
2016-03-18,25.059999,25.059999,25.059999,25.059999,0,24.886319
2016-03-21,25.48,25.48,25.48,25.48,500,25.303408
2016-03-22,25.24,25.27,25.23,25.27,1800,25.094864
2016-03-23,25.27,25.27,25.27,25.27,0,25.094864
2016-03-24,25.27,25.27,25.27,25.27,0,25.094864
