"Index","open","high","low","close","volume","adjusted"
2014-06-12,24.799999,24.83,24.65,24.68,36900,23.531072
2014-06-13,24.73,24.77,24.73,24.75,2800,23.597813
2014-06-16,24.799999,24.85,24.799999,24.82,4100,23.664554
2014-06-17,24.85,24.92,24.799999,24.889999,22900,23.731295
2014-06-18,24.9,25.1,24.879999,25.1,10500,23.93152
2014-06-19,25.139999,25.16,25.08,25.15,30400,23.979191
2014-06-20,25.219999,25.219999,25.1,25.15,21300,23.979191
2014-06-23,25.139999,25.16,25.051001,25.07,31600,23.902916
2014-06-24,25.09,25.16,24.940001,24.959,21700,23.797083
2014-06-25,24.91,25.040001,24.91,25.034,9600,23.868592
2014-06-26,24.931999,24.950001,24.93,24.93,1200,23.769434
2014-06-27,25.045,25.07,25.044001,25.07,3800,23.902916
2014-06-30,25.049999,25.129999,25.018,25.030001,9800,23.864779
2014-07-01,25.08,25.27,25.08,25.23,3100,24.055467
2014-07-02,25.204,25.204,25.18,25.18,4700,24.007795
2014-07-03,25.23,25.290001,25.23,25.26,4400,24.084071
2014-07-07,25.25,25.25,25.173,25.25,36900,24.074536
2014-07-08,25.190001,25.190001,25.120001,25.143999,41400,23.97347
2014-07-09,25.18,25.209999,25.156,25.209999,19100,24.036398
2014-07-10,25.049999,25.15,25,25.120001,4100,23.950589
2014-07-11,25.02,25.09,25.02,25.09,4200,23.921985
2014-07-14,25.129999,25.23,25.129999,25.190001,30200,24.01733
2014-07-15,25.15,25.15,25.079,25.129999,14100,23.960122
2014-07-16,25.290001,25.290001,25.15,25.219999,5500,24.045932
2014-07-17,25.218,25.24,25,25,41700,23.836175
2014-07-18,25.049999,25.23,25.049999,25.18,34600,24.007795
2014-07-21,25.219999,25.219999,25.09,25.09,13800,23.921985
2014-07-22,25.219999,25.24,25.209999,25.218,19700,24.044026
2014-07-23,25.200001,25.200001,25.18,25.200001,2500,24.026865
2014-07-24,25.200001,25.200001,25.17,25.17,6500,23.998261
2014-07-25,25.120001,25.129999,25.02,25.030001,25300,23.864779
2014-07-28,25.02,25.07,24.950001,25.049999,44600,23.883846
2014-07-29,25.09,25.1,24.940001,24.940001,12500,23.778968
2014-07-30,24.98,24.99,24.809999,24.879,21000,23.720807
2014-07-31,24.780001,24.780001,24.41,24.438999,13500,23.30129
2014-08-01,24.379999,24.479,24.316999,24.41,19400,23.273641
2014-08-04,24.4,24.58,24.299999,24.58,18100,23.435727
2014-08-05,24.52,24.52,24.299999,24.360001,14900,23.225969
2014-08-06,24.24,24.360001,24.200001,24.336,6600,23.203086
2014-08-07,24.360001,24.440001,24.209999,24.24,27600,23.111555
2014-08-08,24.309999,24.530001,24.278,24.530001,10200,23.388055
2014-08-11,24.610001,24.700001,24.610001,24.629999,7900,23.483398
2014-08-12,24.59,24.610001,24.523001,24.610001,14500,23.464331
2014-08-13,24.620001,24.77,24.620001,24.75,12300,23.597813
2014-08-14,24.76,24.85,24.76,24.839001,19800,23.68267
2014-08-15,24.9,24.950001,24.700001,24.83,23600,23.674089
2014-08-18,25.02,25.049999,24.969999,25.040001,9000,23.874313
2014-08-19,25.059999,25.219999,25.059999,25.200001,15900,24.026865
2014-08-20,25.200001,25.306999,25.18,25.299999,25400,24.122208
2014-08-21,25.299999,25.4,25.299999,25.35,82000,24.169881
