"Index","open","high","low","close","volume","adjusted"
2006-06-16,50.080002,50.189999,49.93,50.029999,11000,34.111816
2006-06-19,50.18,50.18,49.580002,49.77,8200,33.934542
2006-06-20,49.869999,49.869999,49.860001,49.860001,1300,33.995907
2006-06-21,49.779999,50.150002,49.779999,50,7700,34.091362
2006-06-22,49.869999,49.869999,49.700001,49.700001,3300,33.886815
2006-06-23,49.700001,49.84,49.57,49.68,9000,33.873178
2006-06-26,49.84,49.959999,49.830002,49.959999,3300,34.064089
2006-06-27,49.869999,49.869999,49.650002,49.650002,3600,33.852724
2006-06-28,49.849998,49.950001,49.720001,49.950001,2600,34.057272
2006-06-29,50.299999,50.810001,50.209999,50.810001,3300,34.643643
2006-06-30,51,51,50.91,50.939999,3200,34.732279
2006-07-03,51.049999,51.290001,51,51.290001,6000,34.97092
2006-07-05,51.150002,51.189999,50.939999,51.07,72300,34.820917
2006-07-06,51.009998,51.470001,51.009998,51.290001,5600,34.97092
2006-07-07,51.48,51.580002,51.439999,51.459999,6400,35.08683
2006-07-10,51.349998,51.669998,51.349998,51.5,17200,35.114103
2006-07-11,51.41,51.59,51.240002,51.59,6600,35.175468
2006-07-12,51.57,51.66,51.099998,51.16,10900,34.882282
2006-07-13,51.02,51.02,50.66,50.720001,8300,34.582279
2006-07-14,50.419998,50.490002,50.150002,50.389999,67600,34.357275
2006-07-17,50.290001,50.439999,50.139999,50.43,2700,34.384548
2006-07-18,50.48,50.48,50.360001,50.470001,3100,34.411822
2006-07-19,51.400002,51.630001,51.400002,51.619999,9700,35.195922
2006-07-20,51.639999,51.779999,51.470001,51.470001,8300,35.093649
2006-07-21,51.509998,51.509998,51.27,51.32,2300,34.991374
2006-07-24,51.549999,52.029999,51.52,52.009998,16000,35.461834
2006-07-25,52.099998,52.41,52.029999,52.41,3400,35.734566
2006-07-26,52.349998,52.639999,52.34,52.599998,6700,35.864112
2006-07-27,52.75,52.790001,52.299999,52.360001,10200,35.700475
2006-07-28,52.470001,53.139999,52.400002,53.080002,12900,36.191392
2006-07-31,52.959999,52.959999,52.75,52.880001,7300,36.055026
2006-08-01,52.540001,52.799999,52.540001,52.799999,12200,36.000478
2006-08-02,52.75,53.049999,52.75,52.950001,8500,36.102753
2006-08-03,52.860001,53.130001,52.860001,53.130001,1800,36.225482
2006-08-04,53.27,53.509998,53.130001,53.209999,36300,36.280027
2006-08-07,53.169998,53.169998,52.900002,52.900002,6100,36.068662
2006-08-08,53.110001,53.150002,52.82,52.82,6200,36.014115
2006-08-09,52.950001,53.220001,52.52,52.52,5900,35.809567
2006-08-10,52.360001,52.700001,52.32,52.68,9500,35.91866
2006-08-11,52.599998,52.599998,52.259998,52.450001,25000,35.76184
2006-08-14,52.68,52.950001,52.529999,52.540001,13700,35.823204
2006-08-15,53.139999,53.200001,52.98,53.200001,19700,36.27321
2006-08-16,53.32,53.43,53.279999,53.380001,12800,36.395939
2006-08-17,53.34,53.450001,53.25,53.380001,13600,36.395939
2006-08-18,53.5,53.66,53.400002,53.66,9000,36.58685
2006-08-21,53.549999,53.619999,53.509998,53.560001,14000,36.518668
2006-08-22,53.560001,53.720001,53.5,53.689999,11900,36.607304
2006-08-23,53.700001,53.73,53.400002,53.48,11400,36.464121
2006-08-24,53.669998,53.669998,53.52,53.66,3900,36.58685
2006-08-25,53.560001,53.639999,53.52,53.610001,11400,36.552759
2006-08-28,53.400002,53.970001,53.400002,53.91,44000,36.757307
2006-08-29,53.860001,53.98,53.689999,53.98,14300,36.805034
2006-08-30,54.049999,54.110001,53.990002,54.049999,63200,36.852762
2006-08-31,54.119999,54.119999,53.98,54.009998,18700,36.825488
2006-09-01,54,54.18,54,54.150002,20900,36.920946
2006-09-05,54.18,54.279999,54.119999,54.220001,35500,36.968674
2006-09-06,54.080002,54.150002,53.970001,54,48600,36.818671
2006-09-07,54,54,53.689999,53.700001,23800,36.614124
2006-09-08,53.779999,53.919998,53.59,53.91,81400,36.757307
2006-09-11,53.849998,53.91,53.73,53.900002,13200,36.75049
2006-09-12,54.099998,54.380001,53.959999,54.369999,26200,37.070947
2006-09-13,54.349998,54.57,54.27,54.57,26900,37.207313
2006-09-14,54.549999,54.560001,54.419998,54.560001,45800,37.200496
2006-09-15,54.75,54.77,54.549999,54.59,21500,37.22095
2006-09-18,54.5,54.599998,54.41,54.490002,16400,37.152768
2006-09-19,54.450001,54.549999,54.290001,54.549999,28400,37.193676
2006-09-20,54.700001,54.880001,54.700001,54.84,22000,37.391406
2006-09-21,54.900002,54.919998,54.459999,54.610001,28200,37.234586
2006-09-22,54.610001,54.669998,54.5,54.669998,20300,37.275494
2006-09-25,54.919998,55.080002,54.560001,54.970001,29600,37.480045
2006-09-26,55,55.130001,54.830002,55.130001,28000,37.589137
2006-09-27,55.150002,55.299999,55.049999,55.16,82500,37.609591
2006-09-28,55.299999,55.299999,55.02,55.240002,25200,37.664138
2006-09-29,55.25,55.27,55.009998,55.009998,25600,37.507316
2006-10-02,55.130001,55.200001,54.91,55,16300,37.500499
2006-10-03,55,55.400002,55,55.209999,15200,37.643682
2006-10-04,55,55.439999,54.950001,55.400002,270400,37.96923
2006-10-05,55.400002,55.5,55.25,55.419998,9200,37.982935
2006-10-06,55.200001,55.32,55.099998,55.189999,15600,37.825301
2006-10-09,55.200001,55.360001,55.009998,55.360001,17700,37.941815
2006-10-10,55.400002,55.5,55.18,55.380001,31400,37.955522
2006-10-11,55.299999,55.459999,55.150002,55.389999,25000,37.962375
2006-10-12,55.5,55.740002,55.48,55.709999,46300,38.181691
2006-10-13,55.75,55.869999,55.540001,55.869999,38100,38.29135
2006-10-16,55.849998,55.860001,55.540001,55.75,20000,38.209107
2006-10-17,55.529999,55.720001,55.43,55.66,19600,38.147424
2006-10-18,55.950001,55.950001,55.650002,55.849998,11900,38.277642
2006-10-19,55.900002,55.900002,55.740002,55.889999,26400,38.305057
2006-10-20,56,56.060001,55.759998,56.060001,15900,38.421571
2006-10-23,56.080002,56.380001,55.900002,56.380001,21600,38.640887
2006-10-24,56.18,56.310001,56.02,56.310001,22300,38.592912
2006-10-25,56.380001,56.66,56.279999,56.619999,86500,38.805374
2006-10-26,56.700001,56.700001,56.41,56.669998,14200,38.839641
2006-10-27,56.599998,56.599998,56.25,56.360001,50900,38.62718
2006-10-30,56.400002,56.400002,56.130001,56.259998,12400,38.558642
2006-10-31,56.450001,56.450001,56.07,56.16,21700,38.490106
2006-11-01,56.450001,56.450001,55.93,56,11000,38.380448
2006-11-02,56,56.040001,55.689999,55.849998,23000,38.277642
2006-11-03,55.98,55.98,55.580002,55.650002,22700,38.140571
2006-11-06,55.900002,56.290001,55.75,56.240002,41500,38.544937
2006-11-07,56.299999,56.450001,56.240002,56.27,21700,38.565497
2006-11-08,56.150002,56.470001,56.119999,56.380001,20300,38.640887
2006-11-09,56.450001,56.450001,55.880001,55.880001,16100,38.298205
2006-11-10,56.049999,56.049999,55.759998,55.869999,27600,38.29135
2006-11-13,55.950001,56.23,55.919998,56.099998,24300,38.448983
2006-11-14,56.18,56.380001,55.799999,56.330002,22000,38.60662
2006-11-15,56.400002,56.400002,56.200001,56.369999,36100,38.634032
2006-11-16,56.5,56.689999,56.389999,56.610001,28200,38.798521
