"Index","open","high","low","close","volume","adjusted"
2015-05-12,24.129999,24.209999,24.07,24.209999,150400,23.99034
2015-05-13,24.33,24.33,24.24,24.25,10200,24.029978
2015-05-14,24.35,24.51,24.35,24.51,4300,24.287619
2015-05-15,24.459999,24.51,24.459999,24.51,4200,24.287619
2015-05-18,24.530001,24.639,24.5,24.620001,5100,24.396622
2015-05-19,24.620001,24.629999,24.6,24.6,5500,24.376803
2015-05-20,24.58,24.620001,24.559999,24.559999,12600,24.337165
2015-05-21,24.6,24.732,24.6,24.700001,13200,24.475896
2015-05-22,24.6,24.620001,24.6,24.620001,4400,24.396622
2015-05-26,24.530001,24.530001,24.26,24.26,3700,24.039887
2015-05-27,24.440001,24.549999,24.440001,24.549999,5000,24.327255
2015-05-28,24.540001,24.540001,24.459999,24.530001,6200,24.307438
2015-05-29,24.459999,24.459999,24.370001,24.389999,5500,24.168707
2015-06-01,24.4,24.48,24.4,24.43,5000,24.208345
2015-06-02,24.35,24.469999,24.35,24.41,4300,24.188526
2015-06-03,24.51,24.51,24.459999,24.48,4600,24.257891
2015-06-04,24.379999,24.379999,24.25,24.25,4800,24.029978
2015-06-05,24.23,24.23,24.209999,24.219999,4500,24.000249
2015-06-08,24.17,24.17,24.09,24.09,4400,23.87143
2015-06-09,24.02,24.139999,24.02,24.049999,5200,23.831792
2015-06-10,24.290001,24.379999,24.290001,24.379999,5000,24.158798
2015-06-11,24.469999,24.469999,24.389999,24.389999,4700,24.168707
2015-06-12,24.290001,24.33,24.25,24.25,3200,24.029978
2015-06-15,24.07,24.18,24.07,24.17,5300,23.950704
2015-06-16,24.200001,24.26,24.17,24.26,4500,24.039887
2015-06-17,24.33,24.33,24.209999,24.309999,5300,24.089433
2015-06-18,24.48,24.59,24.48,24.57,5000,24.347074
2015-06-19,24.530001,24.530001,24.440001,24.450001,4300,24.228164
2015-06-22,24.6,24.629999,24.559999,24.58,6000,24.356984
2015-06-23,24.67,24.67,24.6,24.639999,5000,24.416439
2015-06-24,24.57,24.57,24.459999,24.459999,4900,24.238072
2015-06-25,24.440001,24.48,24.34,24.370001,5100,24.14889
2015-06-26,24.41,24.41,24.290001,24.33,4600,24.109252
2015-06-29,24.200001,24.200001,23.802,23.860001,4900,23.643517
2015-06-30,23.940001,23.940001,23.85,23.93,4600,23.712882
2015-07-01,24.110001,24.110001,23.98,24.040001,3400,23.821884
2015-07-02,24.09,24.1,23.99,23.99,22300,23.772337
2015-07-06,23.92,23.99,23.860001,23.950001,3200,23.732701
2015-07-07,23.82,23.82,23.638,23.719999,11200,23.504786
2015-07-08,23.84,23.84,23.68,23.68,9000,23.46515
2015-07-09,23.93,23.93,23.75,23.809999,6100,23.593969
2015-07-10,24.01,24.1,23.99,24.09,7500,23.87143
2015-07-13,24.18,24.35,24.18,24.35,5300,24.129071
2015-07-14,24.370001,24.48,24.370001,24.48,6600,24.257891
2015-07-15,24.48,24.48,24.459999,24.459999,6500,24.238072
2015-07-16,24.559999,24.610001,24.549999,24.610001,11500,24.386712
2015-07-17,24.629999,24.700001,24.620001,24.700001,7500,24.475896
2015-07-20,24.691999,24.742001,24.67,24.67,5900,24.446167
2015-07-21,24.68,24.68,24.59,24.610001,8400,24.386712
2015-07-22,24.57,24.57,24.500999,24.51,7600,24.287619
2015-07-23,24.530001,24.530001,24.41,24.41,8000,24.188526
2015-07-24,24.4,24.4,24.17,24.17,8500,23.950704
2015-07-27,24.02,24.02,23.969999,23.969999,4100,23.752518
2015-07-28,24.040001,24.280001,24.040001,24.280001,6400,24.059706
2015-07-29,24.43,24.48,24.42,24.48,5500,24.257891
2015-07-30,24.389999,24.469999,24.389999,24.469999,3600,24.247981
2015-07-31,24.469999,24.48,24.43,24.43,6100,24.208345
2015-08-03,24.379999,24.379999,24.35,24.360001,4300,24.13898
2015-08-04,24.4,24.4,24.34,24.34,43600,24.119161
2015-08-05,24.49,24.49,24.406,24.42,5700,24.198435
2015-08-06,24.309999,24.309999,24.200001,24.219999,7000,24.000249
2015-08-07,24.17,24.17,24.049999,24.139999,6100,23.920975
2015-08-10,24.389999,24.440001,24.389999,24.43,5500,24.208345
2015-08-11,24.280001,24.280001,24.15,24.23,5000,24.010159
2015-08-12,23.950001,24.233999,23.950001,24.233999,5000,24.014122
2015-08-13,24.219999,24.299999,24.190001,24.24,4100,24.020068
2015-08-14,24.280001,24.299999,24.219999,24.299999,6600,24.079523
2015-08-17,24.209999,24.440001,24.209999,24.440001,7900,24.218254
2015-08-18,24.43,24.43,24.379999,24.389999,5400,24.168707
2015-08-19,24.25,24.360001,24.129999,24.280001,9800,24.059706
2015-08-20,24.049999,24.049999,23.65,23.65,6200,23.435421
2015-08-21,23.6,23.6,23,23,10500,22.791319
2015-08-24,22.01,22.549999,21.370001,22.17,6600,21.96885
2015-08-25,22.49,22.540001,21.870001,21.870001,6900,21.671573
2015-08-26,22.1,22.5,21.9,22.5,7600,22.295856
2015-08-27,22.91,23.110001,22.76,23.030001,9100,22.821048
2015-08-28,23.26,23.26,23,23.09,5200,22.880503
2015-08-31,23,23.059999,22.93,23.01,4700,22.801229
2015-09-01,22.549999,22.549999,22.290001,22.290001,5600,22.087762
2015-09-02,22.469999,22.639999,22.379999,22.629999,10600,22.424675
2015-09-03,22.9,22.969999,22.74,22.77,8000,22.563406
2015-09-04,22.440001,22.48,22.33,22.370001,4400,22.167036
2015-09-08,22.74,22.93,22.73,22.93,5200,22.721955
2015-09-09,23.08,23.08,22.66,22.66,7500,22.454404
2015-09-10,22.700001,22.879999,22.700001,22.76,6200,22.553497
2015-09-11,22.68,22.85,22.68,22.85,5300,22.642681
2015-09-14,22.84,22.85,22.780001,22.799999,4300,22.593133
2015-09-15,22.92,23.1,22.92,23.08,4500,22.870593
2015-09-16,23.08,23.24,23.08,23.24,6200,23.029141
2015-09-17,23.25,23.5,23.16,23.16,14900,22.949867
