"Index","open","high","low","close","volume","adjusted"
2000-01-03,116.03125,116.03125,113,113.5,1278800,77.885922
2000-01-04,112.28125,112.96875,109.765617,109.765617,1535700,75.323315
2000-01-05,110,112.375,109.03125,111.1875,2007000,76.299039
2000-01-06,111.40625,113.171883,111.1875,111.75,2639500,76.685037
2000-01-07,113.3125,115.5625,113.21875,115.5,3767400,79.258361
2000-01-10,116.8125,116.8125,115.4375,116,762900,79.60147
2000-01-11,115.15625,116.75,115.015617,115.140617,1658700,79.011745
2000-01-12,115.5,116.1875,115.15625,115.4375,813300,79.215472
2000-01-13,116.015617,116.625,115.21875,115.875,1192200,79.515693
2000-01-14,117.46875,117.5,116.125,117.5,1935500,80.6308
2000-01-18,116.4375,116.875,115.5,115.71875,656500,79.408471
2000-01-19,115.625,115.796883,114.59375,115.5625,1003400,79.301249
2000-01-20,115.9375,115.96875,112.65625,113.734383,887000,78.046759
2000-01-21,114.1875,114.1875,112.3125,112.8125,783200,77.465229
2000-01-24,113.25,113.625,109.0625,110,2066100,75.533963
2000-01-25,110.59375,110.875,108.75,110.34375,1728200,75.770006
2000-01-26,110.21875,111.375,110.125,110.46875,1001400,75.855841
2000-01-27,111.125,111.609383,109.1875,110.46875,853900,75.855841
2000-01-28,109.84375,110.0625,107.140617,107.40625,1253300,73.752906
2000-01-31,107.140617,109.625,107,109.5,996600,75.190627
2000-02-01,109.5625,110.71875,109.03125,110.28125,786500,75.727089
2000-02-02,110.375,111.1875,109.65625,109.6875,618100,75.319378
2000-02-03,110.625,110.65625,108.21875,110.5,863300,75.877299
2000-02-04,110.4375,110.96875,109.34375,109.75,474000,75.362295
2000-02-07,109.15625,109.46875,108.375,108.75,718900,74.675622
2000-02-08,109.90625,110.34375,109.125,109.3125,993100,75.061876
2000-02-09,109.1875,109.375,106.78125,106.90625,819900,73.40957
2000-02-10,107.265617,107.59375,106.015617,107,1263500,73.473946
2000-02-11,106.5625,106.5625,103.625,104.5,2148400,71.757265
2000-02-14,105,105.59375,104.5625,105.5,1300800,72.443937
2000-02-15,105.59375,107.875,105.015617,107.4375,1360000,73.774365
2000-02-16,106.875,107.6875,105.75,105.8125,725800,72.658522
2000-02-17,106.78125,106.859383,104.65625,104.78125,1164100,71.950391
2000-02-18,105,105,102,102.25,1526700,70.298801
2000-02-22,102.875,103.46875,101,102.8125,1518800,70.68553
2000-02-23,102.96875,103.5,101.625,102.25,1558900,70.298801
2000-02-24,102.5625,102.6875,99.5625,102,4518700,70.126921
2000-02-25,100.59375,101.46875,98.1875,98.5625,3316900,67.763575
