"Index","open","high","low","close","volume","adjusted"
2013-03-12,25.23,25.290001,25.200001,25.290001,118700,20.315924
2013-03-13,25.34,25.379999,25.200001,25.360001,112500,20.372156
2013-03-14,25.450001,25.48,25.370001,25.4,118100,20.404288
2013-03-15,25.440001,25.5,25.360001,25.5,54300,20.48462
2013-03-18,25.4,25.440001,25.34,25.360001,84100,20.372156
2013-03-19,25.4,25.4,25.209999,25.32,58700,20.340023
2013-03-20,25.4,25.49,25.379999,25.48,71300,20.468554
2013-03-21,25.48,25.540001,25.469999,25.48,37000,20.468554
2013-03-22,25.57,25.629999,25.51,25.58,48400,20.548886
2013-03-25,25.700001,25.76,25.549999,25.58,84600,20.548886
2013-03-26,25.700001,25.780001,25.68,25.77,26600,20.701517
2013-03-27,25.700001,25.76,25.65,25.76,68900,20.693483
2013-03-28,25.85,25.889999,25.77,25.889999,25200,20.797914
2013-04-01,25.780001,25.799999,25.629999,25.67,42400,20.741355
2013-04-02,25.780001,25.889999,25.77,25.82,45600,20.862554
2013-04-03,25.860001,25.879999,25.66,25.74,42200,20.797914
2013-04-04,25.780001,25.940001,25.76,25.940001,45300,20.959515
2013-04-05,25.76,26.040001,25.700001,26.040001,50400,21.040315
2013-04-08,26.040001,26.18,26.02,26.18,38400,21.153435
2013-04-09,26.23,26.290001,26.139999,26.24,63800,21.201914
2013-04-10,26.290001,26.42,26.280001,26.4,49900,21.331194
2013-04-11,26.42,26.49,26.360001,26.469999,34000,21.387754
2013-04-12,26.440001,26.469999,26.32,26.469999,36700,21.387754
2013-04-15,26.4,26.4,25.85,25.889999,62000,20.919114
2013-04-16,25.959999,26.16,25.92,26.16,90600,21.137274
2013-04-17,26.07,26.07,25.700001,25.82,46300,20.862554
2013-04-18,25.83,25.92,25.790001,25.889999,18300,20.919114
2013-04-19,25.959999,26.1,25.959999,26.1,44100,21.088795
2013-04-22,26.120001,26.27,26.01,26.24,26300,21.201914
2013-04-23,26.379999,26.42,26.24,26.41,27900,21.339274
2013-04-24,26.4,26.469999,26.35,26.450001,19400,21.371595
2013-04-25,26.48,26.59,26.469999,26.49,15600,21.403914
2013-04-26,26.5,26.5,26.379999,26.459999,29400,21.379674
2013-04-29,26.51,26.690001,26.48,26.68,40600,21.557435
2013-04-30,26.68,26.780001,26.629999,26.780001,45600,21.638235
2013-05-01,26.620001,26.620001,26.25,26.25,46400,21.329466
2013-05-02,26.290001,26.309999,26.190001,26.309999,22000,21.378219
2013-05-03,26.309999,26.379999,26.280001,26.299999,47000,21.370093
2013-05-06,26.23,26.24,26.110001,26.120001,68300,21.223835
2013-05-07,26.17,26.27,26.16,26.27,22100,21.345717
2013-05-08,26.290001,26.389999,26.27,26.370001,41400,21.426973
2013-05-09,26.389999,26.4,26.17,26.219999,20300,21.305089
2013-05-10,26.27,26.27,26.17,26.24,30200,21.32134
2013-05-13,26.24,26.24,26.15,26.15,13300,21.24821
2013-05-14,26.16,26.4,26.16,26.370001,56900,21.426973
2013-05-15,26.360001,26.559999,26.26,26.51,32700,21.540729
2013-05-16,26.5,26.629999,26.4,26.4,25400,21.451348
2013-05-17,26.41,26.629999,26.41,26.629999,14200,21.638235
2013-05-20,26.620001,26.620001,26.450001,26.469999,31300,21.508227
2013-05-21,26.530001,26.559999,26.42,26.549999,98000,21.573231
2013-05-22,26.59,26.799999,26.110001,26.23,61500,21.313214
2013-05-23,26.02,26.26,25.860001,26.23,77900,21.313214
2013-05-24,26.15,26.15,26.030001,26.139999,58800,21.240085
2013-05-28,26.299999,26.43,25.870001,25.959999,53300,21.093825
2013-05-29,25.809999,25.809999,25.309999,25.66,92300,20.850061
2013-05-30,25.629999,25.85,25.629999,25.709999,30800,20.890688
2013-05-31,25.6,25.74,25.389999,25.4,57400,20.638797
2013-06-03,25.299999,25.299999,25.049999,25.25,44300,20.633894
2013-06-04,25.219999,25.290001,25.1,25.25,24300,20.633894
2013-06-05,25.209999,25.209999,24.879999,24.92,53500,20.364223
2013-06-06,24.93,25.219999,24.860001,25.219999,28600,20.609378
