"Index","open","high","low","close","volume","adjusted"
2014-09-16,24.879999,24.879999,24.879999,24.879999,500,24.879999
2014-09-17,24.83,24.83,24.82,24.82,600,24.82
2014-09-18,24.9,24.959999,24.9,24.959999,1000,24.959999
2014-09-19,24.959999,25.07,24.860001,24.959999,58400,24.959999
2014-09-22,24.642,24.67,24.639999,24.65,2700,24.65
2014-09-23,24.607,24.610001,24.607,24.610001,1377800,24.610001
2014-09-24,24.48,24.6,24.42,24.6,20500,24.6
2014-09-25,24.33,24.33,24.200001,24.278999,6100,24.278999
2014-09-26,24.219999,24.450001,24.219999,24.450001,1900,24.450001
2014-09-29,24.35,24.35,24.299999,24.299999,7800,24.299999
2014-09-30,24.219999,24.219999,24.219999,24.219999,200,24.219999
2014-10-01,23.790001,23.809999,23.77,23.77,2600,23.77
2014-10-02,23.799999,23.833,23.33,23.833,15600,23.833
2014-10-03,23.882999,23.882999,23.82,23.82,4300,23.82
2014-10-06,23.77,23.84,23.76,23.809999,1400,23.809999
2014-10-07,23.704,23.704,23.488001,23.488001,1000,23.488001
2014-10-08,23.33,23.73,23.309999,23.73,3100,23.73
2014-10-09,24.360001,24.360001,23.32,23.32,13200,23.32
2014-10-10,23.326,23.326,23.326,23.326,1300,23.326
2014-10-13,23,23.134001,22.969999,23.134001,1200,23.134001
2014-10-14,23.134001,23.134001,23.134001,23.134001,0,23.134001
2014-10-15,22.66,22.82,22.27,22.82,21200,22.82
2014-10-16,22.9,23.610001,22.84,23.030001,180200,23.030001
2014-10-17,23.370001,23.370001,23.15,23.18,900,23.18
2014-10-20,23.27,23.49,23.27,23.49,8000,23.49
2014-10-21,23.82,24.190001,23.82,24.190001,1500,24.190001
2014-10-22,24.32,24.360001,23.92,23.92,4100,23.92
2014-10-23,24.23,24.360001,24.23,24.27,1400,24.27
2014-10-24,24.049999,24.280001,24.049999,24.280001,1000,24.280001
2014-10-27,24.139999,24.15,24.139999,24.15,300,24.15
2014-10-28,24.35,24.35,24.35,24.35,300,24.35
2014-10-29,24.457001,24.48,24.450001,24.48,3400,24.48
2014-10-30,24.49,24.610001,24.49,24.530001,3300,24.530001
2014-10-31,24.759001,24.879999,24.73,24.879999,1200,24.879999
2014-11-03,25.129999,25.129999,24.639999,24.65,3400,24.65
2014-11-04,24.559,24.612,24.559,24.612,800,24.612
2014-11-05,24.68,24.82,24.68,24.82,900,24.82
2014-11-06,24.799999,24.999001,24.787001,24.999001,1700,24.999001
2014-11-07,25.082001,25.082001,25.082001,25.082001,500,25.082001
2014-11-10,25.17,25.17,25.058001,25.110001,800,25.110001
2014-11-11,25.16,25.16,25.054001,25.15,4100,25.15
2014-11-12,25.26,25.27,25.23,25.27,4100,25.27
2014-11-13,24.959999,25.040001,24.959999,25.040001,1600,25.040001
2014-11-14,25.08,25.08,25.08,25.08,700,25.08
2014-11-17,24.999001,25.103001,24.999001,25.077,1300,25.077
2014-11-18,25.190001,25.34,25.190001,25.280001,1700,25.280001
2014-11-19,25.27,25.27,25.184999,25.27,15600,25.27
2014-11-20,25.360001,25.440001,25.360001,25.43,4800,25.43
2014-11-21,25.5,25.799999,25.5,25.639,10000,25.639
2014-11-24,25.639,25.639,25.639,25.639,0,25.639
2014-11-25,25.719999,25.719999,25.690001,25.690001,1500,25.690001
2014-11-26,25.690001,25.690001,25.690001,25.690001,0,25.690001
2014-11-28,25.15,25.290001,25.15,25.17,8400,25.17
2014-12-01,24.990999,24.990999,24.990999,24.990999,300,24.990999
2014-12-02,25.084999,25.228001,25.084999,25.228001,1300,25.228001
2014-12-03,25.58,25.620001,25.495001,25.610001,4200,25.610001
2014-12-04,25.610001,25.610001,25.610001,25.610001,0,25.610001
2014-12-05,25.4,25.4,25.32,25.32,900,25.32
2014-12-08,24.812,24.91,24.812,24.91,1700,24.91
2014-12-09,24.98,25.02,24.98,25.02,1800,25.02
2014-12-10,25.02,25.02,25.02,25.02,0,25.02
2014-12-11,24.809999,24.809999,24.639999,24.639999,1200,24.639999
2014-12-12,24.889999,24.889999,24.32,24.370001,1500,24.370001
2014-12-15,24.271,24.271,24.097,24.120001,1400,24.120001
2014-12-16,24.280001,24.639999,24.280001,24.309999,2600,24.309999
2014-12-17,24.65,24.84,24.58,24.84,4300,24.84
2014-12-18,24.85,24.98,24.85,24.98,1100,24.98
2014-12-19,25.309,25.35,25.309,25.35,1600,25.35
2014-12-22,25.27,25.27,25.08,25.25,2300,25.25
2014-12-23,25.479,25.479,25.479,25.479,500,25.479
2014-12-24,25.440001,25.52,25.424,25.52,1700,25.52
2014-12-26,25.629999,25.629999,25.565001,25.57,1500,25.57
2014-12-29,25.75,25.75,25.709999,25.709999,600,25.709999
2014-12-30,25.66,25.67,25.65,25.65,1800,25.65
