"Index","open","high","low","close","volume","adjusted"
2015-12-18,25.09,25.09,24.98,24.98,1700,24.646461
2015-12-21,24.99,25.049,24.9,25,9200,24.666195
2015-12-22,25.1,25.299999,25.1,25.299999,2700,24.962188
2015-12-23,25.299999,25.299999,25.299999,25.299999,0,24.962188
2015-12-24,25.540001,25.540001,25.540001,25.540001,10400,25.198985
2015-12-28,25.405001,25.405001,25.405001,25.405001,500,25.065788
2015-12-29,25.73,25.73,25.73,25.73,800,25.386447
2015-12-30,25.67,25.698999,25.655001,25.698999,1400,25.355861
2015-12-31,25.698999,25.698999,25.698999,25.698999,0,25.355861
2016-01-04,25.23,25.23,24.733999,24.799999,2900,24.468864
2016-01-05,24.799999,24.799999,24.799999,24.799999,0,24.468864
2016-01-06,24.700001,24.790001,24.6,24.613001,2200,24.284363
2016-01-07,24.49,24.49,24.129999,24.129999,4000,23.80781
2016-01-08,24.17,24.224001,23.931999,23.931999,2000,23.612454
2016-01-11,24.26,24.26,24.26,24.26,300,23.936075
2016-01-12,24.049999,24.08,23.809999,24.08,1000,23.758479
2016-01-13,23.941999,23.941999,23.780001,23.780001,600,23.462485
2016-01-14,23.66,24.040001,23.66,24.040001,15900,23.719014
2016-01-15,23.42,23.51,23.389999,23.413,1400,23.100385
2016-01-19,23.57,23.610001,23.469999,23.469999,900,23.156623
2016-01-20,22.92,23.17,22.83,23.17,2100,22.860629
2016-01-21,23.32,23.389999,23.219999,23.219999,1700,22.909961
2016-01-22,23.879999,23.879999,23.485001,23.485001,1100,23.171424
2016-01-25,23.485001,23.485001,23.485001,23.485001,0,23.171424
2016-01-26,23.485001,23.485001,23.485001,23.485001,0,23.171424
2016-01-27,23.485001,23.485001,23.485001,23.485001,0,23.171424
2016-01-28,23.485001,23.485001,23.485001,23.485001,0,23.171424
2016-01-29,24.02,24.02,23.870001,23.870001,300,23.551283
2016-02-01,23.870001,23.870001,23.870001,23.870001,0,23.551283
2016-02-02,23.870001,23.870001,23.84,23.84,200,23.521683
2016-02-03,23.82,23.82,23.74,23.74,1500,23.423018
2016-02-04,23.74,23.74,23.74,23.74,0,23.423018
2016-02-05,24.059999,24.059999,23.910999,23.910999,1500,23.591734
2016-02-08,23.492001,23.492001,23.492001,23.492001,100,23.17833
2016-02-09,23.65,23.65,23.639999,23.639999,200,23.324353
2016-02-10,23.639999,23.639999,23.639999,23.639999,0,23.324353
2016-02-11,23.417,23.417,23.417,23.417,100,23.104331
2016-02-12,23.549999,23.549999,23.549999,23.549999,400,23.235555
2016-02-16,24.08,24.08,24.08,24.08,400,23.758479
2016-02-17,24.08,24.08,24.08,24.08,0,23.758479
2016-02-18,24.08,24.08,24.08,24.08,0,23.758479
2016-02-19,24.08,24.08,24.08,24.08,0,23.758479
2016-02-22,24.08,24.08,24.08,24.08,0,23.758479
2016-02-23,24.49,24.49,24.49,24.49,300,24.163004
2016-02-24,24.450001,24.450001,24.450001,24.450001,800,24.123539
2016-02-25,24.638,24.66,24.638,24.66,500,24.330734
2016-02-26,25.190001,25.190001,24.74,24.74,3100,24.409666
2016-02-29,24.700001,24.784,24.65,24.65,800,24.320868
2016-03-01,24.587,24.66,24.587,24.66,200,24.330734
2016-03-02,25.040001,25.040001,25.040001,25.040001,900,24.705661
2016-03-03,25,25.02,25,25.02,1600,24.685928
2016-03-04,25.190001,25.190001,25.070999,25.070999,800,24.736246
2016-03-07,25.280001,25.459999,25.200001,25.35,2700,25.011522
2016-03-08,25.200001,25.290001,25.15,25.16,2200,24.824058
2016-03-09,25.540001,25.540001,25.363001,25.389999,4400,25.050987
2016-03-10,25.486,25.486,25.299999,25.299999,2100,24.962188
2016-03-11,25.65,25.690001,25.639999,25.674,5200,25.331195
2016-03-14,25.66,25.68,25.66,25.68,1300,25.337115
2016-03-15,25.540001,25.690001,25.540001,25.690001,1700,25.346982
2016-03-16,25.66,25.860001,25.65,25.860001,1600,25.514712
2016-03-17,25.9,26.040001,25.9,26.011,2000,25.663695
2016-03-18,26.054001,26.061001,26.054001,26.061001,1000,25.713029
2016-03-21,26.17,26.24,26.120001,26.24,1300,25.889638
2016-03-22,26.229,26.229,26.229,26.229,15100,25.878785
2016-03-23,26.1,26.115999,26.08,26.08,2000,25.731774
2016-03-24,25.709999,25.879999,25.709999,25.879999,1300,25.534444
2016-03-28,25.889999,25.950001,25.83,25.878,3600,25.532472
2016-03-29,25.74,26.059999,25.735001,26.059999,4000,25.712041
2016-03-30,26.059999,26.059999,26.059999,26.059999,0,25.712041
