"Index","open","high","low","close","volume","adjusted"
2007-11-07,302.700012,302.700012,295.940002,296.089996,0,296.089996
2007-11-08,10,10.02,9.9,10.02,3100,10.02
2007-11-09,10.05,10.11,9.97,9.97,2100,9.97
2007-11-12,9.95,10.03,9.95,10.03,4000,10.03
2007-11-13,9.97,10.09,9.97,10.05,5400,10.05
2007-11-14,10.24,10.24,10.24,10.24,200,10.24
2007-11-15,10.11,10.87,10.07,10.07,5100,10.07
2007-11-16,10.02,10.06,10.02,10.06,300,10.06
2007-11-19,9.84,9.88,9.84,9.88,1700,9.88
2007-11-20,9.77,9.77,9.6,9.68,2800,9.68
2007-11-21,9.57,9.66,9.5,9.55,2400,9.55
2007-11-22,9.55,9.55,9.55,9.55,0,9.55
2007-11-23,9.65,9.65,9.65,9.65,300,9.65
2007-11-26,9.63,9.63,9.49,9.49,600,9.49
2007-11-27,9.65,9.65,9.65,9.65,100,9.65
2007-11-28,9.77,9.9,9.75,9.9,4400,9.9
2007-11-29,9.9,9.9,9.9,9.9,0,9.9
2007-11-30,10.12,10.13,10.05,10.09,9600,10.09
2007-12-03,10.23,10.23,10.01,10.01,6000,10.01
2007-12-04,9.94,9.95,9.94,9.95,23000,9.95
2007-12-05,10.05,10.05,10.05,10.05,300,10.05
2007-12-06,10.09,10.11,10.09,10.11,2500,10.11
2007-12-07,10.2,10.23,10.2,10.22,4400,10.22
2007-12-10,10.29,10.29,10.27,10.27,6000,10.27
2007-12-11,10.27,10.27,10.27,10.27,0,10.27
2007-12-12,10.27,10.27,10.27,10.27,0,10.27
2007-12-13,10.27,10.27,10.27,10.27,0,10.27
2007-12-14,10.02,10.02,10.01,10.01,6100,10.01
2007-12-17,10.01,10.01,9.86,9.86,2900,9.86
2007-12-18,9.99,9.99,9.87,9.89,1800,9.89
2007-12-19,9.85,9.85,9.84,9.84,1500,9.84
2007-12-20,9.89,9.89,9.83,9.83,4100,9.83
2007-12-21,10,10,10,10,200,10
2007-12-24,10.5,10.5,10.06,10.16,46300,10.16
2007-12-25,10.16,10.16,10.16,10.16,0,10.16
2007-12-26,10.3,10.38,10.14,10.26,60400,10.26
2007-12-27,10.65,10.65,10.25,10.28,48600,10.28
2007-12-28,10.78,10.78,10.1,10.17,51400,10.17
2007-12-31,10.5,10.6,10.03,10.19,67500,10.19
2008-01-01,10.19,10.19,10.19,10.19,0,10.19
2008-01-02,10.52,10.6,9.87,9.89,42100,9.89
2008-01-03,10.29,10.29,9.87,9.89,21800,9.89
2008-01-04,9.8,9.97,9.6,9.71,20700,9.71
2008-01-07,10.53,10.53,9.65,9.74,27800,9.74
2008-01-08,10.25,10.25,9.6,9.6,24500,9.6
2008-01-09,10,10,9.31,9.52,25400,9.52
2008-01-10,9.51,9.78,9.51,9.73,20600,9.73
2008-01-11,9.73,10.25,9.51,9.56,24400,9.56
2008-01-14,9.56,9.68,9.54,9.68,15800,9.68
2008-01-15,9.55,9.55,9.41,9.41,9300,9.41
2008-01-16,9.41,10,9.41,9.51,3700,9.51
2008-01-17,9.4,9.98,9.28,9.28,26900,9.28
2008-01-18,9.89,9.89,9.1,9.25,22500,9.25
2008-01-22,8.97,9.91,8.97,9.2,9800,9.2
2008-01-23,9.25,9.63,9.1,9.63,7500,9.63
2008-01-24,9.65,9.65,9.2,9.5,12400,9.5
2008-01-25,9.5,9.5,9.39,9.46,10500,9.46
2008-01-28,9.67,9.67,9.44,9.62,10000,9.62
2008-01-29,9.7,9.82,9.7,9.82,3800,9.82
2008-01-30,9.82,10.15,9.82,9.91,5600,9.91
2008-01-31,9.74,9.99,9.74,9.99,5300,9.99
2008-02-01,9.98,10.13,9.98,10.13,6300,10.13
2008-02-04,10.14,10.14,9.91,10,6900,10
2008-02-05,9.98,9.98,9.55,9.58,23900,9.58
2008-02-06,9.53,9.59,9.41,9.41,26600,9.41
2008-02-07,9.61,9.61,9.54,9.55,12500,9.55
2008-02-08,10.14,10.14,9.39,9.45,5500,9.45
2008-02-11,9.41,9.5,9.41,9.5,7800,9.5
2008-02-12,9.63,9.69,9.52,9.52,9800,9.52
2008-02-13,9.58,9.65,9.58,9.62,1800,9.62
2008-02-14,9.33,9.62,9.25,9.48,5900,9.48
2008-02-15,9.69,9.69,9.39,9.46,5300,9.46
2008-02-19,9.5,9.76,9.37,9.37,7300,9.37
2008-02-20,9.35,9.42,9.21,9.42,17200,9.42
2008-02-21,9.4,9.4,9.23,9.23,3100,9.23
2008-02-22,9.23,9.23,9.12,9.15,6500,9.15
2008-02-25,9.11,9.41,9.11,9.41,3800,9.41
2008-02-26,9.41,9.53,9.41,9.48,4400,9.48
2008-02-27,9.52,9.54,9.5,9.5,2800,9.5
2008-02-28,9.45,9.52,9.34,9.34,50500,9.34
2008-02-29,9.3,9.3,9.11,9.11,4000,9.11
2008-03-03,9.1,9.11,9.01,9.01,17500,9.01
2008-03-04,9.01,9.01,8.9,8.98,12600,8.98
2008-03-05,9.05,9.06,9,9.06,4100,9.06
2008-03-06,8.95,8.95,8.84,8.86,3600,8.86
2008-03-07,8.8,8.95,8.71,8.79,21900,8.79
2008-03-10,8.8,8.8,8.6,8.6,4500,8.6
2008-03-11,8.55,8.82,8.55,8.82,3800,8.82
2008-03-12,8.95,9.01,8.95,8.96,9000,8.96
2008-03-13,9,9,8.63,8.78,2300,8.78
2008-03-14,8.61,8.69,8.56,8.56,6100,8.56
2008-03-17,8.51,8.68,8.49,8.68,1900,8.68
2008-03-18,8.53,9.04,8.43,9.02,18600,9.02
2008-03-19,9.79,9.79,8.25,8.97,3200,8.97
2008-03-20,9.05,9.14,9.05,9.14,2000,9.14
2008-03-24,9.29,9.4,9.29,9.37,4600,9.37
2008-03-25,9.27,9.36,9.27,9.35,7900,9.35
2008-03-26,9.28,9.28,9.19,9.19,1600,9.19
2008-03-27,9.1,9.1,9.05,9.05,2000,9.05
2008-03-28,9.05,9.13,9.03,9.03,10800,9.03
2008-03-31,9.79,9.79,9.13,9.13,1700,9.13
2008-04-01,9.45,9.57,9.44,9.57,700,9.57
2008-04-02,9.48,9.7,9.48,9.6,3900,9.6
2008-04-03,9.6,9.61,9.6,9.6,1200,9.6
2008-04-04,9.51,9.51,9.51,9.51,2500,9.51
2008-04-07,9.7,9.71,9.55,9.57,5900,9.57
2008-04-08,9.49,9.5,9.45,9.45,1100,9.45
2008-04-09,9.35,9.35,9.35,9.35,100,9.35
2008-04-10,9.48,9.48,9.46,9.48,2000,9.48
2008-04-11,9.26,9.26,9.08,9.12,3600,9.12
2008-04-14,9.11,9.11,9,9,4700,9
2008-04-15,8.97,9,8.94,8.94,5800,8.94
2008-04-16,9,9.23,9,9.23,2000,9.23
2008-04-17,9.11,9.3,9.11,9.24,4900,9.24
2008-04-18,9.39,9.47,9.36,9.44,28400,9.44
2008-04-21,9.3,9.3,9.3,9.3,2000,9.3
2008-04-22,9.3,9.3,9.3,9.3,0,9.3
2008-04-23,9.24,9.37,9.24,9.33,5300,9.33
2008-04-24,9.33,9.33,9.33,9.33,0,9.33
2008-04-25,9.51,9.58,9.51,9.58,600,9.58
2008-04-28,9.54,9.65,9.52,9.62,4100,9.62
2008-04-29,9.53,9.54,9.48,9.48,6400,9.48
2008-04-30,9.5,9.65,9.5,9.65,5100,9.65
2008-05-01,9.64,9.7,9.64,9.7,1200,9.7
2008-05-02,9.77,9.85,9.75,9.79,9700,9.79
2008-05-05,9.69,9.69,9.69,9.69,500,9.69
2008-05-06,9.85,9.85,9.49,9.65,2500,9.65
2008-05-07,9.9,9.9,9.54,9.54,2000,9.54
2008-05-08,9.42,9.47,9.42,9.44,3100,9.44
2008-05-09,9.3,9.3,9.29,9.29,1300,9.29
2008-05-12,9.36,9.36,9.36,9.36,1000,9.36
2008-05-13,9.29,9.35,9.29,9.35,2700,9.35
2008-05-14,9.41,9.48,9.41,9.47,4000,9.47
2008-05-15,9.34,9.45,9.34,9.45,900,9.45
2008-05-16,9.56,9.56,9.44,9.44,1300,9.44
2008-05-19,9.35,9.56,9.35,9.47,20900,9.47
2008-05-20,9.36,9.36,9.13,9.13,9300,9.13
2008-05-21,9.12,9.12,8.94,8.98,2500,8.98
2008-05-22,8.98,8.98,8.98,8.98,200,8.98
2008-05-23,8.95,8.95,8.82,8.87,9700,8.87
2008-05-27,8.79,8.79,8.75,8.75,2000,8.75
2008-05-28,8.75,8.75,8.75,8.75,0,8.75
2008-05-29,9.12,9.12,8.95,8.96,600,8.96
2008-05-30,8.99,9,8.99,9,4500,9
2008-06-02,8.84,8.84,8.82,8.82,1100,8.82
2008-06-03,8.79,8.79,8.79,8.79,300,8.79
2008-06-04,8.78,8.82,8.7,8.71,1600,8.71
2008-06-05,8.85,8.85,8.85,8.85,600,8.85
2008-06-06,8.53,8.71,8.5,8.65,9600,8.65
2008-06-09,8.56,8.57,8.46,8.47,2500,8.47
2008-06-10,8.45,8.54,8.45,8.54,400,8.54
2008-06-11,8.47,8.47,8.3,8.33,23300,8.33
2008-06-12,8.3,8.48,8.3,8.37,8100,8.37
2008-06-13,8.4,8.53,8.4,8.53,8100,8.53
2008-06-16,8.53,8.53,8.53,8.53,0,8.53
2008-06-17,8.46,8.46,8.4,8.4,1000,8.4
2008-06-18,8.26,8.36,8.22,8.32,7700,8.32
2008-06-19,8.31,8.31,8.23,8.23,5800,8.23
2008-06-20,8.17,8.17,8.11,8.11,16900,8.11
2008-06-23,9.21,9.21,8.02,8.02,12800,8.02
2008-06-24,8,8,8,8,500,8
2008-06-25,8.19,8.21,8.19,8.21,1300,8.21
2008-06-26,7.5,7.84,7.5,7.75,14400,7.75
2008-06-27,7.66,7.66,7.54,7.54,4700,7.54
2008-06-30,7.57,7.64,7.51,7.64,7300,7.64
2008-07-01,7.55,7.63,7.43,7.63,6000,7.63
2008-07-02,7.65,7.65,7.65,7.65,1100,7.65
2008-07-03,7.5,7.57,7.42,7.52,12500,7.52
2008-07-07,7.52,7.52,7.52,7.52,0,7.52
2008-07-08,7.43,7.62,7.43,7.62,6900,7.62
2008-07-09,7.85,7.85,7.45,7.45,5000,7.45
2008-07-10,7.37,7.48,7.25,7.33,4300,7.33
2008-07-11,7.31,7.4,7.25,7.4,1600,7.4
2008-07-14,7.45,7.45,7.4,7.4,800,7.4
2008-07-15,6.9,7.37,6.9,7.21,3300,7.21
2008-07-16,7.38,7.38,7.38,7.38,500,7.38
2008-07-17,7.92,7.92,7.88,7.88,1800,7.88
2008-07-18,7.98,8.06,7.86,8.06,7500,8.06
2008-07-21,8.12,8.12,8.12,8.12,500,8.12
2008-07-22,8.12,8.12,8.12,8.12,0,8.12
2008-07-23,8.4,8.42,8.22,8.36,6400,8.36
2008-07-24,8.36,8.36,8.03,8.03,4000,8.03
2008-07-25,7.94,7.95,7.86,7.95,3000,7.95
2008-07-28,8.89,8.89,7.77,7.77,1900,7.77
2008-07-29,7.77,7.82,7.75,7.82,2700,7.82
2008-07-30,7.82,8.05,7.82,7.88,4400,7.88
2008-07-31,7.92,7.97,7.9,7.92,24800,7.92
2008-08-01,7.79,7.83,7.78,7.78,900,7.78
2008-08-04,7.75,7.78,7.6,7.74,2100,7.74
2008-08-05,7.96,7.96,7.92,7.92,200,7.92
2008-08-06,8,8.04,8,8.04,900,8.04
2008-08-07,8.04,8.04,8.04,8.04,0,8.04
2008-08-08,8.06,8.1,8.05,8.1,5600,8.1
2008-08-11,8.1,8.1,8.1,8.1,0,8.1
2008-08-12,8.1,8.1,8.1,8.1,0,8.1
2008-08-13,7.98,7.98,7.96,7.96,1000,7.96
2008-08-14,8.17,8.17,8.15,8.15,2000,8.15
2008-08-15,8.15,8.15,8.15,8.15,0,8.15
2008-08-18,8.11,8.11,8.1,8.1,1000,8.1
2008-08-19,8.05,8.05,7.9,7.9,2500,7.9
2008-08-20,7.82,7.82,7.7,7.7,1800,7.7
2008-08-21,7.7,7.7,7.7,7.7,0,7.7
2008-08-22,7.95,7.95,7.95,7.95,700,7.95
2008-08-25,7.96,7.96,7.96,7.96,2000,7.96
2008-08-26,7.81,7.81,7.75,7.75,1900,7.75
2008-08-27,7.86,7.86,7.86,7.86,1500,7.86
2008-08-28,7.99,7.99,7.99,7.99,1100,7.99
2008-08-29,8.02,8.02,8.02,8.02,100,8.02
2008-09-02,8.17,8.17,8.14,8.16,2700,8.16
2008-09-03,8.2,8.2,8.11,8.11,3500,8.11
2008-09-04,8.1,8.1,8.02,8.02,1000,8.02
2008-09-05,8.06,8.06,8.05,8.05,200,8.05
2008-09-08,9.02,9.02,8.26,8.27,4500,8.27
2008-09-09,8.42,8.58,8.42,8.42,4300,8.42
2008-09-10,8.22,8.22,8.05,8.12,3100,8.12
2008-09-11,8,8.1,8,8.09,2900,8.09
2008-09-12,7.91,8.23,7.91,8.21,1700,8.21
2008-09-15,7.98,7.98,7.75,7.75,3800,7.75
2008-09-16,7.67,7.7,7.55,7.55,5900,7.55
2008-09-17,7.5,7.5,7.32,7.39,6500,7.39
2008-09-18,7.28,7.66,7.2,7.66,10500,7.66
2008-09-19,8.77,8.77,7.92,8.33,10500,8.33
2008-09-22,8.3,8.3,7.83,7.83,800,7.83
2008-09-23,8.94,8.94,7.72,7.73,8500,7.73
2008-09-24,7.62,7.65,7.55,7.65,800,7.65
2008-09-25,7.73,8.14,7.73,7.83,5600,7.83
2008-09-26,7.81,7.85,7.81,7.85,700,7.85
2008-09-29,7.5,7.5,7.5,7.5,1000,7.5
2008-09-30,7.7,7.79,7.6,7.79,3900,7.79
2008-10-01,7.67,7.95,7.67,7.95,600,7.95
2008-10-02,7.66,7.66,7.66,7.66,100,7.66
2008-10-03,7.84,7.84,7.44,7.44,1700,7.44
2008-10-06,7.1,7.1,6.89,7.01,7000,7.01
