"Index","open","high","low","close","volume","adjusted"
2006-06-16,50.150002,50.220001,50.009998,50.189999,2100,36.805967
2006-06-19,50.299999,50.299999,49.73,49.73,3300,36.468635
2006-06-20,49.830002,49.830002,49.650002,49.650002,400,36.409969
2006-06-21,49.720001,50.240002,49.720001,50.189999,4200,36.805967
2006-06-22,49.900002,49.900002,49.869999,49.869999,800,36.571301
2006-06-23,49.77,50.07,49.77,50.009998,2600,36.673967
2006-06-26,50.099998,50.189999,50.099998,50.110001,15700,36.747302
2006-06-27,50.110001,50.110001,49.900002,49.900002,1400,36.593303
2006-06-28,49.889999,49.889999,49.849998,49.849998,300,36.556634
2006-06-29,50.470001,50.91,50.290001,50.91,2100,37.333967
2006-06-30,51.099998,51.32,51.09,51.259998,6100,37.590633
2006-07-03,51.32,51.580002,51.32,51.580002,1900,37.825302
2006-07-05,51.34,51.400002,51.34,51.369999,6500,37.6713
2006-07-06,51,51.400002,51,51.279999,4000,37.6053
2006-07-07,51.290001,51.549999,51.169998,51.169998,3700,37.524633
2006-07-10,51.299999,51.610001,51.299999,51.360001,3900,37.663968
2006-07-11,51.419998,51.549999,51.119999,51.540001,4200,37.795968
2006-07-12,51.490002,51.529999,51.09,51.119999,4400,37.487967
2006-07-13,50.919998,50.919998,50.439999,50.439999,4300,36.9893
2006-07-14,50.189999,50.299999,49.919998,50.049999,14300,36.703301
2006-07-17,50.119999,50.119999,50.029999,50.049999,2600,36.703301
2006-07-18,50.189999,50.189999,49.740002,49.740002,62600,36.475969
2006-07-19,50.57,51.18,50.57,51.18,104300,37.531967
2006-07-20,51.299999,51.299999,50.700001,50.700001,25200,37.179968
2006-07-21,50.610001,50.610001,50.110001,50.139999,1700,36.769301
2006-07-24,50.34,50.669998,50.34,50.669998,1600,37.157966
2006-07-25,51.25,51.25,51.220001,51.220001,800,37.561301
2006-07-26,51.049999,51.220001,50.900002,51.16,24700,37.5173
2006-07-27,51.259998,51.299999,50.790001,50.790001,8500,37.245968
2006-07-28,51.32,51.509998,51.220001,51.48,9100,37.751967
2006-07-31,51.299999,51.360001,51.25,51.34,4500,37.649301
2006-08-01,51.049999,51.32,51.049999,51.32,1800,37.634634
2006-08-02,51.450001,51.57,51.32,51.389999,3300,37.685967
2006-08-03,51.389999,51.77,51.389999,51.75,1300,37.949967
2006-08-04,52.150002,52.360001,51.98,51.98,3400,38.118633
2006-08-07,51.84,51.84,51.610001,51.720001,3800,37.927968
2006-08-08,51.810001,51.810001,51.810001,51.810001,1300,37.993968
2006-08-09,51.759998,51.759998,51.380001,51.389999,8800,37.685967
2006-08-10,50.990002,51.25,50.990002,51.25,13100,37.583301
2006-08-11,51.200001,51.200001,50.779999,50.900002,3600,37.326635
2006-08-14,51.299999,51.540001,51.07,51.07,4600,37.4513
2006-08-15,51.599998,51.709999,51.549999,51.709999,6000,37.920633
2006-08-16,51.91,52.099998,51.900002,52.07,7000,38.184633
2006-08-17,52.099998,52.27,52.09,52.150002,5500,38.243301
2006-08-18,52.240002,52.240002,52.040001,52.169998,500,38.257965
2006-08-21,52.16,52.16,52.009998,52.09,6800,38.1993
2006-08-22,52.049999,52.259998,52.049999,52.259998,2200,38.323965
2006-08-23,52.299999,52.310001,51.759998,51.799999,7200,37.986633
2006-08-24,51.93,51.93,51.779999,51.849998,2400,38.023299
2006-08-25,51.860001,51.860001,51.669998,51.759998,3300,37.957299
2006-08-28,51.82,52.220001,51.82,52.169998,6000,38.257965
2006-08-29,52.169998,52.360001,52,52.32,2700,38.367966
2006-08-30,52.32,52.43,52.299999,52.41,15800,38.433966
2006-08-31,52.540001,52.669998,52.540001,52.619999,3800,38.587966
2006-09-01,52.630001,52.759998,52.630001,52.66,5500,38.6173
2006-09-05,52.75,52.849998,52.720001,52.830002,15000,38.741968
2006-09-06,52.549999,52.560001,52.32,52.369999,18300,38.404632
2006-09-07,52.25,52.259998,52,52.07,5600,38.184633
2006-09-08,52.169998,52.349998,52.029999,52.349998,12100,38.389965
2006-09-11,52.290001,52.490002,52.040001,52.380001,7900,38.411967
2006-09-12,52.400002,52.959999,52.400002,52.959999,10600,38.837299
2006-09-13,52.91,53.23,52.91,53.220001,3300,39.027967
2006-09-14,53.18,53.18,53.040001,53.080002,5900,38.925301
2006-09-15,53.299999,53.360001,53.23,53.34,5100,39.115966
2006-09-18,53.139999,53.240002,53,53.060001,9000,38.910634
2006-09-19,53.060001,53.16,52.810001,53.16,7700,38.983966
2006-09-20,53.23,53.540001,53.23,53.389999,4400,39.152632
2006-09-21,53.5,53.5,52.950001,53,3000,38.866633
2006-09-22,52.880001,52.970001,52.669998,52.970001,11300,38.844634
2006-09-25,53.080002,53.299999,52.810001,53.299999,4700,39.086632
2006-09-26,53.25,53.540001,53.23,53.540001,12900,39.262633
2006-09-27,53.610001,53.709999,53.599998,53.599998,3300,39.306631
2006-09-28,53.799999,53.799999,53.5,53.68,4100,39.365299
2006-09-29,53.700001,53.709999,53.5,53.5,8400,39.233299
2006-10-02,53.419998,53.66,53.32,53.41,15700,39.167299
2006-10-03,53.34,53.73,53.310001,53.560001,10300,39.2773
2006-10-04,53.619999,53.860001,53.389999,53.860001,26100,39.701144
2006-10-05,53.91,54.240002,53.860001,54.189999,8600,39.944391
2006-10-06,54.040001,54.080002,53.779999,53.950001,12000,39.767485
2006-10-09,53.939999,54.290001,53.869999,54.290001,4900,40.018105
2006-10-10,54.299999,54.439999,54.080002,54.279999,12500,40.010732
2006-10-11,54.18,54.400002,54.029999,54.189999,8000,39.944391
2006-10-12,54.400002,54.759998,54.400002,54.759998,23200,40.364548
2006-10-13,54.860001,54.970001,54.860001,54.959999,4000,40.511972
2006-10-16,54.959999,55.139999,54.959999,55.139999,12300,40.644654
2006-10-17,55,55.049999,54.84,54.970001,8800,40.519345
2006-10-18,55.049999,55.259998,54.93,55.119999,6200,40.629911
2006-10-19,55,55.099998,54.93,55.029999,21700,40.56357
2006-10-20,54.849998,54.950001,54.73,54.860001,4300,40.438262
2006-10-23,54.630001,55.139999,54.630001,55.139999,7000,40.644654
2006-10-24,55,55.169998,55,55.16,11400,40.659396
2006-10-25,55.049999,55.360001,55.049999,55.349998,25600,40.799448
2006-10-26,55.43,55.689999,55.23,55.689999,15100,41.050068
2006-10-27,55.5,55.619999,55.279999,55.279999,8400,40.74785
2006-10-30,55.18,55.560001,55.18,55.490002,13200,40.902646
2006-10-31,55.529999,55.529999,55.240002,55.41,22500,40.843676
2006-11-01,55.52,55.73,55.009998,55.080002,7200,40.600428
2006-11-02,54.849998,54.93,54.75,54.849998,21700,40.430889
2006-11-03,54.950001,54.98,54.330002,54.619999,5600,40.261352
2006-11-06,54.799999,55.23,54.799999,55.150002,17400,40.652026
2006-11-07,55.099998,55.360001,55.099998,55.220001,5800,40.703624
2006-11-08,54.900002,55.5,54.900002,55.380001,10600,40.821563
2006-11-09,55.25,55.380001,55.18,55.209999,4400,40.696252
2006-11-10,55.209999,55.380001,55.169998,55.380001,3800,40.821563
2006-11-13,55.360001,55.599998,55.360001,55.52,8500,40.924759
