"Index","open","high","low","close","volume","adjusted"
2006-06-16,50.150002,50.189999,50.009998,50.099998,5600,34.714483
2006-06-19,50.25,50.25,49.66,49.709999,10200,34.444251
2006-06-20,49.740002,49.740002,49.740002,49.740002,100,34.46504
2006-06-21,49.849998,50.130001,49.849998,50.07,2100,34.693697
2006-06-22,49.91,49.91,49.77,49.77,400,34.485826
2006-06-23,49.59,49.59,49.580002,49.580002,400,34.354175
2006-06-26,49.869999,49.939999,49.869999,49.939999,600,34.603619
2006-06-27,49.860001,49.860001,49.720001,49.720001,300,34.451182
2006-06-28,49.880001,49.880001,49.880001,49.880001,600,34.562046
2006-06-29,50.200001,50.759998,50.200001,50.759998,1300,35.1718
2006-06-30,50.990002,51.150002,50.990002,51.150002,4400,35.442034
2006-07-03,51.259998,51.259998,51.189999,51.189999,2000,35.469748
2006-07-05,51.34,51.34,51.130001,51.130001,1300,35.428176
2006-07-06,51.220001,51.349998,51.130001,51.130001,4500,35.428176
2006-07-07,51.200001,51.509998,51.139999,51.200001,5100,35.476679
2006-07-10,51.380001,51.580002,51.380001,51.509998,10300,35.691478
2006-07-11,51.48,51.630001,51.220001,51.630001,1200,35.774628
2006-07-12,51.630001,51.66,51.290001,51.290001,1000,35.53904
2006-07-13,51.150002,51.150002,51.07,51.07,2000,35.386601
2006-07-14,50.650002,50.650002,50.290001,50.529999,4500,35.012432
2006-07-17,50.580002,50.580002,50.580002,50.580002,61600,35.047079
2006-07-18,50.580002,50.700001,50.400002,50.450001,154800,34.957001
2006-07-19,51,51.669998,51,51.630001,37300,35.774628
2006-07-20,51.68,51.849998,51.529999,51.529999,17500,35.705336
2006-07-21,51.59,51.59,51.25,51.259998,2400,35.518252
2006-07-24,51.41,51.830002,51.41,51.830002,3800,35.913209
2006-07-25,51.860001,52.209999,51.830002,52.209999,5800,36.176511
2006-07-26,52.240002,52.470001,52.169998,52.400002,6500,36.308164
2006-07-27,52.549999,52.57,52.07,52.07,10400,36.079505
2006-07-28,52.599998,52.93,52.540001,52.93,8800,36.675402
2006-07-31,52.779999,52.779999,52.599998,52.619999,9600,36.460601
2006-08-01,52.07,52.34,52.07,52.34,199600,36.266589
2006-08-02,52.720001,52.869999,52.720001,52.790001,6100,36.578396
2006-08-03,52.720001,52.869999,52.669998,52.82,14400,36.599183
2006-08-04,53.25,53.27,52.84,52.939999,5100,36.68233
2006-08-07,52.889999,52.91,52.759998,52.759998,4700,36.557607
2006-08-08,52.84,52.950001,52.509998,52.509998,4900,36.384381
2006-08-09,52.799999,52.860001,52.369999,52.369999,4400,36.287375
2006-08-10,52.169998,52.459999,52.16,52.459999,1200,36.349737
2006-08-11,52.450001,52.450001,52.150002,52.18,2500,36.155724
2006-08-14,52.490002,52.689999,52.48,52.48,8300,36.363595
2006-08-15,52.799999,52.950001,52.790001,52.950001,10200,36.689261
2006-08-16,53.150002,53.150002,53.02,53.119999,18300,36.807053
2006-08-17,53.060001,53.060001,52.860001,53,4600,36.723905
2006-08-18,52.990002,53.169998,52.990002,53.169998,1400,36.841698
2006-08-21,53.110001,53.220001,53.110001,53.150002,9800,36.827842
2006-08-22,53.150002,53.310001,53.150002,53.310001,4900,36.938707
2006-08-23,53.400002,53.400002,52.970001,53.040001,7800,36.751622
2006-08-24,53.240002,53.240002,53.110001,53.139999,400,36.820912
2006-08-25,53.099998,53.169998,53.060001,53.080002,6400,36.779339
2006-08-28,53.150002,53.490002,53.150002,53.439999,21900,37.028782
2006-08-29,53.32,53.52,53.25,53.52,3700,37.084216
2006-08-30,53.619999,53.619999,53.470001,53.5,19100,37.070357
2006-08-31,53.610001,53.709999,53.580002,53.709999,7400,37.215867
2006-09-01,53.849998,53.849998,53.75,53.82,14800,37.292086
2006-09-05,53.849998,53.959999,53.82,53.880001,11000,37.333662
2006-09-06,53.669998,53.900002,53.59,53.810001,103000,37.285159
2006-09-07,53.700001,53.779999,53.599998,53.639999,16200,37.167364
2006-09-08,53.639999,53.790001,53.610001,53.790001,3400,37.2713
2006-09-11,53.599998,53.75,53.5,53.68,11000,37.19508
2006-09-12,53.799999,54.119999,53.73,54.110001,26500,37.493029
2006-09-13,54.080002,54.360001,54.060001,54.330002,6400,37.645469
2006-09-14,54.299999,54.299999,54.139999,54.169998,12700,37.534602
2006-09-15,54.299999,54.330002,54.209999,54.220001,11600,37.569249
2006-09-18,54.099998,54.200001,54,54.049999,11900,37.451454
2006-09-19,54.049999,54.099998,53.950001,54.099998,25600,37.486099
2006-09-20,54.200001,54.279999,54.18,54.189999,13400,37.54846
2006-09-21,54.25,54.25,53.84,53.889999,6900,37.340589
2006-09-22,53.959999,54.080002,53.900002,54.060001,7700,37.458385
2006-09-25,54.23,54.540001,53.970001,54.5,18300,37.763261
2006-09-26,54.389999,54.689999,54.389999,54.689999,57200,37.894912
2006-09-27,54.669998,54.98,54.669998,54.970001,46400,38.088927
2006-09-28,55,55.009998,54.759998,54.959999,92000,38.081996
2006-09-29,54.970001,54.970001,54.759998,54.759998,37400,37.943415
2006-10-02,54.759998,54.98,54.709999,54.77,46400,37.950346
2006-10-03,54.759998,55.09,54.709999,54.91,9700,38.047352
2006-10-04,54.950001,55.09,54.75,55.09,173000,38.309517
2006-10-05,55.150002,55.209999,54.970001,55.18,44500,38.372103
2006-10-06,55.02,55.099998,54.880001,55,27800,38.246931
2006-10-09,54.990002,55.080002,54.799999,55.080002,9700,38.302564
2006-10-10,55.150002,55.240002,55,55.220001,19500,38.39992
2006-10-11,55.150002,55.43,55.150002,55.290001,21600,38.448597
2006-10-12,55.400002,55.630001,55.330002,55.619999,14200,38.678078
2006-10-13,55.619999,55.82,55.549999,55.790001,21900,38.796297
2006-10-16,55.759998,55.82,55.75,55.810001,23500,38.810205
2006-10-17,55.720001,55.98,55.720001,55.93,8000,38.893652
2006-10-18,56.080002,56.25,55.990002,56.169998,30800,39.060546
2006-10-19,56.119999,56.23,56.099998,56.23,18600,39.102271
2006-10-20,56.200001,56.330002,56.119999,56.330002,24600,39.171813
2006-10-23,56.200001,56.73,56.18,56.73,21200,39.449971
2006-10-24,56.5,56.669998,56.349998,56.650002,28500,39.39434
2006-10-25,56.720001,56.849998,56.650002,56.830002,30800,39.519512
2006-10-26,56.950001,56.990002,56.75,56.970001,21000,39.616868
2006-10-27,56.75,56.880001,56.669998,56.700001,156400,39.42911
2006-10-30,56.73,56.790001,56.509998,56.560001,34100,39.331754
2006-10-31,56.759998,56.830002,56.5,56.650002,18500,39.39434
2006-11-01,56.849998,56.900002,56.509998,56.540001,24300,39.317846
2006-11-02,56.400002,56.549999,56.119999,56.279999,40500,39.137041
2006-11-03,56.279999,56.330002,55.900002,56.080002,25300,38.997963
2006-11-06,56.119999,56.799999,56.119999,56.66,38400,39.401293
2006-11-07,56.639999,56.759998,56.5,56.52,36700,39.303938
2006-11-08,56.400002,56.84,56.400002,56.709999,10500,39.436062
2006-11-09,56.599998,56.959999,56.549999,56.639999,22600,39.387385
2006-11-10,56.540001,56.650002,56.5,56.59,13100,39.352615
2006-11-13,56.799999,56.810001,56.470001,56.66,31800,39.401293
2006-11-14,56.720001,56.880001,56.400002,56.77,48700,39.477787
2006-11-15,56.810001,56.869999,56.669998,56.75,44300,39.463879
2006-11-16,56.98,57.110001,56.98,57,28900,39.637729
2006-11-17,56.889999,56.990002,56.790001,56.990002,19000,39.630776
2006-11-20,57.23,57.470001,57.23,57.259998,17500,39.818531
2006-11-21,57.25,57.310001,57.189999,57.25,22500,39.811578
2006-11-22,57.450001,57.459999,57.25,57.34,8100,39.874164
2006-11-24,57.25,57.389999,57.200001,57.34,3800,39.874164
2006-11-27,57.25,57.25,56.599998,56.639999,27000,39.387385
2006-11-28,56.5,56.810001,56.5,56.810001,20700,39.505604
2006-11-29,57,57.330002,57,57.310001,19100,39.853303
2006-11-30,57.439999,57.560001,57.139999,57.41,21400,39.922842
2006-12-01,57.549999,57.59,57.119999,57.349998,13600,39.881117
2006-12-04,57.580002,57.959999,57.580002,57.959999,29900,40.305311
2006-12-05,57.990002,58.099998,57.34,58.099998,24600,40.402666
2006-12-06,58.049999,58.049999,57.91,57.98,42200,40.319219
2006-12-07,58.080002,58.150002,57.779999,57.779999,12900,40.180139
2006-12-08,57.779999,57.860001,57.57,57.77,16100,40.173186
2006-12-11,57.919998,58.07,57.919998,58.07,7500,40.381805
2006-12-12,58.07,58.220001,57.880001,58.220001,16500,40.486116
2006-12-13,58.27,58.299999,58.080002,58.169998,10500,40.451344
2006-12-14,58.25,58.540001,58.25,58.509998,18800,40.68778
2006-12-15,58.599998,58.619999,58.439999,58.509998,15400,40.68778
2006-12-18,58.560001,58.560001,58.290001,58.32,14600,40.555655
2006-12-19,58.32,58.439999,58.099998,58.369999,8400,40.590424
2006-12-20,58.470001,58.490002,58.360001,58.380001,11700,40.59738
2006-12-21,58.380001,58.380001,57.77,57.830002,104800,40.474896
2006-12-22,57.889999,57.889999,57.509998,57.709999,15700,40.390907
2006-12-26,57.799999,58,57.75,58,8200,40.593877
2006-12-27,58,58.490002,58,58.490002,38400,40.936826
