"Index","open","high","low","close","volume","adjusted"
2003-11-07,50.75,50.799999,50.549999,50.549999,184200,31.878482
2003-11-10,50.650002,50.650002,50.150002,50.18,76000,31.645149
2003-11-11,50.189999,50.189999,49.959999,50.07,83600,31.575779
2003-11-12,50.27,50.639999,50.200001,50.639999,132600,31.935239
2003-11-13,50.639999,50.799999,50.529999,50.759998,103300,32.010915
2003-11-14,50.849998,51.02,50.540001,50.610001,183700,31.916321
2003-11-17,50.5,50.5,50,50.290001,135900,31.714519
2003-11-18,50.450001,50.48,49.889999,49.93,204100,31.487491
2003-11-19,49.799999,50.200001,49.799999,50.139999,146300,31.619923
2003-11-20,50,50.299999,49.75,49.830002,163100,31.424429
2003-11-21,50.07,50.07,49.799999,49.950001,118000,31.500104
2003-11-24,50.27,50.68,50.27,50.630001,148800,31.928934
2003-11-25,50.799999,51.130001,50.689999,51.080002,198600,32.212719
2003-11-26,51.27,51.299999,50.93,51.290001,258300,32.345152
2003-11-28,51.259998,51.310001,51.169998,51.310001,95700,32.357765
2003-12-01,51.419998,51.959999,51.349998,51.889999,238700,32.72353
2003-12-02,52,52.049999,51.830002,51.849998,443700,32.698304
2003-12-03,52.099998,52.259998,51.900002,51.900002,434200,32.729838
2003-12-04,52.049999,52.09,51.82,52.080002,383700,32.843352
2003-12-05,52.080002,52.080002,51.549999,51.720001,252600,32.616324
2003-12-08,51.799999,52.209999,51.759998,52.209999,203400,32.925333
2003-12-09,52.470001,52.470001,51.959999,51.959999,242800,32.767674
2003-12-10,52.150002,52.169998,51.66,51.799999,212300,32.666773
2003-12-11,52,52.470001,51.950001,52.130001,322000,32.874883
2003-12-12,52.299999,52.360001,51.939999,52.360001,342400,33.203366
2003-12-15,52.950001,52.950001,51.900002,51.98,484300,32.962393
2003-12-16,52,52.099998,51.720001,52.080002,388400,33.025808
2003-12-17,52.080002,52.099998,51.75,52.080002,368700,33.025808
2003-12-18,52.279999,52.68,52.07,52.66,403100,33.393606
2003-12-19,52.799999,52.799999,52.459999,52.610001,363800,33.3619
2003-12-22,52.650002,52.900002,52.470001,52.889999,374700,33.539457
2003-12-23,52.98,53.18,52.799999,53.07,436800,33.653602
2003-12-24,53.23,53.23,53.07,53.119999,119500,33.685308
2003-12-26,53.200001,53.279999,53.130001,53.240002,140500,33.761406
2003-12-29,53.450001,53.849998,53.310001,53.849998,399400,34.148227
2003-12-30,53.990002,54.009998,53.799999,53.959999,421800,34.217982
2003-12-31,54.119999,54.189999,53.77,53.84,424700,34.141887
2004-01-02,54.099998,54.240002,53.66,53.790001,510800,34.11018
2004-01-05,54.200001,54.27,53.66,54.040001,632000,34.268714
2004-01-06,54.150002,54.150002,53.84,53.950001,533900,34.211642
2004-01-07,54.080002,54.080002,53.66,53.939999,482300,34.205299
2004-01-08,54.099998,54.16,53.91,54.16,625500,34.34481
2004-01-09,54.099998,54.150002,53.75,53.799999,573600,34.116521
2004-01-12,53.950001,53.970001,53.790001,53.970001,374000,34.224325
2004-01-13,54.049999,54.060001,53.490002,53.689999,399700,34.046765
2004-01-14,53.900002,54,53.799999,54,397300,34.243348
2004-01-15,54.450001,54.5,53.919998,54.259998,477700,34.408223
2004-01-16,54.5,54.529999,54.240002,54.41,558900,34.503344
