"Index","open","high","low","close","volume","adjusted"
2003-05-01,113.5,114.519997,113.209999,114.519997,900,27.647419
2003-05-02,115.75,116.699997,115.699997,116.699997,1400,28.173715
2003-05-05,117.669998,117.669998,117.669998,117.669998,100,28.407893
2003-05-06,117.75,117.949997,117.75,117.949997,300,28.47549
2003-05-07,117.25,117.25,116.93,116.949997,400,28.23407
2003-05-08,115.650002,115.650002,115.650002,115.650002,200,27.920225
2003-05-09,115.75,115.75,115.75,115.75,100,27.944367
2003-05-12,117.830002,117.830002,117.830002,117.830002,200,28.446521
2003-05-13,117.800003,118.349998,117.800003,118.110001,1800,28.514118
2003-05-14,119,119,118.150002,118.379997,300,28.579301
2003-05-15,118.599998,119,118.599998,118.900002,600,28.70484
2003-05-16,118.730003,119.199997,118.730003,119.199997,200,28.777265
2003-05-19,117.849998,117.849998,115.75,115.75,1100,27.944367
2003-05-20,116.150002,116.150002,114.169998,115.050003,700,27.775374
2003-05-21,114.849998,114.849998,114.849998,114.849998,100,27.727088
2003-05-22,115.599998,117,115.599998,117,300,28.246142
2003-05-23,116.849998,117.650002,116.849998,117.650002,200,28.403065
2003-05-27,119.949997,120.699997,119.949997,120.650002,400,29.127325
2003-05-28,121.099998,121.599998,120.800003,121.5,800,29.332532
2003-05-29,122.660004,122.919998,122.660004,122.919998,200,29.675348
2003-05-30,122.949997,123.349998,122.949997,123.349998,4200,29.779159
2003-06-02,124.550003,125.300003,124.550003,124.75,300,30.117147
2003-06-03,123.470001,124.25,123.470001,124.25,900,29.996437
2003-06-04,126.849998,126.849998,126.849998,126.849998,100,30.624129
2003-06-05,127.849998,128.5,127.599998,128.5,700,31.022472
2003-06-06,128.300003,131.5,128.25,128.25,4000,30.962117
2003-06-09,126.5,126.5,125.900002,125.900002,300,30.39478
2003-06-10,125.599998,126.349998,125.599998,126.349998,3800,30.503419
2003-06-11,127.300003,127.300003,127.300003,127.300003,100,30.732769
2003-06-12,128.059998,128.059998,128.059998,128.059998,100,30.916247
2003-06-13,127.949997,127.949997,127.550003,127.550003,500,30.793124
2003-06-16,127,128.699997,127,128.699997,200,31.070755
2003-06-17,129,129,129,129,100,31.143182
2003-06-18,129.149994,130.050003,129.149994,130.050003,500,31.396674
2003-06-19,128.949997,128.949997,128.949997,128.949997,100,31.13111
2003-06-20,128.699997,128.699997,127.400002,127.400002,200,30.75691
2003-06-23,126.699997,126.699997,124.5,124.5,900,30.056792
2003-06-24,124.5,124.5,123.25,123.25,700,29.755017
2003-06-25,125.949997,125.949997,125.949997,125.949997,100,30.40685
2003-06-26,125.5,125.5,125.5,125.5,800,30.298212
2003-06-27,127.699997,127.699997,125.599998,125.599998,2500,30.322354
2003-06-30,125.599998,125.599998,125.599998,125.599998,800,30.322354
2003-07-01,123.849998,124.400002,123.849998,124.400002,1000,30.03265
2003-07-02,126.5,128.399994,126.5,128.399994,600,30.998329
2003-07-03,129.25,129.25,129.25,129.25,700,31.203537
2003-07-07,130.5,131.300003,130.5,131.300003,800,31.698449
2003-07-08,132.990005,132.990005,132.990005,132.990005,400,32.106449
2003-07-09,134.699997,134.699997,134.100006,134.100006,500,32.374426
2003-07-10,132.399994,132.399994,132.399994,132.399994,800,31.964009
2003-07-11,133.399994,133.399994,133.300003,133.300003,1100,32.181289
2003-07-14,135.699997,135.899994,135.100006,135.100006,1000,32.615846
2003-07-15,136.25,136.25,134,134,1300,32.350282
2003-07-16,134,134,133.199997,133.199997,1000,32.157145
2003-07-17,129.699997,130.149994,128.399994,128.399994,8000,30.998329
2003-07-18,129.300003,129.300003,128.809998,129.25,1900,31.203537
2003-07-21,32,32,32,32,0,30.901762
2003-07-22,32.450001,32.450001,32.450001,32.450001,0,31.336319
2003-07-23,32.599998,32.599998,32.599998,32.599998,0,31.481169
2003-07-24,32.349998,32.349998,32.349998,32.349998,0,31.239749
2003-07-25,32.580002,32.580002,32.580002,32.580002,0,31.461858
2003-07-28,32.68,32.68,32.68,32.68,0,31.558425
2003-07-29,32.849998,32.849998,32.849998,32.849998,0,31.722589
2003-07-30,32.400002,32.400002,32.400002,32.400002,0,31.288036
2003-07-31,32.380001,32.380001,32.380001,32.380001,0,31.268721
2003-08-01,32.459999,32.459999,32.459999,32.459999,0,31.345974
2003-08-04,32.119999,32.119999,32.119999,32.119999,0,31.017643
2003-08-05,31.959999,31.959999,31.959999,31.959999,0,30.863134
2003-08-06,30.950001,30.950001,30.950001,30.950001,0,29.887799
2003-08-07,31.24,31.24,31.24,31.24,0,30.167845
2003-08-08,30.799999,30.799999,30.799999,30.799999,0,29.742945
2003-08-11,31.35,31.35,31.35,31.35,0,30.27407
2003-08-12,31.6,31.6,31.6,31.6,0,30.51549
2003-08-13,31.700001,31.700001,31.700001,31.700001,0,30.612059
