"Index","open","high","low","close","volume","adjusted"
2007-08-02,10.01,10.01,9.9,9.9,18100,9.9
2007-08-03,9.98,10,9.76,9.76,2600,9.76
2007-08-06,9.69,9.75,9.65,9.75,1500,9.75
2007-08-07,9.87,9.93,9.8,9.84,21200,9.84
2007-08-08,10.03,10.03,10.03,10.03,15000,10.03
2007-08-09,9.91,9.91,9.91,9.91,20000,9.91
2007-08-10,9.73,10.58,9.72,9.79,1500,9.79
2007-08-13,9.79,9.85,9.79,9.85,200,9.85
2007-08-14,9.77,9.77,9.75,9.75,200,9.75
2007-08-15,9.63,9.63,9.63,9.63,800,9.63
2007-08-16,9.63,9.63,9.63,9.63,0,9.63
2007-08-17,10.4,10.4,9.58,9.68,4100,9.68
2007-08-20,9.68,9.68,9.68,9.68,0,9.68
2007-08-21,9.72,9.72,9.72,9.72,5000,9.72
2007-08-22,9.85,9.86,9.85,9.86,4300,9.86
2007-08-23,9.86,9.86,9.86,9.86,0,9.86
2007-08-24,9.95,9.95,9.95,9.95,5000,9.95
2007-08-27,9.94,9.97,9.91,9.91,3400,9.91
2007-08-28,9.91,9.91,9.91,9.91,0,9.91
2007-08-29,9.76,9.79,8.74,9.77,10400,9.77
2007-08-30,9.77,9.77,9.77,9.77,0,9.77
2007-08-31,9.99,10.7,9.93,10.04,9600,10.04
2007-09-04,10.04,10.04,10.04,10.04,0,10.04
2007-09-05,9.9,9.9,9.9,9.9,5000,9.9
2007-09-06,9.9,9.9,9.9,9.9,0,9.9
2007-09-07,9.9,9.9,9.8,9.88,4500,9.88
2007-09-10,9.95,9.95,9.8,9.8,1200,9.8
2007-09-11,9.8,9.8,9.8,9.8,0,9.8
2007-09-12,9.99,9.99,9.99,9.99,5000,9.99
2007-09-13,9.99,9.99,9.99,9.99,0,9.99
2007-09-14,9.99,9.99,9.99,9.99,0,9.99
2007-09-17,10.06,10.06,10.06,10.06,3200,10.06
2007-09-18,10.35,10.35,10.35,10.35,100,10.35
2007-09-19,10.49,10.49,10.49,10.49,2500,10.49
2007-09-20,10.44,10.45,10.38,10.38,2500,10.38
2007-09-21,10.53,10.53,10.53,10.53,2000,10.53
2007-09-24,10.56,10.56,10.47,10.47,1200,10.47
2007-09-25,10.47,10.47,10.47,10.47,0,10.47
2007-09-26,10.5,10.5,10.5,10.5,1000,10.5
2007-09-27,10.5,10.5,10.5,10.5,0,10.5
2007-09-28,10.58,10.58,10.46,10.46,5600,10.46
2007-10-01,10.62,10.62,10.62,10.62,100,10.62
2007-10-02,10.62,10.62,10.62,10.62,0,10.62
2007-10-03,10.6,10.6,10.51,10.51,2100,10.51
2007-10-04,10.51,10.51,10.51,10.51,0,10.51
2007-10-05,10.64,10.72,10.64,10.72,12900,10.72
2007-10-08,10.65,10.65,10.52,10.58,12600,10.58
2007-10-09,10.65,10.69,10.65,10.69,2500,10.69
2007-10-10,10.69,10.69,10.69,10.69,0,10.69
2007-10-11,10.79,10.79,10.79,10.79,100,10.79
2007-10-12,10.73,10.73,10.73,10.73,1000,10.73
2007-10-15,10.8,10.8,10.67,10.68,48300,10.68
2007-10-16,10.62,10.63,10.59,10.59,800,10.59
2007-10-17,10.7,10.7,10.57,10.57,11400,10.57
2007-10-18,10.57,10.57,10.57,10.57,0,10.57
2007-10-19,10.61,10.61,10.4,10.4,400,10.4
2007-10-22,10.33,10.33,10.33,10.33,700,10.33
2007-10-23,10.48,10.49,10.35,10.35,1400,10.35
2007-10-24,10.42,10.42,10.42,10.42,5500,10.42
2007-10-25,10.49,10.49,10.49,10.49,1000,10.49
2007-10-26,10.63,10.65,10.62,10.65,2800,10.65
2007-10-29,10.7,10.72,10.69,10.72,1300,10.72
2007-10-30,10.61,10.63,10.61,10.61,8400,10.61
2007-10-31,10.57,10.7,10.57,10.7,200,10.7
2007-11-01,10.65,10.65,10.52,10.52,5400,10.52
2007-11-02,10.47,10.52,10.45,10.52,3700,10.52
2007-11-05,10.52,10.52,10.52,10.52,0,10.52
2007-11-06,10.52,10.52,10.52,10.52,0,10.52
2007-11-07,10.52,10.52,10.52,10.52,0,10.52
2007-11-08,10.46,10.46,10.32,10.32,3500,10.32
2007-11-09,10.31,10.31,10.3,10.3,2400,10.3
2007-11-12,10.17,10.17,10.12,10.12,1300,10.12
2007-11-13,10.1,10.1,10.04,10.08,10600,10.08
2007-11-14,10.27,10.27,10.27,10.27,100,10.27
2007-11-15,10.15,10.15,10.1,10.1,500,10.1
2007-11-16,10.04,10.07,9.97,9.99,28700,9.99
2007-11-19,10.07,10.07,9.92,9.92,10100,9.92
2007-11-20,10.05,10.05,10.04,10.04,16800,10.04
2007-11-21,10.04,10.04,10.04,10.04,0,10.04
2007-11-23,10.01,10.01,10.01,10.01,500,10.01
2007-11-26,10.08,10.08,9.86,9.86,23100,9.86
2007-11-27,9.86,9.86,9.86,9.86,0,9.86
2007-11-28,10.04,10.09,10.02,10.09,25900,10.09
2007-11-29,10.1,10.13,10.1,10.13,20600,10.13
2007-11-30,10.19,10.2,10.19,10.2,10100,10.2
2007-12-03,10.19,10.19,10.19,10.19,2500,10.19
2007-12-04,10.19,10.19,10.19,10.19,0,10.19
2007-12-05,10.19,10.19,10.19,10.19,0,10.19
2007-12-06,10.36,10.44,10.36,10.44,1000,10.44
2007-12-07,10.44,10.44,10.44,10.44,0,10.44
2007-12-10,10.55,10.55,10.53,10.53,400,10.53
2007-12-11,10.52,10.62,10.36,10.36,400,10.36
2007-12-12,10.36,10.36,10.36,10.36,0,10.36
2007-12-13,10.36,10.36,10.36,10.36,0,10.36
2007-12-14,10.36,10.36,10.36,10.36,0,10.36
2007-12-17,10.29,10.29,10.29,10.29,100,10.29
2007-12-18,10.29,10.29,10.29,10.29,200,10.29
2007-12-19,10.38,10.38,10.36,10.36,2600,10.36
2007-12-20,10.36,10.36,10.36,10.36,0,10.36
2007-12-21,10.36,10.36,10.36,10.36,0,10.36
2007-12-24,10.36,10.36,10.36,10.36,0,10.36
2007-12-26,10.36,10.36,10.36,10.36,0,10.36
2007-12-27,10.36,10.36,10.36,10.36,0,10.36
2007-12-28,10.36,10.36,10.36,10.36,0,10.36
2007-12-31,10.58,10.58,10.55,10.55,2600,10.55
2008-01-02,10.53,10.53,10.41,10.41,5000,10.41
2008-01-03,10.51,10.51,10.51,10.51,1000,10.51
2008-01-04,10.34,10.35,10.27,10.27,7400,10.27
2008-01-07,10.27,10.27,10.27,10.27,0,10.27
2008-01-08,10.21,10.25,10.13,10.13,2400,10.13
2008-01-09,10,10.21,10,10.21,7600,10.21
2008-01-10,10.19,10.19,10.19,10.19,300,10.19
