"Index","open","high","low","close","volume","adjusted"
2007-02-23,50.169998,50.25,49.950001,50.18,97800,44.498356
2007-02-26,50.240002,50.25,49.75,49.990002,15400,44.32987
2007-02-27,48.98,49.169998,48.209999,48.209999,8300,42.751408
2007-02-28,48.200001,48.279999,47.880001,48.16,9300,42.70707
2007-03-01,47.790001,48.110001,47.790001,48.110001,300,42.662732
2007-03-02,47.73,47.73,47.25,47.25,3700,41.900105
2007-03-05,46.549999,47.209999,46.189999,46.23,17700,40.995595
2007-03-06,46.73,46.779999,46.73,46.73,400,41.438982
2007-03-07,47.16,47.16,46.970001,46.970001,3700,41.65181
2007-03-08,46.970001,46.970001,46.970001,46.970001,0,41.65181
2007-03-09,47.5,47.540001,47.330002,47.34,2100,41.979915
2007-03-12,47.610001,47.610001,47.529999,47.529999,2200,42.148401
2007-03-13,47.290001,47.299999,46.299999,46.299999,9400,41.057669
2007-03-14,46.540001,46.549999,46.080002,46.549999,2500,41.279362
2007-03-15,46.549999,46.549999,46.549999,46.549999,0,41.279362
2007-03-16,47.029999,47.279999,46.950001,46.950001,2300,41.634074
2007-03-19,47.560001,47.639999,47.41,47.41,1100,42.041989
2007-03-20,47.389999,47.75,47.389999,47.66,1500,42.263683
2007-03-21,48.650002,48.650002,48.650002,48.650002,100,43.141591
2007-03-22,48.650002,48.650002,48.580002,48.580002,400,43.079517
2007-03-23,48.720001,48.810001,48.720001,48.810001,300,43.283475
2007-03-26,48.82,48.82,48.439999,48.759998,1800,43.274597
2007-03-27,48.330002,48.330002,48.27,48.27,500,42.839723
2007-03-28,48.07,48.07,47.889999,47.889999,2200,42.502471
2007-03-29,48.220001,48.220001,47.779999,47.779999,2100,42.404845
2007-03-30,48.200001,48.200001,47.93,47.939999,1500,42.546845
2007-04-02,48.200001,48.200001,48.02,48.119999,2800,42.706596
2007-04-03,48.169998,48.790001,48.169998,48.790001,6200,43.301224
2007-04-04,48.630001,48.630001,48.380001,48.490002,12700,43.034974
