"Index","open","high","low","close","volume","adjusted"
2007-02-23,49.889999,49.919998,49.75,49.799999,67100,41.162228
2007-02-26,49.950001,49.950001,49.759998,49.759998,1600,41.129166
2007-02-27,49.169998,49.290001,48.139999,48.139999,3600,39.790154
2007-02-28,48.490002,48.490002,48.32,48.330002,4200,39.947201
2007-03-01,48.16,48.360001,48.16,48.360001,300,39.971996
2007-03-02,48,48.049999,47.700001,47.799999,7400,39.509127
2007-03-05,47.259998,47.720001,47.259998,47.419998,17600,39.195037
2007-03-06,47.639999,47.639999,47.639999,47.639999,1200,39.376879
2007-03-07,47.849998,48.110001,47.849998,48.110001,2500,39.765359
2007-03-08,48.32,48.32,48.32,48.32,100,39.938934
2007-03-09,48.299999,48.299999,48.209999,48.209999,700,39.848012
2007-03-12,48.119999,48.119999,48.119999,48.119999,1000,39.773623
2007-03-13,47.529999,47.529999,47.41,47.41,1300,39.186772
2007-03-14,47.080002,47.080002,47.080002,47.080002,100,38.914012
2007-03-15,47.689999,47.759998,47.619999,47.759998,9000,39.476064
2007-03-16,47.630001,47.860001,47.630001,47.669998,6500,39.401674
2007-03-19,47.669998,47.669998,47.669998,47.669998,0,39.401674
2007-03-20,48.200001,48.389999,48.200001,48.389999,2500,39.996792
2007-03-21,49.290001,49.349998,49.279999,49.279999,900,40.732422
2007-03-22,49.349998,49.450001,49.349998,49.41,1300,40.839874
2007-03-23,49.529999,49.529999,49.529999,49.529999,100,40.939059
2007-03-26,49.360001,49.360001,49.360001,49.360001,100,40.872817
2007-03-27,49.189999,49.200001,49.110001,49.200001,2000,40.740328
2007-03-28,49.200001,49.200001,49.200001,49.200001,0,40.740328
2007-03-29,48.84,48.84,48.810001,48.810001,200,40.417387
2007-03-30,48.93,48.93,48.93,48.93,600,40.516753
2007-04-02,48.759998,48.759998,48.759998,48.759998,100,40.375982
2007-04-03,48.759998,48.759998,48.759998,48.759998,0,40.375982
2007-04-04,49.400002,49.43,49.400002,49.400002,1200,40.90594
2007-04-05,49.5,49.669998,49.5,49.630001,5300,41.096392
2007-04-09,49.75,49.759998,49.639999,49.68,4200,41.137795
2007-04-10,49.790001,49.84,49.720001,49.84,800,41.270283
