"Index","open","high","low","close","volume","adjusted"
2014-12-24,25.16,25.16,25.16,25.16,0,24.512669
2014-12-26,25.290001,25.290001,25.290001,25.290001,0,24.639325
2014-12-29,25.27,25.4,25.27,25.4,4000,24.746494
2014-12-30,25.35,25.35,25.26,25.26,4000,24.610096
2014-12-31,25.26,25.26,25.26,25.26,6000,24.610096
2015-01-02,25.108999,25.108999,24.9,24.959999,4200,24.317814
2015-01-05,24.469999,24.5,24.42,24.5,1300,23.86965
2015-01-06,24.499001,24.549999,24.27,24.27,6600,23.645568
2015-01-07,24.379,24.440001,24.379,24.440001,3100,23.811194
2015-01-08,24.809,24.809,24.809,24.809,200,24.1707
2015-01-09,24.629,24.73,24.629,24.73,500,24.093732
2015-01-12,24.549999,24.549999,24.549999,24.549999,100,23.918363
2015-01-13,24.549999,24.549999,24.549999,24.549999,0,23.918363
2015-01-14,24.32,24.32,24.120001,24.120001,500,23.499427
2015-01-15,24.33,24.34,24.18,24.209999,30400,23.58711
2015-01-16,24.23,24.389999,24.23,24.360001,32700,23.733252
2015-01-20,24.43,24.483,24.26,24.483,83800,23.853087
2015-01-21,24.57,24.700001,24.549999,24.610001,90100,23.97682
2015-01-22,24.767,24.969999,24.75,24.950001,75500,24.308073
2015-01-23,24.93,25,24.858999,24.860001,68200,24.220388
2015-01-26,24.84,25.02,24.75,25.02,10600,24.376271
2015-01-27,24.82,24.969999,24.75,24.92,14200,24.278844
2015-01-28,24.92,24.92,24.5,24.51,14600,23.879393
2015-01-29,24.530001,24.700001,24.280001,24.68,297200,24.045019
2015-01-30,24.49,24.75,24.43,24.440001,290600,23.811194
2015-02-02,24.530001,24.77,24.41,24.738001,294200,24.101527
2015-02-03,24.99,25.190001,24.92,25.190001,279000,24.541898
2015-02-04,25.110001,25.200001,25.01,25.09,285500,24.44447
2015-02-05,25.15,25.41,25.15,25.4,533900,24.746494
2015-02-06,25.440001,25.440001,25.26,25.27,4400,24.619839
2015-02-09,25.23,25.27,25.202,25.202,1600,24.553588
2015-02-10,25.190001,25.245001,25.190001,25.245001,900,24.595483
2015-02-11,25.290001,25.379999,25.200001,25.309999,443600,24.658809
2015-02-12,25.51,25.6,25.51,25.57,486500,24.91212
2015-02-13,25.66,25.74,25.620001,25.74,409800,25.077746
2015-02-17,25.73,25.83,25.690001,25.790001,548900,25.126461
2015-02-18,25.67,26.24,25.66,25.860001,438300,25.194659
2015-02-19,25.860001,25.940001,25.84,25.870001,509300,25.204402
2015-02-20,25.84,26,25.83,25.983999,395200,25.315468
2015-02-23,25.969999,25.969999,25.868,25.941,5100,25.273575
2015-02-24,25.959999,26.040001,25.940001,26.030001,485400,25.360286
2015-02-25,26,26.110001,25.983999,26.040001,702900,25.370029
2015-02-26,26.023001,26.023001,25.860001,25.898001,13800,25.231682
2015-02-27,25.91,25.950001,25.860001,25.860001,30100,25.194659
2015-03-02,25.860001,25.93,25.834999,25.912001,13500,25.245322
2015-03-03,25.889999,25.889999,25.83,25.868999,20000,25.203427
2015-03-04,25.719999,25.74,25.681999,25.74,3100,25.077746
2015-03-05,25.790001,25.82,25.73,25.77,3600,25.106975
2015-03-06,25.68,25.68,25.389999,25.41,15800,24.756237
2015-03-09,25.4,25.43,25.4,25.43,300,24.775722
2015-03-10,25.219999,25.219999,25.120001,25.132999,3200,24.486363
2015-03-11,25.120001,25.17,25.09,25.17,7400,24.522412
2015-03-12,25.25,25.370001,25.25,25.370001,26200,24.717267
