"Index","open","high","low","close","volume","adjusted"
2009-07-07,25,25.08,24.58,24.58,0,21.518233
2009-07-08,24.73,24.73,24.25,24.6,0,21.535742
2009-07-09,24.75,24.75,24.6,24.639999,0,21.570759
2009-07-10,24.469999,24.57,24.459999,24.540001,0,21.483217
2009-07-13,24.82,26.200001,24.790001,24.98,0,21.868407
2009-07-14,25.219999,25.24,25.09,25.24,0,22.096021
2009-07-15,25.790001,25.99,25.790001,25.98,0,22.743844
2009-07-16,25.91,26.26,25.85,26.25,0,22.980212
2009-07-17,26.27,26.27,26.129999,26.25,0,22.980212
2009-07-20,26.5,26.559999,26.280001,26.559999,0,23.251597
2009-07-21,26.85,26.85,26.360001,26.690001,0,23.365405
2009-07-22,26.48,26.76,26.48,26.690001,0,23.365405
2009-07-23,26.690001,27.4,26.690001,27.360001,0,23.951948
2009-07-24,27.290001,27.51,27.18,27.51,0,24.083263
2009-07-27,27.530001,27.549999,27.4,27.549999,0,24.118279
2009-07-28,27.450001,27.469999,27.280001,27.32,0,23.916929
2009-07-29,27.129999,27.299999,27.110001,27.299999,0,23.89942
2009-07-30,27.690001,27.879999,27.6,27.67,0,24.223333
2009-07-31,27.620001,27.76,27.6,27.700001,0,24.249596
2009-08-03,28,28.110001,27.879999,28.09,0,24.591016
2009-08-04,28.1,28.209999,28.08,28.209999,0,24.696067
2009-08-05,28.280001,28.280001,27.91,28.139999,0,24.634787
2009-08-06,28.25,28.25,27.950001,28.049999,0,24.555998
2009-08-07,28.450001,28.6,28.450001,28.52,0,24.967454
2009-08-10,28.200001,28.200001,28.16,28.17,0,24.661051
2009-08-11,28.299999,28.299999,27.93,28.040001,0,24.547245
2009-08-12,28.26,28.440001,28.24,28.280001,0,24.757349
2009-08-13,28.389999,28.43,28.360001,28.42,0,24.87991
2009-08-14,28.530001,28.530001,27.98,28.17,0,24.661051
2009-08-17,27.49,27.559999,27.49,27.5,0,24.074508
2009-08-18,27.690001,27.83,27.59,27.809999,0,24.345893
2009-08-19,27.49,28,27.49,27.99,0,24.503472
2009-08-20,27.91,28.09,27.75,28.09,0,24.591016
2009-08-21,28.469999,28.82,28.469999,28.82,0,25.230084
2009-08-24,29.049999,29.049999,28.860001,28.860001,0,25.265103
2009-08-25,28.85,29.09,28.799999,28.799999,0,25.212575
2009-08-26,28.790001,28.82,28.690001,28.76,5800,25.177559
2009-08-27,28.559999,28.91,28.49,28.9,11300,25.300119
2009-08-28,28.83,28.9,28.709999,28.84,1800,25.247594
2009-08-31,28.5,28.6,28.440001,28.6,2100,25.037489
2009-09-01,28.57,28.75,28.02,28.049999,11900,24.555998
2009-09-02,28.01,28.01,27.93,27.969999,3000,24.485963
2009-09-03,28.02,28.02,27.91,27.99,5700,24.503472
2009-09-04,28.34,28.440001,28.34,28.440001,400,24.897419
2009-09-08,28.85,28.85,28.68,28.799999,600,25.212575
2009-09-09,28.889999,29.08,28.82,28.950001,24700,25.343892
2009-09-10,29,29.059999,28.99,29.059999,700,25.440189
2009-09-11,29.290001,29.34,29.200001,29.25,3600,25.606522
2009-09-14,28.99,29.48,28.99,29.48,2300,25.807872
