"Index","open","high","low","close","volume","adjusted"
2006-12-01,25.280001,25.280001,25.059999,25.09,4700,21.173247
2006-12-04,25.35,25.389999,25.35,25.389999,600,21.426414
2006-12-05,25.389999,25.389999,25.389999,25.389999,0,21.426414
2006-12-06,25.57,25.57,25.57,25.57,100,21.578315
2006-12-07,25.559999,25.559999,25.559999,25.559999,300,21.569875
2006-12-08,25.530001,25.530001,25.52,25.52,2800,21.536121
2006-12-11,25.58,25.58,25.559999,25.559999,700,21.569875
2006-12-12,25.57,25.57,25.530001,25.530001,1100,21.54456
2006-12-13,25.57,25.58,25.57,25.58,1900,21.586754
2006-12-14,25.68,25.709999,25.68,25.709999,900,21.696459
2006-12-15,25.709999,25.709999,25.709999,25.709999,0,21.713349
2006-12-18,25.709999,25.709999,25.709999,25.709999,0,21.713349
2006-12-19,25.629999,25.629999,25.629999,25.629999,400,21.645786
2006-12-20,25.719999,25.77,25.719999,25.75,5000,21.747132
2006-12-21,25.700001,25.700001,25.65,25.65,2000,21.662677
2006-12-22,25.6,25.6,25.5,25.549999,1400,21.578222
2006-12-26,25.549999,25.549999,25.549999,25.549999,0,21.578222
2006-12-27,25.74,25.780001,25.74,25.780001,200,21.772469
2006-12-28,25.75,25.809999,25.75,25.809999,8400,21.797805
2006-12-29,25.690001,25.709999,25.690001,25.709999,5100,21.713349
2007-01-03,25.74,25.77,25.52,25.52,3900,21.552886
2007-01-04,25.549999,25.549999,25.48,25.48,700,21.519104
2007-01-05,25.41,25.41,25.41,25.41,300,21.459985
2007-01-08,25.43,25.52,25.43,25.51,3200,21.544441
2007-01-09,25.469999,25.469999,25.41,25.450001,10800,21.493768
2007-01-10,25.32,25.52,25.309999,25.52,8900,21.552886
2007-01-11,25.65,25.65,25.65,25.65,2000,21.662677
2007-01-12,25.709999,25.709999,25.709999,25.709999,200,21.713349
2007-01-16,25.799999,25.82,25.76,25.809999,3900,21.797805
2007-01-17,25.799999,25.85,25.799999,25.809999,400,21.797805
2007-01-18,25.809999,25.809999,25.809999,25.809999,0,21.797805
2007-01-19,25.799999,25.799999,25.799999,25.799999,600,21.789359
2007-01-22,25.85,25.85,25.719999,25.719999,2600,21.721795
2007-01-23,25.809999,25.809999,25.809999,25.809999,100,21.797805
2007-01-24,25.93,26,25.93,26,500,21.958269
2007-01-25,25.780001,25.780001,25.75,25.76,4000,21.755578
2007-01-26,25.690001,25.690001,25.690001,25.690001,100,21.69646
2007-01-29,25.719999,25.719999,25.719999,25.719999,10000,21.721795
2007-01-30,25.799999,25.809999,25.799999,25.799999,4100,21.789359
2007-01-31,25.9,25.98,25.9,25.98,600,21.941378
2007-02-01,26.040001,26.16,26.040001,26.16,2100,22.093397
2007-02-02,26.190001,26.23,26.190001,26.23,3300,22.152515
2007-02-05,26.24,26.25,26.24,26.25,3000,22.169407
2007-02-06,26.200001,26.200001,26.200001,26.200001,2200,22.12718
2007-02-07,26.290001,26.32,26.26,26.26,21700,22.177852
2007-02-08,26.27,26.290001,26.27,26.280001,1900,22.194744
2007-02-09,26.280001,26.280001,26.040001,26.040001,2100,21.992052
2007-02-12,26.09,26.09,26.02,26.040001,2200,21.992052
2007-02-13,26.200001,26.200001,26.200001,26.200001,100,22.12718
2007-02-14,26.25,26.43,26.25,26.43,8100,22.321426
2007-02-15,26.41,26.42,26.41,26.42,1700,22.31298
2007-02-16,26.450001,26.450001,26.379999,26.41,2400,22.304534
2007-02-20,26.459999,26.469999,26.459999,26.469999,1100,22.355207
2007-02-21,26.379999,26.450001,26.370001,26.42,15400,22.31298
2007-02-22,26.4,26.41,26.299999,26.41,7900,22.304534
