"Index","open","high","low","close","volume","adjusted"
2006-12-01,25.18,25.23,25.120001,25.120001,4200,22.607299
2006-12-04,25.549999,25.6,25.549999,25.6,1700,23.039286
2006-12-05,25.73,25.73,25.690001,25.690001,1200,23.120283
2006-12-06,25.76,25.790001,25.76,25.790001,900,23.210281
2006-12-07,25.870001,25.870001,25.73,25.73,1500,23.156281
2006-12-08,25.709999,25.709999,25.709999,25.709999,300,23.138281
2006-12-11,25.67,25.67,25.67,25.67,3100,23.102283
2006-12-12,25.6,25.6,25.59,25.6,600,23.039286
2006-12-13,25.65,25.65,25.65,25.65,100,23.084284
2006-12-14,25.65,25.65,25.65,25.65,0,23.084284
2006-12-15,25.780001,25.780001,25.709999,25.709999,5200,23.177136
2006-12-18,25.709999,25.709999,25.620001,25.620001,2200,23.096004
2006-12-19,25.620001,25.620001,25.620001,25.620001,0,23.096004
2006-12-20,25.75,25.75,25.74,25.74,1000,23.204181
2006-12-21,25.75,25.76,25.559999,25.559999,1000,23.041914
2006-12-22,25.530001,25.530001,25.5,25.530001,1000,23.014871
2006-12-26,25.52,25.559999,25.52,25.549999,700,23.032899
2006-12-27,25.719999,25.719999,25.719999,25.719999,100,23.186151
2006-12-28,25.76,25.790001,25.76,25.790001,200,23.249257
2006-12-29,25.719999,25.719999,25.709999,25.709999,1800,23.177136
2007-01-03,25.76,25.83,25.76,25.83,2800,23.285315
2007-01-04,25.65,25.68,25.58,25.68,3800,23.150093
2007-01-05,25.57,25.57,25.370001,25.459999,1600,22.951765
2007-01-08,25.42,25.6,25.35,25.57,7000,23.050929
2007-01-09,25.549999,25.610001,25.549999,25.610001,500,23.086989
2007-01-10,25.49,25.690001,25.49,25.690001,500,23.159108
2007-01-11,25.959999,25.959999,25.870001,25.91,2900,23.357434
2007-01-12,25.9,26.040001,25.9,26.030001,5200,23.465612
2007-01-16,26.120001,26.120001,25.99,25.99,700,23.429552
2007-01-17,26.07,26.1,26.07,26.1,1800,23.528716
2007-01-18,26.02,26.02,25.92,25.92,200,23.366449
2007-01-19,25.93,25.99,25.9,25.99,2400,23.429552
2007-01-22,25.98,25.98,25.98,25.98,1600,23.420537
2007-01-23,26.059999,26.059999,26.01,26.01,1000,23.447582
2007-01-24,26.120001,26.18,26.120001,26.18,1400,23.600835
2007-01-25,26,26,25.99,25.99,2200,23.429552
2007-01-26,25.92,26,25.92,25.959999,500,23.402507
2007-01-29,26.07,26.190001,26.07,26.09,1800,23.519701
2007-01-30,26.09,26.09,26.09,26.09,0,23.519701
2007-01-31,26.219999,26.41,26.219999,26.41,7100,23.808175
2007-02-01,26.6,26.620001,26.58,26.620001,1200,23.997488
2007-02-02,26.719999,26.73,26.68,26.719999,2000,24.087635
2007-02-05,26.77,26.889999,26.719999,26.799999,15800,24.159753
2007-02-06,26.870001,26.889999,26.83,26.889999,7600,24.240887
2007-02-07,26.93,27.02,26.91,26.98,3400,24.322021
2007-02-08,26.940001,26.98,26.93,26.98,3100,24.322021
2007-02-09,26.959999,26.959999,26.65,26.690001,2800,24.060591
2007-02-12,26.74,26.780001,26.65,26.719999,4100,24.087635
2007-02-13,26.860001,26.860001,26.860001,26.860001,100,24.213844
2007-02-14,27.02,27.24,27.02,27.24,10500,24.556406
2007-02-15,27.280001,27.459999,27.280001,27.459999,34900,24.754732
2007-02-16,27.34,27.35,27.34,27.35,800,24.65557
2007-02-20,27.4,27.59,27.35,27.59,2400,24.871926
2007-02-21,27.559999,27.66,27.540001,27.65,3400,24.926014
2007-02-22,27.780001,27.780001,27.629999,27.67,4900,24.944045
2007-02-23,27.559999,27.639999,27.559999,27.629999,2200,24.907984
2007-02-26,27.57,27.57,27.440001,27.440001,18300,24.736704
2007-02-27,26.84,27.07,26.51,26.51,9500,23.898324
2007-02-28,26.4,26.68,26.4,26.66,9700,24.033546
2007-03-01,26.24,26.620001,26.129999,26.540001,69500,23.925369
2007-03-02,26.360001,26.360001,26.35,26.35,600,23.754087
2007-03-05,26.02,26.200001,26,26,4000,23.438567
2007-03-06,26.049999,26.33,26.049999,26.33,20000,23.736057
2007-03-07,26.23,26.389999,26.23,26.299999,23200,23.709012
2007-03-08,26.41,26.6,26.41,26.549999,1900,23.934382
2007-03-09,26.6,26.639999,26.52,26.59,13700,23.970443
2007-03-12,26.559999,26.75,25.92,26.75,23100,24.11468
2007-03-13,26.629999,26.629999,26.25,26.25,4500,23.663938
2007-03-14,26.139999,26.26,26.1,26.24,1400,23.654923
2007-03-15,26.4,26.450001,26.4,26.42,1200,23.81719
2007-03-16,26.370001,26.370001,26.34,26.34,2000,23.763061
2007-03-19,26.65,26.68,26.65,26.68,400,24.069797
2007-03-20,26.629999,26.82,26.629999,26.799999,2200,24.178056
2007-03-21,26.879999,27.24,26.879999,27.23,9400,24.565988
2007-03-22,27.209999,27.23,27.139999,27.219999,1700,24.556966
2007-03-23,27.299999,27.34,27.280001,27.290001,1800,24.620119
2007-03-26,27.18,27.190001,27.110001,27.190001,1000,24.529902
2007-03-27,27.200001,27.200001,27.08,27.120001,1300,24.466751
2007-03-28,26.98,26.98,26.889999,26.92,1300,24.286317
2007-03-29,27.01,27.01,26.85,26.98,1700,24.340447
2007-03-30,27.01,27.01,26.85,26.969999,1300,24.331425
2007-04-02,27,27.120001,26.98,27.120001,2300,24.466751
2007-04-03,27.370001,27.42,27.370001,27.4,1700,24.719356
2007-04-04,27.43,27.43,27.4,27.41,3900,24.728378
2007-04-05,27.450001,27.530001,27.42,27.51,2100,24.818595
2007-04-09,27.48,27.549999,27.459999,27.459999,2900,24.773486
2007-04-10,27.52,27.549999,27.5,27.530001,3200,24.836639
2007-04-11,27.48,27.48,27.370001,27.370001,2600,24.692293
2007-04-12,27.299999,27.5,27.299999,27.48,1700,24.79153
2007-04-13,27.549999,27.620001,27.52,27.620001,3700,24.917834
2007-04-16,27.75,27.85,27.75,27.83,5100,25.107288
2007-04-17,27.9,28.01,27.9,28,1000,25.260657
2007-04-18,27.969999,28,27.969999,28,2000,25.260657
2007-04-19,28,28,28,28,0,25.260657
2007-04-20,28.190001,28.200001,28.139999,28.17,6300,25.414025
2007-04-23,28.299999,28.299999,28.26,28.27,1500,25.504242
2007-04-24,28.290001,28.290001,28.09,28.27,3600,25.504242
2007-04-25,28.34,28.389999,28.34,28.389999,1500,25.612501
2007-04-26,28.4,28.4,28.309999,28.34,4900,25.567393
2007-04-27,28.26,28.34,28.26,28.299999,1800,25.531306
2007-04-30,28.290001,28.290001,28.01,28.01,5600,25.269678
2007-05-01,27.93,28.01,27.92,28.01,1000,25.269678
