"Index","open","high","low","close","volume","adjusted"
2006-12-01,25.379999,25.379999,24.959999,24.959999,5600,22.719847
2006-12-04,25.34,25.59,25.34,25.59,800,23.293305
2006-12-05,25.74,25.809999,25.74,25.809999,300,23.49356
2006-12-06,25.809999,25.809999,25.809999,25.809999,0,23.49356
2006-12-07,25.74,25.74,25.74,25.74,200,23.429843
2006-12-08,25.67,25.67,25.67,25.67,200,23.366125
2006-12-11,25.67,25.67,25.67,25.67,0,23.366125
2006-12-12,25.629999,25.629999,25.629999,25.629999,400,23.329715
2006-12-13,25.629999,25.629999,25.629999,25.629999,0,23.329715
2006-12-14,25.709999,25.709999,25.709999,25.709999,600,23.402535
2006-12-15,25.65,25.65,25.65,25.65,1000,23.349736
2006-12-18,25.66,25.66,25.26,25.26,500,22.994712
2006-12-19,25.25,25.309999,25.25,25.299999,3000,23.031124
2006-12-20,25.530001,25.530001,25.43,25.440001,1600,23.15857
2006-12-21,25.549999,25.58,25.549999,25.58,700,23.286014
2006-12-22,25.280001,25.280001,25.24,25.24,1200,22.976505
2006-12-26,25.4,25.469999,25.4,25.469999,1100,23.185878
2006-12-27,25.700001,25.700001,25.700001,25.700001,400,23.395253
2006-12-28,25.889999,25.889999,25.889999,25.889999,100,23.568213
2006-12-29,25.76,25.76,25.709999,25.709999,1500,23.404355
2007-01-03,25.67,25.82,25.4,25.4,2700,23.122156
2007-01-04,25.58,25.66,25.49,25.66,1900,23.35884
2007-01-05,25.530001,25.530001,25.280001,25.280001,300,23.012918
2007-01-08,25.18,25.4,25.120001,25.360001,1900,23.085744
2007-01-09,25.290001,25.299999,25.190001,25.299999,30400,23.031124
2007-01-10,25.290001,25.309999,25.25,25.309999,10300,23.040227
2007-01-11,25.639999,25.639999,25.639999,25.639999,10000,23.340633
2007-01-12,25.75,25.809999,25.75,25.809999,14700,23.495388
2007-01-16,25.719999,25.719999,25.719999,25.719999,100,23.413458
2007-01-17,25.76,25.76,25.639999,25.639999,10800,23.340633
2007-01-18,25.4,25.4,25.4,25.4,100,23.122156
2007-01-19,25.299999,25.4,25.299999,25.4,10800,23.122156
2007-01-22,25.5,25.5,25.370001,25.370001,600,23.094847
2007-01-23,25.65,25.65,25.6,25.6,500,23.304221
2007-01-24,25.67,25.84,25.67,25.84,25400,23.522698
2007-01-25,25.84,25.84,25.84,25.84,0,23.522698
2007-01-26,25.42,25.540001,25.42,25.540001,300,23.249602
2007-01-29,25.77,25.77,25.639999,25.639999,1200,23.340633
2007-01-30,25.860001,25.860001,25.860001,25.860001,300,23.540905
2007-01-31,25.809999,25.959999,25.780001,25.959999,2800,23.631935
2007-02-01,26.049999,26.15,26.049999,26.15,1400,23.804897
2007-02-02,26.26,26.26,26.26,26.26,100,23.905033
2007-02-05,26.219999,26.219999,26.129999,26.129999,3400,23.78669
2007-02-06,26.23,26.26,26.139999,26.26,2000,23.905033
2007-02-07,26.26,26.26,26.26,26.26,0,23.905033
2007-02-08,26.440001,26.5,26.43,26.5,1200,24.12351
2007-02-09,26.459999,26.459999,26.120001,26.120001,1600,23.777588
2007-02-12,26.15,26.15,26.09,26.129999,800,23.78669
2007-02-13,26.34,26.34,26.34,26.34,1100,23.977858
2007-02-14,26.549999,26.549999,26.459999,26.459999,5000,24.087096
2007-02-15,26.450001,26.6,26.450001,26.6,1700,24.214542
2007-02-16,26.440001,26.52,26.440001,26.52,400,24.141716
2007-02-20,26.530001,26.75,26.530001,26.75,8000,24.35109
2007-02-21,26.74,26.74,26.68,26.73,1500,24.332883
2007-02-22,26.700001,26.74,26.620001,26.73,2700,24.332883
2007-02-23,26.67,26.709999,26.639999,26.709999,2000,24.314676
2007-02-26,26.6,26.620001,26.52,26.52,3600,24.141716
2007-02-27,26.129999,26.209999,25.58,25.58,13200,23.286014
2007-02-28,25.530001,25.67,25.389999,25.66,7100,23.35884
2007-03-01,25.1,25.74,25.1,25.700001,16800,23.395253
2007-03-02,25.5,25.559999,25.33,25.33,3500,23.058434
2007-03-05,25.190001,25.25,24.85,24.85,4000,22.62148
2007-03-06,25.219999,25.389999,25.15,25.379999,23600,23.103949
2007-03-07,25.299999,25.459999,25.200001,25.309999,48600,23.040227
2007-03-08,25.5,25.67,25.440001,25.48,39100,23.194982
2007-03-09,25.620001,25.65,25.42,25.51,52000,23.222292
2007-03-12,25.65,25.65,25.58,25.65,3300,23.349736
2007-03-13,25.209999,25.219999,25.209999,25.219999,2200,22.958298
2007-03-14,25.07,25.370001,25.07,25.360001,3100,23.085744
2007-03-15,25.59,25.639999,25.530001,25.639999,10000,23.340633
2007-03-16,25.719999,25.719999,25.57,25.57,3000,23.276911
2007-03-19,25.969999,25.969999,25.889999,25.9,4500,23.577317
2007-03-20,25.91,26.030001,25.91,26.030001,2300,23.695659
2007-03-21,26,26.530001,26,26.33,10800,23.968755
2007-03-22,26.35,26.4,26.33,26.33,3600,23.968755
2007-03-23,26.33,26.33,26.33,26.33,0,23.968755
2007-03-26,26.459999,26.459999,26.24,26.43,10900,24.059787
2007-03-27,26.209999,26.219999,26.120001,26.16,6700,23.814
2007-03-28,26.01,26.049999,26,26,10400,23.668349
2007-03-29,26.17,26.17,25.85,26.01,3100,23.677452
2007-03-30,26.18,26.190001,25.969999,26.030001,11400,23.695659
2007-04-02,26.18,26.280001,26.18,26.280001,15900,23.92324
2007-04-03,26.450001,26.59,26.450001,26.559999,38200,24.178128
2007-04-04,26.530001,26.530001,26.43,26.43,2200,24.059787
2007-04-05,26.530001,26.57,26.52,26.549999,4500,24.169025
2007-04-09,26.559999,26.559999,26.450001,26.450001,1200,24.077994
2007-04-10,26.49,26.610001,26.49,26.540001,6000,24.159923
2007-04-11,26.32,26.459999,26.309999,26.35,6300,23.986962
2007-04-12,26.35,26.35,26.35,26.35,0,23.986962
2007-04-13,26.549999,26.59,26.540001,26.59,4600,24.205439
2007-04-16,26.84,27.049999,26.84,27.049999,15800,24.624186
2007-04-17,27.040001,27.08,27.040001,27.08,1000,24.651496
2007-04-18,27.040001,27.040001,26.969999,26.969999,400,24.55136
2007-04-19,26.780001,26.780001,26.74,26.74,200,24.341986
2007-04-20,27.01,27.07,26.98,27.07,2500,24.642392
2007-04-23,27.02,27.040001,26.969999,27.01,2100,24.587774
2007-04-24,26.98,27.030001,26.84,26.969999,6600,24.55136
2007-04-25,27.120001,27.24,27.120001,27.17,7300,24.733425
2007-04-26,27.24,27.35,27.059999,27.32,3100,24.869973
2007-04-27,27.32,27.32,27.32,27.32,0,24.869973
2007-04-30,27.32,27.32,27.32,27.32,0,24.869973
2007-05-01,27.32,27.32,27.32,27.32,0,24.869973
2007-05-02,26.91,27.290001,26.91,27.280001,4800,24.833561
2007-05-03,27.290001,27.290001,27.290001,27.290001,1000,24.842664
2007-05-04,27.370001,27.370001,27.26,27.26,5900,24.815354
2007-05-07,27.530001,27.530001,27.49,27.49,2100,25.024727
2007-05-08,27.219999,27.370001,27.209999,27.370001,3200,24.91549
2007-05-09,27.27,27.65,27.27,27.59,2400,25.11576
2007-05-10,27.15,27.15,27.059999,27.059999,200,24.633289
2007-05-11,27.33,27.41,27.33,27.41,800,24.951902
2007-05-14,27.41,27.41,27.41,27.41,0,24.951902
2007-05-15,27.120001,27.200001,26.91,26.91,1600,24.496741
2007-05-16,27,27.08,26.85,27.08,2000,24.651496
2007-05-17,27.049999,27.110001,27.040001,27.110001,1300,24.678806
2007-05-18,27.110001,27.280001,27.110001,27.26,3400,24.815354
2007-05-21,27.6,27.6,27.6,27.6,200,25.124863
2007-05-22,27.74,27.74,27.74,27.74,400,25.252308
2007-05-23,27.879999,27.879999,27.58,27.58,3800,25.106656
2007-05-24,27.559999,27.559999,27.280001,27.280001,1000,24.833561
2007-05-25,27.379999,27.379999,27.34,27.34,800,24.888179
2007-05-29,27.610001,27.629999,27.58,27.58,1400,25.106656
2007-05-30,27.42,27.74,27.42,27.73,10700,25.243204
2007-05-31,27.799999,27.92,27.77,27.77,1000,25.279618
2007-06-01,27.959999,27.969999,27.959999,27.969999,900,25.461681
2007-06-04,27.950001,28.049999,27.950001,28.049999,1900,25.534507
2007-06-05,27.879999,27.92,27.83,27.83,1800,25.334237
2007-06-06,27.540001,27.59,27.49,27.59,1300,25.11576
2007-06-07,27.389999,27.389999,27.040001,27.040001,500,24.615084
2007-06-08,27.07,27.280001,27.07,27.280001,2500,24.833561
2007-06-11,27.190001,27.35,27.18,27.35,4300,24.897283
2007-06-12,27.27,27.27,27.27,27.27,400,24.824457
2007-06-13,27.209999,27.459999,27.209999,27.459999,400,24.997417
2007-06-14,27.58,27.58,27.58,27.58,200,25.106656
2007-06-15,27.790001,27.85,27.790001,27.82,3500,25.458982
2007-06-18,27.74,27.74,27.73,27.73,500,25.376619
2007-06-19,27.59,27.719999,27.59,27.719999,1800,25.367468
2007-06-20,27.790001,27.83,27.639999,27.639999,1800,25.294257
2007-06-21,27.51,27.549999,27.51,27.549999,800,25.211895
2007-06-22,27.450001,27.49,27.389999,27.389999,1300,25.065474
2007-06-25,27.219999,27.4,27.219999,27.4,14500,25.074626
2007-06-26,27.23,27.23,27.09,27.09,1900,24.790935
2007-06-27,27.030001,27.48,27.030001,27.48,400,25.147836
2007-06-28,27.639999,27.700001,27.57,27.57,1000,25.230198
2007-06-29,27.57,27.57,27.35,27.35,1200,25.02887
2007-07-02,27.719999,27.719999,27.719999,27.719999,1000,25.367468
2007-07-03,27.82,27.870001,27.809999,27.870001,1600,25.504739
2007-07-05,27.780001,27.780001,27.77,27.77,1400,25.413226
2007-07-06,27.940001,28.01,27.940001,27.950001,700,25.57795
2007-07-09,28.02,28.02,27.9,28,2500,25.623706
2007-07-10,27.879999,28,27.52,27.52,10800,25.184443
2007-07-11,27.469999,27.66,27.469999,27.66,1300,25.31256
2007-07-12,27.99,28.1,27.940001,28.1,400,25.715219
2007-07-13,28.02,28.110001,27.98,28.110001,2400,25.724371
2007-07-16,28.110001,28.110001,27.92,27.92,500,25.550495
2007-07-17,28.129999,28.129999,28.040001,28.040001,200,25.660312
2007-07-18,27.620001,27.85,27.620001,27.85,900,25.486436
2007-07-19,28.01,28.01,27.99,27.99,1300,25.614554
2007-07-20,27.360001,27.610001,27.360001,27.5,1800,25.166139
2007-07-23,27.58,27.58,27.58,27.58,200,25.23935
2007-07-24,26.620001,26.620001,26.620001,26.620001,700,24.360824
2007-07-25,26.92,26.93,26.48,26.709999,4800,24.443184
2007-07-26,26.389999,26.42,25.85,25.93,8300,23.729382
2007-07-27,25.719999,26.129999,25.65,25.66,3000,23.482296
2007-07-30,25.700001,25.85,25.5,25.799999,1900,23.610414
2007-07-31,26.120001,26.120001,25.6,25.6,2900,23.427388
2007-08-01,25.65,25.65,25.309999,25.309999,2100,23.161999
2007-08-02,25.889999,25.889999,25.68,25.799999,7200,23.610414
2007-08-03,25.24,25.24,24.780001,24.790001,2200,22.686132
2007-08-06,24.57,25.17,24.57,25.17,11300,23.033881
2007-08-07,25.219999,25.219999,25.219999,25.219999,400,23.079637
2007-08-08,25.48,25.59,24.879999,24.879999,12400,22.768492
2007-08-09,24.780001,24.91,24.559999,24.559999,19300,22.47565
2007-08-10,24.299999,25.25,24.299999,25.209999,6900,23.070486
2007-08-13,25.75,25.860001,25.4,25.450001,11100,23.290119
2007-08-14,25.08,25.16,24.76,24.76,600,22.658677
2007-08-15,24.77,25.120001,24.700001,24.709999,6200,22.612919
2007-08-16,24.6,24.809999,24.01,24.33,18300,22.26517
2007-08-17,25.219999,25.559999,25.219999,25.51,11400,23.345026
2007-08-20,25.559999,25.559999,25.459999,25.51,3600,23.345026
2007-08-21,25.57,25.780001,25.57,25.6,7100,23.427388
