"Index","open","high","low","close","volume","adjusted"
2015-11-19,25.030001,25.030001,24.969999,24.98,6600,24.885271
2015-11-20,25.370001,25.370001,25.09,25.1,8400,25.004817
2015-11-23,25.370001,25.370001,25.1,25.139999,6800,25.044664
2015-11-24,25.120001,25.27,25,25.27,2700,25.174172
2015-11-25,25.25,25.309999,25.24,25.309999,2700,25.21402
2015-11-27,25.33,25.360001,25.33,25.35,11800,25.253869
2015-11-30,25.690001,25.690001,25.243999,25.25,20900,25.154248
2015-12-01,25.33,25.440001,25.33,25.426001,800,25.329581
2015-12-02,25.52,25.52,25.25,25.25,5300,25.154248
2015-12-03,25.42,25.42,24.82,24.83,15900,24.73584
2015-12-04,25.055,25.219999,25.055,25.219999,6000,25.124361
2015-12-07,25.209999,25.209999,25.01,25.01,5400,24.915158
2015-12-08,24.950001,24.950001,24.950001,24.950001,700,24.855386
2015-12-09,24.93,24.98,24.610001,24.639999,2500,24.54656
2015-12-10,24.43,24.799999,24.43,24.799999,2700,24.705954
2015-12-11,24.48,24.49,24.219999,24.219999,5300,24.128153
2015-12-14,24.389999,24.389999,24.200001,24.299999,2200,24.20785
2015-12-15,24.5,24.5,24.5,24.5,200,24.407092
2015-12-16,24.709999,24.809999,24.530001,24.809999,3100,24.715916
2015-12-17,24.749001,24.749001,24.6,24.6,2300,24.506713
2015-12-18,24.25,24.27,24.200001,24.200001,3100,24.10823
2015-12-21,24.24,24.280001,24.24,24.280001,700,24.187927
2015-12-22,24.280001,24.280001,24.280001,24.280001,0,24.187927
2015-12-23,24.530001,24.82,24.530001,24.82,6100,24.725878
2015-12-24,24.85,24.860001,24.84,24.85,1600,24.755765
2015-12-28,24.91,24.91,24.790001,24.790001,600,24.695993
2015-12-29,25.059999,25.059999,24.969999,25.01,2800,24.915158
2015-12-30,24.809999,24.959999,24.809999,24.860001,1800,24.765727
2015-12-31,24.844999,24.844999,24.620001,24.639999,3800,24.54656
2016-01-04,24.639999,24.639999,24.639999,24.639999,0,24.54656
2016-01-05,24.4,24.4,24.34,24.34,500,24.247699
2016-01-06,23.860001,23.879999,23.860001,23.870001,1100,23.779482
2016-01-07,23.27,23.582001,23.27,23.34,1700,23.251491
2016-01-08,23.17,23.200001,23.17,23.200001,300,23.112022
2016-01-11,23.16,23.16,22.790001,22.950001,800,22.862971
2016-01-12,22.780001,22.780001,22.780001,22.780001,200,22.693615
2016-01-13,23.200001,23.200001,22.51,22.51,500,22.424639
2016-01-14,22.219999,22.82,22.200001,22.82,1800,22.733462
2016-01-15,22.700001,22.700001,22.6,22.6,500,22.514297
2016-01-19,22.5,22.5,22,22,600,21.916572
2016-01-20,21.6,22.16,21.6,22.16,1100,22.075965
2016-01-21,22.18,22.18,22.18,22.18,200,22.09589
2016-01-22,22.6,22.6,22.469999,22.507,1900,22.42165
2016-01-25,22.58,22.58,22.24,22.24,2500,22.155662
2016-01-26,22.42,22.42,22.42,22.42,200,22.33498
2016-01-27,22.52,22.6,22.25,22.25,900,22.165624
2016-01-28,22.43,22.43,22.18,22.18,800,22.09589
2016-01-29,22.15,22.85,22.15,22.85,3100,22.763349
2016-02-01,23.07,23.07,23.07,23.07,100,22.982514
2016-02-02,22.59,22.59,22.41,22.41,2900,22.325017
2016-02-03,22.309999,22.35,22.309999,22.35,200,22.265245
2016-02-04,22.629999,22.629999,22.629999,22.629999,200,22.544182
2016-02-05,22.459999,22.459999,22.459999,22.459999,200,22.374827
2016-02-08,21.690001,21.690001,21.58,21.58,1100,21.498165
2016-02-09,21.799999,21.799999,21.67,21.67,200,21.587824
2016-02-10,22.15,23.5,21.9,23.5,3500,23.410884
2016-02-11,21.719999,23.190001,21.719999,23.190001,500,23.10206
2016-02-12,21.879999,21.879999,21.879999,21.879999,300,21.797027
2016-02-16,22.43,22.43,22.43,22.43,200,22.344942
2016-02-17,22.790001,22.889999,22.790001,22.860001,500,22.773312
2016-02-18,22.780001,22.780001,22.780001,22.780001,200,22.693615
2016-02-19,22.889999,22.889999,22.639999,22.809999,500,22.7235
2016-02-22,23.174999,23.174999,23.174999,23.174999,400,23.087116
2016-02-23,23.02,23.02,23.02,23.02,200,22.932705
2016-02-24,23.09,23.110001,23.09,23.110001,200,23.022364
2016-02-25,23.360001,24,23.15,23.99,1300,23.899026
2016-02-26,23.43,23.52,23.43,23.51,600,23.420846
2016-02-29,23.700001,24.07,23.700001,23.84,1200,23.749595
2016-03-01,23.82,23.826,23.48,23.826,2000,23.735648
2016-03-02,23.889999,23.959999,23.889999,23.959999,300,23.869139
2016-03-03,24.25,25.57,23.937,24.690001,2200,24.596372
2016-03-04,24.43,24.43,24.059999,24.200001,9200,24.10823
2016-03-07,24.280001,24.311001,24.167,24.311001,1300,24.218809
2016-03-08,24.059999,24.115,24.059999,24.115,1000,24.023552
2016-03-09,24.002001,24.1,24.002001,24.1,800,24.008609
2016-03-10,24.1,24.1,24.1,24.1,0,24.008609
2016-03-11,24.290001,24.48,24.290001,24.48,500,24.387167
2016-03-14,24.48,24.48,24.48,24.48,0,24.387167
2016-03-15,24.299999,24.33,24.299999,24.33,400,24.237737
2016-03-16,24.33,24.33,24.33,24.33,0,24.237737
2016-03-17,24.549999,24.700001,24.549999,24.700001,5900,24.606334
2016-03-18,24.700001,24.700001,24.700001,24.700001,0,24.606334
2016-03-21,24.889999,24.889999,24.889999,24.889999,2900,24.795612
2016-03-22,25.120001,25.120001,25.120001,25.120001,100,25.024742
2016-03-23,24.75,24.75,24.75,24.75,100,24.656144
2016-03-24,24.49,24.504999,24.49,24.504999,400,24.412072
2016-03-28,24.504999,24.504999,24.504999,24.504999,0,24.412072
2016-03-29,24.65,24.993,24.65,24.993,600,24.898222
2016-03-30,25.136,25.136,25.136,25.136,200,25.04068
2016-03-31,25.17,25.17,25.17,25.17,100,25.074551
2016-04-01,25.23,25.23,25.23,25.23,100,25.134323
2016-04-04,25.129999,25.139999,25.129999,25.139999,1500,25.044664
2016-04-05,25,25,24.9,24.9,1300,24.805575
2016-04-06,25.02,25.02,25.02,25.02,600,24.92512
2016-04-07,24.709999,24.709999,24.709999,24.709999,100,24.616295
2016-04-08,24.879999,24.879999,24.879999,24.879999,100,24.78565
2016-04-11,24.9,24.9,24.9,24.9,800,24.805575
2016-04-12,25.059999,25.059999,24.74,24.879999,500,24.78565
2016-04-13,25.190001,25.309999,25.190001,25.309999,800,25.21402
2016-04-14,25.308001,25.308001,25.308001,25.308001,300,25.212028
2016-04-15,25.267,25.267,25.267,25.267,600,25.171184
2016-04-18,25.645,25.645,25.645,25.645,100,25.54775
2016-04-19,25.860001,25.860001,25.860001,25.860001,200,25.761935
2016-04-20,25.98,26.02,25.67,25.695,1900,25.59756
2016-04-21,25.34,25.649,25.34,25.549999,4600,25.453109
2016-04-22,25.6,25.6,25.6,25.6,300,25.502921
2016-04-25,25.82,25.82,25.540001,25.540001,1500,25.443149
2016-04-26,25.709999,25.709999,25.641001,25.641001,800,25.543766
2016-04-27,25.629,25.75,25.629,25.75,300,25.652352
2016-04-28,25.639999,25.639999,25.379,25.379,400,25.282758
2016-04-29,25.379,25.379,25.379,25.379,0,25.282758
2016-05-02,25.33,25.462,25.33,25.462,200,25.365444
2016-05-03,25.01,25.139999,25.01,25.139999,200,25.044664
2016-05-04,25.030001,25.030001,24.952,24.952,600,24.857378
2016-05-05,25.01,25.24,24.940001,25.24,1100,25.144285
2016-05-06,24.851999,25.280001,24.82,25.280001,900,25.184135
2016-05-09,25.280001,25.280001,25.280001,25.280001,0,25.184135
2016-05-10,25.49,25.49,25.320999,25.320999,300,25.224978
2016-05-11,25.08,25.08,25.08,25.08,100,24.984892
2016-05-12,25.389999,25.389999,24.895,25.009001,2300,24.914162
2016-05-13,24.82,24.82,24.82,24.82,200,24.725878
2016-05-16,25.040001,25.139999,25.040001,25.1,400,25.004817
2016-05-17,25.02,25.02,25.02,25.02,500,24.92512
2016-05-18,24.99,24.99,24.818001,24.818001,1600,24.723887
2016-05-19,24.790001,24.790001,24.790001,24.790001,1400,24.695993
2016-05-20,25.059999,25.23,25.030001,25.08,3300,24.984892
2016-05-23,25.450001,26.184,25.18,25.924999,3700,25.826687
2016-05-24,25.5,25.5,25.379999,25.448,500,25.351497
2016-05-25,25.662001,25.662001,25.662001,25.662001,200,25.564686
2016-05-26,25.67,25.68,25.67,25.68,200,25.582617
2016-05-27,25.780001,25.799999,25.77,25.799999,2900,25.702161
2016-05-31,26.110001,26.110001,25.879999,25.879999,600,25.781858
2016-06-01,26.08,26.08,25.9,26.01,2800,25.911366
2016-06-02,26,26.049,26,26.049,500,25.950218
2016-06-03,25.959999,25.959999,25.870001,25.9,1000,25.801783
2016-06-06,26.07,27.290001,26.049999,26.5,2800,26.399508
2016-06-07,26.177,26.34,26.177,26.280001,1500,26.180343
2016-06-08,26.59,26.59,26.216,26.34,5000,26.240114
2016-06-09,26.200001,26.200001,26.198,26.198,500,26.098653
2016-06-10,25.753,25.753,25.753,25.753,800,25.655341
2016-06-13,25.753,25.753,25.753,25.753,0,25.655341
2016-06-14,25.440001,25.51,25.440001,25.469999,19800,25.373413
2016-06-15,25.65,25.65,25.65,25.65,400,25.552731
2016-06-16,26.02,26.02,25.309999,25.59,1300,25.492959
2016-06-17,25.5,25.5,25.5,25.5,200,25.4033
2016-06-20,25.92,25.92,25.92,25.92,200,25.852121
2016-06-21,25.74,25.780001,25.68,25.76,5700,25.69254
2016-06-22,25.870001,25.870001,25.690001,25.690001,4000,25.622724
2016-06-23,25.962,25.962,25.962,25.962,300,25.894011
2016-06-24,25.33,25.33,25,25,3400,24.93453
2016-06-27,25.1,25.24,25.1,25.24,1400,25.173902
2016-06-28,24.870001,25,24.65,24.799999,6000,24.735053
2016-06-29,25.139999,25.299999,25.127001,25.299999,1500,25.233744
2016-06-30,25.6,25.6,25.6,25.6,100,25.532959
2016-07-01,25.99,25.99,25.620001,25.66,3400,25.592802
2016-07-05,25.790001,25.790001,25.469999,25.469999,23300,25.403299
2016-07-06,25.4,25.58,25.4,25.58,2000,25.513011
2016-07-07,25.459999,25.709999,25.459999,25.709999,1200,25.64267
2016-07-08,26.059999,26.190001,26.059999,26.190001,1300,26.121414
2016-07-11,26.889999,26.889999,26.26,26.26,200,26.191231
2016-07-12,26.84,26.84,26.549999,26.549999,3300,26.48047
