"Index","open","high","low","close","volume","adjusted"
2010-05-07,24,24.389999,23.65,23.65,5600,20.925958
2010-05-10,24.719999,24.719999,24.629999,24.629999,3000,21.79308
2010-05-11,24.18,24.5,24.16,24.5,5600,21.678055
2010-05-12,24.85,24.879999,24.85,24.879999,700,22.014285
2010-05-13,24.93,24.93,24.93,24.93,1000,22.058527
2010-05-14,24.93,24.93,24.93,24.93,0,22.058527
2010-05-17,24.25,24.25,24.25,24.25,4100,21.45685
2010-05-18,24.25,24.25,24.25,24.25,0,21.45685
2010-05-19,23.860001,23.860001,23.860001,23.860001,700,21.111771
2010-05-20,23.860001,23.860001,23.860001,23.860001,0,21.111771
2010-05-21,23.860001,23.860001,23.860001,23.860001,0,21.111771
2010-05-24,23.860001,23.860001,23.860001,23.860001,0,21.111771
2010-05-25,22.559999,22.559999,22.48,22.48,1300,19.890721
2010-05-26,22.48,22.48,22.48,22.48,0,19.890721
2010-05-27,22.48,22.48,22.48,22.48,0,19.890721
2010-05-28,22.48,22.48,22.48,22.48,0,19.890721
2010-06-01,22.48,22.48,22.48,22.48,0,19.890721
2010-06-02,22.48,22.48,22.48,22.48,0,19.890721
2010-06-03,22.48,22.48,22.48,22.48,0,19.890721
2010-06-04,22.48,22.48,22.48,22.48,0,19.890721
2010-06-07,22.530001,22.530001,22.530001,22.530001,500,19.934963
2010-06-08,22.370001,22.370001,22.370001,22.370001,1000,19.793392
2010-06-09,22.75,22.959999,22.75,22.91,2400,20.271193
2010-06-10,22.91,22.91,22.91,22.91,0,20.271193
2010-06-11,22.91,22.91,22.91,22.91,0,20.271193
2010-06-14,22.91,22.91,22.91,22.91,0,20.271193
2010-06-15,22.91,22.91,22.91,22.91,0,20.271193
2010-06-16,22.91,22.91,22.91,22.91,0,20.271193
2010-06-17,22.91,22.91,22.91,22.91,0,20.271193
2010-06-18,22.91,22.91,22.91,22.91,0,20.271193
2010-06-21,22.91,22.91,22.91,22.91,0,20.271193
2010-06-22,22.91,22.91,22.91,22.91,0,20.271193
2010-06-23,22.91,22.91,22.91,22.91,0,20.32976
2010-06-24,22.91,22.91,22.91,22.91,0,20.32976
2010-06-25,22.91,22.91,22.91,22.91,0,20.32976
2010-06-28,22.91,22.91,22.91,22.91,0,20.32976
2010-06-29,22.4,22.4,22.4,22.4,2200,19.877198
2010-06-30,22.4,22.4,22.4,22.4,0,19.877198
2010-07-01,22.4,22.4,22.4,22.4,0,19.877198
2010-07-02,22.4,22.4,22.4,22.4,0,19.877198
2010-07-06,22.4,22.4,22.4,22.4,0,19.877198
2010-07-07,22.4,22.4,22.4,22.4,0,19.877198
2010-07-08,22.4,22.4,22.4,22.4,0,19.877198
2010-07-09,22.4,22.4,22.4,22.4,0,19.877198
2010-07-12,22.4,22.4,22.4,22.4,0,19.877198
2010-07-13,22.4,22.4,22.4,22.4,0,19.877198
2010-07-14,22.4,22.4,22.4,22.4,0,19.877198
2010-07-15,22.4,22.4,22.4,22.4,0,19.877198
2010-07-16,22.4,22.4,22.4,22.4,0,19.877198
2010-07-19,22.4,22.4,22.4,22.4,0,19.877198
2010-07-20,22.93,22.93,22.93,22.93,1000,20.347508
2010-07-21,22.93,22.93,22.93,22.93,0,20.347508
2010-07-22,22.93,22.93,22.93,22.93,0,20.347508
2010-07-23,22.93,22.93,22.93,22.93,0,20.347508
2010-07-26,22.93,22.93,22.93,22.93,0,20.347508
2010-07-27,23.83,23.83,23.790001,23.790001,900,21.110651
2010-07-28,23.790001,23.790001,23.790001,23.790001,0,21.110651
2010-07-29,23.790001,23.790001,23.790001,23.790001,0,21.110651
2010-07-30,23.790001,23.790001,23.790001,23.790001,0,21.110651
2010-08-02,23.780001,23.879999,23.780001,23.879999,1100,21.190513
2010-08-03,23.879999,23.879999,23.879999,23.879999,0,21.190513
2010-08-04,23.879999,23.879999,23.879999,23.879999,0,21.190513
2010-08-05,23.879999,23.879999,23.879999,23.879999,0,21.190513
2010-08-06,23.940001,23.940001,23.940001,23.940001,200,21.243756
2010-08-09,23.940001,23.940001,23.940001,23.940001,0,21.243756
2010-08-10,23.940001,23.940001,23.940001,23.940001,0,21.243756
2010-08-11,23.940001,23.940001,23.940001,23.940001,0,21.243756
2010-08-12,23.940001,23.940001,23.940001,23.940001,0,21.243756
2010-08-13,23.940001,23.940001,23.940001,23.940001,0,21.243756
2010-08-16,23.940001,23.940001,23.940001,23.940001,0,21.243756
