"Index","open","high","low","close","volume","adjusted"
2010-12-08,30.15,30.18,30.120001,30.120001,1400,27.735286
2010-12-09,30.32,30.32,30.200001,30.290001,48200,27.891826
2010-12-10,30.370001,30.4,30.360001,30.389999,1800,27.983908
2010-12-13,30.58,30.58,30.549999,30.549999,800,28.13124
2010-12-14,30.6,30.6,30.6,30.6,1900,28.177282
2010-12-15,30.48,30.58,30.4,30.4,54000,27.993116
2010-12-16,30.299999,30.299999,30.299999,30.299999,300,27.901033
2010-12-17,30.299999,30.299999,30.299999,30.299999,0,27.930531
2010-12-20,30.799999,30.799999,30.629999,30.629999,1100,28.234725
2010-12-21,30.9,31.040001,30.9,31.040001,800,28.612664
2010-12-22,31.08,31.139999,31.08,31.120001,3600,28.686408
2010-12-23,31.08,31.08,31.08,31.08,600,28.649535
2010-12-27,30.91,30.92,30.91,30.92,3000,28.502047
2010-12-28,31.02,31.02,31.02,31.02,400,28.594228
2010-12-29,31.1,31.1,31.1,31.1,500,28.667972
2010-12-30,31.16,31.16,31.16,31.16,1100,28.723279
2010-12-31,31.139999,31.15,31.08,31.15,700,28.714061
2011-01-03,31.34,31.49,31.34,31.370001,45300,28.916858
2011-01-04,31.360001,31.360001,31,31.1,7300,28.667972
2011-01-05,31.18,31.379999,31.18,31.379999,1900,28.926074
2011-01-06,31.32,31.41,31.26,31.26,1000,28.815459
2011-01-07,31.209999,31.209999,31.049999,31.049999,2100,28.621881
2011-01-10,31.190001,31.35,31.190001,31.35,2900,28.898422
2011-01-11,31.360001,31.530001,31.360001,31.469999,63800,29.009037
2011-01-12,31.709999,31.76,31.709999,31.74,1800,29.257923
2011-01-13,31.73,31.83,31.73,31.790001,2000,29.304014
2011-01-14,31.83,31.83,31.83,31.83,200,29.340885
2011-01-18,31.83,31.83,31.83,31.83,0,29.340885
2011-01-19,31.83,31.83,31.83,31.83,0,29.340885
2011-01-20,31.540001,31.549999,31.379999,31.379999,1700,28.926074
2011-01-21,31.549999,31.549999,31.4,31.42,52400,28.962947
2011-01-24,31.610001,31.68,31.610001,31.67,6100,29.193397
2011-01-25,31.57,31.57,31.5,31.5,400,29.036691
2011-01-26,31.879999,31.940001,31.75,31.940001,3700,29.442284
2011-01-27,32.080002,32.099998,32.07,32.099998,2900,29.58977
2011-01-28,32.080002,32.080002,31.52,31.52,8000,29.055128
2011-01-31,31.91,31.91,31.82,31.82,3300,29.331667
2011-02-01,32.189999,32.259998,32.189999,32.259998,700,29.737257
2011-02-02,32.259998,32.259998,32.259998,32.259998,0,29.737257
2011-02-03,32.299999,32.299999,32.09,32.09,600,29.580553
2011-02-04,32.43,32.470001,32.279999,32.470001,2700,29.930838
2011-02-07,32.66,32.77,32.66,32.720001,4700,30.161288
2011-02-08,32.709999,32.790001,32.709999,32.790001,2600,30.225814
2011-02-09,32.700001,32.700001,32.700001,32.700001,200,30.142852
2011-02-10,32.740002,32.830002,32.740002,32.830002,5600,30.262686
2011-02-11,32.779999,33.09,32.779999,33.09,1600,30.502353
2011-02-14,33.130001,33.23,33.130001,33.23,400,30.631404
2011-02-15,33.139999,33.139999,33.139999,33.139999,100,30.548442
2011-02-16,33.330002,33.419998,33.32,33.380001,900,30.769676
2011-02-17,33.380001,33.639999,33.380001,33.639999,500,31.009342
2011-02-18,33.599998,33.610001,33.599998,33.610001,7500,30.981689
2011-02-22,33.200001,33.34,32.779999,32.779999,3900,30.216594
2011-02-23,32.689999,32.689999,32.290001,32.549999,1900,30.00458
2011-02-24,32.599998,32.599998,32.529999,32.599998,400,30.050669
2011-02-25,32.779999,33.009998,32.779999,33.009998,8200,30.428607
2011-02-28,33.220001,33.220001,33.169998,33.169998,2200,30.576095
2011-03-01,32.779999,32.779999,32.610001,32.610001,900,30.059889
2011-03-02,32.779999,32.779999,32.779999,32.779999,200,30.216594
2011-03-03,33.189999,33.34,33.189999,33.310001,2000,30.70515
2011-03-04,33.299999,33.299999,32.950001,33.049999,82000,30.46548
2011-03-07,33.139999,33.139999,33.139999,33.139999,200,30.548442
2011-03-08,32.849998,33.130001,32.740002,33.110001,31000,30.520789
