"Index","open","high","low","close","volume","adjusted"
2010-12-08,30.65,30.68,30.52,30.52,10300,28.639589
2010-12-09,30.77,30.799999,30.77,30.799999,300,28.902337
2010-12-10,30.790001,31.01,30.780001,31.01,4900,29.099399
2010-12-13,31.200001,31.200001,31.120001,31.120001,300,29.202622
2010-12-14,31.120001,31.120001,31.02,31.049999,6500,29.136933
2010-12-15,31.09,31.129999,31.09,31.129999,700,29.212004
2010-12-16,31.049999,31.219999,31.049999,31.219999,1900,29.296459
2010-12-17,31.120001,31.23,31.120001,31.23,1900,29.345321
2010-12-20,31.33,31.610001,31.33,31.5,3500,29.599028
2010-12-21,31.68,31.82,31.629999,31.77,17100,29.852734
2010-12-22,31.879999,31.889999,31.84,31.860001,7700,29.937303
2010-12-23,31.950001,31.950001,31.77,31.77,7400,29.852734
2010-12-27,31.77,31.77,31.77,31.77,0,29.852734
2010-12-28,31.84,31.84,31.83,31.83,300,29.909113
2010-12-29,32.099998,32.099998,31.879999,31.93,2800,30.003078
2010-12-30,31.98,31.98,31.93,31.93,500,30.003078
2010-12-31,31.860001,31.860001,31.719999,31.719999,2500,29.80575
2011-01-03,31.940001,32.310001,31.940001,32.220001,5300,30.275578
2011-01-04,32.16,32.200001,31.469999,31.74,55200,29.824544
2011-01-05,31.6,32.029999,31.6,32.029999,11100,30.097042
2011-01-06,31.98,32.049999,31.940001,31.950001,2100,30.021872
2011-01-07,32.110001,32.110001,31.440001,31.49,9100,29.589631
2011-01-10,31.76,31.93,31.51,31.860001,1400,29.937303
2011-01-11,32.189999,32.189999,31.91,32.049999,17700,30.115835
2011-01-12,32.419998,32.419998,32.200001,32.259998,7500,30.313161
2011-01-13,32.290001,32.380001,32.25,32.25,4600,30.303766
2011-01-14,32.259998,32.549999,32.259998,32.549999,9000,30.585661
2011-01-18,32.310001,32.450001,32.310001,32.450001,2500,30.491697
2011-01-19,32.619999,32.619999,31.76,31.76,3700,29.843337
2011-01-20,31.629999,31.629999,31.200001,31.32,4200,29.42989
2011-01-21,31.360001,31.4,31.049999,31.049999,30400,29.176184
2011-01-24,31.17,31.41,31.17,31.35,3100,29.45808
2011-01-25,31.26,31.26,31.17,31.18,2300,29.298339
2011-01-26,31.780001,32.009998,31.780001,31.879999,4300,29.956094
2011-01-27,32,32,31.83,31.83,2000,29.909113
2011-01-28,32.02,32.02,31.25,31.25,1400,29.364115
2011-01-31,31.389999,31.52,31.379999,31.389999,2100,29.495665
2011-02-01,31.959999,32.07,31.959999,32.07,3000,30.134629
2011-02-02,32.209999,32.209999,31.99,32.040001,1700,30.10644
2011-02-03,31.879999,31.959999,31.879999,31.950001,900,30.021872
2011-02-04,31.93,32.009998,31.93,32.009998,700,30.078248
2011-02-07,32,32.450001,32,32.349998,6900,30.39773
2011-02-08,32.34,32.41,32.34,32.41,700,30.45411
2011-02-09,32.389999,32.389999,32.32,32.349998,1600,30.39773
2011-02-10,32.34,32.419998,32.34,32.400002,3900,30.444715
2011-02-11,32.419998,32.740002,32.419998,32.740002,1300,30.764197
2011-02-14,32.93,32.950001,32.919998,32.919998,900,30.933331
2011-02-15,32.98,32.98,32.709999,32.709999,5000,30.736005
2011-02-16,32.98,32.990002,32.98,32.990002,1300,30.99911
2011-02-17,33.02,33.150002,33.02,33.150002,2000,31.149454
2011-02-18,33.34,33.34,33.25,33.259998,2100,31.252813
2011-02-22,32.950001,33.110001,32.48,32.48,10400,30.519886
2011-02-23,32.650002,32.650002,31.959999,32.150002,2200,30.209803
2011-02-24,32.169998,32.25,31.889999,32.25,13900,30.303766
2011-02-25,32.439999,32.799999,32.439999,32.799999,1200,30.820574
2011-02-28,32.860001,32.889999,32.860001,32.889999,500,30.905143
2011-03-01,33.119999,33.209999,32.470001,32.470001,4500,30.510491
2011-03-02,32.349998,32.59,32.349998,32.59,2400,30.623248
2011-03-03,33.049999,33.25,32.990002,33.18,8000,31.177643
2011-03-04,33.169998,33.169998,32.860001,33.02,88300,31.027299
2011-03-07,32.349998,32.669998,32.349998,32.580002,8100,30.613853
2011-03-08,32.630001,33.09,32.419998,33.049999,56200,31.055487
2011-03-09,33,33,32.810001,32.889999,4000,30.905143
2011-03-10,32.040001,32.040001,31.98,31.99,1000,30.059457
2011-03-11,31.75,31.75,31.75,31.75,300,29.83394
2011-03-14,31.559999,31.700001,31.540001,31.700001,5300,29.786959
2011-03-15,31.139999,31.690001,31.09,31.690001,56400,29.777562
2011-03-16,31.290001,31.389999,31.18,31.18,10900,29.298339
2011-03-17,31.620001,31.620001,31.4,31.4,3700,29.505062
2011-03-18,31.77,31.85,31.77,31.799999,5100,29.904733
2011-03-21,32.43,32.549999,32.400002,32.529999,8800,30.591225
2011-03-22,32.82,32.82,32.41,32.5,5100,30.563014
2011-03-23,32.439999,32.77,32.240002,32.66,10900,30.713478
2011-03-24,32.790001,32.790001,32.740002,32.740002,1100,30.788711
2011-03-25,33,33.259998,33,33.09,6500,31.11785
2011-03-28,33.209999,33.27,32.959999,32.959999,6300,30.995597
2011-03-29,32.900002,33.360001,32.900002,33.34,26300,31.35295
2011-03-30,33.34,33.34,33.34,33.34,0,31.35295
2011-03-31,33.73,33.77,33.709999,33.77,1800,31.757323
2011-04-01,34.110001,34.130001,34.02,34.02,11400,31.992423
2011-04-04,34.119999,34.119999,34.099998,34.099998,800,32.067653
2011-04-05,34.139999,34.27,34.139999,34.27,400,32.227523
2011-04-06,34.400002,34.41,34.400002,34.41,6000,32.359178
2011-04-07,34.139999,34.139999,34.139999,34.139999,1000,32.10527
2011-04-08,33.959999,33.98,33.700001,33.700001,5000,31.691495
2011-04-11,33.869999,33.869999,33.509998,33.509998,7500,31.512817
2011-04-12,33.310001,33.310001,33,33.029999,4300,31.061425
2011-04-13,33.139999,33.139999,32.799999,32.919998,9200,30.95798
2011-04-14,32.709999,33.07,32.52,33.049999,3800,31.080233
2011-04-15,33,33.400002,33,33.400002,5500,31.409376
2011-04-18,32.860001,32.939999,32.77,32.939999,5200,30.976789
2011-04-19,32.849998,32.91,32.830002,32.869999,5200,30.910961
2011-04-20,33.330002,33.450001,33.330002,33.450001,4100,31.456395
2011-04-21,33.59,33.630001,33.490002,33.630001,3600,31.625667
2011-04-25,33.630001,33.630001,33.48,33.580002,1800,31.578648
2011-04-26,33.73,34.16,33.700001,34.040001,16600,32.011231
2011-04-27,34,34.189999,33.900002,34.189999,6300,32.152289
2011-04-28,34.18,34.299999,34.18,34.299999,800,32.255734
2011-04-29,34.439999,35.110001,34.439999,34.57,900,32.509642
2011-05-02,34.610001,34.639999,34.330002,34.330002,3100,32.283948
2011-05-03,33.52,33.560001,33.52,33.540001,800,31.541031
2011-05-04,33.560001,33.560001,33.119999,33.299999,11000,31.315333
2011-05-05,33.119999,33.25,33.119999,33.25,700,31.268314
2011-05-06,33.360001,33.360001,33.099998,33.119999,8200,31.146061
2011-05-09,33.240002,33.509998,33.240002,33.48,1000,31.484606
2011-05-10,33.880001,34.040001,33.880001,34.040001,2200,32.011231
2011-05-11,34.139999,34.139999,33.439999,33.529999,1900,31.531625
2011-05-12,33.700001,33.779999,33.650002,33.779999,1600,31.766725
2011-05-13,33.98,33.98,33.259998,33.389999,14800,31.39997
2011-05-16,33.09,33.330002,32.939999,32.939999,2100,30.976789
2011-05-17,32.73,32.779999,32.709999,32.75,1800,30.798114
2011-05-18,33.060001,33.139999,33.060001,33.139999,900,31.164869
2011-05-19,33.32,33.32,33.139999,33.16,1300,31.183678
2011-05-20,33.16,33.200001,32.950001,33.200001,1600,31.221295
2011-05-23,32.66,32.66,32.560001,32.560001,900,30.619439
2011-05-24,32.43,32.43,32.380001,32.380001,800,30.450167
2011-05-25,32.450001,32.450001,32.450001,32.450001,500,30.515994
2011-05-26,33.18,33.18,33.18,33.18,200,31.202486
2011-05-27,33.509998,33.560001,33.509998,33.560001,700,31.559839
2011-05-31,33.810001,33.810001,33.810001,33.810001,1400,31.79494
2011-06-01,33.849998,33.849998,32.970001,32.970001,1100,31.005003
2011-06-02,32.790001,32.790001,32.790001,32.790001,100,30.835731
2011-06-03,32.52,32.610001,32.360001,32.360001,3600,30.431358
2011-06-06,32.52,32.52,32,32,1600,30.092813
2011-06-07,32.139999,32.25,32.139999,32.25,62800,30.327914
2011-06-08,31.83,31.83,31.83,31.83,800,29.932945
2011-06-09,31.75,31.91,31.75,31.91,1000,30.008177
2011-06-10,31.540001,31.540001,31.360001,31.370001,3600,29.500362
2011-06-13,31.299999,31.299999,31.24,31.24,1200,29.378109
2011-06-14,31.530001,31.93,31.530001,31.93,900,30.026986
2011-06-15,31.709999,31.75,31.43,31.43,5100,29.556786
2011-06-16,31.51,31.58,31.209999,31.57,19500,29.688441
2011-06-17,31.66,31.68,31.450001,31.49,1600,29.666772
2011-06-20,31.440001,31.700001,31.440001,31.549999,4400,29.723297
2011-06-21,32.220001,32.25,32.220001,32.25,1200,30.382769
2011-06-22,32.209999,32.41,32.200001,32.41,36300,30.533505
2011-06-23,31.469999,31.469999,31.469999,31.469999,1000,29.647929
