"Index","open","high","low","close","volume","adjusted"
2007-02-23,50.07,50.110001,49.91,50.080002,6100,43.950288
2007-02-26,50.23,50.23,49.779999,49.82,3000,43.72211
2007-02-27,48.900002,49.200001,48.57,48.59,4900,42.64266
2007-02-28,48.369999,48.560001,48.360001,48.450001,8500,42.519796
2007-03-01,47.52,48.619999,47.52,48.619999,800,42.668987
2007-03-02,48.23,48.23,47.91,47.91,400,42.045891
2007-03-05,47.200001,47.25,46.939999,46.939999,1400,41.194616
2007-03-06,46.939999,46.939999,46.939999,46.939999,0,41.194616
2007-03-07,47.529999,47.669998,47.529999,47.59,3500,41.765059
2007-03-08,47.59,47.59,47.59,47.59,0,41.765059
2007-03-09,48.150002,48.150002,48.110001,48.110001,600,42.221412
2007-03-12,48.040001,48.040001,48.040001,48.040001,200,42.15998
2007-03-13,47.82,47.82,47.82,47.82,100,41.966907
2007-03-14,46.799999,46.799999,46.630001,46.630001,3900,40.922562
2007-03-15,46.630001,46.630001,46.630001,46.630001,0,40.922562
2007-03-16,47.610001,47.799999,47.52,47.52,900,41.703627
2007-03-19,47.959999,48.080002,47.950001,47.950001,500,42.080996
2007-03-20,47.950001,47.950001,47.950001,47.950001,0,42.080996
2007-03-21,48.369999,49.279999,48.369999,49.279999,700,43.248204
2007-03-22,49.349998,49.349998,49.259998,49.259998,200,43.230652
2007-03-23,49.48,49.490002,49.48,49.490002,400,43.432503
2007-03-26,49.400002,49.48,48.959999,49.360001,8900,43.366608
2007-03-27,48.939999,48.939999,48.939999,48.939999,400,42.997604
2007-03-28,48.75,48.830002,48.59,48.830002,700,42.900963
2007-03-29,48.540001,48.540001,48.540001,48.540001,500,42.646174
2007-03-30,48.889999,48.959999,48.669998,48.75,3400,42.830675
2007-04-02,48.93,48.93,48.93,48.93,100,42.988819
2007-04-03,48.990002,49.450001,48.990002,49.450001,1200,43.44568
2007-04-04,49.43,49.43,49.240002,49.43,4700,43.428108
2007-04-05,49.389999,49.540001,49.380001,49.540001,500,43.524752
2007-04-09,49.619999,49.66,49.529999,49.540001,2700,43.524752
2007-04-10,49.689999,49.759998,49.66,49.73,800,43.691681
2007-04-11,49.720001,49.720001,49.439999,49.439999,7000,43.436893
2007-04-12,49.349998,49.84,49.299999,49.759998,4100,43.718037
2007-04-13,49.68,50.040001,49.68,50.02,4100,43.946469
2007-04-16,50.360001,50.650002,50.360001,50.599998,5900,44.456043
2007-04-17,50.59,50.73,50.560001,50.610001,24900,44.46483
2007-04-18,50.490002,50.599998,50.400002,50.599998,4400,44.456043
2007-04-19,50.209999,50.549999,50.209999,50.529999,5700,44.394543
2007-04-20,50.77,50.919998,50.59,50.84,8600,44.666903
2007-04-23,50.990002,51.060001,50.860001,50.950001,4100,44.763547
2007-04-24,50.919998,50.919998,50.52,50.830002,19200,44.658119
2007-04-25,51.139999,51.439999,51.110001,51.43,1300,45.185264
