"Index","open","high","low","close","volume","adjusted"
2006-03-15,20.35,20.440001,20.32,20.43,84600,13.646143
2006-03-16,20.49,20.530001,20.459999,20.5,41500,13.692899
2006-03-17,20.5,20.530001,20.440001,20.440001,29300,13.652822
2006-03-20,20.52,20.52,20.4,20.440001,21800,13.652822
2006-03-21,20.440001,20.450001,20.290001,20.290001,26800,13.552631
2006-03-22,20.41,20.549999,20.4,20.549999,14600,13.726296
2006-03-23,20.540001,20.559999,20.5,20.530001,8900,13.712938
2006-03-24,20.530001,20.59,20.52,20.530001,27700,13.712938
2006-03-27,20.559999,20.559999,20.5,20.52,5200,13.706258
2006-03-28,20.5,20.549999,20.4,20.4,16200,13.626104
2006-03-29,20.4,20.49,20.360001,20.49,15300,13.686219
2006-03-30,20.43,20.49,20.299999,20.309999,6200,13.565989
2006-03-31,20.379999,20.379999,20.25,20.25,8100,13.525912
2006-04-03,20.290001,20.450001,20.290001,20.34,16700,13.586027
2006-04-04,20.34,20.49,20.34,20.469999,13500,13.67286
2006-04-05,20.48,20.5,20.440001,20.5,6500,13.692899
2006-04-06,20.450001,20.450001,20.33,20.370001,33700,13.606066
2006-04-07,20.440001,20.450001,20.190001,20.209999,23800,13.499194
2006-04-10,20.25,20.25,20.15,20.200001,5500,13.492515
2006-04-11,20.25,20.25,20.049999,20.049999,42700,13.392322
2006-04-12,20,20.040001,19.99,20.030001,50400,13.378964
2006-04-13,20.030001,20.07,19.969999,20.01,81900,13.365605
2006-04-17,20.049999,20.08,19.969999,19.969999,9700,13.338887
2006-04-18,20.059999,20.32,20.030001,20.32,17500,13.572668
2006-04-19,20.32,20.32,20.16,20.219999,8300,13.505873
2006-04-20,20.25,20.33,20.25,20.280001,4600,13.545951
2006-04-21,20.299999,20.35,20.27,20.299999,5000,13.559309
2006-04-24,20.25,20.309999,20.200001,20.309999,4600,13.565989
2006-04-25,20.299999,20.299999,20.27,20.280001,4000,13.545951
2006-04-26,20.43,20.43,20.360001,20.389999,1800,13.619424
2006-04-27,20.35,20.75,20.35,20.719999,4600,13.839846
2006-04-28,20.700001,20.9,20.700001,20.9,5600,13.960077
2006-05-01,20.9,20.9,20.75,20.75,8700,13.859885
2006-05-02,20.780001,20.799999,20.75,20.799999,3500,13.893282
2006-05-03,20.77,20.780001,20.73,20.73,3900,13.846526
2006-05-04,20.85,20.85,20.82,20.84,11800,13.920001
2006-05-05,20.9,21.040001,20.870001,21.040001,3500,14.05359
2006-05-08,21.09,21.09,21,21,5100,14.026872
2006-05-09,20.99,21.030001,20.99,21.02,5800,14.040231
2006-05-10,21.01,21.01,20.92,20.93,24300,13.980116
2006-05-11,21,21,20.67,20.75,15000,13.859885
2006-05-12,20.709999,20.709999,20.530001,20.530001,7200,13.712938
2006-05-15,20.6,20.65,20.559999,20.559999,13200,13.732975
2006-05-16,20.68,20.68,20.610001,20.65,1200,13.79309
2006-05-17,20.5,20.5,20.309999,20.469999,5800,13.67286
2006-05-18,20.389999,20.389999,20.209999,20.209999,17500,13.499194
2006-05-19,20.23,20.360001,20.23,20.26,13000,13.532592
2006-05-22,20.299999,20.4,20.23,20.33,8000,13.579348
2006-05-23,20.35,20.4,20.35,20.360001,3200,13.599387
2006-05-24,20.16,20.33,20.16,20.299999,13900,13.559309
2006-05-25,20.33,20.4,20.33,20.4,1400,13.626104
2006-05-26,20.549999,20.629999,20.51,20.629999,9000,13.779731
2006-05-30,20.6,20.6,20.370001,20.370001,3000,13.606066
2006-05-31,20.42,20.530001,20.42,20.43,4100,13.646143
2006-06-01,20.58,20.74,20.58,20.690001,1200,13.819809
2006-06-02,20.85,20.889999,20.790001,20.889999,2700,13.953397
2006-06-05,20.889999,20.889999,20.75,20.75,4800,13.859885
2006-06-06,20.73,20.73,20.5,20.52,7500,13.706258
2006-06-07,20.67,20.77,20.66,20.66,2500,13.79977
2006-06-08,20.65,20.709999,20.49,20.66,24000,13.79977
2006-06-09,20.66,20.74,20.66,20.74,3300,13.853206
2006-06-12,20.73,20.76,20.709999,20.73,3300,13.846526
2006-06-13,20.58,20.629999,20.51,20.51,6000,13.699578
2006-06-14,20.4,20.4,20.129999,20.25,20200,13.525912
2006-06-15,20.389999,20.65,20.389999,20.610001,7700,13.766373
2006-06-16,20.610001,20.610001,20.58,20.6,6600,13.759694
2006-06-19,20.700001,20.700001,20.49,20.49,36700,13.686219
2006-06-20,20.540001,20.59,20.540001,20.540001,6800,13.719617
2006-06-21,20.559999,20.629999,20.540001,20.559999,8600,13.732975
2006-06-22,20.6,20.6,20.48,20.540001,12000,13.719617
2006-06-23,20.42,20.42,20.24,20.27,33000,13.6724
2006-06-26,20.290001,20.370001,20.290001,20.370001,1800,13.739852
2006-06-27,20.389999,20.389999,20.290001,20.290001,1900,13.685891
2006-06-28,20.33,20.370001,20.290001,20.35,5600,13.726361
2006-06-29,20.42,20.66,20.42,20.66,5300,13.93546
2006-06-30,20.74,20.74,20.68,20.719999,2300,13.975931
2006-07-03,20.67,20.75,20.67,20.73,3200,13.982676
2006-07-05,20.73,20.76,20.690001,20.719999,3200,13.975931
2006-07-06,20.75,20.879999,20.74,20.82,17400,14.043382
2006-07-07,20.799999,20.93,20.799999,20.84,14100,14.056873
2006-07-10,20.950001,20.99,20.91,20.91,10400,14.104089
2006-07-11,20.91,20.91,20.76,20.91,11500,14.104089
2006-07-12,20.889999,20.889999,20.719999,20.719999,4300,13.975931
2006-07-13,20.700001,20.700001,20.4,20.41,7500,13.766832
2006-07-14,20.4,20.440001,20.360001,20.440001,4300,13.787068
2006-07-17,20.41,20.440001,20.389999,20.43,2700,13.780322
2006-07-18,20.459999,20.469999,20.34,20.440001,13400,13.787068
2006-07-19,20.620001,20.91,20.620001,20.889999,12800,14.090598
2006-07-20,20.959999,20.98,20.9,20.93,5000,14.117579
2006-07-21,20.9,21.02,20.9,20.91,5800,14.104089
2006-07-24,21.1,21.209999,21.1,21.17,5800,14.279463
2006-07-25,21.24,21.4,21.24,21.4,7100,14.434601
2006-07-26,21.370001,21.540001,21.360001,21.48,10300,14.488562
2006-07-27,21.620001,21.620001,21.360001,21.4,26100,14.434601
2006-07-28,21.5,21.719999,21.5,21.66,5800,14.609974
2006-07-31,21.68,21.68,21.52,21.52,9000,14.515543
2006-08-01,21.58,21.58,21.469999,21.530001,5900,14.522288
2006-08-02,21.68,21.700001,21.57,21.6,19100,14.569504
2006-08-03,21.610001,21.75,21.610001,21.709999,11100,14.6437
2006-08-04,21.889999,21.889999,21.76,21.77,7500,14.684171
2006-08-07,21.82,21.82,21.67,21.67,29600,14.61672
2006-08-08,21.75,21.809999,21.66,21.66,7900,14.609974
2006-08-09,21.889999,21.889999,21.530001,21.6,23700,14.569504
2006-08-10,21.620001,21.620001,21.41,21.58,9400,14.556013
2006-08-11,21.459999,21.48,21.389999,21.48,7300,14.488562
2006-08-14,21.68,21.700001,21.49,21.49,11300,14.495307
2006-08-15,21.74,21.76,21.67,21.76,18500,14.677426
2006-08-16,21.799999,21.85,21.76,21.809999,3200,14.711151
2006-08-17,21.77,21.83,21.74,21.790001,17600,14.697662
2006-08-18,21.889999,21.9,21.860001,21.9,5600,14.771858
2006-08-21,21.9,21.92,21.879999,21.879999,10900,14.758367
2006-08-22,21.9,21.98,21.9,21.940001,28500,14.798839
2006-08-23,21.950001,21.950001,21.870001,21.889999,24300,14.765112
2006-08-24,21.91,21.969999,21.91,21.969999,6100,14.819073
2006-08-25,22,22,21.91,21.98,15800,14.825819
2006-08-28,22.040001,22.1,21.99,22.059999,28600,14.87978
2006-08-29,22.1,22.110001,21.99,22.1,21800,14.906761
2006-08-30,22.200001,22.200001,22.110001,22.16,33800,14.947231
2006-08-31,22.18,22.18,22.040001,22.040001,34500,14.86629
2006-09-01,22.17,22.24,22.09,22.17,54700,14.953977
2006-09-05,22.209999,22.209999,22.16,22.190001,21100,14.967467
2006-09-06,22.190001,22.190001,22.139999,22.15,7700,14.940486
2006-09-07,22.129999,22.129999,21.950001,21.950001,17100,14.805584
2006-09-08,22.15,22.24,21.98,22.09,12500,14.900016
2006-09-11,22.030001,22.129999,22.030001,22.110001,11300,14.913506
2006-09-12,22.139999,22.299999,22.139999,22.280001,22600,15.028174
2006-09-13,22.280001,22.34,22.219999,22.33,16900,15.061899
2006-09-14,22.379999,22.4,22.299999,22.4,22700,15.109115
2006-09-15,22.530001,22.530001,22.35,22.389999,32400,15.102369
2006-09-18,22.4,22.4,22.26,22.35,24900,15.075389
2006-09-19,22.540001,22.540001,22.25,22.370001,131600,15.08888
2006-09-20,22.52,22.549999,22.43,22.540001,150200,15.203547
2006-09-21,22.6,22.6,22.4,22.469999,119000,15.15633
2006-09-22,22.549999,22.549999,22.48,22.51,42900,15.183312
2006-09-25,22.530001,22.549999,22.309999,22.41,99100,15.251368
2006-09-26,22.4,22.43,22.309999,22.43,82900,15.26498
2006-09-27,22.5,22.530001,22.32,22.389999,67800,15.237757
2006-09-28,22.4,22.450001,22.32,22.370001,22400,15.224146
2006-09-29,22.4,22.440001,22.290001,22.34,36200,15.203729
2006-10-02,22.42,22.42,22.27,22.290001,30600,15.169701
2006-10-03,22.25,22.459999,22.25,22.41,45900,15.251368
2006-10-04,22.469999,22.540001,22.32,22.540001,127400,15.339842
2006-10-05,22.549999,22.549999,22.450001,22.51,88300,15.319424
2006-10-06,22.559999,22.559999,22.4,22.469999,55500,15.292201
2006-10-09,22.530001,22.530001,22.4,22.5,49100,15.312619
2006-10-10,22.58,22.6,22.41,22.51,44000,15.319424
2006-10-11,22.530001,22.530001,22.42,22.42,22800,15.258174
2006-10-12,22.469999,22.68,22.469999,22.65,42700,15.414702
