"Index","open","high","low","close","volume","adjusted"
2005-09-30,20.15,20.24,20.049999,20.23,64300,18.316439
2005-10-03,20.25,20.43,20.25,20.309999,14300,18.388872
2005-10-04,20.35,20.379999,20.129999,20.129999,12700,18.225898
2005-10-05,20.1,20.1,19.59,19.59,20600,17.736977
2005-10-06,19.65,19.709999,19.33,19.370001,141800,17.537788
2005-10-07,19.67,19.68,19.65,19.68,35200,17.818464
2005-10-10,19.67,19.67,19.52,19.549999,11400,17.70076
2005-10-11,19.5,19.549999,19.41,19.42,47800,17.583057
2005-10-12,19.25,19.25,18.870001,19.07,98600,17.266164
2005-10-13,18.92,19.200001,18.9,19.200001,84300,17.383868
2005-10-14,19.25,19.33,19.09,19.26,32700,17.438192
2005-10-17,19.360001,19.360001,19.200001,19.23,47500,17.411029
2005-10-18,19.25,19.299999,19.120001,19.120001,60900,17.311435
2005-10-19,19.02,19.540001,19.02,19.540001,38700,17.691707
2005-10-20,19.5,19.5,19.209999,19.219999,75000,17.401975
2005-10-21,19.35,19.459999,19.35,19.440001,17300,17.601166
2005-10-24,19.629999,19.719999,19.549999,19.719999,19000,17.85468
2005-10-25,19.6,19.6,19.48,19.559999,62500,17.709814
2005-10-26,19.65,19.74,19.450001,19.450001,11800,17.61022
2005-10-27,19.129999,19.129999,19.120001,19.120001,2100,17.311435
2005-10-28,19.15,19.33,19.15,19.33,56200,17.50157
2005-10-31,19.690001,19.75,19.690001,19.75,13200,17.881843
2005-11-01,19.620001,19.74,19.620001,19.65,42900,17.791301
2005-11-02,19.75,19.93,19.75,19.93,20800,18.044817
2005-11-03,20.280001,20.309999,20.16,20.16,104600,18.25306
2005-11-04,20.16,20.16,20.059999,20.059999,3300,18.162519
2005-11-07,20.209999,20.280001,20.18,20.26,1400,18.343602
2005-11-08,20.1,20.129999,20.1,20.129999,400,18.225898
2005-11-09,20.129999,20.32,20.129999,20.24,2800,18.325493
2005-11-10,20.110001,20.389999,20.030001,20.389999,4200,18.461304
2005-11-11,20.43,20.48,20.43,20.469999,1800,18.533737
2005-11-14,20.52,20.52,20.389999,20.389999,2600,18.461304
2005-11-15,20.35,20.35,20.139999,20.139999,25700,18.234952
2005-11-16,20.129999,20.129999,19.93,20.01,17600,18.117249
2005-11-17,20.209999,20.42,20.209999,20.42,1700,18.488467
2005-11-18,20.48,20.58,20.459999,20.459999,2200,18.524683
2005-11-21,20.43,20.639999,20.43,20.639999,1600,18.687657
2005-11-22,20.67,20.809999,20.67,20.780001,2300,18.814415
2005-11-23,20.809999,20.879999,20.809999,20.809999,1900,18.841576
2005-11-25,20.82,20.82,20.82,20.82,100,18.850631
2005-11-28,20.77,20.77,20.5,20.5,5800,18.5609
2005-11-29,20.5,20.5,20.5,20.5,0,18.5609
2005-11-30,20.780001,20.780001,20.74,20.75,400,18.787252
2005-12-01,20.91,21.110001,20.9,21.110001,7000,19.1132
2005-12-02,21.040001,21.040001,21.040001,21.040001,600,19.049822
2005-12-05,21.16,21.16,20.93,21.09,3500,19.095092
2005-12-06,21.16,21.280001,21.120001,21.120001,8500,19.122255
2005-12-07,21.049999,21.049999,21,21,900,19.013605
2005-12-08,21.08,21.18,20.950001,21.030001,24500,19.040768
2005-12-09,21.01,21.209999,21.01,21.15,6700,19.149416
2005-12-12,21.25,21.25,21.15,21.15,1900,19.149416
2005-12-13,21.15,21.15,21.15,21.15,100,19.149416
2005-12-14,21.24,21.35,21.200001,21.35,20000,19.330499
2005-12-15,21.379999,21.379999,20.98,20.99,62100,19.004551
2005-12-16,21.049999,21.110001,20.959999,20.969999,117100,18.986442
2005-12-19,20.950001,20.950001,20.809999,20.809999,6000,18.857763
2005-12-20,20.65,20.809999,20.65,20.809999,10500,18.857763
2005-12-21,20.860001,20.959999,20.83,20.83,3300,18.875888
2005-12-22,20.98,21.030001,20.98,21.030001,1900,19.057126
2005-12-23,21.09,21.110001,21.08,21.08,1900,19.102434
2005-12-27,20.85,20.870001,20.85,20.85,3000,18.894012
2005-12-28,20.82,20.82,20.77,20.790001,3000,18.839641
2005-12-29,20.91,20.99,20.879999,20.99,1200,19.020877
2005-12-30,20.719999,20.719999,20.620001,20.719999,1400,18.776206
2006-01-03,20.9,21,20.57,21,2300,19.029939
2006-01-04,20.98,21.110001,20.98,21.110001,2500,19.129621
2006-01-05,21.15,21.209999,21.15,21.209999,4800,19.220238
2006-01-06,21.209999,21.450001,21.209999,21.440001,3700,19.428662
2006-01-09,21.52,21.639999,21.52,21.549999,600,19.528342
2006-01-10,21.48,21.65,21.48,21.65,1400,19.618961
2006-01-11,21.549999,21.66,21.52,21.639999,3500,19.609899
2006-01-12,21.639999,21.639999,21.540001,21.549999,8000,19.528342
2006-01-13,21.620001,21.620001,21.48,21.58,7500,19.555528
2006-01-17,21.549999,21.549999,21.32,21.32,9000,19.319919
2006-01-18,21.280001,21.360001,21.27,21.360001,8500,19.356168
2006-01-19,21.52,21.75,21.52,21.700001,7800,19.664271
2006-01-20,21.83,21.83,21.459999,21.5,65900,19.483033
2006-01-23,21.49,21.610001,21.48,21.58,6800,19.555528
2006-01-24,21.67,21.82,21.67,21.809999,4200,19.763951
2006-01-25,21.84,21.9,21.799999,21.860001,1600,19.809261
2006-01-26,22.049999,22.200001,21.99,22.200001,3800,20.117365
2006-01-27,22.200001,22.379999,22.200001,22.280001,14700,20.18986
2006-01-30,22.35,22.35,22.200001,22.209999,1500,20.126426
2006-01-31,22.200001,22.200001,22.15,22.16,3400,20.081117
2006-02-01,22.190001,22.35,22.190001,22.34,22000,20.244231
2006-02-02,22.32,22.33,21.93,22,2800,19.936127
2006-02-03,21.950001,22.049999,21.950001,21.98,3000,19.918003
2006-02-06,22.1,22.1,21.889999,22.08,11700,20.008622
2006-02-07,22.1,22.1,21.83,21.83,2900,19.782075
2006-02-08,21.790001,21.92,21.709999,21.92,2800,19.863632
2006-02-09,21.950001,22.049999,21.809999,21.809999,3700,19.763951
2006-02-10,21.68,21.68,21.57,21.67,1500,19.637085
2006-02-13,21.75,21.75,21.57,21.57,2500,19.546466
2006-02-14,21.549999,21.870001,21.52,21.870001,2400,19.818323
2006-02-15,21.82,22.030001,21.82,22.030001,3600,19.963313
2006-02-16,22.129999,22.23,22.129999,22.23,1300,20.14455
2006-02-17,22.190001,22.27,22.17,22.219999,6500,20.135488
2006-02-21,22.25,22.25,21.969999,22.09,9100,20.017684
2006-02-22,22.120001,22.27,22.120001,22.24,17000,20.153612
2006-02-23,22.15,22.299999,22.15,22.200001,3900,20.117365
