"Index","open","high","low","close","volume","adjusted"
2016-09-15,24.955,25.200001,24.860001,25.18,6200,25.18
2016-09-16,25.038,25.110001,25.01,25.049999,11500,25.049999
2016-09-19,25.17,25.280001,25.16,25.165001,5500,25.165001
2016-09-20,25.246,25.25,25.15,25.15,6500,25.15
2016-09-21,25.23,25.462,25.145,25.462,15200,25.462
2016-09-22,25.559999,25.68,25.559999,25.65,13800,25.65
2016-09-23,25.5,25.540001,25.493999,25.493999,6500,25.493999
2016-09-26,25.440001,25.440001,25.32,25.35,7400,25.35
2016-09-27,25.33,25.43,25.33,25.41,7200,25.41
2016-09-28,25.459999,25.59,25.379999,25.57,24300,25.57
2016-09-29,25.57,25.57,25.302999,25.361,32800,25.361
2016-09-30,25.41,25.549999,25.4,25.48,17000,25.48
2016-09-30,25.41,25.549999,25.4,25.48,17000,25.48
2016-10-03,25.5,25.5,25.285,25.344999,22200,25.344999
2016-10-04,25.348,25.348,25.059999,25.105,16000,25.105
2016-10-05,25.184999,25.184999,25.122,25.122,3500,25.122
2016-10-06,25.139999,25.209999,25.059999,25.200001,33700,25.200001
2016-10-06,25.139999,25.209999,25.059999,25.200001,33700,25.200001
2016-10-06,25.139999,25.209999,25.059999,25.200001,33700,25.200001
2016-10-06,25.139999,25.209999,25.059999,25.200001,33700,25.200001
