"Index","open","high","low","close","volume","adjusted"
2015-04-09,25.08,25.08,25,25.01,8600,25.01
2015-04-10,25.219999,25.219999,25.18,25.18,2200,25.18
2015-04-13,25.51,25.51,25.219999,25.219999,4600,25.219999
2015-04-14,25,25,24.940001,25,3000,25
2015-04-15,25.17,25.17,25.077999,25.139999,37300,25.139999
2015-04-16,25.49,25.51,25.031,25.08,33900,25.08
2015-04-17,25.42,25.42,24.559999,24.700001,30300,24.700001
2015-04-20,24.889999,25.1,24.860001,25.09,52300,25.09
2015-04-21,25.25,25.32,25.226,25.299999,71600,25.299999
2015-04-22,25.5,25.5,25.110001,25.299999,93500,25.299999
2015-04-23,25.48,25.49,25.16,25.370001,165700,25.370001
2015-04-24,25.68,25.68,25.1,25.18,182900,25.18
2015-04-27,25.25,25.26,24.450001,24.5,193700,24.5
2015-04-28,24.58,24.649,24,24.450001,59400,24.450001
2015-04-29,24.440001,24.634001,24.110001,24.34,50400,24.34
2015-04-30,24.32,24.32,23.58,23.780001,58000,23.780001
2015-05-01,23.700001,24.120001,23.700001,24.117001,39700,24.117001
2015-05-04,24.25,24.530001,24.25,24.370001,77100,24.370001
2015-05-05,24.4,24.4,23.76,23.84,55700,23.84
2015-05-06,24.049999,24.43,23.639999,23.860001,53900,23.860001
2015-05-07,23.889999,24.1,23.540001,23.92,52100,23.92
2015-05-08,24.209999,24.349001,24.01,24.039,32500,24.039
2015-05-11,24.110001,24.32,24.110001,24.209999,33800,24.209999
2015-05-12,24.209999,24.237,23.84,24.209999,35100,24.209999
2015-05-13,24.35,24.35,24.01,24.155001,33200,24.155001
2015-05-14,24.51,24.549999,24.15,24.540001,100100,24.540001
2015-05-15,25.049999,25.049999,24.356001,24.459999,181700,24.459999
2015-05-18,24.5,24.799999,24.4,24.75,191900,24.75
2015-05-19,24.870001,24.9,24.75,24.790001,201400,24.790001
2015-05-20,24.9,24.9,24.677,24.709999,72200,24.709999
2015-05-21,24.719999,24.860001,24.690001,24.809999,173500,24.809999
2015-05-22,24.889999,24.969999,24.84,24.879999,50700,24.879999
2015-05-26,24.98,24.98,24.5,24.6,78100,24.6
2015-05-27,24.610001,25.139999,24.610001,25.129999,112100,25.129999
2015-05-28,25.18,25.35,24.964001,25.09,61100,25.09
2015-05-29,25.34,25.34,24.940001,25.059999,88400,25.059999
2015-06-01,25.360001,25.360001,24.940001,25.209999,105400,25.209999
2015-06-02,25.309999,25.309999,25.07,25.190001,63500,25.190001
2015-06-03,25.49,25.530001,25.191,25.459999,153100,25.459999
2015-06-04,25.5,25.530001,25.173,25.26,131700,25.26
2015-06-05,25.26,25.663,25.101999,25.629999,154800,25.629999
2015-06-08,25.73,25.99,25.4,25.450001,195000,25.450001
2015-06-09,25.450001,25.799999,25,25.5,131900,25.5
2015-06-10,25.709999,25.709999,25.5,25.629999,159300,25.629999
2015-06-11,25.889999,25.889999,25.419001,25.52,151400,25.52
2015-06-12,25.48,25.620001,25.4,25.620001,59200,25.620001
2015-06-15,25.6,25.82,25.209999,25.799999,166000,25.799999
2015-06-16,25.780001,26.01,25.709999,25.93,85700,25.93
2015-06-17,26,26.25,25.940001,26.02,249700,26.02
2015-06-18,26.139999,26.49,26.139999,26.309999,318700,26.309999
2015-06-19,26.5,26.809999,26.065001,26.209999,110300,26.209999
2015-06-22,26.6,26.719999,26.059999,26.209999,199600,26.209999
2015-06-23,26.280001,26.52,26.129999,26.219999,71000,26.219999
2015-06-24,26.200001,26.209999,25.719999,25.799999,129600,25.799999
2015-06-25,25.92,25.959999,25.75,25.9,122200,25.9
2015-06-26,26,26.02,25.35,25.42,254900,25.42
2015-06-29,25.08,25.299999,24.65,24.700001,299400,24.700001
2015-06-30,24.959999,25.120001,24.889999,25.1,83200,25.1
2015-07-01,25.469999,25.52,25.167,25.299999,90000,25.299999
2015-07-02,25.450001,25.450001,24.9,25.09,74600,25.09
2015-07-06,24.870001,25.110001,24.719999,24.82,87800,24.82
2015-07-07,24.85,24.85,24.049999,24.65,118700,24.65
2015-07-08,24.4,24.51,24.200001,24.23,72900,24.23
2015-07-09,24.4,24.972,24.379999,24.450001,56600,24.450001
2015-07-10,24.780001,25.030001,24.709999,24.995001,55400,24.995001
2015-07-13,25.24,25.5,25.1,25.25,146900,25.25
2015-07-14,25.23,25.5,25.23,25.48,81900,25.48
2015-07-15,25.440001,25.555,25.264,25.370001,72400,25.370001
2015-07-16,25.49,25.68,25.49,25.66,97500,25.66
2015-07-17,25.84,26.389999,25.57,25.74,169500,25.74
2015-07-20,25.83,25.940001,25.75,25.790001,142200,25.790001
2015-07-21,25.9,25.9,25.549999,25.74,85000,25.74
2015-07-22,25.280001,25.99,25.25,25.940001,82300,25.940001
2015-07-23,26.08,26.228001,25.83,25.889999,113600,25.889999
2015-07-24,25.93,26.049999,25.299999,25.610001,146000,25.610001
2015-07-27,25.469999,25.549999,25.02,25.16,163200,25.16
2015-07-28,25.280001,25.43,24.940001,25.379999,79400,25.379999
2015-07-29,25.379999,25.389999,24.969999,25.139999,80400,25.139999
2015-07-30,25.09,25.17,24.799999,25.139999,31800,25.139999
2015-07-31,24.98,25.309999,24.98,25.200001,45100,25.200001
2015-08-03,25.24,25.280001,24.83,24.98,130900,24.98
2015-08-04,24.969999,24.99,24.75,24.82,54200,24.82
2015-08-05,24.9,25.23,24.9,25.059999,24300,25.059999
2015-08-06,25.120001,25.15,24.18,24.35,71700,24.35
2015-08-07,24.26,24.5,24.160999,24.5,87300,24.5
2015-08-10,24.73,24.82,24.6,24.67,42200,24.67
2015-08-11,24.450001,24.540001,24.179001,24.32,65600,24.32
2015-08-12,24.1,24.261,23.469999,24.120001,112900,24.120001
2015-08-13,24.16,24.358,24.09,24.15,46400,24.15
2015-08-14,24.15,24.242001,23.985001,24.200001,56700,24.200001
2015-08-17,24.200001,24.57,24.076,24.57,59200,24.57
2015-08-18,24.459999,24.606001,24.43,24.43,25700,24.43
2015-08-19,24.370001,24.52,24.15,24.379999,26700,24.379999
2015-08-20,24.139999,24.162001,23.43,23.459999,113600,23.459999
2015-08-21,23.059999,23.188999,22.089001,22.48,383400,22.48
2015-08-24,20.5,22.379999,20.290001,21.709999,279500,21.709999
2015-08-25,22.870001,22.870001,21.514999,21.514999,76800,21.514999
