"Index","open","high","low","close","volume","adjusted"
2013-08-15,24.68,24.68,24.469999,24.559999,15800,23.814909
2013-08-16,24.58,24.58,24.4,24.450001,25400,23.708247
2013-08-19,24.41,24.42,24.200001,24.209999,7700,23.475526
2013-08-20,24.24,24.549999,24.24,24.51,14800,23.766426
2013-08-21,24.4,24.52,24.309999,24.33,9900,23.591887
2013-08-22,24.58,24.709999,24.58,24.68,7500,23.931269
2013-08-23,24.639999,24.700001,24.620001,24.700001,2800,23.950663
2013-08-26,24.76,24.83,24.639999,24.68,8600,23.931269
2013-08-27,24.360001,24.43,24.1,24.120001,6700,23.388259
2013-08-28,24.1,24.25,24.1,24.17,24200,23.436741
2013-08-29,24.16,24.450001,24.16,24.35,10200,23.61128
2013-08-30,24.280001,24.280001,23.950001,23.950001,7200,23.223416
2013-09-03,24.389999,24.389999,23.9,24.01,3400,23.281595
2013-09-04,24.190001,24.299999,24.190001,24.25,1500,23.514314
2013-09-05,24.34,24.42,24.34,24.379999,7400,23.640369
2013-09-06,24.48,24.52,24.209999,24.379999,21600,23.640369
2013-09-09,24.43,24.790001,24.43,24.790001,36300,24.037932
2013-09-10,24.940001,25.049999,24.92,25.049999,22100,24.290043
2013-09-11,25.02,25.1,24.98,25.1,17600,24.338527
2013-09-12,25.08,25.08,24.940001,24.940001,20700,24.183381
2013-09-13,25.02,25.049999,24.870001,25.040001,16700,24.280348
2013-09-16,25.41,25.41,25,25.139999,51300,24.377313
2013-09-17,25.17,25.35,25.17,25.35,19300,24.580943
2013-09-18,25.34,25.700001,25.129999,25.57,79500,24.794268
2013-09-19,25.719999,25.719999,25.540001,25.58,26900,24.803965
2013-09-20,25.639999,25.639999,25.43,25.450001,16600,24.67791
2013-09-23,25.459999,25.459999,25.25,25.360001,12300,24.59064
2013-09-24,25.5,25.620001,25.389999,25.41,10400,24.639122
2013-09-25,25.49,25.59,25.370001,25.450001,13700,24.67791
2013-09-26,25.5,25.620001,25.43,25.49,12900,24.716695
2013-09-27,25.4,25.5,25.360001,25.459999,23500,24.687605
2013-09-30,25.219999,25.469999,25.15,25.42,6800,24.648819
2013-10-01,25.620001,26.639999,25.620001,25.709999,10800,24.950633
2013-10-02,25.540001,25.67,25.5,25.65,6100,24.892406
2013-10-03,25.6,25.6,25.219999,25.43,11600,24.678904
2013-10-04,25.450001,25.67,25.389999,25.620001,35400,24.863293
2013-10-07,25.33,25.49,25.299999,25.32,29100,24.572152
2013-10-08,25.32,25.32,24.940001,24.969999,35000,24.23249
2013-10-09,25.040001,25.040001,24.799999,24.9,51300,24.164557
2013-10-10,25.59,25.59,25.26,25.48,49800,24.727427
2013-10-11,25.440001,25.799999,25.440001,25.799999,28200,25.037975
2013-10-14,25.68,25.93,25.49,25.93,51700,25.164136
2013-10-15,25.870001,25.889999,25.610001,25.690001,28500,24.931225
2013-10-16,25.790001,26.08,25.780001,25.959999,49500,25.193249
2013-10-17,25.9,26.209999,25.9,26.209999,56400,25.435865
2013-10-18,26.360001,26.48,26.26,26.469999,39700,25.688186
2013-10-21,26.530001,26.620001,26.379999,26.450001,31600,25.668778
2013-10-22,26.6,26.719999,26.48,26.530001,53200,25.746415
2013-10-23,26.440001,26.48,26.379999,26.450001,26700,25.668778
2013-10-24,26.450001,26.58,26.41,26.559999,25300,25.775528
2013-10-25,26.66,26.66,26.549999,26.639999,19200,25.853165
2013-10-28,26.700001,26.700001,26.5,26.58,23900,25.794938
2013-10-29,26.74,26.77,26.57,26.73,18200,25.940507
2013-10-30,26.73,26.74,26.379999,26.51,45400,25.727005
2013-10-31,26.450001,26.620001,26.35,26.440001,41600,25.659073
2013-11-01,26.52,26.58,26.26,26.49,30600,25.707596
2013-11-04,26.6,26.73,26.52,26.73,93500,25.940507
2013-11-05,26.65,26.700001,26.5,26.610001,9100,25.824052
2013-11-06,26.82,26.82,26.469999,26.57,26000,25.785233
2013-11-07,26.66,26.67,26.08,26.1,19400,25.329115
2013-11-08,26.07,26.51,25.84,26.5,42900,25.717301
2013-11-11,26.459999,26.6,26.450001,26.59,12400,25.804642
2013-11-12,26.5,26.6,26.41,26.59,16200,25.804642
2013-11-13,26.41,26.85,26.41,26.85,21000,26.056963
2013-11-14,26.85,26.940001,26.73,26.940001,19700,26.144305
2013-11-15,26.969999,27.030001,26.879999,27.01,15800,26.212237
2013-11-18,27.129999,27.129999,26.77,26.77,10700,25.979326
2013-11-19,26.790001,26.889999,26.58,26.639999,15800,25.853165
2013-11-20,26.809999,26.84,26.6,26.610001,16300,25.824052
2013-11-21,26.74,27.07,26.74,27.01,19400,26.212237
2013-11-22,27.049999,27.16,27.01,27.129999,11600,26.328692
2013-11-25,27.219999,27.23,27.08,27.129999,9500,26.328692
2013-11-26,27.139999,27.299999,27.110001,27.27,19800,26.464558
2013-11-27,27.26,27.379999,27.209999,27.370001,20800,26.561605
2013-11-29,27.48,27.48,27.34,27.34,18800,26.532491
2013-12-02,27.379999,27.379999,27.139999,27.16,42700,26.357807
