"Index","open","high","low","close","volume","adjusted"
2013-08-15,24.77,24.77,24.530001,24.559999,29100,23.230885
2013-08-16,24.540001,24.65,24.440001,24.5,59200,23.174133
2013-08-19,24.450001,24.469999,24.290001,24.290001,21300,22.975498
2013-08-20,24.32,24.51,24.299999,24.450001,30200,23.126839
2013-08-21,24.360001,24.370001,24.25,24.26,24800,22.947121
2013-08-22,24.280001,24.65,24.280001,24.450001,24700,23.126839
2013-08-23,24.51,24.59,24.459999,24.59,4600,23.259263
2013-08-26,24.57,24.620001,24.469999,24.469999,30000,23.145756
2013-08-27,24.23,24.26,24.08,24.08,14800,22.776862
2013-08-28,24.059999,24.209999,24.059999,24.16,8900,22.852533
2013-08-29,24.110001,24.309999,24.110001,24.200001,7700,22.890369
2013-08-30,24.24,24.24,24.049999,24.059999,9400,22.757944
2013-09-03,24.049999,24.32,24.049999,24.139999,38400,22.833614
2013-09-04,24.15,24.389999,24.129999,24.34,11600,23.022792
2013-09-05,24.42,24.43,24.379999,24.41,7800,23.089003
2013-09-06,24.469999,24.530001,24.200001,24.4,20000,23.079544
2013-09-09,24.49,24.65,24.48,24.629999,7900,23.297097
2013-09-10,24.780001,24.82,24.73,24.82,27300,23.476815
2013-09-11,24.85,24.92,24.809999,24.92,13200,23.571404
2013-09-12,24.940001,24.959999,24.83,24.84,26700,23.495733
2013-09-13,24.860001,24.940001,24.85,24.940001,14200,23.590322
2013-09-16,25.219999,25.219999,25.07,25.07,42100,23.713286
2013-09-17,25.129999,25.209999,25.129999,25.200001,8800,23.836252
2013-09-18,25.200001,25.52,25.059999,25.450001,36900,24.072722
2013-09-19,25.549999,25.549999,25.379999,25.41,42100,24.034886
2013-09-20,25.43,25.440001,25.23,25.23,9600,23.864627
2013-09-23,25.16,25.16,25.02,25.08,20500,23.722745
2013-09-24,25.049999,25.200001,25.02,25.030001,20600,23.675452
2013-09-25,25.09,25.129999,24.969999,25,12300,23.647074
2013-09-26,25.049999,25.15,25,25.01,8900,23.656533
2013-09-27,24.969999,25.18,24.9,24.92,16100,23.571404
2013-09-30,24.809999,24.92,24.700001,24.84,28400,23.495733
2013-10-01,24.83,25.07,24.83,24.93,27400,23.614135
2013-10-02,24.879999,24.99,24.809999,24.99,5600,23.670967
2013-10-03,24.940001,24.940001,24.629999,24.809999,27500,23.500468
2013-10-04,24.799999,24.98,24.74,24.93,23500,23.614135
2013-10-07,24.700001,24.85,24.690001,24.74,22500,23.434163
2013-10-08,24.700001,24.76,24.469999,24.48,57300,23.187886
2013-10-09,24.51,24.59,24.379999,24.52,72900,23.225776
2013-10-10,24.9,25,24.780001,25,70700,23.68044
2013-10-11,24.99,25.209999,24.99,25.18,26700,23.850939
2013-10-14,25,25.290001,25,25.27,22400,23.936189
2013-10-15,25.26,25.309999,25.1,25.120001,36900,23.794106
2013-10-16,25.200001,25.450001,25.200001,25.4,46900,24.059326
2013-10-17,25.379999,25.65,25.370001,25.629999,40100,24.277186
2013-10-18,25.709999,25.76,25.639999,25.73,30600,24.371908
2013-10-21,25.74,25.799999,25.690001,25.74,29800,24.38138
2013-10-22,25.82,25.959999,25.799999,25.940001,29700,24.570825
2013-10-23,25.84,25.84,25.709999,25.780001,39800,24.41927
2013-10-24,25.809999,25.860001,25.780001,25.83,19600,24.46663
2013-10-25,26.049999,26.049999,25.84,25.950001,19800,24.580297
2013-10-28,25.969999,26.040001,25.91,25.969999,35000,24.59924
2013-10-29,26.07,26.120001,26.030001,26.110001,98000,24.731852
2013-10-30,26.17,26.18,25.92,26,27100,24.627657
2013-10-31,26.030001,26.15,25.93,25.99,19700,24.618185
2013-11-01,26.030001,26.09,25.879999,26.040001,38700,24.665547
2013-11-04,26.110001,26.209999,26.07,26.209999,51200,24.826572
2013-11-05,26.059999,26.16,26,26.1,20300,24.722379
2013-11-06,26.23,26.27,26.15,26.24,10800,24.854989
2013-11-07,26.299999,26.299999,25.870001,25.870001,32500,24.50452
2013-11-08,25.9,26.200001,25.809999,26.200001,119800,24.817101
2013-11-11,26.24,26.280001,26.209999,26.27,44100,24.883406
2013-11-12,26.219999,26.26,26.129999,26.200001,16600,24.817101
2013-11-13,26.110001,26.440001,26.110001,26.440001,28100,25.044433
2013-11-14,26.440001,26.57,26.41,26.549999,33800,25.148626
2013-11-15,26.59,26.639999,26.540001,26.6,22400,25.195988
2013-11-18,26.690001,26.690001,26.48,26.540001,26700,25.139156
2013-11-19,26.540001,26.610001,26.440001,26.5,33600,25.101266
2013-11-20,26.48,26.549999,26.299999,26.370001,19700,24.978128
2013-11-21,26.59,26.65,26.51,26.629999,5100,25.224403
2013-11-22,26.629999,26.75,26.6,26.75,24600,25.33807
2013-11-25,26.799999,26.799999,26.700001,26.719999,9000,25.309653
2013-11-26,26.68,26.780001,26.68,26.709999,17000,25.300181
2013-11-27,26.549999,26.790001,26.549999,26.790001,19600,25.37596
2013-11-29,26.809999,26.879999,26.77,26.77,13100,25.357015
2013-12-02,26.76,26.84,26.66,26.67,34300,25.262293
2013-12-03,26.620001,26.68,26.51,26.610001,18000,25.20546
2013-12-04,26.51,26.690001,26.370001,26.6,21000,25.195988
2013-12-05,26.530001,26.530001,26.4,26.440001,15000,25.044433
2013-12-06,26.610001,26.76,26.610001,26.700001,44500,25.29071
2013-12-09,26.860001,26.860001,26.74,26.780001,40600,25.366488
2013-12-10,26.690001,26.77,26.67,26.700001,28900,25.29071
2013-12-11,26.67,26.67,26.34,26.34,18000,24.949711
2013-12-12,26.25,26.370001,26.18,26.27,128300,24.883406
2013-12-13,26.33,26.35,26.200001,26.280001,20100,24.892879
2013-12-16,26.35,26.52,26.35,26.48,26100,25.082321
2013-12-17,26.48,26.49,26.35,26.379999,60800,24.987599
2013-12-18,26.379999,26.82,26.290001,26.82,68300,25.404375
2013-12-19,26.77,26.82,26.719999,26.82,60000,25.404375
2013-12-20,26.99,27,26.870001,26.940001,24900,25.518042
2013-12-23,27.01,27.030001,26.92,26.98,31900,25.648279
2013-12-24,27,27.08,27,27.07,22800,25.733836
2013-12-26,27.129999,27.23,27.129999,27.219999,17600,25.876432
2013-12-27,27.49,27.49,27.190001,27.23,40000,25.885939
2013-12-30,27.24,27.24,27.15,27.219999,19600,25.876432
2013-12-31,27.280001,27.370001,27.209999,27.33,30700,25.981003
2014-01-02,27.27,27.27,27.02,27.1,32400,25.762356
2014-01-03,27.139999,27.190001,27.049999,27.110001,27100,25.771863
2014-01-06,27.200001,27.200001,26.940001,27.01,16100,25.676799
2014-01-07,27.110001,27.219999,27.049999,27.17,39100,25.828901
2014-01-08,27.139999,27.16,27.049999,27.120001,202200,25.78137
2014-01-09,27.209999,27.209999,26.99,27.18,29300,25.838407
2014-01-10,27.209999,27.23,27.02,27.23,9600,25.885939
2014-01-13,27.18,27.18,26.809999,26.860001,23000,25.534203
2014-01-14,26.940001,27.110001,26.92,27.110001,35200,25.771863
2014-01-15,27.190001,27.25,27.190001,27.219999,6400,25.876432
2014-01-16,27.190001,27.190001,27.110001,27.17,28900,25.828901
2014-01-17,27.139999,27.200001,27.02,27.049999,16200,25.714823
2014-01-21,27.219999,27.219999,26.959999,27.1,44600,25.762356
2014-01-22,27.18,27.18,27.01,27.129999,30200,25.790874
2014-01-23,27,27,26.75,26.860001,27100,25.534203
2014-01-24,26.76,26.76,26.35,26.35,78100,25.049376
2014-01-27,26.290001,26.41,26.129999,26.23,29800,24.935298
2014-01-28,26.290001,26.440001,26.290001,26.41,17800,25.106414
2014-01-29,26.209999,26.34,26.139999,26.16,31200,24.868754
2014-01-30,26.34,26.48,26.290001,26.379999,18700,25.077894
2014-01-31,26.1,26.41,26.1,26.209999,35800,24.916285
2014-02-03,26.190001,26.190001,25.549999,25.549999,159400,24.288863
2014-02-04,25.709999,25.76,25.620001,25.73,82400,24.459978
2014-02-05,25.65,25.73,25.48,25.690001,42100,24.421953
2014-02-06,25.780001,26.01,25.780001,26,13900,24.716651
2014-02-07,26.129999,26.299999,26.07,26.290001,46000,24.992338
2014-02-10,26.290001,26.309999,26.209999,26.299999,34300,25.001843
2014-02-11,26.32,26.67,26.32,26.610001,26200,25.296543
2014-02-12,26.639999,26.68,26.58,26.59,32600,25.277529
2014-02-13,26.459999,26.799999,26.459999,26.790001,23000,25.467658
2014-02-14,26.77,27,26.77,26.969999,21500,25.638772
2014-02-18,26.99,27.01,26.93,27.01,13500,25.676799
2014-02-19,26.940001,27.1,26.85,26.85,24100,25.524696
2014-02-20,26.879999,27.07,26.879999,27.07,22300,25.733836
2014-02-21,27.09,27.129999,27.01,27.01,19000,25.676799
2014-02-24,27.07,27.33,27.07,27.190001,23400,25.847914
2014-02-25,27.17,27.209999,27.1,27.129999,22900,25.790874
2014-02-26,27.200001,27.27,27.120001,27.190001,19100,25.847914
2014-02-27,27.1,27.280001,27.1,27.280001,19500,25.933472
2014-02-28,27.299999,27.51,27.299999,27.33,38400,25.981003
2014-03-03,27.18,27.26,27.040001,27.18,60600,25.838407
2014-03-04,28.15,28.15,27.49,27.559999,15700,26.19965
2014-03-05,27.58,27.610001,27.530001,27.559999,80700,26.19965
2014-03-06,27.629999,27.68,27.6,27.639999,46100,26.275701
2014-03-07,27.75,27.75,27.6,27.66,13800,26.294714
2014-03-10,27.629999,27.75,27.540001,27.65,19300,26.285208
2014-03-11,27.68,27.68,27.469999,27.469999,13700,26.114092
2014-03-12,27.379999,27.5,27.32,27.49,34100,26.133105
2014-03-13,27.610001,27.610001,27.200001,27.23,14400,25.885939
2014-03-14,27.200001,27.33,27.190001,27.209999,24500,25.866926
2014-03-17,27.34,27.440001,27.34,27.440001,8800,26.085574
2014-03-18,27.5,27.67,27.5,27.66,20400,26.294714
2014-03-19,27.67,27.700001,27.379999,27.530001,10700,26.171132
2014-03-20,27.469999,27.719999,27.469999,27.65,8500,26.285208
2014-03-21,27.83,27.879999,27.690001,27.700001,15000,26.332741
2014-03-24,27.73,27.73,27.459999,27.59,10900,26.22817
2014-03-25,27.700001,27.75,27.57,27.690001,27000,26.323234
2014-03-26,27.83,27.83,27.530001,27.530001,6200,26.171132
2014-03-27,27.5,27.540001,27.389999,27.42,9100,26.066561
2014-03-28,27.68,27.75,27.58,27.629999,10500,26.266195
2014-03-31,27.809999,27.82,27.690001,27.780001,79100,26.511461
2014-04-01,27.870001,27.950001,27.84,27.950001,23600,26.673698
2014-04-02,27.98,28.07,27.950001,28.040001,64600,26.759589
2014-04-03,28.030001,28.07,27.969999,28.040001,12000,26.759589
2014-04-04,28.190001,28.200001,27.74,27.780001,46600,26.511461
2014-04-07,27.76,27.76,27.379999,27.459999,45300,26.206072
2014-04-08,27.450001,27.6,27.35,27.530001,14600,26.272877
2014-04-09,27.65,27.809999,27.530001,27.809999,7900,26.54009
2014-04-10,27.82,27.83,27.26,27.32,22600,26.072465
2014-04-11,27.219999,27.27,27.040001,27.1,25900,25.862512
2014-04-14,27.209999,27.309999,27.1,27.280001,52000,26.034293
2014-04-15,27.27,27.459999,27.08,27.459999,20100,26.206072
2014-04-16,27.639999,27.709999,27.48,27.709999,86600,26.444656
2014-04-17,27.700001,27.799999,27.690001,27.780001,9200,26.511461
2014-04-21,27.780001,27.83,27.75,27.83,46000,26.559177
2014-04-22,27.889999,28,27.82,27.950001,35700,26.673698
2014-04-23,27.860001,27.950001,27.85,27.93,43400,26.654611
2014-04-24,28,28,27.84,27.85,20100,26.578264
2014-04-25,27.9,27.9,27.68,27.780001,49800,26.511461
2014-04-28,27.84,27.870001,27.559999,27.82,23100,26.549634
2014-04-29,27.940001,27.950001,27.84,27.92,25100,26.645068
2014-04-30,27.91,28.02,27.870001,28.02,17300,26.740501
2014-05-01,28.01,28.049999,27.93,27.969999,16300,26.692784
2014-05-02,27.969999,28.09,27.959999,28,9800,26.721414
2014-05-05,27.889999,28,27.77,27.99,25700,26.711871
2014-05-06,27.879999,27.959999,27.77,27.84,11200,26.568721
2014-05-07,27.93,28,27.77,28,27500,26.721414
2014-05-08,27.92,28.129999,27.879999,27.950001,16100,26.673698
2014-05-09,27.950001,27.98,27.809999,27.98,13000,26.702327
2014-05-12,28.129999,28.26,28.129999,28.26,5600,26.969542
2014-05-13,28.309999,28.33,28.209999,28.280001,23800,26.988629
2014-05-14,28.27,28.27,28.110001,28.120001,26700,26.835935
2014-05-15,28,28,27.719999,27.809999,63300,26.54009
2014-05-16,27.879999,27.940001,27.76,27.940001,10700,26.664155
2014-05-19,27.9,28.07,27.9,28.07,13300,26.788218
2014-05-20,27.950001,27.98,27.75,27.85,23900,26.578264
2014-05-21,27.940001,28.040001,27.92,28,16000,26.721414
2014-05-22,27.98,28.15,27.98,28.110001,11000,26.826392
2014-05-23,28.139999,28.219999,28.1,28.219999,11000,26.931368
2014-05-27,28.33,28.35,28.299999,28.34,28400,27.045889
2014-05-28,28.360001,28.4,28.25,28.35,17000,27.055432
2014-05-29,28.4,28.48,28.370001,28.48,27000,27.179495
2014-05-30,28.469999,28.530001,28.440001,28.530001,35100,27.227213
2014-06-02,28.57,28.57,28.41,28.559999,15400,27.255842
2014-06-03,28.51,28.540001,28.440001,28.540001,14400,27.236757
2014-06-04,28.450001,28.6,28.450001,28.559999,8800,27.255842
2014-06-05,28.639999,28.799999,28.559999,28.780001,13600,27.465797
2014-06-06,28.82,28.93,28.82,28.9,16800,27.580317
2014-06-09,28.940001,29.02,28.9,28.959999,10000,27.637576
2014-06-10,28.940001,28.940001,28.82,28.93,26600,27.608947
2014-06-11,28.83,28.85,28.780001,28.85,8600,27.5326
2014-06-12,28.799999,28.799999,28.610001,28.65,16200,27.341733
2014-06-13,28.73,28.84,28.690001,28.74,12500,27.427623
2014-06-16,28.75,28.85,28.74,28.780001,9700,27.465797
2014-06-17,28.77,28.91,28.700001,28.91,8100,27.58986
2014-06-18,28.91,29.120001,28.870001,29.110001,10200,27.780728
