"Index","open","high","low","close","volume","adjusted"
2013-08-15,24.98,24.98,24.559999,24.6,12900,23.466016
2013-08-16,24.700001,24.700001,24.440001,24.5,23500,23.370625
2013-08-19,24.48,24.48,24.34,24.34,10100,23.218001
2013-08-20,24.33,24.5,24.299999,24.42,24400,23.294313
2013-08-21,24.360001,24.41,24.25,24.25,18300,23.13215
2013-08-22,24.27,24.459999,24.27,24.42,14700,23.294313
2013-08-23,24.48,24.52,24.469999,24.52,10900,23.389704
2013-08-26,24.559999,24.58,24.440001,24.440001,5700,23.313392
2013-08-27,24.24,24.26,24.030001,24.08,49800,22.969986
2013-08-28,24.059999,24.23,24.059999,24.16,20800,23.046298
2013-08-29,24.139999,24.290001,24.1,24.190001,5300,23.074916
2013-08-30,24.219999,24.219999,24.040001,24.129999,15500,23.01768
2013-09-03,24.389999,24.389999,24.110001,24.120001,23800,23.008143
2013-09-04,24.290001,24.4,24.290001,24.360001,12000,23.23708
2013-09-05,24.34,24.459999,24.34,24.4,6000,23.275235
2013-09-06,24.48,24.52,24.25,24.41,40200,23.284774
2013-09-09,24.440001,24.639999,24.4,24.620001,9700,23.485095
2013-09-10,24.76,24.799999,24.709999,24.799999,28800,23.656796
2013-09-11,24.82,24.92,24.790001,24.92,8000,23.771265
2013-09-12,24.91,24.950001,24.82,24.83,16600,23.685413
2013-09-13,24.9,24.940001,24.860001,24.940001,24600,23.790343
2013-09-16,25.209999,25.209999,25.030001,25.030001,135700,23.876195
2013-09-17,25.129999,25.200001,25.129999,25.200001,12000,24.038358
2013-09-18,25.190001,25.52,25.059999,25.459999,184700,24.286372
2013-09-19,25.52,25.52,25.379999,25.389999,52400,24.219599
2013-09-20,25.450001,25.75,25.200001,25.219999,10100,24.057435
2013-09-23,25.129999,25.299999,25,25.07,20000,23.91435
2013-09-24,25.059999,25.18,24.99,25.030001,38300,23.876195
2013-09-25,25,25.09,24.92,24.959999,19000,23.80942
2013-09-26,25.110001,25.110001,24.950001,25.02,15500,23.866655
2013-09-27,24.92,24.940001,24.84,24.91,25200,23.761726
2013-09-30,24.709999,24.809999,24.6,24.77,15600,23.62818
2013-10-01,24.940001,25.65,24.870001,24.879999,5100,23.751327
2013-10-02,24.82,24.940001,24.77,24.940001,7400,23.808607
2013-10-03,24.76,24.790001,24.610001,24.77,16100,23.646319
2013-10-04,24.74,24.92,24.709999,24.889999,30900,23.760874
2013-10-07,24.690001,24.83,24.690001,24.719999,31100,23.598586
2013-10-08,24.629999,24.690001,24.42,24.450001,22000,23.340836
2013-10-09,24.48,24.620001,24.34,24.5,39700,23.388567
2013-10-10,24.879999,25,24.73,25,72300,23.865885
2013-10-11,24.959999,25.200001,24.959999,25.17,43400,24.028173
2013-10-14,25.030001,25.309999,25.030001,25.27,25100,24.123637
2013-10-15,25.209999,25.450001,25.049999,25.1,54300,23.961348
2013-10-16,25.27,25.530001,25.209999,25.43,52400,24.276378
2013-10-17,25.51,25.620001,25.34,25.6,59400,24.438666
2013-10-18,25.9,25.9,25.6,25.690001,54400,24.524583
2013-10-21,25.700001,25.74,25.639999,25.68,22800,24.515037
2013-10-22,25.780001,25.889999,25.75,25.860001,32400,24.686872
2013-10-23,25.809999,25.809999,25.66,25.75,48700,24.581861
2013-10-24,25.809999,25.82,25.719999,25.799999,48700,24.629592
2013-10-25,25.83,25.93,25.790001,25.93,35600,24.753696
2013-10-28,25.950001,26.02,25.889999,25.959999,26100,24.782334
2013-10-29,26.049999,26.110001,26.01,26.110001,28000,24.92553
2013-10-30,26.129999,26.129999,25.879999,26.02,31700,24.839613
2013-10-31,26.01,26.1,25.9,25.969999,27900,24.79188
2013-11-01,26.01,26.040001,25.870001,26.040001,9900,24.858706
2013-11-04,26.120001,26.16,26.030001,26.15,39000,24.963715
2013-11-05,26.08,26.120001,26,26.07,12500,24.887344
2013-11-06,26.209999,26.23,26.120001,26.200001,19400,25.011448
2013-11-07,26.309999,26.309999,25.860001,25.870001,31800,24.696418
2013-11-08,25.889999,26.190001,25.870001,26.190001,122000,25.001901
2013-11-11,26.219999,26.26,26.200001,26.24,16900,25.049632
2013-11-12,26.200001,26.23,26.129999,26.200001,41300,25.011448
2013-11-13,26.09,26.4,26.09,26.4,24700,25.202374
2013-11-14,26.43,26.530001,26.360001,26.52,28200,25.316931
2013-11-15,26.57,26.59,26.5,26.57,30300,25.364662
2013-11-18,26.67,26.67,26.469999,26.49,28000,25.288291
2013-11-19,26.469999,26.57,26.43,26.49,14200,25.288291
2013-11-20,26.48,26.549999,26.309999,26.360001,37300,25.164189
2013-11-21,26.48,26.610001,26.48,26.610001,22600,25.402848
