"Index","open","high","low","close","volume","adjusted"
2016-09-16,25.18,25.205,25.120001,25.205,5200,25.205
2016-09-19,25.32,25.370001,25.23,25.26,8400,25.26
2016-09-20,25.51,25.51,25.295,25.299999,7400,25.299999
2016-09-21,25.4,25.549999,25.26,25.549999,10500,25.549999
2016-09-22,25.860001,25.860001,25.68,25.74,10900,25.74
2016-09-23,25.709999,25.709999,25.625,25.646999,12900,25.646999
2016-09-26,25.67,25.67,25.43,25.48,8600,25.48
2016-09-27,25.450001,25.540001,25.4,25.504999,22400,25.504999
2016-09-28,25.709999,25.709999,25.440001,25.575001,1300,25.575001
2016-09-29,25.76,25.76,25.33,25.389999,13600,25.389999
2016-09-30,25.49,25.58,25.475,25.540001,4700,25.540001
2016-09-30,25.49,25.58,25.475,25.540001,4700,25.540001
2016-10-03,25.700001,25.700001,25.360001,25.440001,9400,25.440001
2016-10-04,25.639999,25.639999,25.27,25.280001,6800,25.280001
2016-10-05,25.4,25.41,25.34,25.360001,5900,25.360001
2016-10-06,25.4,25.41,25.290001,25.379999,5600,25.379999
2016-10-06,25.4,25.41,25.290001,25.379999,5600,25.379999
2016-10-06,25.4,25.41,25.290001,25.379999,5600,25.379999
2016-10-06,25.4,25.41,25.290001,25.379999,5600,25.379999
