"Index","open","high","low","close","volume","adjusted"
2007-05-11,29.91,29.92,29.91,29.92,1100,28.145243
2007-05-14,29.92,29.92,29.92,29.92,0,28.145243
2007-05-15,29.92,29.92,29.92,29.92,0,28.145243
2007-05-16,29.92,29.92,29.92,29.92,0,28.145243
2007-05-17,29.92,29.92,29.92,29.92,0,28.145243
2007-05-18,29.92,29.92,29.92,29.92,0,28.145243
2007-05-21,29.92,29.92,29.92,29.92,0,28.145243
2007-05-22,29.92,29.92,29.92,29.92,0,28.145243
2007-05-23,30.4,30.4,30.4,30.4,1300,28.59677
2007-05-24,30.35,30.35,30.1,30.1,2200,28.314566
2007-05-25,30.1,30.1,30.1,30.1,0,28.314566
2007-05-29,30.1,30.1,30.1,30.1,0,28.314566
2007-05-30,30.1,30.1,30.1,30.1,0,28.314566
2007-05-31,30.1,30.1,30.1,30.1,0,28.314566
2007-06-01,30.1,30.1,30.1,30.1,0,28.314566
2007-06-04,30.1,30.1,30.1,30.1,0,28.314566
2007-06-05,30.620001,30.620001,30.620001,30.620001,200,28.803722
2007-06-06,30.299999,30.34,30.299999,30.34,1300,28.54033
2007-06-07,30.049999,30.049999,29.799999,29.799999,1100,28.03236
2007-06-08,29.969999,30.049999,29.969999,30.01,4800,28.229904
2007-06-11,30.049999,30.049999,30.049999,30.049999,100,28.267531
2007-06-12,29.780001,29.780001,29.780001,29.780001,100,28.013548
2007-06-13,29.780001,29.780001,29.780001,29.780001,0,28.013548
2007-06-14,29.780001,29.780001,29.780001,29.780001,0,28.013548
2007-06-15,29.780001,29.780001,29.780001,29.780001,0,28.013548
2007-06-18,30.67,30.67,30.549999,30.59,6800,28.775501
2007-06-19,30.440001,30.459999,30.440001,30.459999,1300,28.653211
2007-06-20,30.48,30.48,30.17,30.17,500,28.380414
2007-06-21,30.34,30.34,30.33,30.33,1300,28.530923
2007-06-22,30.120001,30.129999,30.120001,30.129999,2000,28.342785
2007-06-25,30.219999,30.219999,30.219999,30.219999,1000,28.427447
2007-06-26,29.799999,29.799999,29.74,29.74,1500,27.97592
2007-06-27,29.74,29.74,29.74,29.74,0,27.97592
2007-06-28,29.74,29.74,29.74,29.74,0,27.97592
2007-06-29,30.200001,30.200001,30.02,30.02,600,28.239311
2007-07-02,30.24,30.24,30.209999,30.209999,200,28.41804
2007-07-03,30.360001,30.360001,30.360001,30.360001,500,28.559144
2007-07-05,30.58,30.58,30.58,30.58,100,28.766094
2007-07-06,30.700001,30.9,30.700001,30.82,18500,28.991857
2007-07-09,30.790001,30.790001,30.790001,30.790001,4100,28.963638
2007-07-10,30.530001,30.530001,30.389999,30.389999,300,28.587363
2007-07-11,30.4,30.52,30.4,30.459999,2400,28.653211
2007-07-12,30.85,31.049999,30.85,31.049999,2200,29.208214
2007-07-13,31.1,31.1,31.1,31.1,3200,29.255249
2007-07-16,31.15,31.209999,31.110001,31.110001,6200,29.264656
2007-07-17,31.200001,31.200001,31.040001,31.040001,600,29.198809
2007-07-18,31,31,30.950001,30.950001,1700,29.114147
2007-07-19,31.280001,31.280001,31.26,31.26,3500,29.405758
2007-07-20,31.040001,31.040001,30.780001,30.870001,7100,29.038893
2007-07-23,30.870001,30.870001,30.870001,30.870001,0,29.038893
2007-07-24,30.639999,30.639999,30.299999,30.299999,1700,28.502702
2007-07-25,30.34,30.370001,30.209999,30.370001,1100,28.568551
2007-07-26,30,30.040001,29.530001,29.639999,9900,27.881851
2007-07-27,29.530001,29.780001,29.299999,29.299999,14500,27.562018
2007-07-30,29.299999,29.549999,29.299999,29.549999,400,27.797189
2007-07-31,29.68,29.68,29.68,29.68,300,27.919479
2007-08-01,29.280001,29.32,28.870001,29.02,30200,27.298628
2007-08-02,29.549999,29.549999,29.549999,29.549999,500,27.797189
2007-08-03,29.42,29.42,29.01,29.01,1400,27.289221
2007-08-06,28.559999,28.74,28.559999,28.74,10200,27.035236
2007-08-07,29.27,29.370001,29.16,29.370001,16000,27.627868
2007-08-08,29.6,29.6,29.6,29.6,100,27.844224
2007-08-09,28.99,29.1,28.799999,28.799999,4500,27.091677
2007-08-10,28.299999,28.530001,28.299999,28.530001,2100,26.837694
2007-08-13,29.120001,29.120001,29.09,29.09,800,27.364476
2007-08-14,28.950001,28.950001,28.469999,28.49,3200,26.800065
2007-08-15,28.33,28.33,28.219999,28.26,3500,26.583709
2007-08-16,27.5,27.5,26.950001,27.48,4000,25.849975
2007-08-17,27.889999,28.41,27.85,28.41,11600,26.724811
2007-08-20,28.360001,28.360001,28.200001,28.200001,300,26.527268
2007-08-21,28.4,28.700001,28.389999,28.629999,2500,26.931761
2007-08-22,28.889999,28.889999,28.889999,28.889999,10000,27.176338
2007-08-23,29.059999,29.059999,28.940001,29,1600,27.279814
2007-08-24,29.129999,29.200001,29.110001,29.200001,1300,27.467951
2007-08-27,29.360001,29.360001,29.18,29.280001,5400,27.543206
2007-08-28,28.49,28.49,28.49,28.49,1300,26.800065
2007-08-29,28.629999,28.629999,28.629999,28.629999,1100,26.931761
2007-08-30,29.129999,29.15,29.1,29.1,3500,27.373883
2007-08-31,29.41,29.52,29.4,29.4,1500,27.656087
2007-09-04,29.74,29.860001,29.690001,29.83,6000,28.060581
2007-09-05,29.530001,29.530001,29.43,29.440001,1200,27.693715
2007-09-06,29.440001,29.440001,29.440001,29.440001,0,27.693715
2007-09-07,29.280001,29.309999,29.209999,29.209999,2900,27.477357
2007-09-10,28.92,29.02,28.92,29.02,1100,27.298628
2007-09-11,29.4,29.52,29.379999,29.52,1100,27.76897
2007-09-12,29.67,29.67,29.67,29.67,100,27.910072
2007-09-13,29.690001,29.690001,29.66,29.66,300,27.900665
2007-09-14,29.66,29.66,29.66,29.66,0,27.900665
2007-09-17,29.639999,29.639999,29.559999,29.559999,1300,27.806596
2007-09-18,29.629999,30.59,29.629999,30.24,1700,28.446261
2007-09-19,30.73,30.799999,30.65,30.65,1800,28.831941
2007-09-20,30.66,30.67,30.51,30.58,18000,28.766094
2007-09-21,30.73,30.73,30.68,30.68,1000,28.860162
2007-09-24,30.48,30.48,30.440001,30.440001,1900,28.634399
2007-09-25,30.24,30.43,30.24,30.43,1400,28.624991
2007-09-26,30.700001,30.700001,30.540001,30.57,3700,28.756687
2007-09-27,30.82,30.9,30.82,30.9,2700,29.067112
2007-09-28,30.9,30.9,30.809999,30.809999,300,28.98245
2007-10-01,30.889999,30.889999,30.889999,30.889999,10000,29.057705
2007-10-02,31.25,31.25,31.120001,31.23,4400,29.377537
2007-10-03,31.16,31.16,31.01,31.049999,2200,29.208214
2007-10-04,31.08,31.08,30.98,31.08,600,29.236435
2007-10-05,31.360001,31.360001,31.34,31.360001,800,29.499827
2007-10-08,31.51,31.51,31.469999,31.469999,800,29.603301
2007-10-09,31.6,31.629999,31.559999,31.629999,1900,29.75381
2007-10-10,31.74,31.82,31.68,31.82,500,29.932541
2007-10-11,31.969999,32.009998,31.969999,32,500,30.101864
2007-10-12,31.790001,31.82,31.719999,31.780001,1900,29.894914
2007-10-15,31.709999,31.85,31.51,31.610001,18300,29.734998
2007-10-16,31.530001,31.530001,31.530001,31.530001,100,29.659743
2007-10-17,31.440001,31.440001,31.41,31.41,1200,29.546861
2007-10-18,31.5,31.67,31.469999,31.67,1800,29.791438
2007-10-19,31.110001,31.219999,31.040001,31.040001,5400,29.198809
