"Index","open","high","low","close","volume","adjusted"
2006-07-11,19.799999,19.940001,19.700001,19.940001,248300,16.969618
2006-07-12,19.889999,19.889999,19.709999,19.709999,11900,16.773879
2006-07-13,19.66,19.66,19.4,19.41,13500,16.51857
2006-07-14,19.540001,19.540001,19.309999,19.440001,19200,16.544101
2006-07-17,19.360001,19.360001,19.26,19.26,3600,16.390915
2006-07-18,19.299999,19.299999,19.209999,19.209999,3200,16.348362
2006-07-19,19.41,19.68,19.41,19.68,10400,16.748349
2006-07-20,19.74,19.74,19.6,19.6,3100,16.680266
2006-07-21,19.299999,19.299999,19.27,19.27,80600,16.399425
2006-07-24,19.540001,19.719999,19.540001,19.719999,10000,16.78239
2006-07-25,19.799999,19.93,19.74,19.93,14500,16.961108
2006-07-26,19.860001,20.07,19.860001,20.07,1800,17.080252
2006-07-27,20.139999,20.15,19.889999,19.889999,5800,16.927065
2006-07-28,19.99,20.1,19.99,20.1,500,17.105783
2006-07-31,20.18,20.24,20.18,20.209999,4700,17.199396
2006-08-01,20.08,20.08,20.030001,20.030001,2800,17.046211
2006-08-02,20.200001,20.309999,20.15,20.18,7300,17.173866
2006-08-03,20.02,20.16,20.02,20.16,89400,17.156845
2006-08-04,20.24,20.24,20,20,46900,17.02068
2006-08-07,20.01,20.02,19.940001,20.02,19400,17.037701
2006-08-08,19.98,19.98,19.790001,19.809999,3600,16.858983
2006-08-09,19.959999,19.99,19.85,19.85,4600,16.893025
2006-08-10,19.809999,19.93,19.799999,19.9,3500,16.935576
2006-08-11,19.73,19.860001,19.700001,19.799999,68500,16.850472
2006-08-14,19.91,19.92,19.77,19.780001,4300,16.833453
2006-08-15,19.99,20.049999,19.91,20.049999,4400,17.063231
2006-08-16,20.09,20.190001,20.09,20.190001,2700,17.182377
2006-08-17,20.190001,20.200001,20.139999,20.190001,4400,17.182377
2006-08-18,20.1,20.219999,20.1,20.190001,3000,17.182377
2006-08-21,20.120001,20.15,20.120001,20.139999,4000,17.139824
2006-08-22,20.190001,20.190001,20.16,20.16,9400,17.156845
2006-08-23,20.030001,20.040001,20.02,20.040001,2600,17.054722
2006-08-24,20.059999,20.07,20.059999,20.07,1100,17.080252
2006-08-25,20.120001,20.120001,20.120001,20.120001,200,17.122805
2006-08-28,20.26,20.27,20.26,20.27,600,17.250459
2006-08-29,20.17,20.32,20.17,20.32,900,17.29301
2006-08-30,20.4,20.4,20.280001,20.309999,2700,17.2845
2006-08-31,20.35,20.35,20.309999,20.309999,1300,17.2845
2006-09-01,20.42,20.49,20.4,20.48,3300,17.429176
2006-09-05,20.469999,20.6,20.469999,20.58,2000,17.514279
2006-09-06,20.389999,20.389999,20.190001,20.190001,4900,17.182377
2006-09-07,20.17,20.190001,20.030001,20.110001,3300,17.114294
2006-09-08,20.15,20.17,20.129999,20.129999,2500,17.131313
2006-09-11,20.040001,20.040001,19.84,19.92,4400,16.952597
2006-09-12,20.049999,20.190001,20.049999,20.17,129700,17.165356
2006-09-13,20.27,20.35,20.23,20.33,362900,17.301521
2006-09-14,20.299999,20.299999,20.129999,20.17,58600,17.165356
2006-09-15,20.33,20.33,20.209999,20.209999,28200,17.199396
2006-09-18,20.26,20.41,20.26,20.360001,2500,17.327052
2006-09-19,20.4,20.4,20.120001,20.15,2500,17.148334
2006-09-20,20.24,20.25,20.190001,20.209999,4000,17.199396
2006-09-21,20.299999,20.32,20.16,20.16,4100,17.156845
