"Index","open","high","low","close","volume","adjusted"
2016-09-15,25,25.27,24.940001,25.26,4200,25.26
2016-09-16,25.129999,25.139999,25.049999,25.049999,6000,25.049999
2016-09-19,25.25,25.299999,25.120001,25.129999,11700,25.129999
2016-09-20,25.173,25.219999,25.1,25.15,9500,25.15
2016-09-21,25.26,25.290001,25.1,25.290001,36800,25.290001
2016-09-22,25.455,25.549999,25.455,25.469999,6700,25.469999
2016-09-23,25.530001,25.530001,25.379999,25.42,3700,25.42
2016-09-26,25.389999,25.389999,25.111,25.16,13800,25.16
2016-09-27,25.219999,25.290001,25.030001,25.290001,5200,25.290001
2016-09-28,25.372,25.379999,25.25,25.285,1700,25.285
2016-09-29,25.469999,25.469999,25.16,25.25,28100,25.25
2016-09-30,25.290001,25.51,25.290001,25.468,7800,25.468
