"Index","open","high","low","close","volume","adjusted"
2003-10-09,14.35,14.6,14.35,14.5,58400,7.632326
2003-10-10,14.5,14.65,14.5,14.55,75400,7.658644
2003-10-13,14.53,14.65,14.5,14.65,58400,7.711281
2003-10-14,14.63,14.75,14.45,14.45,81200,7.606007
2003-10-15,14.55,14.55,14.05,14.2,57700,7.474416
2003-10-16,14.05,14.25,13.85,13.95,83400,7.342824
2003-10-17,13.99,14,13.8,13.95,37700,7.342824
2003-10-20,13.95,14.05,13.7,13.9,59500,7.316505
2003-10-21,13.88,14.25,13.6,14,74600,7.369142
2003-10-22,14,14.05,13.75,13.95,97600,7.342824
2003-10-23,13.95,13.99,13.75,13.85,81500,7.290187
2003-10-24,13.8,13.8,13.63,13.65,66500,7.184914
2003-10-27,13.75,13.75,13.51,13.58,85500,7.148068
2003-10-28,13.45,13.7,13.45,13.61,160500,7.163859
2003-10-29,13.63,13.96,13.54,13.81,111500,7.269133
2003-10-30,13.96,14.08,13.85,14,102600,7.369142
2003-10-31,14,14.09,13.81,14.09,61100,7.416515
2003-11-03,14.2,14.2,13.91,14.1,52700,7.421779
2003-11-04,14,14.23,13.82,14.1,78600,7.421779
2003-11-05,14,14.45,13.9,14.3,81200,7.527053
2003-11-06,14.38,14.38,14.02,14.24,44700,7.49547
2003-11-07,14.22,14.25,14.06,14.25,74400,7.500734
2003-11-10,14.3,14.3,14.02,14.12,63800,7.432306
2003-11-11,14.15,14.2,14.02,14.09,61200,7.416515
2003-11-12,14.15,14.19,14.06,14.1,72000,7.421779
2003-11-13,14.07,14.2,14,14.06,83300,7.400725
2003-11-14,14,14.24,13.96,14.1,47800,7.421779
2003-11-17,14.13,14.15,13.81,13.95,103000,7.342824
2003-11-18,13.95,14,13.85,13.95,80600,7.342824
2003-11-19,13.9,14,13.85,13.85,88200,7.290187
2003-11-20,13.77,13.9,13.69,13.75,127700,7.23755
2003-11-21,13.8,13.98,13.66,13.68,156200,7.200705
2003-11-24,13.74,13.95,13.65,13.68,169100,7.200705
2003-11-25,13.68,13.91,13.68,13.89,161200,7.311242
2003-11-26,13.92,14.27,13.77,14.2,132500,7.474416
2003-11-28,14.1,14.35,14.08,14.32,40300,7.53758
2003-12-01,14.09,14.1,13.9,14.02,105100,7.499069
2003-12-02,14.03,14.18,13.95,13.97,96100,7.472324
2003-12-03,13.95,14.15,13.86,14.04,80200,7.509766
2003-12-04,14.04,14.14,13.91,14.08,85600,7.531161
2003-12-05,14,14.03,13.76,13.87,107300,7.418836
2003-12-08,13.92,13.94,13.72,13.88,195000,7.424185
2003-12-09,13.88,13.9,13.77,13.82,102100,7.392091
2003-12-10,13.8,13.93,13.66,13.69,109000,7.322557
2003-12-11,13.66,13.95,13.66,13.85,168500,7.408138
2003-12-12,13.85,13.97,13.8,13.9,112000,7.434882
2003-12-15,14,14,13.64,13.68,266400,7.317208
2003-12-16,13.68,13.89,13.61,13.89,278900,7.429534
2003-12-17,13.79,13.91,13.73,13.84,212800,7.402789
2003-12-18,13.94,14,13.87,13.92,220000,7.44558
2003-12-19,13.94,13.99,13.8,13.95,155200,7.461626
2003-12-22,13.95,14.04,13.83,13.99,2e+05,7.483022
2003-12-23,13.94,14.2,13.92,14.13,279000,7.557906
2003-12-24,14.12,14.12,13.97,14.09,81800,7.53651
2003-12-26,14.09,14.19,14.02,14.17,101300,7.579301
2003-12-29,14.29,14.49,14.21,14.42,263700,7.713022
2003-12-30,14.49,14.49,14.3,14.38,189300,7.691626
2003-12-31,14.45,14.5,14.31,14.42,177100,7.713022
2004-01-02,14.45,14.67,14.4,14.5,92600,7.755812
2004-01-05,14.6,14.75,14.53,14.73,198700,7.878835
2004-01-06,14.7,14.83,14.55,14.75,168600,7.889533
2004-01-07,14.75,14.75,14.6,14.63,157900,7.825347
2004-01-08,14.68,14.72,14.55,14.64,149100,7.830696
2004-01-09,14.55,14.74,14.55,14.62,117600,7.819998
2004-01-12,14.65,14.77,14.51,14.55,145500,7.782557
2004-01-13,14.55,14.58,14.36,14.44,129500,7.723719
2004-01-14,14.45,14.47,14.37,14.47,152800,7.739766
2004-01-15,14.42,14.54,14.4,14.53,142800,7.771859
2004-01-16,14.52,14.7,14.48,14.56,130800,7.787906
2004-01-20,14.7,14.75,14.52,14.6,149100,7.809301
2004-01-21,14.63,14.7,14.55,14.67,173600,7.846743
