"Index","open","high","low","close","volume","adjusted"
2003-07-15,15.34,15.48,15.1,15.3,53000,9.93275
2003-07-16,15.3,15.43,15.24,15.34,36400,9.958718
2003-07-17,15.39,15.39,15.1,15.26,42300,9.906782
2003-07-18,15.4,15.44,15.21,15.4,41700,9.99767
2003-07-21,15.4,15.44,15.05,15.15,73600,9.83537
2003-07-22,15.1,15.2,15.02,15.02,38800,9.750975
2003-07-23,15.4,15.4,15.05,15.25,71800,9.90029
2003-07-24,15.25,15.35,15.02,15.1,67200,9.802911
2003-07-25,15.15,15.29,15.05,15.28,40300,9.919766
2003-07-28,15.3,15.3,15.05,15.15,45500,9.83537
2003-07-29,15.1,15.24,15,15.1,37200,9.802911
2003-07-30,15.15,15.21,15.02,15.14,24700,9.828879
2003-07-31,15.05,15.25,15.05,15.18,47300,9.854847
2003-08-01,15.2,15.2,15.05,15.2,19900,9.86783
2003-08-04,15.2,15.2,14.87,14.87,74500,9.653595
2003-08-05,14.9,14.92,14.8,14.88,44900,9.660087
2003-08-06,14.9,14.9,14.7,14.85,36700,9.640611
2003-08-07,14.89,14.89,14.62,14.67,35000,9.523755
2003-08-08,14.75,14.75,14.55,14.7,22600,9.543231
2003-08-11,14.7,14.95,14.55,14.76,34600,9.582183
2003-08-12,14.55,14.95,14.55,14.95,43400,9.70553
2003-08-13,15,15,14.7,14.8,31100,9.608151
2003-08-14,14.9,14.9,14.75,14.85,23800,9.640611
2003-08-15,14.95,14.95,14.95,14.95,9700,9.70553
2003-08-18,14.98,15.1,14.65,14.88,76900,9.660087
2003-08-19,14.95,14.95,14.7,14.85,49400,9.640611
2003-08-20,14.89,14.98,14.83,14.98,28300,9.725006
2003-08-21,15,15.08,14.85,14.97,60000,9.718515
2003-08-22,14.87,15,14.87,14.95,39900,9.70553
2003-08-25,15,15.03,14.85,14.9,26600,9.67307
2003-08-26,14.85,15,14.66,14.85,43100,9.640611
2003-08-27,14.77,14.85,14.55,14.75,35200,9.575691
2003-08-28,14.85,14.85,14.73,14.85,24500,9.640611
2003-08-29,14.85,14.95,14.65,14.88,31600,9.660087
2003-09-02,15,15.1,14.86,14.9,76900,9.67307
2003-09-03,15.1,15.1,14.8,15.08,117600,9.789926
2003-09-04,15.14,15.24,15.03,15.15,65900,9.83537
2003-09-05,15.2,15.33,15,15.2,84300,9.86783
2003-09-08,15.25,15.25,15.06,15.15,47500,9.83537
2003-09-09,15.1,15.3,15.04,15.15,24800,9.83537
