"Index","open","high","low","close","volume","adjusted"
2011-07-01,26.27,26.52,26.27,26.52,730600,26.068144
2011-07-05,26.48,26.48,26.389999,26.389999,200,25.940357
2011-07-06,26.33,26.33,26.33,26.33,16900,25.88138
2011-07-07,26.639999,26.709999,26.639999,26.709999,1400,26.254905
2011-07-08,26.709999,26.709999,26.709999,26.709999,0,26.254905
2011-07-11,26,26,26,26,300,25.557003
2011-07-12,25.860001,25.9,25.860001,25.9,1000,25.458706
2011-07-13,25.9,25.9,25.9,25.9,0,25.458706
2011-07-14,25.9,25.9,25.9,25.9,0,25.458706
2011-07-15,25.629999,25.74,25.629999,25.73,4500,25.291603
2011-07-18,25.73,25.73,25.73,25.73,0,25.291603
2011-07-19,25.93,25.93,25.93,25.93,1300,25.488196
2011-07-20,25.98,25.98,25.98,25.98,2800,25.537343
2011-07-21,26.25,26.290001,26.25,26.280001,18400,25.832233
2011-07-22,26.280001,26.280001,26.280001,26.280001,0,25.832233
2011-07-25,26.280001,26.280001,26.280001,26.280001,0,25.832233
2011-07-26,26.280001,26.280001,26.280001,26.280001,0,25.832233
2011-07-27,25.5,25.5,25.450001,25.450001,4200,25.016375
2011-07-28,25.450001,25.450001,25.450001,25.450001,0,25.016375
2011-07-29,25.450001,25.450001,25.450001,25.450001,0,25.016375
2011-08-01,24.93,24.950001,24.83,24.950001,1200,24.524894
2011-08-02,24.950001,24.950001,24.950001,24.950001,0,24.524894
2011-08-03,24.950001,24.950001,24.950001,24.950001,0,24.524894
2011-08-04,23.950001,23.950001,23.6,23.6,1000,23.197895
2011-08-05,22.68,23.190001,22.68,23.09,2700,22.696585
2011-08-08,21.91,21.92,20.92,20.92,2200,20.563558
2011-08-09,21.82,21.82,21.57,21.629999,2500,21.26146
2011-08-10,21.629999,21.629999,21.629999,21.629999,0,21.26146
2011-08-11,22.540001,22.639999,22.540001,22.639999,700,22.254251
2011-08-12,22.66,22.700001,22.66,22.700001,500,22.31323
2011-08-15,23,23,23,23,500,22.608118
2011-08-16,22.84,22.84,22.719999,22.719999,300,22.332888
2011-08-17,22.68,22.68,22.68,22.68,5700,22.293571
2011-08-18,22.5,22.5,22.5,22.5,100,22.116637
2011-08-19,21.42,21.639999,21.42,21.51,5600,21.143505
2011-08-22,21.51,21.51,21.51,21.51,0,21.143505
2011-08-23,21.639999,21.74,21.639999,21.65,5200,21.281119
2011-08-24,22.110001,22.110001,22.110001,22.110001,200,21.733283
2011-08-25,21.9,21.9,21.9,21.9,500,21.52686
2011-08-26,21.9,21.9,21.9,21.9,0,21.52686
2011-08-29,21.9,21.9,21.9,21.9,0,21.52686
2011-08-30,23,23.26,23,23.26,3400,22.863688
2011-08-31,23.459999,23.459999,23.26,23.27,3600,22.873518
2011-09-01,23.15,23.15,23,23,600,22.608118
2011-09-02,23,23,23,23,0,22.608118
2011-09-06,21.870001,21.870001,21.870001,21.870001,2800,21.497372
2011-09-07,21.870001,21.870001,21.870001,21.870001,0,21.497372
2011-09-08,23.059999,23.059999,22.83,22.83,700,22.441015
2011-09-09,22.83,22.83,22.83,22.83,0,22.441015
2011-09-12,22.83,22.83,22.83,22.83,0,22.441015
2011-09-13,22.219999,22.469999,22.219999,22.469999,2100,22.087148
2011-09-14,22.9,22.9,22.9,22.9,500,22.509822
2011-09-15,22.9,22.9,22.9,22.9,0,22.509822
2011-09-16,23.290001,23.33,23.290001,23.33,1800,22.932495
2011-09-19,23.33,23.33,23.33,23.33,0,22.932495
2011-09-20,23,23,22.9,22.9,2700,22.509822
2011-09-21,22.860001,22.860001,22.540001,22.540001,1300,22.155957
2011-09-22,21.5,21.5,21.5,21.5,200,21.133676
2011-09-23,21.559999,21.66,21.559999,21.66,900,21.290949
2011-09-26,21.75,21.75,21.75,21.75,300,21.379416
2011-09-27,21.75,21.75,21.75,21.75,0,21.379416
2011-09-28,21.75,21.75,21.75,21.75,0,21.379416
2011-09-29,21.75,21.75,21.75,21.75,0,21.379416
2011-09-30,21.75,21.75,21.75,21.75,0,21.379416
2011-10-03,20.51,20.51,20.51,20.51,5500,20.160544
2011-10-04,20.5,20.559999,20.16,20.559999,1000,20.209691
2011-10-05,21.74,21.82,21.74,21.780001,7900,21.408906
2011-10-06,21.780001,21.780001,21.780001,21.780001,0,21.408906
2011-10-07,21.780001,21.780001,21.780001,21.780001,0,21.408906
2011-10-10,22.34,22.34,22.34,22.34,2500,21.959364
2011-10-11,22.34,22.34,22.34,22.34,0,21.959364
2011-10-12,23.290001,23.290001,22.860001,22.860001,700,22.470504
2011-10-13,22.629999,22.85,22.629999,22.66,7000,22.273911
2011-10-14,22.66,22.66,22.66,22.66,0,22.273911
2011-10-17,22.66,22.66,22.66,22.66,0,22.273911
2011-10-18,23.059999,23.059999,23.059999,23.059999,800,22.667095
2011-10-19,23.059999,23.059999,23.059999,23.059999,0,22.667095
2011-10-20,23.059999,23.059999,23.059999,23.059999,0,22.667095
2011-10-21,23.59,23.59,23.35,23.35,5300,22.952155
2011-10-24,23.35,23.35,23.35,23.35,0,22.952155
2011-10-25,23.35,23.35,23.35,23.35,0,22.952155
2011-10-26,23.75,23.98,23.6,23.98,2800,23.57142
2011-10-27,24.92,24.98,24.92,24.98,400,24.554382
2011-10-28,24.98,24.98,24.98,24.98,0,24.554382
2011-10-31,24.98,24.98,24.98,24.98,0,24.554382
2011-11-01,24.98,24.98,24.98,24.98,0,24.554382
2011-11-02,24.98,24.98,24.98,24.98,0,24.554382
2011-11-03,24.98,24.98,24.98,24.98,0,24.554382
2011-11-04,24.219999,24.370001,24.219999,24.370001,500,23.954776
2011-11-07,24.280001,24.370001,24.280001,24.370001,1100,23.954776
2011-11-08,24.1,24.1,24.07,24.07,2700,23.659887
2011-11-09,23.73,23.73,23.73,23.73,200,23.32568
2011-11-10,23.73,23.73,23.73,23.73,0,23.32568
2011-11-11,23.73,23.73,23.73,23.73,0,23.32568
2011-11-14,23.83,24.15,23.83,24.15,1700,23.738524
2011-11-15,24.1,24.1,24.1,24.1,1200,23.689376
2011-11-16,23.969999,23.969999,23.969999,23.969999,900,23.56159
2011-11-17,23.969999,23.969999,23.969999,23.969999,0,23.56159
2011-11-18,23.969999,23.969999,23.969999,23.969999,0,23.56159
2011-11-21,23.969999,23.969999,23.969999,23.969999,0,23.56159
2011-11-22,23.969999,23.969999,23.969999,23.969999,0,23.56159
2011-11-23,23.969999,23.969999,23.969999,23.969999,0,23.56159
2011-11-25,23.969999,23.969999,23.969999,23.969999,0,23.56159
2011-11-28,22.57,22.57,22.57,22.57,500,22.185444
2011-11-29,22.57,22.57,22.57,22.57,0,22.185444
2011-11-30,22.57,22.57,22.57,22.57,0,22.185444
2011-12-01,23.75,23.75,23.75,23.75,500,23.345339
2011-12-02,23.75,23.75,23.75,23.75,0,23.345339
2011-12-05,24.200001,24.200001,24.200001,24.200001,200,23.787673
2011-12-06,23.940001,23.940001,23.93,23.93,700,23.522273
2011-12-07,23.93,23.93,23.93,23.93,0,23.522273
2011-12-08,23.6,23.639999,22.99,23.639999,4300,23.237213
2011-12-09,23.639999,23.639999,23.639999,23.639999,0,23.237213
2011-12-12,23.58,23.58,23.08,23.280001,3700,22.883348
2011-12-13,23.68,23.68,23.68,23.68,800,23.276532
2011-12-14,23.68,23.68,23.68,23.68,0,23.276532
2011-12-15,22.690001,22.690001,22.65,22.690001,600,22.3034
2011-12-16,22.690001,22.690001,22.690001,22.690001,0,22.3034
2011-12-19,22.73,22.73,22.73,22.73,400,22.342718
2011-12-20,23.24,23.24,23.24,23.24,400,22.844029
2011-12-21,23.24,23.24,23.24,23.24,0,22.844029
2011-12-22,23.24,23.24,23.24,23.24,0,22.844029
2011-12-23,23.24,23.24,23.24,23.24,0,22.909088
2011-12-27,23.24,23.24,23.24,23.24,0,22.909088
