"Index","open","high","low","close","volume","adjusted"
2016-04-05,25.139999,25.139999,25.02,25.08,6100,25.08
2016-04-06,24.870001,24.870001,24.799999,24.799999,15500,24.799999
2016-04-07,25.33,25.33,25.01,25.030001,1600,25.030001
2016-04-08,25.32,25.32,25.18,25.209999,3200,25.209999
2016-04-11,25.75,25.75,25.5,25.5,7600,25.5
2016-04-12,25.6,25.74,25.440001,25.74,2700,25.74
2016-04-13,25.68,25.690001,25.68,25.690001,1900,25.690001
2016-04-14,25.559999,25.559999,25.48,25.48,500,25.48
2016-04-15,25.52,25.52,25.52,25.52,100,25.52
2016-04-18,25.57,25.68,25.57,25.68,1800,25.68
2016-04-19,26.15,26.200001,26.15,26.16,6300,26.16
2016-04-20,26.129999,26.25,26.129999,26.200001,11200,26.200001
2016-04-21,26.26,26.261999,26.049999,26.059999,5600,26.059999
2016-04-22,25.584999,25.599001,25.584999,25.599001,700,25.599001
2016-04-25,25.67,25.67,25.669001,25.67,2700,25.67
2016-04-26,25.67,25.67,25.67,25.67,0,25.67
2016-04-27,25.889999,25.927999,25.809999,25.927999,2000,25.927999
2016-04-28,26.35,26.35,26.26,26.26,13700,26.26
2016-04-29,26.389999,26.43,26.35,26.361,2000,26.361
2016-05-02,26.68,26.68,26.6,26.6,1500,26.6
2016-05-03,26.299999,26.299999,26.299999,26.299999,10900,26.299999
2016-05-04,26.280001,26.280001,25.9,25.969999,1700,25.969999
2016-05-05,26.02,26.02,26,26.02,1900,26.02
2016-05-06,26.02,26.02,26.02,26.02,0,26.02
2016-05-09,25.99,25.99,25.864,25.913,2000,25.913
2016-05-10,25.913,25.913,25.913,25.913,0,25.913
2016-05-11,26.424999,26.424999,26.24,26.26,2900,26.26
2016-05-12,26.299999,26.299999,26.084999,26.084999,2200,26.084999
2016-05-13,25.98,26.08,25.98,26.08,2000,26.08
2016-05-16,26.290001,26.290001,26.290001,26.290001,1300,26.290001
2016-05-17,26.200001,26.23,26.040001,26.040001,4500,26.040001
2016-05-18,26.059999,26.096001,25.504999,25.530001,2400,25.530001
2016-05-19,25.219999,25.51,25.219999,25.489,2200,25.489
2016-05-20,25.639999,25.639999,25.639999,25.639999,1000,25.639999
2016-05-23,25.506001,25.6,25.506001,25.6,1400,25.6
2016-05-24,25.43,25.43,25.43,25.43,200,25.43
2016-05-25,25.290001,25.360001,25.290001,25.360001,500,25.360001
2016-05-26,25.360001,25.360001,25.360001,25.360001,0,25.360001
2016-05-27,25.35,25.35,24.059999,25.35,15600,25.35
2016-05-31,25.370001,25.370001,25.370001,25.370001,700,25.370001
2016-06-01,25.370001,25.370001,25.370001,25.370001,0,25.370001
2016-06-02,25.370001,25.370001,25.370001,25.370001,0,25.370001
2016-06-03,26.02,26.02,25.969999,25.969999,400,25.969999
2016-06-06,25.969999,25.969999,25.969999,25.969999,0,25.969999
2016-06-07,26.18,26.280001,26.18,26.273001,900,26.273001
2016-06-08,26.66,26.66,26.66,26.66,400,26.66
2016-06-09,26.66,26.66,26.66,26.66,0,26.66
2016-06-10,26.614,26.639999,26.52,26.57,5900,26.57
2016-06-13,26.6,26.74,26.6,26.723,1300,26.723
2016-06-14,26.67,26.67,26.41,26.552999,11400,26.552999
2016-06-15,26.52,26.690001,26.52,26.690001,1300,26.690001
2016-06-16,26.709999,26.709999,26.709999,26.709999,700,26.709999
2016-06-17,26.540001,26.67,26.540001,26.67,700,26.67
2016-06-20,26.700001,26.700001,26.700001,26.700001,200,26.700001
2016-06-21,26.440001,26.49,26.25,26.382,27700,26.382
2016-06-22,26.281,26.281,26.281,26.281,200,26.281
2016-06-23,26.450001,26.52,26.450001,26.5,500,26.5
2016-06-24,26.959999,26.959999,26.83,26.83,200,26.83
2016-06-27,26.49,26.49,26.49,26.49,2000,26.49
