"Index","open","high","low","close","volume","adjusted"
2015-09-21,40.34,40.52,40,40.209999,217800,39.738989
2015-09-22,40,40.007999,39.459999,39.740002,63500,39.274498
2015-09-23,39.869999,39.869999,39.560001,39.73,73400,39.264613
2015-09-24,39.580002,39.650002,39.119999,39.59,22800,39.126253
2015-09-25,40,40,39.34,39.556999,55500,39.093639
2015-09-28,39.18,39.380001,38.43,38.459999,93300,38.009489
2015-09-29,38.630001,38.810001,38.351002,38.5,58500,38.049021
2015-09-30,39.080002,39.259998,38.720001,39.240002,32200,38.780354
2015-10-01,39.389999,39.389999,38.82,39.25,7400,38.790236
2015-10-02,38.720001,39.740002,38.720001,39.740002,11800,39.274498
2015-10-05,40.189999,40.5,40.188999,40.5,29200,40.025593
2015-10-06,40.560001,40.560001,40.066002,40.240002,58200,39.768641
2015-10-07,40.540001,40.549999,40.16,40.450001,34800,39.97618
2015-10-08,40.467999,40.860001,40.400002,40.82,17800,40.341845
2015-10-09,40.990002,41,40.75,40.919998,38900,40.440672
2015-10-12,41.040001,41.040001,40.869999,40.98,10600,40.49997
2015-10-13,40.759998,41.07,40.664001,40.700001,14400,40.223251
2015-10-14,40.810001,40.810001,40.369999,40.380001,15300,39.907
2015-10-15,40.599998,40.919998,40.506001,40.898998,37500,40.419918
2015-10-16,40.860001,41.139999,40.860001,41.136002,4800,40.654145
2015-10-19,41.099998,41.259998,41.060001,41.240002,36400,40.756927
2015-10-20,41.27,41.299999,41.09,41.150002,15000,40.667981
2015-10-21,41.183998,41.200001,40.889999,40.91,64800,40.430791
2015-10-22,41.200001,41.560001,41.200001,41.509998,353400,41.023761
2015-10-23,41.82,41.900002,41.604,41.849998,21800,41.359778
2015-10-26,41.75,41.849998,41.68,41.799999,61800,41.310365
2015-10-27,41.77,41.810001,41.610001,41.759998,31900,41.270832
2015-10-28,41.939999,42.189999,41.700001,42.189999,27000,41.695796
2015-10-29,42.18,42.207001,42.018002,42.169998,28600,41.67603
2015-10-30,42.169998,42.25,42.049999,42.060001,23200,41.567321
2015-11-02,42.220001,42.540001,42.060001,42.490002,35600,41.992285
2015-11-03,42.509998,42.66,42.349998,42.52,23600,42.021932
2015-11-04,42.700001,42.700001,42.330002,42.369999,228900,41.873688
2015-11-05,42.330002,42.48,42.25,42.43,22500,41.932986
2015-11-06,42.409,42.419998,42.143002,42.330002,78300,41.834159
2015-11-09,42.200001,42.32,41.73,41.93,162900,41.438843
2015-11-10,41.869999,42.029999,41.790001,41.98,31900,41.488257
2015-11-11,42.094002,42.094002,41.818001,41.830002,21400,41.340016
2015-11-12,41.630001,41.669998,41.279999,41.279999,35300,40.796455
2015-11-13,41.18,41.18,40.689999,40.709999,79000,40.233133
2015-11-16,40.720001,41.27,40.720001,41.27,11100,40.786574
2015-11-17,41.439999,41.560001,41.200001,41.27,669800,40.786574
2015-11-18,41.490002,41.959999,41.400002,41.950001,14500,41.458609
2015-11-19,41.970001,41.970001,41.849998,41.890999,93100,41.400298
2015-11-20,42.220001,42.220001,42.049999,42.099998,29500,41.60685
2015-11-23,42.290001,42.299999,42.080002,42.150002,44300,41.656267
2015-11-24,42.029999,42.279999,41.860001,42.160999,63800,41.667136
2015-11-25,42.23,42.310001,42.217999,42.27,48100,41.774861
2015-11-27,42.369999,42.369999,42.200001,42.327999,8800,41.83218
2015-11-30,42.5,42.5,42.060001,42.099998,1468700,41.60685
2015-12-01,42.400002,42.529999,42.290001,42.529999,80800,42.031813
2015-12-02,42.560001,42.560001,42.09,42.112,150600,41.61871
2015-12-03,42.25,42.25,41.370998,41.490002,54700,41.003998
2015-12-04,41.57,42.439999,41.57,42.389999,101900,41.893454
2015-12-07,42.439999,42.439999,42.029999,42.189999,157400,41.695796
2015-12-08,41.740002,42.169998,41.740002,42.029999,27700,41.53767
2015-12-09,41.950001,42.25,41.459999,41.619999,22000,41.132473
2015-12-10,41.75,41.959999,41.596001,41.75,84400,41.260951
2015-12-11,41.34,41.360001,40.950001,41.02,242200,40.539503
2015-12-14,40.990002,41.16,40.639999,41.150002,45100,40.667981
2015-12-15,41.650002,41.75,41.481998,41.57,101000,41.083059
2015-12-16,41.799999,42.23,41.676998,42.18,51000,41.685915
2015-12-17,42.09,42.09,41.599998,41.599998,95900,41.112707
2015-12-18,41.439999,41.439999,40.950001,40.950001,127900,40.470323
2015-12-21,41.150002,41.279999,40.945,41.220001,55400,40.737161
2015-12-22,41.450001,41.700001,41.200001,41.619999,356000,41.132473
2015-12-23,41.766998,41.91,41.611,41.91,200100,41.569893
2015-12-24,41.880001,41.98,41.796001,41.880001,25300,41.540138
2015-12-28,41.779999,41.779999,41.480999,41.73,61100,41.391353
2015-12-29,42.029999,42.25,42.029999,42.169998,82200,41.827781
2015-12-30,42.150002,42.150002,41.919998,41.939999,119400,41.599648
2015-12-31,41.740002,41.900002,41.509998,41.509998,185100,41.173138
2016-01-04,40.970001,40.970001,40.5,40.919998,217100,40.587925
2016-01-05,41,41.060001,40.834,41.007999,83700,40.675212
2016-01-06,40.619999,40.73,40.299999,40.529999,127200,40.201091
2016-01-07,40,40.297001,39.659,39.720001,79900,39.397667
2016-01-08,39.950001,40.02,39.139999,39.200001,128000,38.881886
2016-01-11,39.43,39.48,38.799999,39.308998,111100,38.989999
2016-01-12,39.744999,39.744999,39.144001,39.639999,66900,39.318314
2016-01-13,39.759998,39.759998,38.529999,38.599998,111400,38.286753
2016-01-14,38.799999,39.290001,38.299999,39.049999,67300,38.733102
2016-01-15,38.150002,38.409,37.84,38.27,138100,37.959433
2016-01-19,38.759998,38.761002,38,38.349998,170600,38.038782
2016-01-20,37.799999,38.27,36.986,37.959999,89100,37.651947
2016-01-21,38.07,38.5,37.948002,38.174999,76200,37.865203
2016-01-22,38.68,38.889999,38.560001,38.84,105300,38.524807
2016-01-25,38.759998,38.779999,38.278,38.32,266900,38.009026
2016-01-26,38.470001,38.91,38.43,38.849998,108000,38.534724
2016-01-27,38.77,39.080002,38.206001,38.41,163400,38.098296
2016-01-28,38.529999,38.77,38.27,38.529999,202400,38.217321
2016-01-29,38.700001,39.43,38.700001,39.41,1367400,39.090181
2016-02-01,39.189999,39.700001,39.16,39.549999,79400,39.229044
2016-02-02,39.27,39.342999,38.720001,38.869999,327300,38.554562
2016-02-03,39.099998,39.099998,38.259998,38.990002,249400,38.673591
2016-02-04,38.889999,39.181999,38.740002,38.91,109700,38.594238
