"Index","open","high","low","close","volume","adjusted"
2012-06-05,15.12,15.17,15.05,15.17,800,14.125723
2012-06-06,15.17,15.41,15.17,15.33,2000,14.274709
2012-06-07,16,16,15.39,15.39,11500,14.330579
2012-06-08,15.32,15.48,15.2,15.48,1200,14.414383
2012-06-11,15.95,15.95,15.16,15.16,6100,14.116411
2012-06-12,15.16,15.31,15.1,15.31,4700,14.256086
2012-06-13,15.21,15.33,15.1,15.14,8900,14.097788
2012-06-14,15.23,15.23,15.18,15.18,500,14.135035
2012-06-15,15.28,15.4,15.25,15.4,500,14.33989
2012-06-18,15.45,15.45,15.4,15.45,2300,14.386448
2012-06-19,15.8,15.85,15.76,15.76,1900,14.675109
2012-06-20,15.86,15.86,15.76,15.8,5900,14.712355
2012-06-21,15.82,15.82,15.38,15.39,5100,14.330579
2012-06-22,15.35,15.35,15.35,15.35,1700,14.293332
2012-06-25,15.3,15.3,15.16,15.16,1800,14.116411
2012-06-26,15.2,15.23,15.2,15.23,600,14.181592
2012-06-27,15.34,15.45,15.34,15.45,600,14.386448
2012-06-28,15.25,15.25,15.18,15.18,1100,14.135035
2012-06-29,15.65,15.79,15.65,15.75,3500,14.665797
2012-07-02,15.96,15.96,15.82,15.83,700,14.74029
2012-07-03,15.89,16,15.89,16,800,14.898587
2012-07-05,16.030001,16.049999,15.96,15.99,11100,14.889275
2012-07-06,15.79,15.79,15.79,15.79,400,14.703043
2012-07-09,15.73,15.73,15.73,15.73,200,14.647173
2012-07-10,15.7,15.7,15.7,15.7,100,14.619239
2012-07-11,15.7,15.7,15.7,15.7,0,14.619239
2012-07-12,15.7,15.7,15.7,15.7,0,14.619239
2012-07-13,15.65,15.65,15.65,15.65,100,14.57268
2012-07-16,15.66,15.66,15.58,15.58,600,14.507499
2012-07-17,15.79,15.79,15.78,15.78,500,14.693731
2012-07-18,15.78,15.78,15.78,15.78,0,14.693731
2012-07-19,15.93,15.93,15.93,15.93,5000,14.833406
2012-07-20,15.74,15.75,15.74,15.75,600,14.665797
2012-07-23,15.48,15.48,15.48,15.48,300,14.414383
2012-07-24,15.48,15.48,15.48,15.48,0,14.414383
2012-07-25,15.48,15.48,15.48,15.48,0,14.414383
2012-07-26,15.48,15.48,15.48,15.48,0,14.414383
2012-07-27,15.48,15.48,15.48,15.48,0,14.414383
2012-07-30,15.48,15.48,15.48,15.48,0,14.414383
2012-07-31,15.84,15.84,15.73,15.73,1400,14.647173
2012-08-01,15.73,15.73,15.73,15.73,0,14.647173
2012-08-02,15.45,15.66,15.45,15.48,600,14.414383
2012-08-03,15.45,15.99,15.45,15.99,1100,14.889275
2012-08-06,15.99,15.99,15.99,15.99,0,14.889275
2012-08-07,16.200001,16.200001,16.200001,16.200001,100,15.08482
2012-08-08,16.200001,16.200001,16.200001,16.200001,0,15.08482
2012-08-09,16.200001,16.200001,16.200001,16.200001,0,15.08482
2012-08-10,16.200001,16.200001,16.200001,16.200001,0,15.08482
2012-08-13,16.200001,16.200001,16.200001,16.200001,0,15.08482
2012-08-14,16.49,16.57,16.49,16.52,2700,15.382792
2012-08-15,16.52,16.52,16.52,16.52,0,15.382792
2012-08-16,16.549999,16.780001,16.549999,16.780001,300,15.624894
2012-08-17,16.780001,16.780001,16.780001,16.780001,0,15.624894
