"Index","open","high","low","close","volume","adjusted"
2011-03-31,50.759998,50.799999,50.669998,50.689999,31600,42.207898
2011-04-01,50.869999,50.880001,50.68,50.73,41600,42.241205
2011-04-04,50.990002,51.34,50.77,50.84,88000,42.332799
2011-04-05,50.799999,51.16,50.779999,50.860001,69600,42.349453
2011-04-06,51,51.139999,50.959999,51.080002,81400,42.532641
2011-04-07,51.029999,51.110001,50.75,51.009998,25000,42.474351
2011-04-08,51.189999,51.240002,50.75,51.080002,125300,42.532641
2011-04-11,51.240002,51.470001,51.040001,51.099998,25000,42.549291
2011-04-12,50.84,50.93,50.689999,50.759998,28200,42.266184
2011-04-13,50.810001,50.849998,50.599998,50.650002,14200,42.174594
2011-04-14,50.529999,51.02,50.459999,50.919998,28700,42.399411
2011-04-15,51.189999,51.43,51.02,51.349998,50400,42.757458
2011-04-18,51.209999,51.549999,50.630001,50.830002,53600,42.324474
2011-04-19,51.16,51.16,50.790001,50.950001,38600,42.424393
2011-04-20,51.549999,51.669998,51.549999,51.560001,24500,42.932321
2011-04-21,52.040001,52.040001,51.5,51.57,65300,42.940646
2011-04-25,51.470001,51.650002,51.439999,51.639999,20800,42.998932
2011-04-26,51.75,52.27,51.740002,52.200001,100100,43.465227
2011-04-27,52.700001,53.619999,52.189999,53.610001,45200,44.639288
2011-04-28,52.540001,52.799999,52.540001,52.790001,51800,43.956501
2011-04-29,52.799999,53.049999,52.720001,53.009998,40000,44.139685
2011-05-02,53.189999,53.630001,52.75,52.91,76000,44.05642
2011-05-03,52.900002,53.099998,52.75,52.98,28000,44.114706
2011-05-04,53.459999,53.459999,52.700001,52.939999,33000,44.081399
2011-05-05,52.77,52.779999,52.200001,52.43,67900,43.65674
2011-05-06,53.060001,53.060001,52.490002,52.599998,30100,43.798292
2011-05-09,52.560001,52.759998,52.490002,52.759998,21000,43.931519
2011-05-10,52.849998,53.18,52.849998,53.150002,25500,44.256261
2011-05-11,53.080002,53.18,52.75,52.959999,25900,44.098053
2011-05-12,52.849998,53.5,52.84,53.400002,24000,44.464428
2011-05-13,53.43,53.459999,52.990002,53.240002,36400,44.331202
2011-05-16,53.080002,53.380001,53.040001,53.169998,7400,44.272912
2011-05-17,53.099998,53.259998,52.98,53.220001,15000,44.314548
2011-05-18,53.290001,53.529999,53.150002,53.5,33100,44.547694
