"Index","open","high","low","close","volume","adjusted"
2012-06-20,25.25,25.26,25.1,25.17,242700,23.489949
2012-06-21,25.17,25.209999,24.73,24.73,59200,23.079318
2012-06-22,25.5,25.5,24.65,24.66,21300,23.013991
2012-06-25,24.27,24.360001,24.27,24.360001,500,22.734016
2012-06-26,24.43,24.43,24.33,24.41,1600,22.780678
2012-06-27,24.620001,24.620001,24.620001,24.620001,1800,22.976662
2012-06-28,25.25,25.25,24.34,24.34,1200,22.71535
2012-06-29,25,25.059999,25,25.059999,2200,23.387291
2012-07-02,24.959999,25.049999,24.959999,25.049999,6800,23.377958
2012-07-03,25.24,25.24,25.24,25.24,500,23.555277
2012-07-05,25.280001,25.32,25.280001,25.32,600,23.629937
2012-07-06,24.889999,24.889999,24.82,24.82,200,23.163311
2012-07-09,24.84,24.84,24.709999,24.74,2400,23.088651
2012-07-10,24.65,24.65,24.58,24.58,3800,22.939331
2012-07-11,24.5,24.5,24.5,24.5,1600,22.864671
2012-07-12,24.27,24.540001,24.27,24.540001,400,22.902001
2012-07-13,24.91,24.91,24.91,24.91,200,23.247304
2012-07-16,24.610001,24.719999,24.610001,24.719999,6600,23.069985
2012-07-17,24.690001,24.799999,24.59,24.799999,11400,23.144645
2012-07-18,24.99,24.99,24.99,24.99,4000,23.321964
2012-07-19,25.219999,25.25,25.219999,25.25,2400,23.564609
2012-07-20,25.860001,25.860001,25.02,25.02,200,23.349962
2012-07-23,25.02,25.02,25.02,25.02,0,23.349962
2012-07-24,24.16,24.17,24.16,24.17,5600,22.556697
2012-07-25,24.26,24.379999,24.26,24.379999,1100,22.75268
2012-07-26,24.709999,24.85,24.709999,24.85,1400,23.191309
2012-07-27,25.32,25.32,25.32,25.32,500,23.629937
2012-07-30,25.82,25.82,25.4,25.4,1200,23.704597
2012-07-31,25.4,25.4,25.4,25.4,0,23.704597
2012-08-01,25.4,25.4,25.4,25.4,0,23.704597
2012-08-02,24.870001,24.870001,24.33,24.469999,16200,22.836672
2012-08-03,25.34,25.34,25.34,25.34,300,23.648602
2012-08-06,25.790001,25.790001,25.35,25.51,1600,23.807255
2012-08-07,25.67,25.879999,25.610001,25.879999,4300,24.152557
2012-08-08,25.549999,25.549999,25.5,25.5,800,23.797922
2012-08-09,25.6,25.620001,25.59,25.59,5900,23.881915
2012-08-10,25.76,25.76,25.559999,25.559999,200,23.853917
2012-08-13,25.49,25.51,25.49,25.51,4100,23.807255
2012-08-14,25.73,25.73,25.73,25.73,1200,24.01257
2012-08-15,25.73,25.73,25.73,25.73,0,24.01257
2012-08-16,25.9,25.92,25.9,25.92,1400,24.189888
2012-08-17,26.07,26.219999,26.049999,26.219999,1300,24.469863
2012-08-20,25.99,26.1,25.950001,26.01,600,24.273881
2012-08-21,26.01,26.01,26.01,26.01,0,24.273881
2012-08-22,25.98,26,25.93,26,3100,24.264548
2012-08-23,26,26,26,26,0,24.264548
2012-08-24,26,26,26,26,0,24.264548
2012-08-27,26.290001,26.290001,26.290001,26.290001,200,24.535192
2012-08-28,26.85,26.85,26.24,26.24,700,24.488529
2012-08-29,26.299999,26.299999,26.299999,26.299999,400,24.544523
2012-08-30,26.049999,26.049999,26.049999,26.049999,700,24.31121
2012-08-31,26.120001,26.120001,26.1,26.1,300,24.357874
2012-09-04,26.1,26.1,26.1,26.1,0,24.357874
2012-09-05,26.17,26.17,26.17,26.17,1000,24.423201
2012-09-06,26.17,26.17,26.17,26.17,0,24.423201
2012-09-07,26.17,26.17,26.17,26.17,0,24.423201
2012-09-10,26.17,26.17,26.17,26.17,0,24.423201
2012-09-11,26.74,26.74,26.690001,26.690001,300,24.908493
2012-09-12,26.76,26.76,26.76,26.76,800,24.97382
2012-09-13,26.91,26.91,26.85,26.85,900,25.057813
2012-09-14,26.85,26.85,26.85,26.85,0,25.057813
2012-09-17,27.190001,27.190001,27.190001,27.190001,200,25.375119
2012-09-18,27,27,26.98,26.98,800,25.179135
2012-09-19,27.040001,27.190001,26.98,27.190001,600,25.375119
2012-09-20,26.950001,26.950001,26.950001,26.950001,200,25.151138
2012-09-21,27.139999,27.139999,27.049999,27.049999,800,25.244462
2012-09-24,27.26,27.26,26.860001,26.879999,400,25.085809
2012-09-25,26.99,26.99,26.77,26.77,700,24.983153
2012-09-26,26.77,26.77,26.77,26.77,0,24.983153
2012-09-27,26.77,26.77,26.77,26.77,0,24.983153
2012-09-28,26.77,26.77,26.77,26.77,0,24.983153
2012-10-01,26.77,26.77,26.77,26.77,0,24.983153
2012-10-02,26.77,26.77,26.77,26.77,0,24.983153
2012-10-03,26.65,26.76,26.65,26.76,1100,24.97382
2012-10-04,26.76,26.76,26.76,26.76,0,24.97382
2012-10-05,26.76,26.76,26.76,26.76,0,24.97382
2012-10-08,26.77,26.77,26.77,26.77,600,24.983153
2012-10-09,26.360001,26.360001,25.91,26.33,1500,24.572521
2012-10-10,26.33,26.33,26.33,26.33,0,24.572521
2012-10-11,26.33,26.33,26.33,26.33,0,24.572521
2012-10-12,26.190001,26.190001,26.190001,26.190001,200,24.441867
2012-10-15,26.639999,26.639999,26.16,26.16,800,24.413868
2012-10-16,26.16,26.16,26.16,26.16,0,24.413868
2012-10-17,26.6,26.6,26.5,26.5,3000,24.731174
2012-10-18,26.74,26.74,26.74,26.74,300,24.955154
2012-10-19,26.450001,26.450001,26.01,26.01,3900,24.273881
2012-10-22,25.9,25.959999,25.9,25.959999,300,24.227217
2012-10-23,25.85,25.860001,25.85,25.860001,300,24.133894
2012-10-24,26.23,26.23,25.93,25.93,700,24.199221
2012-10-25,25.950001,25.950001,25.82,25.82,1000,24.096563
2012-10-26,25.959999,25.959999,25.799999,25.83,10200,24.105895
2012-10-31,25.83,25.83,25.83,25.83,0,24.105895
2012-11-01,25.83,25.83,25.83,25.83,0,24.105895
