"Index","open","high","low","close","volume","adjusted"
2013-06-24,39.599998,39.93,39.369999,39.75,15700,34.591705
2013-06-25,39.950001,39.990002,39.669998,39.830002,10000,34.661325
2013-06-26,40.119999,40.299999,40.119999,40.299999,400,35.070332
2013-06-27,40.580002,40.580002,40.5,40.509998,3200,35.253079
2013-06-28,41.080002,41.919998,40.290001,40.450001,36100,35.200868
2013-07-01,40.740002,40.740002,40.549999,40.549999,300,35.287889
2013-07-02,41.150002,41.150002,40.450001,40.650002,220700,35.374915
2013-07-03,40.549999,40.669998,39.75,40.66,16400,35.383615
2013-07-05,40.73,40.939999,40.27,40.27,3200,35.044226
2013-07-08,39.75,41.16,39.75,41.099998,6000,35.766516
2013-07-09,41.279999,41.360001,41.169998,41.360001,5100,35.992778
2013-07-10,41.27,41.369999,41.220001,41.330002,8800,35.966672
2013-07-11,41.700001,41.700001,41.549999,41.619999,9000,36.219037
2013-07-12,41.610001,41.700001,41.599998,41.700001,9300,36.288657
2013-07-15,41.799999,41.880001,41.73,41.880001,13200,36.445299
2013-07-16,41.810001,41.810001,41.66,41.77,16200,36.349573
2013-07-17,42.23,42.23,41.799999,41.860001,60100,36.427894
2013-07-18,41.900002,42.029999,41.869999,41.959999,13800,36.514916
2013-07-19,42.419998,42.419998,41.880001,41.98,32900,36.532321
2013-07-22,41.959999,42.049999,41.919998,41.990002,14700,36.541025
2013-07-23,42.060001,42.060001,41.66,41.66,22300,36.253847
2013-07-24,41.990002,41.990002,41.689999,41.77,16200,36.383632
2013-07-25,41.700001,41.869999,41.66,41.860001,14800,36.462026
2013-07-26,41.529999,42.240002,41.490002,41.860001,10400,36.462026
2013-07-29,41.830002,41.880001,41.66,41.77,11300,36.383632
2013-07-30,41.970001,42.189999,41.73,41.75,19900,36.366211
2013-07-31,42.16,42.16,41.470001,41.939999,20900,36.531708
2013-08-01,42.189999,42.290001,42.16,42.27,7900,36.819155
2013-08-02,42.27,42.27,42.040001,42.099998,7300,36.671076
2013-08-05,42.200001,42.25,42.18,42.209999,8900,36.766891
2013-08-06,42.130001,42.200001,41.98,42.200001,7500,36.758182
2013-08-07,42.990002,42.990002,41.75,41.939999,30100,36.531708
2013-08-08,42.07,42.139999,41.919998,42.139999,7900,36.705918
2013-08-09,42.66,42.66,41.889999,41.98,14700,36.566551
2013-08-12,41.830002,41.900002,41.669998,41.900002,5400,36.496869
2013-08-13,41.869999,42,41.75,41.939999,4400,36.531708
2013-08-14,41.900002,41.900002,41.82,41.860001,7900,36.462026
2013-08-15,41.43,41.450001,41.290001,41.380001,7400,36.043924
2013-08-16,41.279999,41.349998,41.150002,41.209999,8000,35.895844
2013-08-19,41.099998,41.18,40.93,40.93,4200,35.651952
2013-08-20,41.029999,41.240002,41.02,41.139999,6900,35.834871
2013-08-21,41.560001,41.560001,40.84,40.84,6000,35.573558
2013-08-22,40.939999,41.580002,40.919998,41.060001,4400,35.897917
2013-08-23,41.07,41.32,41.07,41.299999,14600,36.107743
2013-08-26,41.299999,41.34,41.209999,41.209999,3200,36.029057
2013-08-27,41.630001,41.630001,40.41,40.52,22300,35.425806
2013-08-28,40.5,40.700001,40.5,40.619999,2800,35.513232
2013-08-29,40.849998,40.900002,40.689999,40.900002,14700,35.758033
2013-08-30,40.540001,40.599998,40.459999,40.59,2500,35.487005
2013-09-03,40.990002,41.080002,40.66,40.75,9100,35.62689
2013-09-04,40.77,41.130001,40.77,41.080002,8700,35.915403
2013-09-05,41.189999,41.209999,40.98,41.060001,9800,35.897917
2013-09-06,41.080002,41.25,40.810001,41,12800,35.845459
2013-09-09,41.240002,41.450001,41.240002,41.43,9000,36.2214
2013-09-10,41.619999,41.73,41.619999,41.709999,7000,36.466197
2013-09-11,41.759998,41.759998,41.549999,41.66,10300,36.422484
2013-09-12,41.759998,41.799999,41.639999,41.689999,15900,36.448711
2013-09-13,41.779999,41.84,41.73,41.84,1700,36.579854
2013-09-16,41.900002,42.049999,41.889999,41.91,10200,36.641054
2013-09-17,42.029999,42.110001,42.029999,42.060001,7400,36.772197
2013-09-18,42.040001,42.41,41.860001,42.41,5900,37.078193
2013-09-19,42.869999,42.869999,42.150002,42.299999,32400,36.982022
2013-09-20,42.419998,42.419998,42.150002,42.150002,10400,36.850882
2013-09-23,42.200001,42.279999,41.93,42,9900,36.719739
2013-09-24,42.040001,42.07,41.830002,41.830002,5300,36.571113
2013-09-25,42.169998,42.169998,41.73,41.889999,30000,36.667397
2013-09-26,41.900002,41.900002,41.799999,41.889999,3700,36.667397
2013-09-27,42.380001,42.380001,41.66,41.66,2400,36.466073
2013-09-30,41.529999,41.630001,41.439999,41.5,2500,36.326021
2013-10-01,41.630001,41.849998,41.619999,41.849998,8100,36.632383
2013-10-02,41.650002,41.799999,41.59,41.73,8000,36.527345
2013-10-03,42.16,42.16,41.310001,41.439999,7000,36.2735
2013-10-04,41.580002,41.830002,41.580002,41.740002,16600,36.5361
2013-10-07,41.209999,41.68,41.209999,41.68,10200,36.48358
2013-10-08,41.459999,41.459999,41.080002,41.080002,5400,35.958385
2013-10-09,41.040001,41.200001,40.849998,41.150002,4400,36.019658
2013-10-10,41.700001,41.75,41.34,41.75,14900,36.544852
2013-10-11,41.889999,42.040001,41.869999,42.040001,1600,36.798697
2013-10-14,42.139999,42.310001,42.139999,42.169998,1800,36.912487
2013-10-15,42.299999,42.34,42.060001,42.080002,6500,36.833711
2013-10-16,42.200001,42.439999,42.200001,42.439999,5900,37.148826
2013-10-17,42.400002,42.810001,42.400002,42.810001,10900,37.472699
2013-10-18,42.650002,42.950001,42.650002,42.950001,7800,37.595244
2013-10-21,42.970001,42.970001,42.849998,42.849998,7000,37.507709
2013-10-22,43.16,43.189999,42.939999,43.16,3200,37.779061
2013-10-23,43,43,42.740002,42.740002,7300,37.44179
2013-10-24,42.880001,43.060001,42.880001,43,10800,37.669558
2013-10-25,42.990002,43.07,42.950001,43.029999,2000,37.695838
2013-10-28,42.830002,43.139999,42.830002,43.130001,22600,37.783443
2013-10-29,43.200001,43.220001,43.200001,43.220001,400,37.862287
2013-10-30,43.299999,43.310001,43.200001,43.200001,700,37.844766
2013-10-31,43.240002,43.240002,43.130001,43.169998,2500,37.818482
2013-11-01,43.369999,43.369999,43.07,43.27,7100,37.906088
2013-11-04,43.240002,43.419998,43.240002,43.419998,6500,38.037491
2013-11-05,43.119999,43.32,43.119999,43.25,5400,37.888567
2013-11-06,43.490002,43.490002,43.200001,43.450001,10000,38.063775
2013-11-07,43.25,43.330002,43,43.009998,7800,37.678317
2013-11-08,43.080002,43.380001,43,43.349998,32200,37.976169
2013-11-11,43.439999,43.490002,43.439999,43.48,4800,38.090055
2013-11-12,43.419998,43.48,43.349998,43.450001,12800,38.063775
2013-11-13,43.279999,43.560001,43.279999,43.560001,10200,38.160139
2013-11-14,43.779999,43.860001,43.709999,43.860001,9600,38.422949
2013-11-15,44.32,44.32,43.799999,43.93,16500,38.484272
2013-11-18,44.150002,44.150002,43.75,43.790001,7000,38.361627
2013-11-19,43.889999,43.889999,43.700001,43.779999,3300,38.352865
2013-11-20,43.98,43.98,43.549999,43.639999,35300,38.23022
2013-11-21,43.689999,43.84,43.650002,43.779999,8700,38.410075
2013-11-22,44.040001,44.040001,43.790001,44,4600,38.603092
2013-11-25,43.98,44,43.900002,43.93,2100,38.541678
2013-11-26,43.939999,43.990002,43.880001,43.880001,5100,38.497812
2013-11-27,44,44.049999,43.98,44.049999,3200,38.646958
2013-11-29,44.119999,44.139999,44.119999,44.139999,300,38.725919
2013-12-02,44.330002,44.330002,43.93,43.93,7300,38.541678
2013-12-03,44.299999,44.299999,43.650002,43.84,9100,38.462717
2013-12-04,43.759998,43.900002,43.509998,43.790001,7700,38.418851
2013-12-05,43.650002,43.709999,43.52,43.610001,9500,38.260929
2013-12-06,44.09,44.09,43.84,43.93,7600,38.541678
2013-12-09,44.099998,44.200001,44.02,44.099998,6600,38.690825
2013-12-10,44.23,44.23,43.990002,44.040001,3900,38.638186
2013-12-11,43.849998,43.849998,43.66,43.66,5200,38.304795
