"Index","open","high","low","close","volume","adjusted"
2012-08-03,26.02,26.02,25.969999,25.969999,2200,23.689922
2012-08-06,25.969999,25.969999,25.77,25.813999,2200,23.547619
2012-08-07,25.9,26.02,25.9,26.02,5600,23.735534
2012-08-08,25.870001,26.27,25.870001,25.92,38800,23.644313
2012-08-09,25.84,25.940001,25.84,25.940001,1200,23.662557
2012-08-10,25.860001,25.91,25.84,25.91,2100,23.635191
2012-08-13,25.950001,25.950001,25.950001,25.950001,500,23.67168
2012-08-14,26.1,26.1,26.030001,26.030001,2000,23.744656
2012-08-15,25.99,25.99,25.99,25.99,1200,23.708167
2012-08-16,26.16,26.16,26.16,26.16,1000,23.863242
2012-08-17,26.190001,26.200001,26.139999,26.139999,9100,23.844997
2012-08-20,26.143,26.143,26.143,26.143,900,23.847734
2012-08-21,26.233999,26.24,26.209999,26.209999,1900,23.908851
2012-08-22,26.209999,26.209999,26.209999,26.209999,0,23.908851
2012-08-23,26.049999,26.049999,25.950001,25.950001,1800,23.67168
2012-08-24,25.879999,25.879999,25.879999,25.879999,3800,23.607824
2012-08-27,26.117001,26.167,26.117001,26.167,600,23.869627
2012-08-28,26.167,26.167,26.167,26.167,0,23.869627
2012-08-29,26.4,26.4,26.4,26.4,400,24.08217
2012-08-30,26.4,26.4,26.4,26.4,0,24.08217
2012-08-31,26.4,26.4,26.4,26.4,0,24.08217
2012-09-04,26.219999,26.219999,26.15,26.15,300,23.854119
2012-09-05,26.08,26.1,26.08,26.1,400,23.80851
2012-09-06,26.559999,26.559999,26.559999,26.559999,1400,24.228123
2012-09-07,26.559999,26.559999,26.559999,26.559999,0,24.228123
2012-09-10,26.559999,26.559999,26.559999,26.559999,0,24.228123
2012-09-11,26.57,26.57,26.5,26.5,1900,24.173391
2012-09-12,26.629999,26.77,26.57,26.6,800,24.264612
2012-09-13,26.690001,26.889999,26.690001,26.889999,1200,24.52915
2012-09-14,27.129999,27.129999,27.129999,27.129999,800,24.748078
2012-09-17,26.999001,26.999001,26.999001,26.999001,800,24.628581
2012-09-18,26.955,26.955,26.955,26.955,200,24.588443
2012-09-19,26.993,27.027,26.993,27.027,400,24.654123
2012-09-20,26.9,26.99,26.9,26.99,700,24.62037
2012-09-21,26.99,26.99,26.99,26.99,0,24.62037
2012-09-24,26.99,26.99,26.99,26.99,0,24.62037
2012-09-25,26.966999,27.1,26.891001,26.910999,4400,24.548306
2012-09-26,26.910999,26.910999,26.910999,26.910999,0,24.548306
2012-09-27,26.889999,26.889999,26.889999,26.889999,200,24.52915
2012-09-28,26.889999,26.889999,26.889999,26.889999,0,24.52915
2012-10-01,26.940001,26.940001,26.700001,26.700001,1900,24.355832
2012-10-02,26.700001,26.700001,26.700001,26.700001,0,24.355832
2012-10-03,26.700001,26.700001,26.700001,26.700001,0,24.355832
2012-10-04,27,27,26.959999,26.959999,2200,24.593004
2012-10-05,27.209999,27.209999,27.01,27.01,3700,24.638615
2012-10-08,26.950001,26.950001,26.950001,26.950001,300,24.583883
2012-10-09,26.950001,26.950001,26.629999,26.629999,3900,24.291977
2012-10-10,26.67,26.67,26.540001,26.549999,2800,24.219
2012-10-11,26.73,26.73,26.73,26.73,1500,24.383197
2012-10-12,26.73,26.73,26.73,26.73,0,24.383197
2012-10-15,26.73,26.73,26.73,26.73,0,24.383197
2012-10-16,26.847,26.860001,26.847,26.860001,1300,24.501785
2012-10-17,27.08,27.08,27.08,27.08,200,24.702469
2012-10-18,27.08,27.08,27.08,27.08,0,24.702469
2012-10-19,27.08,27.08,27.08,27.08,0,24.702469
2012-10-22,27.08,27.08,27.08,27.08,0,24.702469
2012-10-23,26.360001,26.4,26.360001,26.389999,600,24.073048
2012-10-24,26.299999,26.299999,26.299999,26.299999,700,23.99095
2012-10-25,26.4,26.459999,26.35,26.35,1500,24.036561
2012-10-26,26.35,26.35,26.35,26.35,0,24.036561
2012-10-31,26.35,26.35,26.35,26.35,0,24.036561
2012-11-01,26.57,26.6,26.57,26.6,1100,24.264612
2012-11-02,26.6,26.6,26.6,26.6,0,24.264612
2012-11-05,26.6,26.6,26.6,26.6,0,24.264612
2012-11-06,26.6,26.6,26.52,26.52,300,24.191635
2012-11-07,26.052,26.052,26.052,26.052,500,23.764724
2012-11-08,25.799999,25.799999,25.799999,25.799999,1500,23.534848
2012-11-09,25.799999,25.799999,25.799999,25.799999,0,23.534848
2012-11-12,25.802999,25.802999,25.802999,25.802999,100,23.537585
2012-11-13,25.76,25.76,25.76,25.76,100,23.498361
2012-11-14,25.76,25.76,25.76,25.76,0,23.498361
2012-11-15,25.129999,25.129999,25.129999,25.129999,400,22.923671
2012-11-16,25.129999,25.129999,25.129999,25.129999,0,22.923671
