"Index","open","high","low","close","volume","adjusted"
2016-08-25,20,20,20,20,1400,20
2016-08-26,20,20,19.860001,19.860001,208000,19.860001
2016-08-29,19.969999,19.98,19.948,19.965,16600,19.965
2016-08-30,19.874001,19.879999,19.867001,19.867001,2600,19.867001
2016-08-31,19.868,20.785,19.848,19.870001,173200,19.870001
2016-09-01,19.889999,19.889999,19.85,19.889999,5700,19.889999
2016-09-02,20,20,19.945,19.99,2300,19.99
2016-09-06,20.290001,20.290001,20.02,20.025999,3200,20.025999
2016-09-07,20.02,20.190001,19.969999,20,20200,20
2016-09-08,19.934999,19.950001,19.934999,19.950001,1200,19.950001
2016-09-09,20.07,20.07,19.42,19.42,14500,19.42
2016-09-12,19.697001,19.697001,19.67,19.67,800,19.67
2016-09-13,19.43,19.469999,19.4,19.469999,2300,19.469999
2016-09-14,19.388,19.416,19.388,19.41,1800,19.41
2016-09-15,19.525999,19.610001,19.525999,19.610001,1300,19.610001
2016-09-16,19.5,19.540001,19.5,19.507999,1700,19.507999
2016-09-19,19.636,19.639999,19.605,19.639999,1300,19.639999
2016-09-20,19.657,19.688999,19.657,19.688999,1200,19.688999
2016-09-21,19.66,19.74,19.66,19.67,1900,19.67
2016-09-22,20,20.030001,19.93,20.02,2700,20.02
2016-09-23,19.98,20.01,19.93,20.01,6400,20.01
2016-09-26,19.889999,20.77,19.85,19.85,6200,19.85
2016-09-27,19.879999,19.92,19.868999,19.886999,2200,19.886999
2016-09-28,19.886999,19.886999,19.886999,19.886999,0,19.886999
2016-09-29,19.718,19.74,19.718,19.74,1300,19.74
2016-09-30,19.785999,19.826,19.785,19.826,2300,19.826
