"Index","open","high","low","close","volume","adjusted"
2014-08-01,25.08,25.120001,24.799999,24.987,98900,24.582411
2014-08-04,26.49,26.49,24.955,25.190001,206100,24.782125
2014-08-05,25.299999,25.299999,24.860001,24.959999,133200,24.555848
2014-08-06,25.25,26,24.75,24.85,66500,24.44763
2014-08-07,25.18,25.18,24.67,24.77,91500,24.368926
2014-08-08,24.879999,25.110001,24.809999,25.110001,80800,24.703421
2014-08-11,25.49,25.49,25.120001,25.15,122500,24.742772
2014-08-12,25.25,25.25,25,25.07,53800,24.664067
2014-08-13,25.18,25.280001,25.142,25.26,35100,24.850991
2014-08-14,25.32,25.32,25.25,25.280001,43400,24.870668
2014-08-15,25.379999,25.450001,25.200001,25.309999,53200,24.900181
2014-08-18,25.5,25.610001,25.492001,25.610001,76200,25.195325
2014-08-19,25.809999,25.809999,25.68,25.77,67500,25.352734
2014-08-20,25.9,25.9,25.709999,25.837999,51500,25.419632
2014-08-21,25.9,25.959999,25.799999,25.945999,186900,25.525883
2014-08-22,26.040001,26.040001,25.879999,25.950001,54300,25.529819
2014-08-25,26.299999,26.299999,26,26.02,80500,25.598686
2014-08-26,26.1,26.139999,26.02,26.09,68800,25.667552
2014-08-27,26.24,26.24,25.98,26.030001,61200,25.608524
2014-08-28,25.98,26.049999,25.9,26.01,103600,25.588847
2014-08-29,26.24,26.24,25.969999,26.07,40100,25.647875
2014-09-02,26.23,26.23,25.957001,26.030001,69800,25.608524
2014-09-03,26.18,26.18,25.948,25.98,59300,25.559332
2014-09-04,26.049999,26.190001,25.896999,25.955,52700,25.534738
2014-09-05,25.889999,25.98,25.771,25.98,52400,25.559332
2014-09-08,26.02,26.02,25.84,25.969999,146300,25.549494
2014-09-09,26,26.02,25.76,25.82,130300,25.401923
2014-09-10,25.879999,25.879999,25.67,25.84,74400,25.4216
2014-09-11,25.790001,25.84,25.66,25.82,43500,25.401923
2014-09-12,25.85,25.85,25.629999,25.690001,46200,25.274029
2014-09-15,25.75,25.75,25.5,25.559999,68800,25.146133
2014-09-16,25.549999,25.83,25.440001,25.780001,53200,25.362572
2014-09-17,25.870001,25.879999,25.639999,25.73,48200,25.31338
2014-09-18,25.83,25.91,25.790001,25.898001,37900,25.478661
2014-09-19,26.110001,26.110001,25.709999,25.809999,45300,25.392085
2014-09-22,25.75,25.75,25.370001,25.450001,134900,25.037915
2014-09-23,25.48,25.52,25.23,25.379999,45400,25.005402
2014-09-24,25.4,25.611,25.25,25.610001,35300,25.232009
2014-09-25,25.66,25.66,25.120001,25.17,65100,24.798502
2014-09-26,25.190001,25.49,25.190001,25.440001,45800,25.064518
2014-09-29,25.27,25.41,25.129999,25.398001,55500,25.023138
