"Index","open","high","low","close","volume","adjusted"
2013-04-18,24.540001,24.549999,24.42,24.42,11100,23.184441
2013-04-19,24.629999,24.68,24.629999,24.67,2100,23.421792
2013-04-22,24.67,24.67,24.67,24.67,1000,23.421792
2013-04-23,24.67,24.67,24.67,24.67,0,23.421792
2013-04-24,24.67,24.67,24.67,24.67,0,23.421792
2013-04-25,25.309999,25.309999,25.25,25.25,500,23.972447
2013-04-26,24.940001,25.23,24.940001,25.190001,7300,23.915483
2013-04-29,24.99,25.209999,24.99,25.200001,1500,23.924977
2013-04-30,24.950001,25.280001,24.950001,25.280001,1600,24.000929
2013-05-01,24.950001,25.25,24.950001,25.25,2900,23.972447
2013-05-02,25.25,25.25,25.25,25.25,0,23.972447
2013-05-03,25.25,25.25,25.25,25.25,0,23.972447
2013-05-06,25.25,25.25,25.25,25.25,0,23.972447
2013-05-07,25.74,25.74,25.74,25.74,1000,24.437654
2013-05-08,25.84,25.84,25.84,25.84,300,24.532595
2013-05-09,25.84,25.84,25.84,25.84,200,24.532595
2013-05-10,25.790001,25.790001,25.790001,25.790001,100,24.485125
2013-05-13,25.790001,25.790001,25.790001,25.790001,0,24.485125
2013-05-14,26.09,26.09,26.09,26.09,700,24.769946
2013-05-15,26.15,26.299999,26.129999,26.280001,5200,24.950333
2013-05-16,26.23,26.23,26.120001,26.120001,384100,24.798429
2013-05-17,26.139999,26.200001,26.139999,26.18,2000,24.855392
2013-05-20,26.309999,26.35,26.309999,26.35,6100,25.016791
2013-05-21,26.34,26.360001,26.23,26.299999,3700,24.96932
2013-05-22,26.459999,26.49,25.969999,26.01,1800,24.693994
2013-05-23,25.85,25.98,25.85,25.969999,7900,24.656017
2013-05-24,25.700001,25.83,25.68,25.83,400,24.523101
2013-05-28,26.07,26.07,25.9,25.92,400,24.608547
2013-05-29,25.799999,25.860001,25.690001,25.83,3700,24.523101
2013-05-30,25.959999,26.01,25.959999,26,2000,24.684499
2013-05-31,25.889999,25.950001,25.73,25.73,11500,24.42816
2013-06-03,25.639999,25.780001,25.59,25.780001,4300,24.475631
2013-06-04,25.85,25.85,25.68,25.700001,1100,24.399679
2013-06-05,25.610001,25.610001,25.48,25.530001,1100,24.23828
2013-06-06,25.48,25.549999,25.41,25.540001,1600,24.247774
2013-06-07,25.870001,25.99,25.870001,25.969999,1500,24.656017
2013-06-10,25.99,25.99,25.99,25.99,100,24.675005
2013-06-11,25.879999,25.879999,25.879999,25.879999,500,24.57057
2013-06-12,25.700001,25.709999,25.68,25.709999,3400,24.409171
2013-06-13,25.690001,25.889999,25.690001,25.889999,500,24.580064
2013-06-14,26.15,26.15,26.15,26.15,100,24.82691
2013-06-17,26.16,26.16,26.02,26.049999,4900,24.731969
2013-06-18,26.27,26.290001,26.27,26.290001,1400,24.959827
2013-06-19,26.26,26.26,25.99,25.99,1300,24.675005
2013-06-20,25.709999,25.709999,25.379999,25.379999,3400,24.095868
2013-06-21,25.450001,25.450001,25.440001,25.440001,300,24.152834
2013-06-24,25.440001,25.440001,25.440001,25.440001,0,24.152834
2013-06-25,25.49,25.58,25.49,25.52,1700,24.228786
2013-06-26,25.629999,25.809999,25.629999,25.76,2600,24.456643
2013-06-27,25.879999,25.940001,25.879999,25.879999,2900,24.626016
2013-06-28,25.959999,25.959999,25.940001,25.940001,800,24.68311
2013-07-01,25.98,25.99,25.98,25.98,2200,24.721171
2013-07-02,25.98,25.98,25.98,25.98,400,24.721171
2013-07-03,25.75,25.75,25.75,25.75,400,24.502316
2013-07-05,25.75,25.75,25.75,25.75,0,24.502316
2013-07-08,26.200001,26.280001,26.18,26.190001,3300,24.920997
2013-07-09,26.370001,26.370001,26.33,26.33,4000,25.054213
2013-07-10,26.33,26.33,26.33,26.33,600,25.054213
2013-07-11,26.709999,26.77,26.68,26.76,1200,25.463378
2013-07-12,26.76,26.76,26.75,26.76,5000,25.463378
2013-07-15,26.92,26.92,26.870001,26.870001,3600,25.568049
2013-07-16,26.870001,26.879999,26.73,26.809999,5800,25.510955
2013-07-17,26.91,26.92,26.799999,26.799999,11100,25.501439
2013-07-18,26.959999,26.959999,26.93,26.93,1600,25.625141
2013-07-19,26.75,26.870001,26.75,26.860001,2100,25.558533
2013-07-22,26.879999,26.940001,26.879999,26.940001,900,25.634657
2013-07-23,26.9,26.9,26.790001,26.83,5500,25.529986
2013-07-24,26.700001,26.700001,26.700001,26.700001,200,25.406286
2013-07-25,26.700001,26.700001,26.700001,26.700001,0,25.406286
2013-07-26,26.610001,26.73,26.549999,26.73,1600,25.434831
2013-07-29,26.73,26.809999,26.639999,26.719999,2100,25.425315
2013-07-30,26.790001,26.790001,26.790001,26.790001,200,25.491925
2013-07-31,26.799999,26.91,26.799999,26.809999,1600,25.510955
2013-08-01,27.18,27.200001,27.139999,27.190001,11000,25.872543
2013-08-02,27.18,27.18,27.17,27.17,700,25.853512
2013-08-05,27.129999,27.139999,27.129999,27.139999,600,25.824965
2013-08-06,27.139999,27.139999,27.139999,27.139999,0,25.824965
2013-08-07,26.889999,26.9,26.83,26.889999,800,25.587078
2013-08-08,27.01,27.01,27.01,27.01,400,25.701264
2013-08-09,27.01,27.01,27.01,27.01,0,25.701264
2013-08-12,27.01,27.01,27.01,27.01,0,25.701264
2013-08-13,26.860001,26.940001,26.860001,26.940001,700,25.634657
2013-08-14,26.790001,26.809999,26.77,26.77,2700,25.472894
2013-08-15,26.42,26.48,26.42,26.42,2200,25.139852
2013-08-16,26.379999,26.379999,26.360001,26.360001,900,25.08276
2013-08-19,26.290001,26.290001,26.23,26.23,285500,24.959058
2013-08-20,26.4,26.42,26.370001,26.41,164200,25.130336
2013-08-21,26.5,26.5,26.120001,26.299999,4000,25.025666
2013-08-22,26.379999,27.559999,26.370001,27.559999,400,26.224614
2013-08-23,26.49,26.49,26.49,26.49,100,25.20646
2013-08-26,26.41,26.41,26.41,26.41,300,25.130336
2013-08-27,26.129999,26.129999,26,26.030001,1700,24.76875
2013-08-28,26.07,26.08,26.030001,26.07,1600,24.80681
2013-08-29,26.209999,26.219999,26.09,26.1,4900,24.835358
2013-08-30,26.120001,26.18,26.120001,26.15,2300,24.882934
2013-09-03,26.200001,26.200001,26.18,26.18,500,24.911481
2013-09-04,26.299999,26.4,26.299999,26.370001,1600,25.092275
2013-09-05,26.440001,26.440001,26.43,26.43,200,25.149368
2013-09-06,26.41,26.41,26.41,26.41,2000,25.130336
2013-09-09,26.41,26.41,26.41,26.41,0,25.130336
2013-09-10,26.68,26.68,26.68,26.68,100,25.387254
2013-09-11,26.889999,26.889999,26.889999,26.889999,700,25.587078
2013-09-12,26.889999,26.889999,26.889999,26.889999,0,25.587078
2013-09-13,26.889999,26.889999,26.889999,26.889999,0,25.587078
2013-09-16,27,27.110001,27,27.110001,1500,25.796419
2013-09-17,27.200001,27.200001,27.18,27.200001,2300,25.882059
2013-09-18,27.120001,27.360001,27.120001,27.360001,200,26.034306
2013-09-19,27.549999,27.549999,27.440001,27.440001,1400,26.11043
2013-09-20,27.389999,27.389999,27.35,27.35,1200,26.02479
2013-09-23,27.27,27.27,27.08,27.23,2900,25.910604
2013-09-24,27.23,27.23,27.23,27.23,1300,25.991739
2013-09-25,27.07,27.07,27.07,27.07,100,25.839015
2013-09-26,27.059999,27.059999,27.059999,27.059999,100,25.82947
2013-09-27,26.959999,26.959999,26.959999,26.959999,600,25.734017
2013-09-30,26.950001,27.030001,26.950001,26.969999,2700,25.743563
2013-10-01,27.17,27.17,27.129999,27.15,1400,25.915377
2013-10-02,27.139999,27.139999,27.139999,27.139999,1000,25.905832
2013-10-03,27.049999,27.049999,26.959999,27.01,600,25.781744
2013-10-04,27.01,27.01,27.01,27.01,0,25.781744
2013-10-07,27.01,27.01,27.01,27.01,0,25.781744
2013-10-08,26.790001,26.790001,26.780001,26.780001,200,25.562204
2013-10-09,26.67,26.780001,26.67,26.709999,2400,25.495386
2013-10-10,27.24,27.24,27.23,27.23,3400,25.991739
2013-10-11,27.4,27.42,27.33,27.42,1200,26.1731
2013-10-14,27.33,27.450001,27.33,27.43,1700,26.182645
2013-10-15,27.5,27.5,27.389999,27.389999,1800,26.144463
2013-10-16,27.41,27.82,27.41,27.82,2700,26.55491
2013-10-17,27.870001,27.91,27.860001,27.860001,4800,26.593092
2013-10-18,28.190001,28.190001,28.190001,28.190001,400,26.908085
2013-10-21,28.549999,28.549999,28.209999,28.209999,1100,26.927174
2013-10-22,28.48,28.48,28.379999,28.440001,2000,27.146717
2013-10-23,28.219999,28.219999,28.200001,28.200001,700,26.917631
2013-10-24,28.559999,28.559999,28.16,28.17,9400,26.888994
2013-10-25,28.379999,28.389999,28.34,28.370001,1800,27.0799
2013-10-28,28.370001,28.370001,28.370001,28.370001,0,27.0799
2013-10-29,28.83,28.83,28.6,28.610001,9800,27.308986
2013-10-30,28.65,28.65,28.540001,28.629999,8900,27.328075
2013-10-31,28.57,28.57,28.5,28.5,2900,27.203988
2013-11-01,28.41,28.52,28.370001,28.52,7400,27.223079
2013-11-04,28.540001,28.620001,28.540001,28.620001,1500,27.318532
2013-11-05,28.58,28.58,28.58,28.58,900,27.28035
2013-11-06,28.799999,28.799999,28.65,28.700001,104200,27.394894
2013-11-07,28.52,28.52,28.290001,28.309999,8800,27.022627
2013-11-08,28.43,28.540001,28.43,28.51,20200,27.213533
2013-11-11,28.629999,28.65,28.58,28.58,4600,27.28035
2013-11-12,28.6,28.629999,28.49,28.6,7000,27.299441
2013-11-13,28.57,28.75,28.57,28.75,3300,27.442619
2013-11-14,28.879999,29.02,28.799999,29.02,1700,27.700342
2013-11-15,29.110001,29.110001,28.969999,29.07,5700,27.748067
2013-11-18,29.190001,29.190001,28.85,28.940001,29200,27.62398
2013-11-19,28.950001,28.950001,28.860001,28.860001,3100,27.547618
2013-11-20,28.9,28.93,28.719999,28.780001,12900,27.471256
2013-11-21,28.82,29,28.799999,29,9400,27.681251
2013-11-22,28.93,29.07,28.93,29.07,1100,27.748067
2013-11-25,29.049999,29.09,29.01,29.030001,9000,27.709887
2013-11-26,29.01,29.059999,29.01,29.030001,10500,27.709887
2013-11-27,29,29.059999,29,29.059999,5100,27.738522
