"Index","open","high","low","close","volume","adjusted"
2000-05-26,91.375,91.375,91.375,91.375,40000,37.247561
2000-05-30,94.375,94.9375,94.375,94.9375,104200,38.699758
2000-05-31,94.781242,94.781242,94.781242,94.781242,400,38.636062
2000-06-01,95.875,96.5,95.875,96.5,20400,39.336686
2000-06-02,100.593758,100.656242,100.093758,100.25,83600,40.865313
2000-06-05,99.6875,99.703117,99.406242,99.484383,131800,40.553222
2000-06-06,99.406242,100.125,98.875,98.875,239000,40.304817
2000-06-07,98.031242,98.953117,98.031242,98.765617,3000,40.260229
2000-06-08,98.906242,99.015617,98.3125,98.3125,603400,40.075523
2000-06-09,99.156242,99.703117,99.156242,99.265617,3600,40.464046
2000-06-12,99.625,99.625,97.578117,97.609383,146200,39.788908
2000-06-13,98.093758,98.093758,97.125,97.828117,206200,39.878072
2000-06-14,99.281242,99.281242,98,98,71600,39.948137
2000-06-15,98,99.5,97.75,99.5,450600,40.559588
2000-06-16,99.1875,99.781242,98.9375,99.125,604600,40.406725
2000-06-19,99.156242,100.968758,99,100.781242,12400,41.081866
2000-06-20,101.125,101.5,100.515617,101.390617,155200,41.330268
2000-06-21,101,101.3125,100.921883,101.078117,201200,41.230536
2000-06-22,99.718758,100.078117,98.3125,98.3125,460800,40.102419
2000-06-23,98.296883,98.515617,97.390617,97.5,301000,39.770994
2000-06-26,98.218758,98.218758,97.625,97.984383,54400,39.968578
2000-06-27,98.25,98.390617,97.125,97.375,97600,39.720006
2000-06-28,97.281242,98.468758,97.281242,98.468758,5000,40.166158
2000-06-29,98.031242,99,97.734383,98.9375,364000,40.357362
2000-06-30,96.875,97.031242,96.875,97.031242,8600,39.579785
2000-07-03,97.031242,98.328117,97,98.328117,105200,40.10879
2000-07-05,97.406242,97.859383,97.093758,97.093758,10000,39.605285
2000-07-06,97.218758,98.140617,96.968758,98.140617,815200,40.032307
2000-07-07,98.718758,99.640617,98.718758,99.4375,53800,40.561315
2000-07-10,100.171883,100.859383,100.093758,100.765617,204400,41.103065
2000-07-11,100.5625,101.781242,100.5625,101.406242,265000,41.36438
2000-07-12,102.1875,102.843758,102,102.8125,248600,41.938004
2000-07-13,103.25,103.25,102.890617,102.953117,92600,41.995363
2000-07-14,103.359383,103.578117,102.921883,103.578117,160200,42.250305
2000-07-17,103.406242,103.671883,103.265617,103.625,26600,42.269429
2000-07-18,103.25,103.359383,102.343758,102.343758,341200,41.7468
2000-07-19,102.125,102.5625,101.25,101.25,176600,41.300648
2000-07-20,102.265617,102.671883,102.265617,102.359383,18600,41.753174
2000-07-21,101.375,101.453117,101,101,71600,41.198671
2000-07-24,101.093758,101.109383,100,100.125,103200,40.841752
2000-07-25,100.218758,100.218758,99.296883,99.625,167200,40.637798
2000-07-26,99.390617,99.390617,98.093758,99.25,133000,40.484833
2000-07-27,98.531242,98.671883,97.890617,98.140617,67000,40.032307
2000-07-28,98.140617,98.140617,96.281242,96.906242,61000,39.528796
2000-07-31,97.375,97.875,97.375,97.875,2200,39.92396
2000-08-01,98.343758,98.6875,98.296883,98.296883,7400,40.096049
2000-08-02,98.1875,99.765617,98.0625,99.765617,11800,40.695157
2000-08-03,97.375,99.156242,97.375,99.156242,7400,40.446588
2000-08-04,100.75,101.031242,100.718758,100.906242,24000,41.160427
2000-08-07,102.4375,102.484383,102.234383,102.234383,1200,41.702185
2000-08-08,102.375,102.6875,102.375,102.625,14800,41.861521
2000-08-09,102.984383,103.140617,101.468758,101.468758,130400,41.389881
2000-08-10,101.593758,101.75,101.093758,101.093758,210400,41.236916
2000-08-11,101.125,102.828117,100.875,102.828117,199400,41.944374
2000-08-14,103,103.906242,103,103.8125,151600,42.345911
2000-08-15,103.203117,103.453117,103.093758,103.140617,309000,42.071845
2000-08-16,103.921883,103.921883,103.3125,103.3125,8600,42.141958
2000-08-17,103.6875,104.453117,103.640617,104.4375,140800,42.600854
2000-08-18,105.156242,105.25,104.531242,104.9375,31600,42.804807
2000-08-21,105.218758,105.375,104.656242,104.953117,21600,42.811178
2000-08-22,105.203117,105.375,104.921883,105.031242,114200,42.843046
2000-08-23,104.8125,105.375,104.234383,105.375,243200,42.983267
2000-08-24,105.656242,106.328117,105.234383,106.328117,161200,43.372051
2000-08-25,106.25,106.656242,106.25,106.578117,46200,43.474028
2000-08-28,106.656242,107.375,106.656242,107.078117,391600,43.677982
2000-08-29,106.6875,107.328117,106.625,107.328117,677600,43.779959
2000-08-30,107.0625,107.515617,107.0625,107.375,14400,43.799082
2000-08-31,108,109.093758,107.984383,108.890617,552800,44.417314
2000-09-01,109.6875,109.921883,109.343758,109.875,50600,44.818851
2000-09-05,109.625,109.625,108.796883,108.8125,55200,44.38545
2000-09-06,108.343758,108.593758,107.953117,108.343758,161200,44.194246
2000-09-07,108.968758,110.140617,108.75,110.140617,217600,44.927199
2000-09-08,109.625,109.625,109.078117,109.343758,454200,44.602154
2000-09-11,108.843758,110.171883,108.843758,109.265617,91400,44.57028
2000-09-12,109.781242,109.968758,108.5,108.718758,424000,44.347211
2000-09-13,108.5,108.781242,108,108.281242,415800,44.168745
2000-09-14,109.281242,109.796883,109.281242,109.328117,231600,44.595774
2000-09-15,108.718758,109.093758,108.3125,108.406242,257200,44.219734
2000-09-18,108.656242,108.656242,105.156242,105.25,956000,42.932279
2000-09-19,105.671883,106.625,105.3125,106.625,478200,43.493152
2000-09-20,106.6875,106.6875,105.234383,106.468758,587800,43.51267
2000-09-21,105.484383,105.8125,104.890617,104.890617,197800,42.8677
2000-09-22,103.953117,105.0625,103.5625,105,290000,42.912404
2000-09-25,106.1875,106.828117,106.031242,106.031242,58400,43.333862
2000-09-26,105.890617,106.656242,105.375,105.453117,268600,43.097588
2000-09-27,106.625,106.734383,105.4375,105.8125,504000,43.244464
2000-09-28,106.093758,108.6875,106.093758,108.6875,482800,44.419446
2000-09-29,108.406242,108.406242,107.484383,107.484383,323800,43.927745
2000-10-02,108.25,108.25,106.390617,106.406242,392600,43.48712
2000-10-03,107.093758,107.140617,104.468758,104.468758,216600,42.69529
2000-10-04,104.125,104.765617,103.5,104.609383,224000,42.752762
2000-10-05,104.875,105.218758,104.453117,104.8125,76400,42.835774
2000-10-06,104.984383,104.984383,102.156242,102.625,265200,41.941766
2000-10-09,102.593758,102.75,100.984383,102.468758,96000,41.877911
2000-10-10,102.531242,102.828117,100.0625,100.125,239200,40.920042
2000-10-11,99.093758,100.1875,98.281242,99.468758,251800,40.651843
2000-10-12,98.640617,99.031242,96.843758,97.046883,339400,39.662048
2000-10-13,97.0625,100.125,97.0625,100.125,119800,40.920042
2000-10-16,100.25,101.109383,99.718758,100.875,57800,41.226559
2000-10-17,101.281242,101.281242,97.968758,98.578117,272400,40.287847
2000-10-18,95.375,99.125,95.375,99.0625,20200,40.485809
2000-10-19,100.125,101.75,100.093758,101.75,209800,41.584163
2000-10-20,102,103.656242,102,103.468758,70600,42.286601
2000-10-23,103.281242,104.156242,103.0625,103.5,20400,42.299369
2000-10-24,103.406242,103.406242,101.984383,102.281242,127800,41.801276
2000-10-25,100.125,101.703117,99.359383,99.359383,153400,40.607142
2000-10-26,99.25,100.390617,97.75,100.390617,193200,41.028597
2000-10-27,100.656242,101.296883,99.828117,101.015617,118200,41.284028
2000-10-30,100.6875,101.921883,100.6875,101.546883,97400,41.501151
2000-10-31,102.25,104.468758,102.25,104,210200,42.503714
2000-11-01,103.875,104.75,103.656242,104.406242,270400,42.669741
2000-11-02,105.031242,106.25,104.796883,106.1875,94200,43.397722
2000-11-03,106,106.515617,105.453117,106.0625,126800,43.346636
2000-11-06,106.281242,106.781242,106,106.218758,84400,43.410497
2000-11-07,105.843758,105.890617,105.078117,105.890617,14400,43.27639
2000-11-08,106,106.25,104.156242,104.156242,377800,42.567569
2000-11-09,103.218758,103.656242,101.375,102.875,251000,42.043938
2000-11-10,102.031242,102.109383,100.625,100.734383,184800,41.16909
2000-11-13,98.9375,99.921883,97,99,336000,40.460266
2000-11-14,100.218758,101.3125,100.218758,101,77600,41.277645
2000-11-15,101,103.203117,101,102.765617,447800,41.999235
2000-11-16,102.234383,102.515617,101.281242,101.281242,158000,41.392586
2000-11-17,101.343758,102.5625,100.859383,101.0625,40400,41.303189
2000-11-20,100.203117,100.203117,98.5625,99.171883,192400,40.530513
2000-11-21,99.25,99.468758,98.125,98.890617,136400,40.415563
2000-11-22,98.3125,98.3125,97,97.5,237400,39.847232
2000-11-24,98.546883,100.109383,98.406242,100,9800,40.868956
2000-11-27,101.656242,102.015617,100.781242,100.781242,132800,41.188241
