"Index","open","high","low","close","volume","adjusted"
2000-07-28,131.3125,131.3125,127.796883,127.796883,4400,57.132046
2000-07-31,129.125,130.140625,128,130.140625,8000,58.179825
2000-08-01,130.843765,130.843765,130.843765,130.843765,400,58.494166
2000-08-02,133.265625,133.265625,133,133,2200,59.458118
2000-08-03,129.171875,130.218765,129.171875,130.218765,600,58.214758
2000-08-04,134.343765,134.343765,134.218765,134.218765,400,60.002972
2000-08-07,137.156235,137.156235,137.156235,137.156235,2000,61.316178
2000-08-08,137.281235,137.281235,136.468765,136.890625,1000,61.197436
2000-08-09,137.75,138.031235,135.796875,135.796875,2800,60.708471
2000-08-10,135.218765,135.218765,134.625,134.625,1200,60.18458
2000-08-11,134.906235,135,134.906235,135,400,60.352225
2000-08-14,136.031235,137.6875,136.031235,137.6875,3600,61.553682
2000-08-15,138,138,136.765625,137,3000,61.246332
2000-08-16,138.281235,138.281235,137.609375,137.609375,3200,61.518756
2000-08-17,137.906235,140.140625,137.906235,140.140625,2000,62.65036
2000-08-18,140.765625,140.9375,140.765625,140.9375,800,63.006606
2000-08-21,141.718765,142.328125,141.718765,142.0625,2800,63.509541
2000-08-22,141.593765,142,141.4375,141.4375,4800,63.230132
2000-08-23,141.093765,142.4375,140.734375,142.4375,600,63.677186
2000-08-24,142.968765,143.390625,142.968765,143.390625,400,64.103284
2000-08-25,144.343765,144.703125,143,144.703125,7000,64.690042
2000-08-28,146.046875,146.25,145.578125,145.578125,4000,65.081213
2000-08-29,145.343765,146.281235,145.343765,145.843765,4800,65.199969
2000-08-30,145.75,146.4375,145.75,146.4375,1800,65.4654
2000-08-31,147.75,149.781235,147.6875,149.781235,5000,66.960229
2000-09-01,151.5,151.5,150.015625,151.468765,21600,67.714645
2000-09-05,151.218765,151.218765,148.656235,148.656235,9800,66.457293
2000-09-06,147.5,147.718765,145.968765,147.046875,1000,65.737823
2000-09-07,147.25,148.296875,147.25,148.296875,9600,66.29664
2000-09-08,146.828125,147.593765,146.828125,147.125,1800,65.772749
2000-09-11,147.75,148.1875,147.75,148.1875,1800,66.247744
2000-09-12,148.234375,148.281235,147.125,147.234375,4600,65.821646
2000-09-13,145.1875,145.296875,144.109375,144.890625,6600,64.773864
2000-09-14,147,148.125,147,147.421875,3000,65.905468
2000-09-15,146.718765,146.718765,145.906235,145.9375,2800,65.241873
2000-09-18,146.125,146.125,140.968765,140.968765,4800,63.020583
2000-09-19,141.609375,143.031235,141.609375,143.031235,600,63.942617
2000-09-20,142.093765,142.093765,142.093765,142.093765,50000,63.523518
2000-09-21,142.234375,142.234375,142.234375,142.234375,1600,63.586378
2000-09-22,139.75,142.593765,139.75,142.593765,2400,63.747045
2000-09-25,144.718765,145.843765,143.9375,144.093765,102200,64.417625
2000-09-26,144.0625,144.968765,142.796875,142.796875,17200,63.837846
2000-09-27,144.843765,145.156235,143,143,1200,63.928654
2000-09-28,145.25,147.484375,145.25,147.484375,51200,65.933409
2000-09-29,146.890625,147.015625,145.984375,145.984375,2400,65.262829
2000-10-02,144.843765,145.343765,143.953125,143.953125,8000,64.354752
2000-10-03,143,143.593765,140,140,3200,62.587493
2000-10-04,137.9375,139.015625,137.796875,137.796875,2200,61.602578
2000-10-05,139.343765,139.453125,138.656235,139.406235,5200,62.322048
2000-10-06,140.375,140.375,135.109375,135.5,15600,60.575752
2000-10-09,135,136.453125,135,135.734375,5000,60.68053
2000-10-10,136,136.281235,132.531235,132.531235,6600,59.248555
2000-10-11,130.25,133.109375,129.5,133.109375,15600,59.507015
2000-10-12,132.625,132.625,127.5,127.5,12000,56.999324
2000-10-13,128.625,132.640625,128.625,132.640625,4000,59.297459
2000-10-16,131.875,133.875,131.875,133.531235,27600,59.695609
2000-10-17,134.25,134.25,129.656235,131.0625,624200,58.591952
2000-10-18,125.3125,132.0625,125.3125,130.5,14600,58.340485
2000-10-19,132.5,136.0625,132.5,135.4375,636600,60.547811
2000-10-20,136.625,139.484375,136.593765,138.640625,36800,61.97978
2000-10-23,138.625,140.1875,138.625,138.9375,27000,62.112499
2000-10-24,138.781235,138.781235,136.468765,136.671875,20000,61.099643
2000-10-25,133.453125,135.109375,130.765625,130.765625,14200,58.459233
2000-10-26,130.375,131.625,127.796883,129.890625,49400,58.068061
2000-10-27,134.625,134.671875,132.484375,133.078125,9600,59.493044
2000-10-30,132.609375,133.031235,131.609375,132.343765,32400,59.164746
2000-10-31,134.796875,137.968765,134.796875,137.875,13200,61.637504
2000-11-01,136.875,138.890625,136.609375,138.1875,3800,61.777209
2000-11-02,139.718765,141.843765,139.718765,141.734375,54400,63.362852
2000-11-03,141.281235,142.531235,140.984375,141.921875,24000,63.446674
