"Index","open","high","low","close","volume","adjusted"
2000-05-26,96.09375,96.249985,95.15625,95.68749,419100,26.70542
2000-05-30,97.03125,97.59375,97.03125,97.59375,900,27.237438
2000-05-31,98.750015,99.875015,98.750015,99.500015,7200,27.769458
2000-06-01,100.21875,101.8125,100.21875,101.8125,452700,28.414849
2000-06-02,103.468735,104.71875,103.468735,104.71875,776100,29.225955
2000-06-05,104.8125,105.078117,104.750015,105.078117,174000,29.32625
2000-06-06,105.031265,105.609364,104.109364,104.109364,43800,29.055881
2000-06-07,104.593735,104.593735,104.093765,104.093765,44100,29.051528
2000-06-08,104.874985,104.874985,104.0625,104.0625,611100,29.042802
2000-06-09,104.90625,104.90625,104.625,104.625,2100,29.19979
2000-06-12,105.593765,105.593765,103.6875,103.6875,1800,28.938143
2000-06-13,103.203117,103.625015,102.203133,103.625015,168000,28.920704
2000-06-14,104.750015,104.750015,104.281265,104.515617,3300,29.169262
2000-06-15,104.000015,104.000015,102.999985,104.000015,29100,29.025363
2000-06-16,104.687485,104.687485,103.749985,103.749985,36000,28.955582
2000-06-19,105.343735,105.343735,105.062485,105.062485,13500,29.321888
2000-06-20,105.65625,105.75,104.625,105.09375,224400,29.330613
2000-06-21,105,105.406265,105,105.125015,3000,29.351345
2000-06-22,105.375,105.375,104.593735,104.593735,1200,29.203009
2000-06-23,102.984364,102.984364,102.906235,102.906235,3000,28.731852
2000-06-26,102.9375,103.156265,102.75,102.796864,37200,28.701315
2000-06-27,104.15625,104.281265,103.6875,103.6875,362400,28.949984
2000-06-28,103.812515,106.562485,103.812515,106.562485,228000,29.752692
2000-06-29,105.75,106.250015,105.1875,105.500015,56100,29.456046
2000-06-30,105.46875,105.65625,104.90625,105.312515,230400,29.403695
2000-07-03,105.624985,106.390617,105.375,106.390617,178200,29.704706
2000-07-05,106.093735,106.093735,105.609364,105.812485,1800,29.543289
2000-07-06,105.234364,106.3125,104.25,106.3125,208200,29.682895
2000-07-07,106.796883,108,106.796883,107.859364,27000,30.114786
2000-07-10,108,108.9375,107.8125,108.65625,33600,30.33728
2000-07-11,108.65625,109.187485,108.312515,108.500015,187200,30.293659
2000-07-12,109.437515,109.921864,109.437515,109.765617,9300,30.64702
2000-07-13,110.406235,110.406235,109.656235,109.921864,102600,30.690645
2000-07-14,110.34375,110.34375,109.703133,109.937485,6300,30.695006
2000-07-17,109.6875,110.656265,109.6875,110.656265,6300,30.895693
2000-07-18,110.031235,110.265633,109.265636,109.812515,16800,30.660114
2000-07-19,109.187485,109.187485,107.546883,107.546883,158100,30.02754
2000-07-20,108,108.781265,108,108,36000,30.154052
2000-07-21,108.46875,108.46875,105.999985,105.999985,10500,29.59564
2000-07-24,106.062515,106.343765,104.8125,104.874985,322800,29.281535
2000-07-25,105.593765,105.65625,104.625,105,62400,29.31644
2000-07-26,104.468765,104.468765,103.531265,104.328117,58500,29.128847
2000-07-27,104.734383,104.734383,102.999985,103.484367,21000,28.893269
2000-07-28,102.812485,102.812485,100.671867,100.953117,7200,28.186533
2000-07-31,100.6875,102.343735,100.062515,102.343735,14700,28.5748
2000-08-01,102.65625,102.84375,102.500015,102.593765,3300,28.644609
2000-08-02,103.640636,103.765617,103.625015,103.625015,6300,28.932538
2000-08-03,100.875,102.875015,100.875,102.875015,8700,28.723135
2000-08-04,103.703133,103.703133,102.999985,103.281235,9600,28.836553
2000-08-07,104.015636,104.781235,104.015636,104.765636,211500,29.251005
2000-08-08,104.937515,105.062485,104.781235,104.781235,3000,29.25536
2000-08-09,105.1875,105.1875,104.484364,104.484364,1800,29.172472
2000-08-10,104.499985,104.53125,104.4375,104.4375,4800,29.159388
2000-08-11,103.437515,105,103.437515,105,11700,29.31644
2000-08-14,105.718735,106.40625,105.718735,106.40625,3600,29.709071
2000-08-15,106.656235,106.656235,105.734367,105.734367,4200,29.521478
2000-08-16,105.999985,106.328133,105.453117,105.999985,3600,29.59564
2000-08-17,106.062515,106.062515,106.062515,106.062515,300,29.613099
2000-08-18,107.781235,107.781235,107.15625,107.218735,63600,29.93592
2000-08-21,107.625,107.828133,107.25,107.25,1800,29.944649
2000-08-22,107.687485,107.953136,107.515617,107.515617,19500,30.018811
2000-08-23,106.812515,107.671864,106.749985,107.671864,20700,30.062435
2000-08-24,108,108.624985,108,108.624985,27900,30.328551
2000-08-25,109.3125,109.5,109.3125,109.5,9600,30.572859
2000-08-28,110.046867,110.046867,109.281235,109.328133,8400,30.524873
2000-08-29,109.625015,110.375015,109.625015,110.375015,43800,30.817167
2000-08-30,110.4375,110.796867,110.375015,110.687485,37800,30.904409
2000-08-31,111.249985,112.140633,111.249985,111.875015,110100,31.235973
2000-09-01,112.374985,112.40625,111.5625,112.281235,300900,31.349391
2000-09-05,112.437515,112.437515,111.218765,111.328136,80100,31.083282
2000-09-06,111.125015,111.125015,110.390636,110.968735,22200,30.982936
