"Index","open","high","low","close","volume","adjusted"
2000-07-28,67.093758,67.265617,67.031242,67.0625,7600,26.909806
2000-07-31,66.9375,67.531242,66.9375,67.531242,4600,27.097895
2000-08-01,68.468758,68.468758,68.468758,68.468758,2600,27.474087
2000-08-02,68.843758,68.953117,68.843758,68.953117,2000,27.668444
2000-08-03,68.234383,68.531242,68.234383,68.531242,11200,27.49916
2000-08-04,68.765617,68.9375,68.6875,68.9375,2600,27.662177
2000-08-07,69.765617,69.765617,69.765617,69.765617,200,27.994471
2000-08-08,70,70,70,70,3600,28.08852
2000-08-09,70,70,70,70,0,28.08852
2000-08-10,70,70,70,70,0,28.08852
2000-08-11,70,70,70,70,0,28.08852
2000-08-14,70,70,70,70,0,28.08852
2000-08-15,70,70,70,70,0,28.08852
2000-08-16,70.25,70.25,70.125,70.125,3800,28.138679
2000-08-17,70.125,70.125,70.125,70.125,0,28.138679
2000-08-18,70.953117,70.953117,70.953117,70.953117,1000,28.470973
2000-08-21,71.031242,71.031242,70.75,70.75,86000,28.389469
2000-08-22,70.890617,71.0625,70.890617,70.9375,21800,28.464706
2000-08-23,71.015617,71.031242,71.015617,71.031242,6400,28.502322
2000-08-24,71.25,71.25,71.25,71.25,4600,28.590101
2000-08-25,71.25,71.25,71.25,71.25,0,28.590101
2000-08-28,71.25,71.25,71.25,71.25,0,28.590101
2000-08-29,71.375,71.843758,71.375,71.843758,4400,28.828355
2000-08-30,71.843758,71.843758,71.843758,71.843758,0,28.828355
2000-08-31,72.515617,72.515617,72.515617,72.515617,1200,29.097949
2000-09-01,72.4375,72.5,72.4375,72.5,21600,29.091682
2000-09-05,72.484383,72.484383,72.484383,72.484383,200,29.085415
2000-09-06,72.031242,72.031242,72.031242,72.031242,20800,28.903586
2000-09-07,72.9375,73.031242,72.9375,73.031242,4000,29.304851
2000-09-08,73.125,73.1875,73.125,73.1875,8000,29.367551
2000-09-11,73,73.406242,73,73.406242,1600,29.455325
2000-09-12,73.406242,73.406242,73.406242,73.406242,0,29.455325
2000-09-13,72.718758,73.25,72.718758,73.25,6000,29.39263
2000-09-14,73.375,73.515617,73.375,73.421883,1000,29.461601
2000-09-15,73.5,73.5,73.1875,73.218758,4000,29.380094
2000-09-18,73,73,71.578117,71.578117,6200,28.721763
2000-09-19,71.5,71.515617,71.171883,71.3125,3200,28.61518
2000-09-20,71.8125,71.8125,71.406242,71.406242,1800,28.699479
2000-09-21,71.406242,71.406242,71.406242,71.406242,0,28.699479
2000-09-22,69.75,70.125,69.75,70.125,2400,28.184524
2000-09-25,70.625,70.625,70.5,70.5,56600,28.335244
2000-09-26,70.5,70.5,70.359383,70.359383,3000,28.278727
2000-09-27,70.578117,70.656242,70.390617,70.625,1600,28.385484
2000-09-28,70.796883,71.921883,70.796883,71.921883,1400,28.906725
2000-09-29,71.593758,72.265617,71.593758,72.265617,400,29.044878
2000-10-02,72.203117,72.203117,71.3125,71.3125,810400,28.661802
2000-10-03,71.593758,71.734383,70.9375,70.9375,240000,28.511083
2000-10-04,70.6875,71.125,70.5625,71.125,112000,28.586443
2000-10-05,71.125,71.125,70.75,70.75,28000,28.435723
2000-10-06,70.406242,70.406242,69.593758,69.593758,48400,27.971008
2000-10-09,69.718758,69.718758,69.093758,69.5,55400,27.933325
2000-10-10,69.843758,69.843758,68.968758,69,45400,27.732366
2000-10-11,68.5625,68.625,68,68.296883,41000,27.44977
2000-10-12,68.218758,68.218758,67,67,33200,26.92853
2000-10-13,67.468758,68.6875,67.4375,68.6875,23400,27.606767
2000-10-16,69,69.328117,69,69.109383,8600,27.776329
2000-10-17,68.843758,68.843758,67.0625,67.375,11800,27.079249
2000-10-18,66.625,66.625,66.625,66.625,200,26.77781
2000-10-19,67.6875,67.906242,67.453117,67.906242,600,27.292765
2000-10-20,67.906242,67.906242,67.906242,67.906242,0,27.292765
2000-10-23,68.468758,68.875,68.468758,68.8125,3800,27.657007
2000-10-24,69.1875,69.1875,68.8125,68.8125,800,27.657007
2000-10-25,68.406242,68.406242,68.078117,68.078117,3200,27.361845
2000-10-26,67.859383,67.859383,67.375,67.375,4200,27.079249
2000-10-27,68.375,68.718758,68.375,68.718758,7400,27.61933
2000-10-30,69.093758,69.8125,69.093758,69.8125,41000,28.058925
2000-10-31,70.406242,71.625,70.406242,71.625,3200,28.787402
2000-11-01,72,72.109383,72,72.046883,2600,28.956964
2000-11-02,72.296883,73.031242,72.296883,73.031242,7000,29.352597
2000-11-03,73.1875,73.1875,72.984383,72.984383,2400,29.333763
2000-11-06,73.468758,73.468758,72.8125,72.828117,93400,29.270957
2000-11-07,72.75,72.890617,72.671883,72.796883,72600,29.258403
2000-11-08,73.156242,73.375,73.046883,73.046883,14600,29.358883
2000-11-09,72.468758,72.468758,71.625,71.718758,20400,28.825085
2000-11-10,71.531242,71.531242,71.531242,71.531242,200,28.749719
2000-11-13,70.5,70.921883,70,70.921883,1200,28.504806
2000-11-14,71.765617,71.953117,71.765617,71.953117,1400,28.919278
2000-11-15,71.843758,72.5,71.796883,72.406242,8600,29.101398
2000-11-16,72.1875,72.515617,71.953117,72,7600,28.938121
2000-11-17,72,72.406242,71.828117,71.843758,3200,28.875325
2000-11-20,71.421883,71.421883,70.593758,70.593758,1600,28.372927
2000-11-21,70.3125,70.453117,70.3125,70.421883,3800,28.303847
2000-11-22,69.656242,69.656242,69.109383,69.5625,12600,27.958445
2000-11-24,70,70,70,70,1000,28.134285
2000-11-27,71.359383,71.359383,71.015617,71.156242,1600,28.599
2000-11-28,70.656242,70.6875,70.1875,70.3125,1800,28.259884
2000-11-29,69.5625,69.5625,69,69,2600,27.732366
2000-11-30,68.5,68.6875,67.75,68.6875,9600,27.606767
2000-12-01,68.875,69.546883,68.875,69.468758,2800,27.920769
2000-12-04,69.25,69.25,69.25,69.25,200,27.832846
2000-12-05,69.796883,70.75,69.796883,70.75,4600,28.435723
2000-12-06,71.343758,71.515617,70.5,70.5,6000,28.335244
2000-12-07,70.656242,70.656242,70.531242,70.5625,7200,28.360364
2000-12-08,71.609383,72.046883,71.609383,72,7200,28.938121
2000-12-11,73,73.25,72.968758,73.25,2600,29.440519
2000-12-12,72.921883,73.1875,72.875,72.875,29000,29.2898
2000-12-13,72.375,72.375,71.1875,71.1875,41200,28.803256
2000-12-14,71.343758,71.343758,70.031242,70.031242,147200,28.335421
2000-12-15,70.1875,70.1875,69.9375,69.984383,35200,28.316461
2000-12-18,70.781242,71.5,70.5625,71.375,27200,28.87912
2000-12-19,71.4375,71.75,71.343758,71.6875,4200,29.005561
2000-12-20,70.1875,70.1875,69.125,69.453117,22000,28.101505
2000-12-21,69.4375,70.1875,69.375,70.078117,10800,28.354387
2000-12-22,70.1875,71.671883,70.1875,71.343758,25600,28.866479
2000-12-26,72.156242,73.031242,72.156242,73.031242,77600,29.549254
