"Index","open","high","low","close","volume","adjusted"
2000-07-28,78.218758,78.843758,77.6875,77.6875,4000,34.799681
2000-07-31,77.8125,78.796883,77.8125,78.796883,3400,35.296623
2000-08-01,78.796883,78.796883,78.796883,78.796883,0,35.296623
2000-08-02,80,80,80,80,800,35.835552
2000-08-03,78.25,78.25,78.25,78.25,200,35.05165
2000-08-04,80.125,80.125,80.125,80.125,800,35.891545
2000-08-07,81.1875,81.1875,81.1875,81.1875,400,36.367486
2000-08-08,81.406242,81.406242,81,81.1875,3200,36.367486
2000-08-09,81.1875,81.1875,81.1875,81.1875,0,36.367486
2000-08-10,81.125,81.125,81.093758,81.093758,600,36.325495
2000-08-11,79.875,79.875,79.875,79.875,1000,35.779559
2000-08-14,79.875,79.875,79.875,79.875,0,35.779559
2000-08-15,79.875,79.875,79.875,79.875,0,35.779559
2000-08-16,82.4375,82.4375,82.25,82.25,4400,36.843427
2000-08-17,82.25,82.25,82.25,82.25,0,36.843427
2000-08-18,84.156242,84.156242,84.156242,84.156242,800,37.697318
2000-08-21,84.25,84.25,84.25,84.25,800,37.739316
2000-08-22,84.593758,84.593758,84.593758,84.593758,600,37.8933
2000-08-23,84.078117,84.078117,83.796883,83.796883,400,37.536345
2000-08-24,84.1875,85.921883,84.1875,85.890617,72600,38.474221
2000-08-25,86.468758,86.656242,86.468758,86.625,44400,38.803184
2000-08-28,86.718758,87.234383,86.343758,86.343758,10600,38.677203
2000-08-29,87.093758,87.75,86.968758,87.75,6200,39.307121
2000-08-30,87.718758,87.859383,87.718758,87.859383,1400,39.356119
2000-08-31,88.4375,89.5625,88.4375,89,4800,39.867052
2000-09-01,89.75,89.75,89.343758,89.625,26400,40.147017
2000-09-05,90,90,88.375,88.375,11800,39.587087
2000-09-06,88.375,88.375,88.375,88.375,0,39.587087
2000-09-07,88.328117,88.375,88.0625,88.375,3600,39.587087
2000-09-08,88.75,88.75,87.9375,87.9375,600,39.391111
2000-09-11,87.5,88.031242,87.093758,87.25,69200,39.083149
2000-09-12,87.4375,88.1875,87.4375,88.1875,4400,39.503097
2000-09-13,86.593758,86.8125,86.593758,86.8125,800,38.887173
2000-09-14,88.328117,88.9375,88.328117,88.343758,6000,39.573092
2000-09-15,87.625,87.625,87.218758,87.218758,2400,39.069154
2000-09-18,87.203117,87.203117,84.625,84.625,89000,37.907295
2000-09-19,84.875,84.875,84.406242,84.406242,2600,37.809304
2000-09-20,84.296883,85.156242,84.296883,85.156242,1600,38.145262
2000-09-21,85.125,85.125,84.421883,84.421883,600,37.81631
2000-09-22,82.3125,83.4375,82.3125,83.4375,3800,37.375361
2000-09-25,86.0625,86.0625,85.890617,85.890617,2000,38.474221
2000-09-26,84.625,84.6875,83.531242,83.531242,5000,37.417352
2000-09-27,84.3125,84.3125,84.3125,84.3125,1400,37.767312
2000-09-28,83.515617,83.625,83.515617,83.625,600,37.459351
2000-09-29,85.093758,85.093758,85.093758,85.093758,200,38.117272
2000-10-02,84.3125,84.3125,83.906242,83.906242,12800,37.585332
2000-10-03,83.671883,83.671883,81.984383,81.984383,4800,36.724445
2000-10-04,80.593758,81.5,80.593758,81.5,2800,36.507469
2000-10-05,82.6875,82.6875,82.6875,82.6875,8000,37.039403
2000-10-06,80.625,80.625,78.281242,78.281242,6800,35.065644
2000-10-09,77.875,77.875,77.875,77.875,600,34.88367
2000-10-10,77.875,77.875,77.875,77.875,0,34.88367
2000-10-11,76.265617,76.781242,76.265617,76.625,1600,34.32374
2000-10-12,76.5,76.5,75.296883,75.406242,3600,33.777804
2000-10-13,75.156242,76.515617,75.156242,76.5,4400,34.267747
2000-10-16,79.531242,80.3125,79.125,80.3125,3200,35.975535
2000-10-17,80.265617,80.265617,77.406242,77.593758,4200,34.757689
2000-10-18,75,77.9375,75,77.9375,3000,34.911667
2000-10-19,79.453117,80,79.453117,80,600,35.835552
