"Index","open","high","low","close","volume","adjusted"
2015-01-27,26.290001,26.290001,26.290001,26.290001,0,25.576714
2015-01-28,26.209999,26.209999,26.209999,26.209999,0,25.498883
2015-01-29,26.198999,26.219999,26.198999,26.219999,1900,25.508611
2015-01-30,26.219999,26.219999,26.219999,26.219999,0,25.508611
2015-02-02,26.059999,26.209999,26.059999,26.209999,2700,25.498883
2015-02-03,26.209999,26.209999,26.209999,26.209999,0,25.498883
2015-02-04,26.17,26.17,26.17,26.17,1200,25.459969
2015-02-05,26.221001,26.221001,26.219999,26.219999,2000,25.508611
2015-02-06,26.219999,26.219999,26.219999,26.219999,0,25.508611
2015-02-09,26,26.02,26,26,6200,25.294581
2015-02-10,26,26,26,26,0,25.294581
2015-02-11,25.07,25.07,25.07,25.07,0,24.389813
2015-02-12,21.09,21.09,21.09,21.09,0,20.517797
2015-02-13,26.5,26.5,26.5,26.5,300,25.781015
2015-02-17,26.5,26.65,26.5,26.65,600,25.926945
2015-02-18,26.73,26.76,26.639999,26.74,1900,26.014504
2015-02-19,26.74,26.74,26.74,26.74,0,26.014504
2015-02-20,26.997,26.997,26.997,26.997,100,26.264531
2015-02-23,27,27,27,27,700,26.26745
2015-02-24,27.049999,27.049999,27.049999,27.049999,100,26.316092
2015-02-25,27.18,27.18,27.18,27.18,100,26.442566
2015-02-26,27.18,27.18,27.18,27.18,0,26.442566
2015-02-27,27.23,27.249001,27.200001,27.200001,3000,26.462024
2015-03-02,27.52,27.52,27.200001,27.27,4300,26.530124
2015-03-03,27.27,27.27,27.091999,27.091999,1300,26.356953
2015-03-04,27.040001,27.040001,27.040001,27.040001,400,26.306365
2015-03-05,27.174999,27.174999,27.139999,27.139999,1800,26.403651
2015-03-06,27.02,27.17,26.84,26.85,4900,26.12152
2015-03-09,26.85,26.85,26.85,26.85,0,26.12152
2015-03-10,26.450001,26.450001,26.450001,26.450001,300,25.732373
2015-03-11,26.450001,26.450001,26.450001,26.450001,0,25.732373
2015-03-12,26.450001,26.450001,26.450001,26.450001,0,25.732373
2015-03-13,26.84,26.940001,26.790001,26.940001,2800,26.209078
2015-03-16,26.940001,26.940001,26.940001,26.940001,0,26.209078
2015-03-17,27.02,27.02,27,27,300,26.26745
2015-03-18,27.030001,27.030001,27.030001,27.030001,1000,26.296636
2015-03-19,27.030001,27.030001,27.030001,27.030001,0,26.296636
2015-03-20,25.92,25.92,25.92,25.92,0,25.216752
2015-03-23,27.889999,28.120001,27.889999,28.08,3500,27.318147
2015-03-24,28.08,28.08,28.08,28.08,0,27.318147
2015-03-25,28.02,28.02,28.02,28.02,100,27.259776
2015-03-26,27.610001,27.99,27.6,27.6,1500,26.851171
2015-03-27,27.469999,27.559999,27.469999,27.542,12500,26.794744
2015-03-30,27.59,27.620001,27.52,27.620001,1000,26.870629
2015-03-31,27.25,27.25,27.25,27.25,1000,26.510667
2015-04-01,27.25,27.25,27.25,27.25,0,26.510667
2015-04-02,27.25,27.25,27.25,27.25,0,26.510667
2015-04-06,27.25,27.25,27.25,27.25,0,26.510667
2015-04-07,27.25,27.25,27.25,27.25,0,26.510667
2015-04-08,27.91,28.02,27.91,28.01,400,27.250047
2015-04-09,27.92,27.92,27.92,27.92,21600,27.162489
2015-04-10,27.99,27.999001,27.99,27.993999,2500,27.23448
2015-04-13,27.993999,27.993999,27.993999,27.993999,0,27.23448
2015-04-14,27.993999,27.993999,27.993999,27.993999,0,27.23448
2015-04-15,28.149,28.149,28.101999,28.101999,600,27.33955
2015-04-16,28.08,28.08,28.08,28.08,100,27.318147
2015-04-17,27.700001,27.700001,27.690001,27.700001,400,26.948458
2015-04-20,27.860001,27.92,27.83,27.860001,2000,27.104117
2015-04-21,27.860001,27.860001,27.860001,27.860001,0,27.104117
2015-04-22,24.969999,24.969999,24.969999,24.969999,0,24.292526
2015-04-23,28.25,28.25,28.25,28.25,400,27.483535
2015-04-24,28.25,28.25,28.25,28.25,0,27.483535
2015-04-27,28.610001,28.610001,28.416,28.416,1300,27.645032
2015-04-28,28.329,28.329,28.27,28.27,300,27.502993
2015-04-29,28.15,28.15,28.15,28.15,400,27.386248
2015-04-30,28.15,28.15,28.15,28.15,0,27.386248
2015-05-01,28.061001,28.061001,28.061001,28.061001,600,27.299664
2015-05-04,27.75,27.75,27.75,27.75,100,26.997101
2015-05-05,27.9,27.9,27.700001,27.700001,2200,26.948458
2015-05-06,27.700001,27.700001,27.700001,27.700001,0,26.948458
2015-05-07,27.700001,27.700001,27.700001,27.700001,0,26.948458
2015-05-08,27.700001,27.700001,27.700001,27.700001,0,26.948458
2015-05-11,27.700001,27.700001,27.700001,27.700001,0,26.948458
2015-05-12,27.700001,27.700001,27.700001,27.700001,0,26.948458
2015-05-13,27.700001,27.700001,27.700001,27.700001,0,26.948458
2015-05-14,28.25,28.290001,28.25,28.290001,600,27.522451
2015-05-15,28.32,28.32,28.32,28.32,600,27.551636
2015-05-18,28.4,28.4,28.4,28.4,100,27.629465
2015-05-19,28.4,28.4,28.4,28.4,0,27.629465
2015-05-20,28.4,28.4,28.4,28.4,0,27.629465
2015-05-21,28.540001,28.540001,28.514999,28.540001,1600,27.765668
2015-05-22,28.41,28.41,28.360001,28.360001,5600,27.590551
2015-05-26,28.360001,28.360001,28.360001,28.360001,0,27.590551
2015-05-27,28.07,28.07,28.07,28.07,1600,27.308419
2015-05-28,27.870001,27.941999,27.870001,27.941999,900,27.183891
2015-05-29,27.780001,27.780001,27.719999,27.73,800,26.977643
2015-06-01,27.75,27.75,27.75,27.75,100,26.997101
2015-06-02,27.75,27.75,27.75,27.75,0,26.997101
2015-06-03,27.992001,27.992001,27.992001,27.992001,300,27.232536
2015-06-04,27.992001,27.992001,27.992001,27.992001,0,27.232536
2015-06-05,27.6,27.6,27.370001,27.370001,2300,26.627412
2015-06-08,27.370001,27.370001,27.370001,27.370001,0,26.627412
2015-06-09,27.17,27.17,27.17,27.17,300,26.432837
2015-06-10,27.690001,27.698999,27.690001,27.698999,1900,26.947484
2015-06-11,27.747999,27.83,27.747999,27.799999,2300,27.045744
2015-06-12,27.596001,27.596001,27.596001,27.596001,600,26.84728
2015-06-15,27.34,27.459999,27.34,27.459999,1400,26.714968
2015-06-16,27.459999,27.459999,27.459999,27.459999,0,26.714968
2015-06-17,27.309999,27.309999,27.309999,27.309999,500,26.569038
2015-06-18,27.606001,27.606001,27.59,27.59,600,26.841442
2015-06-19,27.51,27.51,27.51,27.51,400,26.763613
2015-06-22,27.51,27.51,27.51,27.51,0,26.763613
2015-06-23,27.51,27.51,27.51,27.51,0,26.763613
2015-06-24,27.51,27.51,27.51,27.51,0,26.763613
2015-06-25,27.51,27.51,27.51,27.51,0,27.057697
2015-06-26,27.67,27.709999,27.67,27.709999,800,27.254408
2015-06-29,27.709999,27.709999,27.709999,27.709999,0,27.254408
2015-06-30,27.709999,27.709999,27.709999,27.709999,0,27.254408
2015-07-01,27.02,27.02,27.02,27.02,300,26.575754
2015-07-02,27.110001,27.110001,27.1,27.1,200,26.654438
2015-07-06,27.1,27.1,27.1,27.1,0,26.654438
